comparison_id,historical_relation,bm25_label,focused_vector,bm25_plus_vector_rrf
N0334,equivalent_to,True,False,True
N0335,equivalent_to,True,False,True
N0336,equivalent_to,True,False,True
N1031,uncertain,False,False,False
N0950,equivalent_to,False,False,False
N0337,equivalent_to,True,False,True
N0338,equivalent_to,True,False,True
N0339,equivalent_to,True,False,True
N0340,equivalent_to,True,False,True
N0341,equivalent_to,True,False,True
N1644,related_to,False,True,True
N0342,equivalent_to,True,False,True
N0343,equivalent_to,True,True,True
N0344,equivalent_to,True,False,True
N0345,equivalent_to,True,False,True
N0346,equivalent_to,True,True,True
N0347,equivalent_to,True,False,True
N0348,equivalent_to,True,False,True
N0349,equivalent_to,True,False,True
N0350,equivalent_to,True,False,True
N0351,equivalent_to,True,False,True
N1244,broader_than,False,False,False
N1001,broader_than,True,False,False
N0777,distinct_from,False,False,False
N0352,equivalent_to,True,False,True
N1423,narrower_than,False,False,False
N1391,broader_than,True,False,True
N0353,equivalent_to,True,False,True
N0354,equivalent_to,True,False,True
N1550,equivalent_to,True,False,True
N1283,related_to,False,False,False
N0355,equivalent_to,True,False,True
N0796,related_to,False,True,False
N0366,equivalent_to,True,True,True
N0713,equivalent_to,True,True,True
N0367,equivalent_to,True,True,True
N0762,equivalent_to,True,False,True
N1278,related_to,False,False,False
N0368,equivalent_to,True,False,True
N0369,equivalent_to,True,True,True
N0714,related_to,False,False,False
N0370,uncertain,True,False,True
N0662,distinct_from,False,False,False
N0724,related_to,False,False,False
N0669,related_to,True,False,True
N0729,distinct_from,False,False,False
N0723,related_to,False,False,False
N1183,related_to,True,False,True
N1436,related_to,True,False,True
N1063,related_to,True,False,False
N1298,distinct_from,True,False,True
N0884,distinct_from,True,False,True
N0745,related_to,True,True,True
N0725,related_to,False,False,False
N0312,equivalent_to,True,False,True
N0815,broader_than,True,True,True
N0598,broader_than,True,True,True
N1392,narrower_than,True,True,True
N1253,distinct_from,True,False,True
N1039,equivalent_to,True,False,True
N1233,narrower_than,True,True,True
N0920,equivalent_to,True,True,True
N1401,narrower_than,True,True,True
N0727,broader_than,True,False,True
N1310,narrower_than,True,False,True
N0113,uncertain,True,False,True
N0655,equivalent_to,True,False,False
N0114,equivalent_to,True,False,True
N0844,equivalent_to,True,False,True
N0115,equivalent_to,True,True,True
N0116,equivalent_to,True,False,True
N0987,broader_than,True,False,True
N0888,broader_than,True,False,True
N0800,equivalent_to,False,False,False
N1684,related_to,False,False,False
N0117,equivalent_to,True,False,True
N0118,uncertain,True,False,True
N0119,uncertain,True,False,True
N0120,related_to,True,False,True
N0121,related_to,True,False,True
N0892,related_to,True,False,True
N0122,uncertain,True,False,True
N0123,uncertain,True,False,True
N0124,equivalent_to,True,False,True
N0125,equivalent_to,True,True,True
N0126,uncertain,True,True,True
N0980,broader_than,True,False,True
N0127,equivalent_to,True,False,True
N0128,equivalent_to,True,False,True
N0129,related_to,True,True,True
N0130,equivalent_to,True,False,True
N0131,uncertain,True,False,True
N0132,related_to,True,False,True
N0133,related_to,True,False,True
N0134,related_to,True,False,True
N0964,distinct_from,True,False,True
N1211,related_to,True,False,True
N1346,related_to,False,False,False
N1556,equivalent_to,False,False,False
N0135,equivalent_to,True,False,True
N0136,related_to,True,False,True
N0137,uncertain,True,False,True
N0138,related_to,True,False,True
N0139,uncertain,True,False,True
N1378,broader_than,True,False,True
N0140,uncertain,True,False,True
N0141,uncertain,True,False,True
N0142,related_to,True,False,True
N0640,uncertain,True,False,True
N0143,related_to,True,False,True
N0939,related_to,True,False,True
N1658,related_to,False,False,False
N0144,related_to,True,False,True
N0940,distinct_from,False,False,False
N0145,related_to,True,False,True
N0146,uncertain,True,False,True
N0147,uncertain,True,False,True
N0148,uncertain,True,False,True
N0149,related_to,True,False,True
N0150,uncertain,True,False,True
N0151,related_to,True,False,True
N0152,related_to,True,False,True
N0153,uncertain,True,False,True
N0154,related_to,True,False,True
N1529,related_to,False,False,False
N0155,related_to,True,False,True
N1215,distinct_from,True,False,True
N0156,related_to,True,False,True
N0157,uncertain,True,False,True
N0158,related_to,True,False,True
N0159,related_to,True,False,True
N0160,related_to,True,False,True
N1316,related_to,True,False,True
N0161,equivalent_to,True,True,True
N0162,related_to,True,False,True
N0163,related_to,True,False,True
N0164,equivalent_to,True,False,True
N0165,related_to,True,False,True
N0166,related_to,True,False,True
N0167,related_to,True,False,True
N0708,related_to,True,False,True
N0168,related_to,True,False,True
N0169,related_to,True,False,True
N0728,related_to,True,True,True
N0912,broader_than,True,False,True
N0750,uncertain,True,False,True
N0730,related_to,True,True,True
N1630,distinct_from,True,True,True
N1198,equivalent_to,True,True,True
N0360,uncertain,True,False,True
N0361,uncertain,True,False,True
N0362,uncertain,True,True,True
N0923,broader_than,True,False,True
N1535,equivalent_to,False,True,False
N0320,equivalent_to,True,False,True
N1105,broader_than,False,False,False
N0978,broader_than,False,False,False
N0604,equivalent_to,False,False,False
N0321,equivalent_to,True,True,True
N0322,equivalent_to,True,False,True
N1638,related_to,False,False,False
N0323,equivalent_to,True,True,True
N1099,broader_than,False,False,False
N0324,equivalent_to,True,True,True
N0325,equivalent_to,True,False,True
N1359,broader_than,True,False,True
N1481,related_to,False,False,False
N0831,equivalent_to,True,False,True
N0326,equivalent_to,True,False,True
N0327,equivalent_to,True,False,True
N1521,distinct_from,False,False,False
N1013,distinct_from,False,False,False
N1043,distinct_from,False,False,False
N0932,broader_than,True,False,True
N1364,related_to,False,False,False
N1467,related_to,False,False,False
N0798,distinct_from,False,False,False
N0638,uncertain,True,True,True
N0775,uncertain,False,True,False
N1597,broader_than,False,False,False
N0637,uncertain,True,True,True
N0792,uncertain,False,True,False
N1542,equivalent_to,True,True,True
N0752,equivalent_to,True,True,True
N1523,broader_than,True,False,True
N1354,narrower_than,True,True,True
N0455,uncertain,True,True,True
N1135,uncertain,True,False,True
N1076,equivalent_to,True,True,True
N0534,uncertain,True,False,True
N0535,uncertain,True,False,True
N1308,broader_than,True,False,False
N0914,equivalent_to,True,True,True
N0318,equivalent_to,True,True,True
N1300,distinct_from,False,False,False
N1647,related_to,True,True,True
N0319,equivalent_to,True,False,True
N0857,distinct_from,False,False,False
N1629,related_to,True,True,True
N0826,related_to,True,False,True
N0417,uncertain,True,True,True
N0624,equivalent_to,True,False,True
N1411,broader_than,True,True,True
N1610,related_to,True,False,True
N1312,broader_than,False,False,False
N0536,equivalent_to,True,False,True
N1367,equivalent_to,True,False,False
N0537,equivalent_to,True,True,True
N0877,related_to,True,False,True
N0538,equivalent_to,True,True,True
N0539,uncertain,True,False,True
N0540,equivalent_to,True,False,True
N0541,equivalent_to,True,False,True
N0542,equivalent_to,True,False,True
N1686,equivalent_to,True,False,True
N0543,uncertain,True,False,True
N0544,related_to,True,False,True
N0545,uncertain,True,False,True
N0546,equivalent_to,True,False,True
N0547,related_to,True,False,True
N0548,uncertain,True,False,True
N0549,equivalent_to,True,False,True
N0590,related_to,True,False,True
N1021,distinct_from,True,False,True
N0550,related_to,True,False,True
N0551,related_to,True,True,True
N0552,related_to,True,False,True
N0553,uncertain,True,False,True
N0554,uncertain,True,False,True
N1202,uncertain,True,False,False
N1353,narrower_than,True,False,True
N1676,distinct_from,False,False,False
N0890,distinct_from,True,True,True
N1254,equivalent_to,False,True,True
N1047,distinct_from,True,False,True
N0170,related_to,True,False,True
N0171,related_to,True,False,True
N0198,equivalent_to,True,True,True
N1483,related_to,False,False,False
N1683,related_to,True,True,True
N1466,related_to,True,False,True
N0356,equivalent_to,True,True,True
N1499,broader_than,True,False,True
N1177,narrower_than,True,False,True
N1655,narrower_than,False,False,False
N0871,distinct_from,True,True,True
N1082,narrower_than,True,False,True
N1444,narrower_than,True,False,False
N1398,narrower_than,True,True,True
N0712,equivalent_to,True,True,True
N1311,distinct_from,False,False,False
N0649,distinct_from,True,True,True
N1320,distinct_from,False,False,False
N0829,distinct_from,False,False,False
N1395,related_to,False,False,False
N1042,related_to,False,False,False
N0842,distinct_from,False,False,False
N1182,related_to,False,False,False
N1360,related_to,False,False,False
N0823,distinct_from,False,False,False
N1643,related_to,False,False,False
N0314,uncertain,True,True,True
N0743,equivalent_to,False,False,False
N0944,distinct_from,False,False,False
N1363,related_to,True,False,True
N0791,uncertain,True,False,True
N0849,uncertain,True,True,True
N1100,uncertain,False,True,True
N0691,uncertain,True,False,False
N1016,related_to,True,True,True
N0917,uncertain,True,False,True
N0427,uncertain,True,False,True
N0428,uncertain,True,False,True
N1605,broader_than,True,True,True
N1406,distinct_from,True,False,True
N1456,uncertain,False,False,False
N0219,equivalent_to,True,False,True
N0220,related_to,True,False,True
N1409,distinct_from,False,False,False
N0221,equivalent_to,True,False,True
N0222,related_to,True,False,True
N1692,uncertain,False,False,False
N1370,related_to,False,True,False
N0223,uncertain,True,False,True
N1408,distinct_from,False,False,False
N1625,broader_than,True,False,True
N0224,related_to,True,False,True
N0225,uncertain,True,True,True
N0226,uncertain,True,False,True
N0227,equivalent_to,True,False,True
N0437,equivalent_to,True,True,True
N1224,equivalent_to,False,True,False
N0438,uncertain,True,False,True
N0439,related_to,True,False,True
N1118,related_to,True,False,True
N0643,related_to,True,False,True
N0440,uncertain,True,False,True
N0441,related_to,True,False,True
N0442,equivalent_to,True,False,True
N1149,related_to,True,False,True
N0443,related_to,True,False,True
N0444,related_to,True,False,True
N0445,related_to,True,False,True
N0446,related_to,True,False,True
N0447,related_to,True,False,True
N0448,related_to,True,True,True
N1325,broader_than,True,False,False
N0705,equivalent_to,True,False,False
N0694,broader_than,True,False,True
N1075,broader_than,True,True,True
N1405,equivalent_to,True,False,False
N1493,related_to,True,False,True
N1196,broader_than,True,True,True
N0240,equivalent_to,True,True,True
N0897,equivalent_to,True,False,True
N0681,equivalent_to,True,False,True
N1494,related_to,True,True,True
N1172,broader_than,True,False,True
N0241,related_to,True,True,True
N1067,broader_than,True,True,True
N0107,distinct_from,True,False,True
N0899,related_to,True,False,True
N0469,equivalent_to,True,False,True
N0718,distinct_from,True,False,True
N0838,distinct_from,False,False,False
N1459,related_to,False,False,False
N0413,equivalent_to,True,True,True
N0414,equivalent_to,True,False,True
N0765,equivalent_to,True,True,True
N1073,distinct_from,False,False,False
N1302,narrower_than,False,False,False
N1682,related_to,False,False,False
N1530,related_to,False,False,False
N0436,equivalent_to,True,False,True
N1584,related_to,False,False,False
N1476,distinct_from,False,False,False
N0945,distinct_from,False,False,False
N0783,uncertain,False,True,False
N0782,related_to,False,False,False
N0672,distinct_from,False,False,False
N1181,related_to,False,False,False
N0973,uncertain,True,False,True
N0623,uncertain,True,False,True
N1659,related_to,False,True,False
N1208,uncertain,True,False,False
N1169,distinct_from,False,False,False
N1267,distinct_from,True,False,False
N1304,distinct_from,False,False,False
N0802,distinct_from,True,True,True
N0463,equivalent_to,True,False,True
N0666,equivalent_to,False,False,False
N0464,equivalent_to,True,True,True
N0465,equivalent_to,True,True,True
N0466,equivalent_to,True,False,True
N0467,equivalent_to,True,True,True
N0496,equivalent_to,True,False,True
N1086,related_to,True,False,True
N0847,related_to,True,False,True
N1440,related_to,True,True,True
N1454,related_to,False,True,False
N1066,related_to,True,False,False
N0908,equivalent_to,False,True,True
N1136,distinct_from,False,False,False
N1287,related_to,True,False,False
N0772,distinct_from,True,False,False
N1214,distinct_from,False,False,False
N1035,distinct_from,False,False,False
N0747,equivalent_to,True,True,True
N1306,broader_than,True,True,True
N1173,equivalent_to,True,True,True
N1516,equivalent_to,True,True,True
N1192,equivalent_to,True,True,True
N0675,uncertain,True,False,True
N1545,equivalent_to,True,False,True
N0612,uncertain,True,False,True
N1614,narrower_than,True,False,False
N0700,broader_than,True,True,True
N0641,distinct_from,True,True,True
N0758,distinct_from,True,True,True
N0108,uncertain,True,False,True
N0109,uncertain,True,True,True
N0893,equivalent_to,True,True,True
N0850,equivalent_to,True,False,True
N1404,broader_than,True,False,False
N1251,distinct_from,True,False,True
N1229,broader_than,True,False,True
N1396,equivalent_to,True,True,True
N0246,related_to,True,False,True
N0247,uncertain,True,True,True
N0248,equivalent_to,True,False,True
N0249,equivalent_to,True,False,True
N0250,equivalent_to,True,False,True
N0251,equivalent_to,True,False,True
N1488,related_to,True,True,True
N0594,equivalent_to,True,False,True
N0252,equivalent_to,True,False,True
N0253,equivalent_to,True,False,True
N0677,related_to,False,False,False
N0254,equivalent_to,True,False,True
N0255,equivalent_to,True,False,True
N0256,uncertain,True,False,True
N0257,uncertain,True,False,True
N0258,equivalent_to,True,False,True
N0961,broader_than,True,False,True
N1576,distinct_from,False,False,False
N0259,uncertain,True,False,True
N0260,related_to,True,False,True
N0261,equivalent_to,True,True,True
N0262,uncertain,True,False,True
N1472,uncertain,False,True,False
N0263,equivalent_to,True,False,True
N0264,equivalent_to,True,False,True
N0265,equivalent_to,True,False,True
N0819,broader_than,True,False,True
N1159,broader_than,True,True,True
N0825,broader_than,True,False,True
N0787,related_to,True,False,False
N1548,distinct_from,False,False,False
N0266,equivalent_to,True,False,True
N0267,equivalent_to,True,False,True
N0268,equivalent_to,True,False,True
N1332,narrower_than,False,False,False
N0269,equivalent_to,True,False,True
N0270,equivalent_to,True,True,True
N0271,equivalent_to,True,True,True
N0272,equivalent_to,True,False,True
N0273,equivalent_to,True,False,True
N0274,equivalent_to,True,False,True
N0275,equivalent_to,True,False,True
N0276,equivalent_to,True,True,True
N0277,equivalent_to,True,False,True
N1165,broader_than,True,False,True
N0278,equivalent_to,True,False,True
N0279,equivalent_to,True,True,True
N0280,equivalent_to,True,False,True
N0281,uncertain,True,True,True
N0282,equivalent_to,True,False,True
N0283,equivalent_to,True,False,True
N0284,uncertain,True,False,True
N0285,equivalent_to,True,False,True
N1458,related_to,True,False,True
N1618,narrower_than,True,True,True
N0744,equivalent_to,True,False,True
N1176,broader_than,True,True,True
N1428,broader_than,True,False,True
N0231,uncertain,True,False,True
N0232,uncertain,True,True,True
N1006,broader_than,True,True,True
N1319,narrower_than,True,False,True
N1210,related_to,True,False,True
N1313,broader_than,True,False,False
N0599,uncertain,True,True,True
N0954,related_to,True,False,True
N1209,related_to,True,True,True
N1377,related_to,False,False,False
N0953,related_to,True,False,True
N0797,narrower_than,True,True,True
N0502,uncertain,True,False,True
N1636,related_to,False,False,False
N0503,uncertain,True,False,True
N0609,uncertain,True,False,False
N0968,uncertain,True,False,True
N0504,uncertain,True,True,True
N0505,uncertain,True,False,True
N0506,uncertain,True,False,True
N0589,uncertain,True,True,True
N0507,uncertain,True,False,True
N0508,uncertain,True,False,True
N0509,uncertain,True,True,True
N0510,uncertain,True,True,True
N0511,uncertain,True,False,True
N0512,uncertain,True,False,True
N0822,related_to,True,True,True
N0513,uncertain,True,False,True
N0514,uncertain,True,False,True
N0515,uncertain,True,True,True
N1291,distinct_from,True,False,True
N0357,equivalent_to,True,True,True
N0202,equivalent_to,True,True,True
N1524,distinct_from,True,False,True
N0203,equivalent_to,True,False,True
N1264,broader_than,True,False,True
N0204,equivalent_to,True,True,True
N0795,equivalent_to,True,False,True
N1326,related_to,True,False,False
N0205,equivalent_to,True,False,True
N1338,related_to,True,False,True
N0206,equivalent_to,True,False,True
N0810,broader_than,True,False,True
N1151,broader_than,False,False,False
N0207,equivalent_to,True,False,True
N0208,equivalent_to,True,False,True
N0209,equivalent_to,True,False,True
N1293,distinct_from,True,True,True
N0790,broader_than,True,True,True
N0210,equivalent_to,True,False,True
N1503,broader_than,True,False,True
N0653,uncertain,True,True,True
N0616,related_to,True,True,True
N1543,distinct_from,True,False,True
N1534,related_to,False,False,False
N1237,distinct_from,True,True,True
N1620,distinct_from,True,True,True
N1242,related_to,True,True,True
N0661,uncertain,True,True,True
N0294,uncertain,True,True,True
N1366,narrower_than,False,False,False
N1155,distinct_from,False,False,False
N1230,related_to,True,False,True
N0690,narrower_than,True,False,True
N1057,equivalent_to,True,True,True
N1269,distinct_from,True,False,True
N1572,narrower_than,True,False,True
N1525,related_to,True,False,False
N1081,uncertain,True,False,True
N0702,uncertain,True,True,True
N1339,related_to,True,False,True
N1381,broader_than,True,False,True
N1225,related_to,True,True,True
N1594,narrower_than,True,True,True
N0835,equivalent_to,True,True,True
N0328,equivalent_to,True,False,True
N1497,related_to,True,True,True
N1027,uncertain,True,False,True
N1145,uncertain,True,True,True
N0187,uncertain,True,True,True
N1445,broader_than,True,True,True
N1590,broader_than,True,False,False
N1501,broader_than,True,True,True
N0315,equivalent_to,True,False,True
N0879,related_to,True,False,True
N0839,distinct_from,True,False,True
N0626,broader_than,True,True,True
N1187,related_to,True,False,True
N1665,related_to,True,False,True
N0748,distinct_from,True,False,True
N0919,narrower_than,True,True,True
N0454,equivalent_to,True,True,True
N1226,equivalent_to,True,True,True
N0179,equivalent_to,True,False,True
N0180,equivalent_to,True,True,True
N0900,equivalent_to,True,True,True
N1373,broader_than,True,False,True
N1519,equivalent_to,True,False,True
N0181,equivalent_to,True,True,True
N0182,equivalent_to,True,True,True
N0183,equivalent_to,True,False,True
N1274,equivalent_to,True,True,True
N0104,uncertain,True,True,True
N0605,uncertain,True,True,True
N0309,uncertain,True,False,True
N0876,related_to,False,False,False
N0601,equivalent_to,True,True,True
N1437,distinct_from,True,False,True
N1275,uncertain,True,True,True
N0619,uncertain,True,True,True
N1533,distinct_from,True,True,True
N1131,uncertain,True,True,True
N1007,uncertain,True,True,True
N0476,equivalent_to,True,False,True
N0873,related_to,True,False,False
N0477,equivalent_to,True,False,True
N0806,broader_than,False,False,False
N1060,broader_than,False,False,False
N0686,related_to,False,False,False
N0478,equivalent_to,True,False,True
N0716,broader_than,False,False,False
N0479,uncertain,True,False,True
N0480,equivalent_to,True,False,True
N0481,equivalent_to,True,False,True
N0482,equivalent_to,True,False,True
N0483,equivalent_to,True,True,True
N0813,broader_than,True,False,False
N0484,equivalent_to,True,False,True
N1649,narrower_than,False,False,False
N0485,uncertain,True,False,True
N0486,related_to,True,False,True
N0487,equivalent_to,True,False,True
N0595,equivalent_to,True,False,True
N0488,equivalent_to,True,False,True
N1109,broader_than,True,False,True
N0489,equivalent_to,True,False,True
N0490,equivalent_to,True,False,True
N0491,equivalent_to,True,False,True
N1259,equivalent_to,True,False,False
N0904,broader_than,True,False,False
N1662,broader_than,True,False,True
N1277,related_to,False,False,False
N1048,broader_than,True,False,False
N0930,broader_than,True,False,True
N0492,equivalent_to,True,False,True
N0493,equivalent_to,True,False,True
N0494,uncertain,True,False,True
N1650,related_to,False,False,False
N0495,equivalent_to,True,False,True
N1240,equivalent_to,True,False,True
N0990,uncertain,True,True,True
N1234,related_to,False,False,False
N0658,uncertain,True,False,True
N1144,related_to,True,False,True
