method,source,source_label,source_role,target,target_label,target_role,rank,score,source_context,target_context
bm25,TG:P0056:conversion,Record-high thermoelectric conversion performance,performance_function,TG:P0045:performance,Hydrogel thermoelectric performance,performance_function,10,9.063130137032978,"Herein, record-high thermoelectric conversion performances are achieved in the aqueous ferri/ferrocyanide ([Fe(CN)6]3-/[Fe(CN)6]4-) based TGC by using the electrode of cobaltous oxide nanowires array on carbon cloth fiber.","The thermoelectric performance of the proposed hydrogel is highly dependent on the ion concentration, which is attributed to the confined ion transportation in micro/nano channels caused by the salting out effect."
bm25,TG:P0063:cell,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,material_entity,TG:P0067:g,Gel electrolyte thermogalvanic generator with Fe3+/Fe2+,material_entity,1,11.387640399462624,"Among these, the tetramethylene sulfone-Fe2+/Fe3+ hydrogel TG cell exhibits a Seebeck value of 2.49 mV K-1, which is the largest reported value for Fe2+/Fe3+ based TG cells to date.","To avoid the frangibility and complex preparation of traditional thermoelectric materials, we fabricated a gel electrolyte-based thermogalvanic generator with Fe3+/Fe2+ as a redox pair, which presents not only moderate thermoelectric performance but also excellent flexibility."
bm25,TG:P0063:cell,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,material_entity,TG:P0001:fe,Fe2+/Fe3+ cross-linking,interaction,2,11.219859823921759,"Among these, the tetramethylene sulfone-Fe2+/Fe3+ hydrogel TG cell exhibits a Seebeck value of 2.49 mV K-1, which is the largest reported value for Fe2+/Fe3+ based TG cells to date.",This was achieved by a thermogalvanic cell (TGC) dressing composed of Fe2+/Fe3+ cross-linked alginate hydrogel reinforced by nanofibres.
bm25,TG:P0063:cell,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,material_entity,TG:P0017:redox,Fe2+/Fe3+ redox couple,material_entity,3,11.219859823921759,"Among these, the tetramethylene sulfone-Fe2+/Fe3+ hydrogel TG cell exhibits a Seebeck value of 2.49 mV K-1, which is the largest reported value for Fe2+/Fe3+ based TG cells to date.","Here, we present a self-powered in-nostril hydrogel sensor for long-term non-irritant anti-interference respiratory monitoring, which is developed from a dual-network binary-solvent thermogalvanic polyvinyl alcohol hydrogel fiber (d = 500 mu m, L=30 mm) with Fe2+/Fe3+ ions serving as a redox couple, which can generate a thermoelectrical signal in the nasal cavity based on the temperature difference between the exhaled gas and skin as well as avoid interference from the external environment."
bm25,TG:P0063:cell,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,material_entity,TG:P0183:alpha,Fe3+/Fe2+ thermopower a,quantity,4,11.219859823921759,"Among these, the tetramethylene sulfone-Fe2+/Fe3+ hydrogel TG cell exhibits a Seebeck value of 2.49 mV K-1, which is the largest reported value for Fe2+/Fe3+ based TG cells to date.","This work applies molecular dynamics simulations to predict the thermopower (i.e. thermogalvanic temperature coefficient) a of the redox pairs Fe(CN)(6)(3-)/ Fe(CN)(6)(4-) and Fe3+/Fe2+, showing excellent agreement with experimental values."
bm25,TG:P0063:cell,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,material_entity,TG:P0204:el,Fe2+/Fe3+ redox electrolyte,material_entity,5,11.219859823921759,"Among these, the tetramethylene sulfone-Fe2+/Fe3+ hydrogel TG cell exhibits a Seebeck value of 2.49 mV K-1, which is the largest reported value for Fe2+/Fe3+ based TG cells to date.","Here we report a direct thermal charging cell, using asymmetric electrodes of a graphene oxide/platinum nanoparticles cathode and a polyaniline anode in Fe2+/Fe3+ redox electrolyte via isothermal heating operation."
bm25,TG:P0063:cell,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,material_entity,TG:P0064:g,Conformal generator with Fe2+/Fe3+ hydrogel and MWCNT electrodes,material_entity,6,10.588392399657089,"Among these, the tetramethylene sulfone-Fe2+/Fe3+ hydrogel TG cell exhibits a Seebeck value of 2.49 mV K-1, which is the largest reported value for Fe2+/Fe3+ based TG cells to date.","We have manufactured a conformal thermogalvanic generator with Fe2+/Fe3+ electrolyte-based hydrogel and MWCNT (Multi-walled Carbon Nanotubes)-based electrodes, which presents not only outstanding thermoelectric performance but also perfect flexibility and stretchability."
bm25,TG:P0063:cell,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,material_entity,TG:P0142:migration,Directional migration of Fe2+/Fe3+ ions,mechanism_process,7,9.582267713167028,"Among these, the tetramethylene sulfone-Fe2+/Fe3+ hydrogel TG cell exhibits a Seebeck value of 2.49 mV K-1, which is the largest reported value for Fe2+/Fe3+ based TG cells to date.",In situ Raman spectroscopy and low-field solid-state nuclear magnetic resonance (NMR) analysis reveal the directional migration behavior of Fe2+/Fe3+ ions under a thermal gradient and their dynamic coupling with polymer chain motion.
bm25,TG:P0063:cell,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,material_entity,TG:P0142:redox,Temperature-dependent Fe2+/Fe3+ redox reactions,mechanism_process,8,9.582267713167028,"Among these, the tetramethylene sulfone-Fe2+/Fe3+ hydrogel TG cell exhibits a Seebeck value of 2.49 mV K-1, which is the largest reported value for Fe2+/Fe3+ based TG cells to date.","By tailoring the synergistic coordination between Fe2+/Fe3+ redox couples and carboxyl (& horbar;COOH) groups in the polymer network, the gel functions as a thermogalvanic electrolyte, and its voltage generation is driven by temperature-dependent redox reactions of Fe2+/Fe3+."
bm25,TG:P0063:cell,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,material_entity,TG:P0003:balance,Balancing thermodiffusion and thermogalvanic effects in Fe2+/3+ hydrogel,design_strategy,9,8.761666925377552,"Among these, the tetramethylene sulfone-Fe2+/Fe3+ hydrogel TG cell exhibits a Seebeck value of 2.49 mV K-1, which is the largest reported value for Fe2+/Fe3+ based TG cells to date.","In this work, a n-type i-TEG with both high thermopower and energy density was achieved by balancing thermodiffusion effect and thermogalvanic effect in the hydrogel with the Fe2+/3+ redox couple."
bm25,TG:P0063:cell,Tetramethylene sulfone-Fe2+/Fe3+ hydrogel thermogalvanic cell,material_entity,TG:P0013:h,Thermogalvanic hydrogel,material_entity,10,8.417960228066391,"Among these, the tetramethylene sulfone-Fe2+/Fe3+ hydrogel TG cell exhibits a Seebeck value of 2.49 mV K-1, which is the largest reported value for Fe2+/Fe3+ based TG cells to date.","Additionally, the hydrogel leverages a double network structure and phytic acid with rich hydrogen ions, achieving a trade-off between mechanical (1.07 MPa) and electrical (34.4 mS cm-1) properties."
bm25,TG:P0069:light,Light intensity,quantity,TG:P0069:monitor,Active light intensity monitoring,application,1,13.193166932787122,"Via the subtle photo-thermal-electric conversion, we can achieve the active monitoring for light intensity due to a strong correlation between output voltages and the light intensity.","Via the subtle photo-thermal-electric conversion, we can achieve the active monitoring for light intensity due to a strong correlation between output voltages and the light intensity."
bm25,TG:P0069:light,Light intensity,quantity,TG:P0069:platform,Light intensity monitoring platform,material_entity,2,13.193166932787122,"Via the subtle photo-thermal-electric conversion, we can achieve the active monitoring for light intensity due to a strong correlation between output voltages and the light intensity.","Further, we have designed a light intensity moni-toring platform, through which the user terminal can receive the light intensity information in real time."
bm25,TG:P0069:light,Light intensity,quantity,TG:P0069:sensor,Vertical self-powered light intensity sensor,material_entity,3,11.267561227897787,"Via the subtle photo-thermal-electric conversion, we can achieve the active monitoring for light intensity due to a strong correlation between output voltages and the light intensity.","In this paper, a self -powered vertical stretchable environment-friendly light intensity sensor has been realized by combining the electrolyte-based thermogalvanic gel and organic carbon sponge that is prepared by making the mixture of carbon nanotubes and polydimethylsiloxane porous."
bm25,TG:P0069:light,Light intensity,quantity,TG:P0069:real,Real-time reception of light intensity information at user terminal,application,4,8.721633210512117,"Via the subtle photo-thermal-electric conversion, we can achieve the active monitoring for light intensity due to a strong correlation between output voltages and the light intensity.","Further, we have designed a light intensity moni-toring platform, through which the user terminal can receive the light intensity information in real time."
bm25,TG:P0069:light,Light intensity,quantity,TG:P0152:corrosion,Thermogalvanic corrosion intensity,quantity,5,7.380047050329846,"Via the subtle photo-thermal-electric conversion, we can achieve the active monitoring for light intensity due to a strong correlation between output voltages and the light intensity.","The effect of traditional inhibitors of acid corrosion (urotropine, benzotriazole, and thiocarbamide) on the corrosion-electrochemical behavior of an iron plate with a tangential thermal gradient in a sulfate-containing acid solution is examined."
bm25,TG:P0069:light,Light intensity,quantity,TG:P0069:abs,Effective light absorption,mechanism_process,6,7.045794952832962,"Via the subtle photo-thermal-electric conversion, we can achieve the active monitoring for light intensity due to a strong correlation between output voltages and the light intensity.",The upper photothermal layer can absorb light effectively and converts it into heat that trigger the lower thermogalvanic layer to send thermovoltage signals.
bm25,TG:P0069:light,Light intensity,quantity,TG:P0069:heat,Light-to-heat conversion,mechanism_process,7,6.443738186411158,"Via the subtle photo-thermal-electric conversion, we can achieve the active monitoring for light intensity due to a strong correlation between output voltages and the light intensity.",The upper photothermal layer can absorb light effectively and converts it into heat that trigger the lower thermogalvanic layer to send thermovoltage signals.
bm25,TG:P0069:light,Light intensity,quantity,TG:P0051:monitor,Solar intensity monitoring in greenhouses,application,8,6.218097936704689,"Via the subtle photo-thermal-electric conversion, we can achieve the active monitoring for light intensity due to a strong correlation between output voltages and the light intensity.","Successful applications of non-contact self-powered electronics based on photo-thermal-electric (PTE) conversion include remote-controlled small electronics, wireless information interaction, and solar intensity monitoring in greenhouses."
bm25,TG:P0069:light,Light intensity,quantity,TG:P0189:conv,Natural convection intensity and forms,mechanism_process,9,6.218097936704689,"Via the subtle photo-thermal-electric conversion, we can achieve the active monitoring for light intensity due to a strong correlation between output voltages and the light intensity.","Firstly, a multi-physical model considering the diffusion, migration and convection was established and validated."
bm25,TG:P0069:light,Light intensity,quantity,TG:P0182:led,Lighting a light-emitting diode,application,10,5.936472052261079,"Via the subtle photo-thermal-electric conversion, we can achieve the active monitoring for light intensity due to a strong correlation between output voltages and the light intensity.","Furthermore, the thermocell shows the potential to light up a light-emitting diode and stably works when compressed, bent, and stretched in a wide temperature range."
bm25,TG:P0084:spatial,Precise pressure spatial-distribution detection,performance_function,TG:P0084:magnitude,Precise pressure-magnitude detection,performance_function,1,19.319866400372703,"Leveraging its high sensitivity, a self-powered human-machine interaction (HMI) system was developed to remotely control robotic hands and intelligent vehicles, while a 3 & times; 3 sensor array enables precise detection of pressure magnitude and spatial distribution.","Leveraging its high sensitivity, a self-powered human-machine interaction (HMI) system was developed to remotely control robotic hands and intelligent vehicles, while a 3 & times; 3 sensor array enables precise detection of pressure magnitude and spatial distribution."
bm25,TG:P0084:spatial,Precise pressure spatial-distribution detection,performance_function,TG:P0019:detect,Active high-accuracy pressure detection,mechanism_process,2,11.020002666324846,"Leveraging its high sensitivity, a self-powered human-machine interaction (HMI) system was developed to remotely control robotic hands and intelligent vehicles, while a 3 & times; 3 sensor array enables precise detection of pressure magnitude and spatial distribution.","With the help of deep learning algorithms, a selfpowered recognition for sign language and objects is realized in wearable/portable scenarios by active highaccuracy pressure detection."
bm25,TG:P0084:spatial,Precise pressure spatial-distribution detection,performance_function,TG:P0143:detection,Simultaneous pressure and temperature detection,application,3,11.020002666324846,"Leveraging its high sensitivity, a self-powered human-machine interaction (HMI) system was developed to remotely control robotic hands and intelligent vehicles, while a 3 & times; 3 sensor array enables precise detection of pressure magnitude and spatial distribution.",Here we report a multifunctional tactile sensor fabricated from ionic thermoelectric gelatin that achieves simultaneous pressure and temperature detection.
bm25,TG:P0084:spatial,Precise pressure spatial-distribution detection,performance_function,TG:P0158:resolution,Millimeter-level temperature and pressure spatial resolution,performance_function,4,10.301505694716845,"Leveraging its high sensitivity, a self-powered human-machine interaction (HMI) system was developed to remotely control robotic hands and intelligent vehicles, while a 3 & times; 3 sensor array enables precise detection of pressure magnitude and spatial distribution.",The reduction in hydrogel thickness effectively eliminates crosstalk between pixels and achieves millimeter-level spatial resolution of both temperature and pressure.
bm25,TG:P0084:spatial,Precise pressure spatial-distribution detection,performance_function,TG:P0158:mapping,High-resolution spatial mapping of temperature and pressure,performance_function,5,9.645478958615818,"Leveraging its high sensitivity, a self-powered human-machine interaction (HMI) system was developed to remotely control robotic hands and intelligent vehicles, while a 3 & times; 3 sensor array enables precise detection of pressure magnitude and spatial distribution.","Herein, we proposed a hydrogel e-skin that realizes high-resolution spatial mapping of temperature and pressure by constructing an electrode array-thermogalvanic hydrogel (TG hydrogel)-electrode array sandwich structure."
bm25,TG:P0084:spatial,Precise pressure spatial-distribution detection,performance_function,TG:P0079:map,Heat flux map of thermal-input intensity and spatial distribution,performance_function,6,8.864933600281248,"Leveraging its high sensitivity, a self-powered human-machine interaction (HMI) system was developed to remotely control robotic hands and intelligent vehicles, while a 3 & times; 3 sensor array enables precise detection of pressure magnitude and spatial distribution.","Upon human finger contact, the array generated a heat flux map capturing both the intensity and spatial distribution of the thermal input."
bm25,TG:P0084:spatial,Precise pressure spatial-distribution detection,performance_function,TG:P0075:spatial,Spatial perception,application,7,8.290080823037139,"Leveraging its high sensitivity, a self-powered human-machine interaction (HMI) system was developed to remotely control robotic hands and intelligent vehicles, while a 3 & times; 3 sensor array enables precise detection of pressure magnitude and spatial distribution.","Combined with unit array integration, the multifunctional sensor can be used for accurately recording tactile information on human skin and spatial perception."
bm25,TG:P0084:spatial,Precise pressure spatial-distribution detection,performance_function,TG:P0143:pressure,Applied pressure,condition,8,7.319906079345699,"Leveraging its high sensitivity, a self-powered human-machine interaction (HMI) system was developed to remotely control robotic hands and intelligent vehicles, while a 3 & times; 3 sensor array enables precise detection of pressure magnitude and spatial distribution.","In addition, by applying pressure, the thermoelectric effect of this ionic thermoelectric gelatin can be changed (the thermopower of the ionic thermoelectric gelatin increases from 1.21 mV/K to 1.67 mV/K, representing a 38 % increase), so as to enable the sensor to sense external forces."
bm25,TG:P0084:spatial,Precise pressure spatial-distribution detection,performance_function,TG:P0147:pressure,Finger pressure,condition,9,7.319906079345699,"Leveraging its high sensitivity, a self-powered human-machine interaction (HMI) system was developed to remotely control robotic hands and intelligent vehicles, while a 3 & times; 3 sensor array enables precise detection of pressure magnitude and spatial distribution.","In this study, a finger temperature-driven thermoelectric gelbased smart pen has been invented for identity recognition, stroke analysis, and grip posture assessment by coupling thermogalvanic and piezoresistive effects derived from finger temperature and pressure on a PVA/ gelatin gel."
bm25,TG:P0084:spatial,Precise pressure spatial-distribution detection,performance_function,TG:P0158:ps,Pressure sensing,performance_function,10,7.319906079345699,"Leveraging its high sensitivity, a self-powered human-machine interaction (HMI) system was developed to remotely control robotic hands and intelligent vehicles, while a 3 & times; 3 sensor array enables precise detection of pressure magnitude and spatial distribution.","This hydrogel e-skin achieves temperature and pressure dual sensing through the thermogalvanic and piezoresistive effect of the redox couple in the horizontal and vertical directions, respectively."
bm25,TG:P0090:d,Highly soluble amide derivative,descriptor,TG:P0131:n2,Highly alloyed stainless steel,descriptor,1,7.012738207432735,"Here, we introduce strong chaotropic cations (guanidinium) and highly soluble amide derivatives (urea) into aqueous ferri/ferrocyanide ([Fe(CN)(6)](4-)/[Fe(CN)(6])(3-)) electrolytes to significantly boost their thermopowers.","Corrosion resistance of Alloy 31, a highly alloyed stainless steel (UNS N08031) were studied in heavy brine LiBr solutions (400, 700 and 992 g/l) at different temperatures using electrochemical techniques."
bm25,TG:P0090:d,Highly soluble amide derivative,descriptor,TG:P0072:product,Water-soluble ox-PTAm polyelectrolyte,material_entity,2,6.98488607058787,"Here, we introduce strong chaotropic cations (guanidinium) and highly soluble amide derivatives (urea) into aqueous ferri/ferrocyanide ([Fe(CN)(6)](4-)/[Fe(CN)(6])(3-)) electrolytes to significantly boost their thermopowers.","Through the electrochemical oxidation of low-molecular-weight PTAm, which is initially water-insoluble, a water-soluble polyelectrolyte (ox-PTAm) is formed, containing both TEMPO and oxoammonium species, as indicated by cyclic voltammetry."
bm25,TG:P0090:d,Highly soluble amide derivative,descriptor,TG:P0277:fe,Water-soluble Fe2+/3+ redox couple,material_entity,3,6.4751473348450395,"Here, we introduce strong chaotropic cations (guanidinium) and highly soluble amide derivatives (urea) into aqueous ferri/ferrocyanide ([Fe(CN)(6)](4-)/[Fe(CN)(6])(3-)) electrolytes to significantly boost their thermopowers.",The n-type feature of the water-soluble Fe2+/3+ redox couple is essential for constructing the TEC p-n leg device;
bm25,TG:P0090:d,Highly soluble amide derivative,descriptor,TG:P0095:c,"Soft, highly charged host character",descriptor,4,6.460679061424475,"Here, we introduce strong chaotropic cations (guanidinium) and highly soluble amide derivatives (urea) into aqueous ferri/ferrocyanide ([Fe(CN)(6)](4-)/[Fe(CN)(6])(3-)) electrolytes to significantly boost their thermopowers.","Here, we report two superabsorbent monolithic polymer hydrogel matrices designed through vessel-templated synthesis, which act as soft host materials for extremely high concentrations of redox-active ions, namely, [Fe(CN)(6)](3-/4-) and Fe2+/3+."
bm25,TG:P0090:d,Highly soluble amide derivative,descriptor,TG:P0123:n2,Highly alloyed austenitic stainless steel,descriptor,5,6.460679061424475,"Here, we introduce strong chaotropic cations (guanidinium) and highly soluble amide derivatives (urea) into aqueous ferri/ferrocyanide ([Fe(CN)(6)](4-)/[Fe(CN)(6])(3-)) electrolytes to significantly boost their thermopowers.","Thermogalvanic corrosion generated between two electrodes of Alloy 31, a highly-alloyed austenitic stainless steel (UNS N08031), has been investigated imposing different temperature gradients in three deaerated LiBr solutions, under open circuit conditions by using a zero-resistance ammeter (ZRA)."
bm25,TG:P0090:d,Highly soluble amide derivative,descriptor,TG:P0264:network,"Denser, highly crystalline polymer network",state_structure,6,6.460679061424475,"Here, we introduce strong chaotropic cations (guanidinium) and highly soluble amide derivatives (urea) into aqueous ferri/ferrocyanide ([Fe(CN)(6)](4-)/[Fe(CN)(6])(3-)) electrolytes to significantly boost their thermopowers.","This gel electrolyte is achieved by replacing water in freeze-thawed PVA hydrogels with a DES/[Fe(CN)6]3-/4- mixture, where the introduced DES liberates polymer chains from water-induced constraints, driving molecular rearrangement into a denser, highly crystalline network with intensified hydrogen bonding, yielding a 30-fold increase in tensile strength (7.17 MPa) and high compressive strength (8.99 MPa)."
