theme_id,insight_id,paper_id,year,insight_claim
ITE_THEME_3C1C4616E4,INSIGHT_0BDF3A91AC,P1474,2024,"temperature-gradient-driven ion-surface interactions, Soret effect, and thermoelectric transport intercalate NaCl ions and generate concentration-dependent voltage response"
ITE_THEME_C56DBDAD0E,INSIGHT_A56479BDB0,P0510,2024,interpenetrating ionic/electronic networks combine thermodiffusion and electronic Seebeck effects for continuous generation and high energy density
ITE_THEME_C56DBDAD0E,INSIGHT_28A428F754,P1813,2020,"hierarchical mesoporosity, CNT van Hove DOS, high surface area, and rapid ion transport enhance electronic/ionic Seebeck response in thermocells"
ITE_THEME_1518F2F4A0,INSIGHT_D2263D3F3C,P0677,2024,"pH modulates zwitterionic state and ionic Seebeck coefficient from n-type to p-type, enabling bipolar thermoelectricity"
ITE_THEME_1518F2F4A0,INSIGHT_FBEF0A59E7,P1109,2021,Cl- thermodiffusion changes conduction from p-type electronic to n-type ionic and produces giant negative Seebeck coefficient
ITE_THEME_030B8010D4,INSIGHT_BF5259CD93,P0608,2021,charged nanochannels drive ionic thermoelectric and streaming potentials
ITE_THEME_030B8010D4,INSIGHT_4CD22DC667,P0757,2022,temperature-gradient-induced ionic nanofluidic transport in nanochannels enhances ionic Seebeck coefficient and output power
ITE_THEME_EBC3766D2D,INSIGHT_EE7A41E7F8,P1242,2020,"temperature gradients affect thermodiffusion and electrical double layers, changing resistance, capacitance, noise, and Seebeck response"
ITE_THEME_47EDA2C551,INSIGHT_D44E64CC9B,P1899,2021,spin-state-dependent carrier density/diffusion and reverse micelle formation generate magnetic-field-free spin Seebeck response
ITE_THEME_5D36829F3A,INSIGHT_3561CAD423,P1075,2023,ionic Seebeck coefficient reflects phase-transition entropy and activation-energy differences for Cu-ion transport
ITE_THEME_5D36829F3A,INSIGHT_62CD39D375,P1160,2004,"phase transitions alter Cu/Li site disorder, ionic conductivity, chemical diffusion, and ionic Seebeck coefficient"
ITE_THEME_F513DC8962,INSIGHT_96097E805A,P0542,2024,anion identity tunes hydrogel thermoelectric performance
ITE_THEME_F513DC8962,INSIGHT_4232D95EB4,P0816,2025,electronic thermoelectric LIG and ionic thermoelectric hydrogel combine for self-powered temperature-strain sensing and thermoelectric generation
ITE_THEME_03CC526CA1,INSIGHT_EE38092D0A,P0717,1996,negative thermoelectric power identifies Ag+ as the mobile species and heat of transport reflects the ion-hopping barrier
ITE_THEME_03CC526CA1,INSIGHT_A018CD6058,P1108,2025,"Ag vacancies disrupt Ag-S bonds at low strain, reducing strength and ductility while affecting fast-ionic thermoelectric design"
ITE_THEME_7E9D5EF8FE,INSIGHT_D070C94CE0,P0919,2022,"selective ion localization and thermo-osmotic transport regulate anion mobility, producing ultrahigh ionic thermopower"
ITE_THEME_7E9D5EF8FE,INSIGHT_9CF975448A,P1057,2025,"coupled heat and moisture gradients drive fast selective ion transport, increasing ionic thermopower and output energy"
ITE_THEME_7E9D5EF8FE,INSIGHT_584BC35F5A,P1120,2025,preintroduced ion-concentration gradient couples with temperature gradient to lower cation migration barrier and enhance ionic thermopower
ITE_THEME_FDFAA0E0F6,INSIGHT_EA45091A0E,P1730,2024,"linkage-controlled electrostatic potential and short-range ionic screening tune ion-membrane interactions, permselectivity, and ionic thermoelectric output"
ITE_THEME_77B2472A04,INSIGHT_4FB4CC74C8,P0911,2009,direct ionic thermoelectric effect in oxygen-ion-conducting YSZ creates pO2-dependent thermopower under a temperature gradient
ITE_THEME_49F715837F,INSIGHT_538E4A6C2A,P1553,2020,"Cu2+ binds PSS and forms Cl- channels, converting PEDOT:PSS from p-type to n-type ionic thermoelectric behavior"
ITE_THEME_68A1BB4869,INSIGHT_44026EF8D4,P1542,2022,"oxygen functional groups strengthen ion-electrode interactions and charge transfer, raising ionic Seebeck coefficient and capacitance"
ITE_THEME_29705B85AC,INSIGHT_35DB56E2F6,P0882,2025,BMIM:Cl improves strain and ion mobility while CaCl2 enhances negative thermopower for recyclable ionic thermoelectric supercapacitor
ITE_THEME_EB0020F55B,INSIGHT_0F148E8316,P0720,2019,thermodiffusion-assisted pyroelectric device combines rapid pyroelectric response with stable ionic thermoelectric signal through ion-electron interfacial interactions
ITE_THEME_389644731A,INSIGHT_544CE90921,P1381,2021,"PSS content creates temperature-dependent cation concentration differences and interfacial potential drops, adding electrode-interface thermopower to bulk electrolyte contribution"
ITE_THEME_D1A2B44861,INSIGHT_1EABF5EE86,P1372,2025,ionic hydrogel provides stretchable transparent Seebeck response and conductivity
ITE_THEME_4A1B7F48CD,INSIGHT_6CDA1D90E1,P0341,2025,"reversible hydrogen bonds, PVA crystalline segments, hydrogen bonding, ion-dipole interactions, and other noncovalent interactions form a dynamic self-healing stretchable network"
ITE_THEME_4A1B7F48CD,INSIGHT_A25D95DF64,P0368,2024,reversible hydrogen bonding gives mechanical strength and self-healing
ITE_THEME_E0AB485B23,INSIGHT_4F25FA54F6,P1409,2021,temperature-dependent hydration free energy and diffusion produce ion-specific Soret coefficients and thermoelectric fields quantified by Seebeck coefficients
ITE_THEME_679623E93F,INSIGHT_D4F15AC874,P0708,2021,ionic liquid harvests temperature fluctuation through ion accumulation variation/Soret effect while SWNT electronic network harvests temperature gradient through Seebeck effect
ITE_THEME_2C74FDB7EF,INSIGHT_CC3BEBE85F,P0653,2018,nanoparticle thermodiffusion includes Eastman entropy transfer and thermoelectric contributions from charged ionic shells
ITE_THEME_2C74FDB7EF,INSIGHT_2D39877D76,P1584,2019,thermodiffusion inversion arises from changing nanoparticle Eastman entropy and free-ion thermoelectric contributions across solvent composition
ITE_THEME_B4431BFF65,INSIGHT_26D6C5F1F3,P0348,2025,cross-linking and amine functionalization transform lignin hydrogel from p-type to n-type; KCl infiltration provides high ionic conductivity and negative thermopower
ITE_THEME_B4431BFF65,INSIGHT_408BC8545A,P0352,2024,"lignin hydrogel composition, crosslinker/electrolyte type, and KOH concentration tune ionic conductivity and Seebeck coefficient for sustainable ionic thermoelectric conversion"
ITE_THEME_B6DCB23B87,INSIGHT_86C149C016,P1353,2015,"nanoparticles migrate along ionic thermoelectric fields under thermal gradients, with thermoelectrophoresis and double-layer energy controlling Soret coefficient"
ITE_THEME_B6DCB23B87,INSIGHT_56F1C2D24A,P1700,2010,thermal-gradient-induced ionic migration creates thermoelectric fields that can reverse colloid thermophoresis depending on electrolyte composition
ITE_THEME_B6DCB23B87,INSIGHT_497756DC69,P1852,2025,"collective colloid interactions, enslaved ion fluxes, heat of transfer, and thermoelectric fields determine thermophoresis/Soret behavior"
ITE_THEME_2CEBDC40A5,INSIGHT_F707193247,P0705,2023,"ionic thermodiffusion in polyelectrolyte gates nanowire conductance, enabling extraction of local ionic diffusion parameters"
ITE_THEME_5FFB872440,INSIGHT_BF1917BB27,P1189,2015,polymer scaffold traps mobile ions and polymer-chain breathing enhances ionic conductivity and small thermoelectric response
ITE_THEME_2F968F2A7E,INSIGHT_C99A91B700,P0650,2019,"polymer-chain breathing dissociates ionic-liquid aggregates, increasing ionic conductivity"
ITE_THEME_0636FFE5EE,INSIGHT_C87BAAB68F,P1488,2005,hole trapping affects ionic thermopower through thermodynamic factors and electronic thermopower through trapped-hole conductivity contributions
ITE_THEME_43325CA01A,INSIGHT_BCE1E8FA72,P0786,2022,overlapping electric double layers and Poisson-Nernst-Planck ion transport under confinement enhance ionic thermopower
ITE_THEME_5792A9C847,INSIGHT_62665D18CF,P0587,2022,ion-cellulose and ion-ion interactions in confined bacterial cellulose network drive high ionic thermovoltage and conductivity
ITE_THEME_46DEDD7D03,INSIGHT_3E720AD021,P1372,2025,TE plus triboelectric mechanisms enable recyclable dual-mode temperature/pressure sensing
ITE_THEME_1A4B1B80C4,INSIGHT_F930511F0A,P0608,2021,light absorption and low thermal conductivity create thermal gradient and evaporation
ITE_THEME_D3E671FC71,INSIGHT_A6FD6A3DCE,P0625,2021,"cation softness controls binding to PSS- and cation thermal diffusion, tuning Seebeck coefficient from negative to positive"
ITE_THEME_E7C3F2953C,INSIGHT_513BBAC212,P1375,2025,"more electrode layers shorten ion diffusion distance, increase surface area, accelerate ion reaction/recovery, and boost thermal charging and power output"
ITE_THEME_6288D5DE46,INSIGHT_F5256D7F6B,P0872,2018,CNT concentration and chemical reduction tune electronic versus ionic thermopower
ITE_THEME_2CD5DBDD4B,INSIGHT_13AEA623B2,P0605,2023,ionic liquid engineering reduces PVA crystal size and creates nanoscale network microstructure that improves ion transport and mechanics
ITE_THEME_C1B6A098C0,INSIGHT_7F357E2E3E,P0377,2024,bulk-water evaporation changes carrier motion dimensionality and contributes to n-type/p-type transition
ITE_THEME_A108461065,INSIGHT_B1EA242A2A,P0400,2022,PEDOT:PSS polyanions cause Donnan exclusion and negative thermopower
ITE_THEME_7CCE777417,INSIGHT_134AFB3BD6,P0354,2025,"antisolvent-doping-hybrid strategy lowers crystallinity and improves ion dissociation, migration, and cation-anion diffusion difference"
ITE_THEME_F6964092A6,INSIGHT_14007BD2E3,P0776,2012,heat of transport from thermopower relates to ion-conduction activation energy through participation of different phonon modes
ITE_THEME_6B66917B1A,INSIGHT_3B5E508B44,P0918,2024,clay ion transport gives high Seebeck coefficient
ITE_THEME_5DE500EBA2,INSIGHT_5A8C084102,P0611,2023,WPU hydrogen bonding accommodates ionic liquid; Laponite cation exchange releases Na+ and increases cation/anion thermophoretic mobility difference
ITE_THEME_63C4D61B06,INSIGHT_9CE3096764,P0369,2024,"porosity, pore connectivity, and cement-matrix specific surface area govern ionic Seebeck coefficient"
ITE_THEME_69F2924914,INSIGHT_02BF2C3D9D,P1245,2018,light-induced thermal fields trap particles through solvent layered structures at particle-solvent interfaces rather than ionic thermoelectric forces
ITE_THEME_23D22FFAF6,INSIGHT_F6D7A6ED38,P1345,2023,"Zn2+-cellulose coordination, hydrogen bonding, and ion-dipole interactions strengthen gel while confined nanostructure favors Cl- transport for n-type ionic thermopower"
ITE_THEME_A61605BDCA,INSIGHT_28536B0B0A,P0560,2022,molecular-dynamics Eastman entropy analysis guides p/n thermopower tuning in solid polymer ion transport
ITE_THEME_2EC5BE92BB,INSIGHT_E90F253152,P0578,2022,ion ability to influence PVA hydrogen bonding determines thermoelectric performance
ITE_THEME_24C33F6052,INSIGHT_0816985A0C,P0650,2019,ionic-liquid diffusion gives positive ionic Seebeck coefficient
ITE_THEME_698E78BDA3,INSIGHT_E0BFFB06D1,P0609,2022,NaCl provides ionic thermovoltage while CaCl2 creates second crosslinking network for stretchable self-powered hydrogel sensor
ITE_THEME_1F84F701F8,INSIGHT_53494A89E9,P0970,2025,hierarchical hydrogen and coordination bonds strengthen elastomer and enable n-type ionic thermopower for strain-temperature sensing
ITE_THEME_F99FCC0D87,INSIGHT_C0D2B6F333,P1339,2022,"ionic thermopower converts temperature gradients/fire heating into voltage while flame-retardant hydrogel network enables fire warning, self-extinguishing, adhesion, and strain sensing"
ITE_THEME_6A8581EF47,INSIGHT_5C4E09E639,P0872,2018,CNT embedding promotes carrier mobility and dual electronic/ionic conduction
ITE_THEME_658864E5F5,INSIGHT_43B29F40CD,P0369,2024,finer pore distribution increases thermoelectric voltage
ITE_THEME_658864E5F5,INSIGHT_33031C5BEC,P0393,2023,ions in pore solution generate ionic thermoelectric effect
ITE_THEME_658864E5F5,INSIGHT_0C4601A11E,P0741,2024,ionic thermoelectric behavior arises from pore solution chemistry; intrinsic voltage must be excluded from Seebeck measurement
ITE_THEME_895CE82A8B,INSIGHT_E9E86DA6D0,P0497,2025,"water-content regulation hydrates BMIM cations and swells cellulose ionogel, promoting ion diffusion and cation/anion mobility difference"
ITE_THEME_5C6860B4CA,INSIGHT_38F761A55A,P0511,2025,"additives tailor PVA ionogel crystallinity, improving ionic figure of merit and mechanical properties"
ITE_THEME_167194588D,INSIGHT_5E2A59964D,P0540,2025,hydrogen-bond networks in PA/OPBI support proton hopping and stable high-temperature ionic conductivity for thermopower above 100 C
ITE_THEME_E936EB9245,INSIGHT_8F1A2CB23D,P0670,2025,"photopolymerization and hydrogen-bonding networks immobilize imidazolium cations while enabling chloride transport, creating cation-anion mobility disparity"
ITE_THEME_571FF5910D,INSIGHT_E3EE3E4519,P0407,2025,hydrophilic-hydrophobic dual network improves thermoelectric and mechanical properties
ITE_THEME_C12E50D88E,INSIGHT_9908DCDC55,P0616,2022,"multiple ions enhance ionic thermopower through multi-ion thermal diffusion, giving higher thermovoltage than single-salt hydrogels"
ITE_THEME_63ABD9C182,INSIGHT_23F6CF3DAD,P0564,2023,ion steric effect coupled with ion thermodiffusion in electric double layers enhances nanochannel Seebeck coefficient
ITE_THEME_84D052A8E4,INSIGHT_4B416D40B5,P0849,2024,iTEG harvests PV waste heat through ionic thermoelectric conversion while cooling the solar panel to reduce temperature-related PCE loss
ITE_THEME_3FD771C72E,INSIGHT_2E12EE9164,P0938,2024,water and thermal gradients drive streaming potential from ionic electrokinetics and ionic thermoelectric potential from Soret effect
ITE_THEME_B74BA77F1C,INSIGHT_1297182E6A,P0620,2022,"absorbed atmospheric water creates hydrovoltaic voltage from water concentration differences, enhancing apparent ionic Seebeck coefficient"
ITE_THEME_51E0A695F5,INSIGHT_5E3994D3E0,P0729,2021,ionic thermoelectric power gives thermal diffusion coefficients; alkali ion type and Nb2O5 content affect heat of transport and Soret coefficient
ITE_THEME_DE8530AB5D,INSIGHT_2849A90F36,P0545,2024,Ni-foam-CNT electrodes stabilize output and improve capacitance/resistance
ITE_THEME_D263131F5A,INSIGHT_7DFF4F25D9,P0558,2022,skin-temperature-triggered adhesion supports wearable contact; ionic hydrogel thermopower enables body heat harvesting and sensing
ITE_THEME_4F0F979A00,INSIGHT_37A5CBCA0E,P0600,2019,ion-polymer matrix interactions tune magnitude and sign of ionic Seebeck coefficient from negative to positive for printed thermopiles
ITE_THEME_F89C1C48E7,INSIGHT_215BABB0C4,P0446,2025,temperature-sensitive phase transition sharply increases Seebeck coefficient and enables simultaneous smart-window switching and thermoelectric generation
ITE_THEME_2D470B0360,INSIGHT_B1FB7EA80E,P0455,2023,"pressure improves carrier concentration in alpha-Ag2S but hinders ion transfer in beta-Ag2S, oppositely tuning conductivity and Seebeck coefficient"
ITE_THEME_026306EA7C,INSIGHT_8A1A679FCA,P0385,2023,2D nanofluidic channels enable temperature-gradient-driven proton transport
ITE_THEME_BEC4039314,INSIGHT_E28B5E0262,P0377,2024,ions in geopolymer channels dominate electrical conductivity
ITE_THEME_F0C225B303,INSIGHT_2D54445740,P0392,2021,"aligned GO promotes proton/water diffusion along GO planes, increasing ionic thermopower and conductivity"
ITE_THEME_F138C91C65,INSIGHT_5028D04E75,P1096,2020,"photothermal MXene heating drives cation-selective diffusion potentials across subnanometer channels, producing ionic Seebeck response"
ITE_THEME_FA18F01E1D,INSIGHT_0B65A54D49,P0397,2022,"carboxylated cellulose coordinates Cu2+ and converts Cu2+/Cl- motion into higher-heat transport of [CuCl4]2- anions, producing giant n-type thermopower"
ITE_THEME_340E490195,INSIGHT_C1FDE5487A,P0408,2024,"ion-size difference, covalently cross-linked PAM network, and electrode-dependent effects promote cation transport and ion concentration difference"
ITE_THEME_2377E6A94C,INSIGHT_217CBC1BC3,P0694,2023,"PIL-based ionogel combines ionic conductivity, thermoelectric fire sensing, flame retardancy, and thermoelectric-capacitor/galvanic output"
ITE_THEME_BD87A8400B,INSIGHT_FA29493859,P0404,2022,"temperature gradient regulates ion migration and creates a cation-enriched hydrogel surface, increasing induction charges and TENG output"
ITE_THEME_C76F1E02D8,INSIGHT_3E6FBD80A1,P0487,2021,DCA-induced structural reorganization increases electronic Seebeck contribution relative to ionic contribution and can switch PANI-PAAMPSA polarity
ITE_THEME_D1F0998B94,INSIGHT_39CF2C90B3,P0344,2025,"electronegative CMC-Na induces Manning counterion condensation, improving selective ion migration and Seebeck coefficient"
ITE_THEME_532A8D6520,INSIGHT_2E04AF0B9E,P0347,2025,reconstructed lignocellulose ion channels enriched with negative charges and fixed anions promote rapid selective cation migration under a temperature gradient
ITE_THEME_8C66637312,INSIGHT_DFDFCDB347,P0336,2025,"PVA hydroxyl groups coordinate with Cu2+; PVA and PMNT form hydrophobic associations and pi-pi stacking, enhancing thermophoretic difference between chloride anions and cations"
ITE_THEME_8F97FFCD02,INSIGHT_E741D6BAFA,P0340,2025,"MoS2/carbon hollow heterostructure gives strong light absorption and photothermal conversion, creating a temperature gradient that drives thermoelectric gel voltage output"
ITE_THEME_B6B1FECBA3,INSIGHT_AFFD96764D,P0343,2025,ion leaching changes the material from n-type to p-type
ITE_THEME_32D240441A,INSIGHT_77A053E73B,P0353,2024,conveyor mode uses ion-electronic friction to couple thermally diffused ions with electrons; persistent ionic transport through the ionic circuit enables continuous power generation
ITE_THEME_C05B7C77EF,INSIGHT_128DD8F6E5,P0392,2021,water thermodiffusion boosts proton transport
ITE_THEME_A28D74FD91,INSIGHT_6FE98D0555,P0407,2025,PTA coordinates cations while PVA provides anion pathways
ITE_THEME_C63CBA866E,INSIGHT_7A3F024869,P0387,2023,"mobile anion-generating dopants produce negative Seebeck coefficients, while cation-generating PSS produces positive Seebeck coefficients in Ni(OH)2 nanofluidic membranes"
ITE_THEME_5EBC79B1E0,INSIGHT_106B213C91,P0602,2022,"antisolvent modifies PVDF-HFP solid network and ionogel microstructure, facilitating ionic transport and raising ZTi"
ITE_THEME_3C3E43E0FB,INSIGHT_414F871978,P0569,2023,Na+ acetate gives largest thermopower enhancement linked to salt lattice energy and melting point
ITE_THEME_220E3C2561,INSIGHT_E6A766A483,P0476,2015,unidirectional orientation of ionic conductivity in electrospun Nafion improves proton-conductive thermoelectric-cell efficiency
ITE_THEME_F7BC9C8B29,INSIGHT_8045AED31C,P0349,2024,"formamide disrupts the water hydrogen-bond network to form a deep eutectic solvent, enabling low-temperature operation"
ITE_THEME_BF93B7AF3F,INSIGHT_4815EE0A47,P0367,2025,coordination and electrostatic interactions between cations and functional groups create hierarchical anion-transport pathways and enhance anion diffusion efficiency
ITE_THEME_257714CA11,INSIGHT_59451FC5E1,P1143,2023,"entanglement between CF3SO3- and CH3SO3- slows anion thermodiffusion, suppresses bipolar effects, and boosts p-type thermopower"
ITE_THEME_DA7DF25E70,INSIGHT_AEBB4711D7,P0764,2019,"chemical treatment increases electronic-to-ionic conductivity ratio and reduces hygroscopic ion channels, suppressing ionic Seebeck component"
ITE_THEME_C955BBE715,INSIGHT_00DFF0FC11,P0382,2023,AuNW electrodes enable fully stretchable ITESC
ITE_THEME_358744F6AA,INSIGHT_2924D28046,P0599,2021,"PU ionogel with ionic liquid provides stretchability, self-healing, and stable ionic thermoelectric capacitance under strain"
ITE_THEME_EEA688CAD4,INSIGHT_7ADD248CA7,P0355,2024,synergistic coordination and hydration plus subnanometer ion confinement in oriented chains facilitate selective ion migration under a temperature gradient
ITE_THEME_CE81C52410,INSIGHT_A9F68A9B1D,P0479,2021,"EMIM:DCA induces dedoping, Soret effect, phase segregation, and compact PEDOT stacking, increasing Seebeck coefficient and conductivity"
ITE_THEME_6A629D29F7,INSIGHT_ADEE540078,P0345,2025,PVA hydrogel changes capillary porosity and charge transport
ITE_THEME_ECB70BB20C,INSIGHT_371420FB03,P0380,2023,"ion thermodiffusion generates an electric field that drives electrons/holes, converting ionic current into external electrical current for continuous operation"
ITE_THEME_F4B5D78D5B,INSIGHT_EF3D0F3F0B,P0350,2024,"ethanol and NaTFSI improve ionic mobility and enhance diffusion difference between cations and anions, increasing ionic conductivity and Seebeck coefficient"
ITE_THEME_04AAD1B55A,INSIGHT_F52BCFE6C1,P0509,2024,"CNF/DES integration provides flexible ionic thermoelectric material with high Seebeck coefficient, conductivity, and low thermal conductivity"
ITE_THEME_8C4AC1EB09,INSIGHT_8D39BEA40A,P0360,2025,higher pH strengthens nanopore surface charge density and increases output power
ITE_THEME_C4DAAEE52B,INSIGHT_FF57E4CCBD,P0362,2025,divalent cations produce stronger n-type thermopower
ITE_THEME_C8F622FA46,INSIGHT_16DB8B1579,P0567,2024,ferroelectric polarization introduces cation-dipole interactions that more than double heat-induced ionic thermovoltage
ITE_THEME_2A53737BBD,INSIGHT_6F6B45BB7E,P0527,2025,anion thermodiffusion through the apoplast generates ionic thermovoltage; desiccation and electrode selection amplify response
ITE_THEME_80A6C5911A,INSIGHT_05865BA276,P0365,2024,"LiCl supplies conductive ions, hydration-based antifreezing, and moisture-assisted self-regeneration"
ITE_THEME_943E991475,INSIGHT_FD73986EAD,P0972,2025,open-circuit voltage arises from Eastman entropy of transfer and temperature-asymmetric ion adsorption in Stern/diffuse electric double layers
ITE_THEME_92BE1D5439,INSIGHT_C3244B12B1,P0402,2025,"polycarbonate increases PEO amorphous regions and ion-polymer interactions, decoupling ionic conductivity from thermal conduction"
ITE_THEME_EDACC8C8EC,INSIGHT_D5F7472F7A,P0447,2016,Soret-effect ion thermodiffusion creates thermovoltage; ITESC stores charge under thermal gradient and releases it after gradient removal
ITE_THEME_72722FDB05,INSIGHT_A2F50C32D0,P0361,2025,leather collagen channels and fast-moving citrate-associated cations enhance ion transport and thermoelectric sensing for anti-scalding detection
ITE_THEME_E9C6987B85,INSIGHT_7101E22C71,P0836,2025,temperature-adaptive self-regeneration neutralizes electrochemical potential differences and enables time-domain ionic thermoelectric cycles
ITE_THEME_9E11FD8E95,INSIGHT_12F77ADB6E,P0373,2023,switching electrodes alternates dominant cation/anion thermodiffusion for cyclic power generation
ITE_THEME_B7E5100E87,INSIGHT_620BBD41ED,P0374,2023,"Na+ thermodiffusion under temperature gradient gives p-type thermopower, while OH- motion is impeded by electrostatic interaction with quaternary amine groups of PQ-10"
ITE_THEME_85B71CE582,INSIGHT_DB296045FD,P0337,2025,host-guest complexation between alpha-CD and I3- confines I3- diffusion inside alpha-CD cavities and increases mobility difference between I3- and sodium ions
ITE_THEME_A17413AA45,INSIGHT_059D7E214B,P0402,2025,ionic liquid facilitates aligned nanofiber formation
ITE_THEME_C24F48176C,INSIGHT_43541829DD,P0364,2025,"anion/cation-selective polymer networks attract counterions and regulate ion thermal mobility, enhancing or changing Seebeck coefficient for series-integrated p/n i-TEGs"
ITE_THEME_9603A6D24F,INSIGHT_2253844149,P0376,2024,"graphene forms bridge-like structures between free-water clusters in gel, accelerating ion diffusion and increasing exchange current density at high temperature"
ITE_THEME_9DC1E89E41,INSIGHT_AC39C29C3B,P0368,2024,CB/MWCNTs enhance photothermal conversion; FeCl3 supplies ions for diffusion
ITE_THEME_9AC55C00BC,INSIGHT_491C5F5E52,P0543,2024,CNF reinforcement enhances hydrogel strength and negative ionic thermopower
ITE_THEME_33DAED6552,INSIGHT_0EB0F34061,P0358,2025,passive radiative cooling and moisture-induced potential synergize with thermoelectric voltage
ITE_THEME_04CE23B0EC,INSIGHT_0A0CF05C12,P0401,2025,"PEDOT:PSS acts as n-type dopant and induces counterion condensation, immobilizing cations and increasing ion thermal-migration disparity"
ITE_THEME_07D9A0B923,INSIGHT_EF88284D73,P0346,2025,Fmoc-FF forms porous eutectogels through pi-pi interactions between Fmoc groups
ITE_THEME_CF3569CA12,INSIGHT_00AFE9DF3B,P0444,2017,"NFC reinforces PSSNa membrane, combining flexibility/robustness with ionic conductivity and high ionic Seebeck coefficient"
ITE_THEME_D6DAA20708,INSIGHT_15BC6EEC21,P0357,2025,NaCl content tunes thermoelectric type from n-type to p-type
ITE_THEME_4F44E3791C,INSIGHT_0C1454452C,P0378,2023,zwitterionic side-chain structure controls free-ion motion and provides ionic interaction sites for self-healing
ITE_THEME_01CBDA9E18,INSIGHT_C2B64B34FD,P0386,2023,"temperature difference adds an effective voltage driving force, accelerating ionic migration and synergistically improving NERD power density and efficiency"
ITE_THEME_CBD9ED878C,INSIGHT_00403528BC,P0528,2025,"surface charge engineering increases fixed charge density and ion selectivity, enhancing thermodiffusion-driven ion transport"
ITE_THEME_2CB98E86C3,INSIGHT_E928AA687D,P0398,2022,"SiO2 nanoparticles interact with ternary polymer, increasing mobile proton concentration while providing self-healing and stretchability"
ITE_THEME_B19514090E,INSIGHT_50EF55D19A,P0503,2025,"piezoelectric internal electric field enhances ionic thermopower and conductivity, augmenting ionic thermoelectric response in multimodal sensors"
ITE_THEME_339F888954,INSIGHT_6DC3F32FC4,P0343,2025,optimized pore structure improves ion transport and storage
ITE_THEME_7633160D67,INSIGHT_3620FC5E9A,P0379,2023,ion-hydrogel matrix interactions promote selective conducting-ion transport
ITE_THEME_B3365F15F0,INSIGHT_9070BAD02B,P0378,2023,p/n gels connected in series enhance voltage
ITE_THEME_5AAEF4897F,INSIGHT_98C02FC72C,P0615,2020,quasi-frozen ionic carriers provide large negative ionic Seebeck coefficient while electronic carriers dominate conductivity
ITE_THEME_5765AFD853,INSIGHT_67ED2D93E8,P0406,2022,relation between Seebeck coefficient and molar conductivity supports ionic thermoelectric ratchet effect
ITE_THEME_D8498BFAA2,INSIGHT_0729143D46,P0391,2023,"solution anion exchange replaces unstable Cl- with bulkier hydrophobic anions, improving air stability and humidity-dependent n-type ionic thermoelectric behavior"
ITE_THEME_4685FF5A4B,INSIGHT_7AE14EAF6D,P0389,2022,functionalized bacterial cellulose confines ionic liquid and improves ionic conductivity while retaining flexible biodegradable ionogel structure
