challenge_id,sample_index,relation_id,domain,challenge_type,expected_disposition,required_preservation,required_repair,joint_factor_requirement,quote,overlaps_representative_audit
challenge:024,24,iTE:P1653:r002,iTE,joint_factors,qualify,较弱Sr-O键与较大过剩体积共同解释界面热导低，单边不可独立解读。,联合因素绑定并保留SrO-rich对TiO2-rich边界比较。,higher excess volume + weaker Sr-O bonds,SrO-rich grain boundaries exhibit lower thermal conductivity than TiO2-rich ones due to their higher excess volume and weaker Sr-O bonds.,True
challenge:039,39,iTE:P0670:r001,iTE,joint_factors,qualify,光聚合须与氢键网络共同固定阳离子，jointly文字不足以绑定两因素。,联合因素绑定。,photo-polymerization + hydrogen-bonding networks,"The synergistic combination of photo-polymerization and hydrogen-bonding networks effectively immobilizes imidazolium cations while enabling rapid chloride ion transport, creating a pronounced cation-anion mobility disparity that yields a substantial negative ionic Seebeck coefficient of -7.16 mV K-1.",True
challenge:043,43,iTE:P0386:r002,iTE,joint_factors,qualify,温差驱动的i-TE须与NERD协同，独立温差到双性能边需要联合约束。,联合因素绑定；温差作为i-TE驱动条件。,i-TE conversion + NERD,"Based on ionic thermoelectric (i-TE) materials, which possessing huge Seebeck coefficient and natural ion channels, using the i-TE membrane and low-grade heat energy to introduce an additional driving force of temperature difference is proposed for the acceleration of ionic migrations. Results show that the effect of temperature difference is equivalent to overlaying an additional voltage difference, and then the synergy between i-TE conversion and NERD significantly enhances both the power density and efficiency.",True
challenge:068,68,iTE:P0596:r004,iTE,joint_factors,qualify,多尺度结构与键软化共同降晶格热导，单独拆边需联合约束。,绑定共同因素。,bond softening + multiscale hierarchical structures,"In addition, this chemical bonding engineering induces bond softening and forms multiscale hierarchical structures, resulting in a significant reduction in lattice thermal conductivity.",True
challenge:069,69,iTE:P1500:r003,iTE,joint_factors,qualify,高掺杂与高结构有序共同改善电导，不能删掉结构有序条件。,绑定共同因素。,high doping level + high structural order,"In this study, an n-type doping method is developed based on cation exchange that maintains a high doping level while ensuring a high degree of structural order, leading to significantly improved electrical conductivity.",True
challenge:070,70,iTE:P0408:r003,iTE,joint_factors,qualify,共价网络、电极依赖与离子尺寸差条件共同造成浓度差，单边需约束。,绑定因素并保留热扩散与尺寸差条件。,covalent cross-linked polymer network + electrode-dependent effect under ion-size difference,"Based on thermal diffusion, owing to the ion size difference, the covalent cross-linked polymer network and the electrode-dependent effect promote rapid transport of the cations and boost ion concentration difference, resulting in a huge ionic Seebeck coefficient of 19.02 mV K- 1.",True
challenge:086,86,iTE:P0932:r001,iTE,joint_factors,qualify,PSS分离与PEDOT构象改变共同解释电导增强，需绑定联合因素。,建立共同因素组。,PSS separation + benzoid-to-quinoid PEDOT conformational change,Raman and XPS measurements show that the increase in PEDOT:PSS conductivity is due to PSS separation from PEDOT and a conformational change of the PEDOT chains from the benzoid to quinoid molecular orientation. The improved Seebeck coefficient is due to a reduction of charge carriers which is evidenced from the UV-VIS depicting the emergence of polarons.,True
challenge:091,91,iTE:P1595:r001,iTE,joint_factors,qualify,Cu非谐各向异振动、Cu周围离子键、全局弱键共同解释类玻璃热性质，必须绑定。,建立三因素联合组。,anharmonic anisotropic Cu vibration + ionic bonds around Cu + global weak bonding,"This glass-like thermal property in a crystalline material arose from the combination of the anharmonic and anisotropic vibration of the Cu atom, the ionic bond feature around the Cu atom, and the global weak bonding",True
challenge:110,110,TG:P0286:r001,TG,joint_factors,qualify,孔结构与氮掺杂共同贡献，且仅800°C条件下最大值；需要联合组。,绑定共同因素并保持800°C碳化条件。,well-developed pore structure + nitrogen doping,"Due to its well-developed pore structure and nitrogen doping, the mandarin peel-derived electrodes carbonized at 800 ? delivered the maximum power density.",True
challenge:126,126,TG:P0291:r002,TG,joint_factors,qualify,间距优化与浓度优化共同改善性能，应绑定而非单因素推断。,加入联合因素组。,redox-couple concentration optimization + hot/cold electrode separation optimization,"The Seebeck coefficient and diffusivity of the cobalt redox couple were measured in both liquid and gelled electrolytes, and the effect of gelation on the thermocell performance is reported. Finally, the cell performance was further improved by optimizing the concentration of the redox couple and the separation between the hot and cold electrodes, and the stability of the device over 25h of operation is demonstrated.",True
challenge:136,136,TG:P0173:r001,TG,joint_factors,qualify,热电化学与电化学电势共同贡献电压，不可全归热驱动，原文仅约33%热贡献。,绑定联合来源，保留90°C约33%热贡献及无空间温差条件。,thermogalvanic effect + electrochemical potential,"Fire safety in enclosed spaces is frequently compromised by power failures, creating an urgent need for self-powered monitoring systems. However, designing devices that simultaneously achieve high detection sensitivity and sufficient power drive remains a formidable challenge. Here, this work proposes an asymmetric thermal cell (ATC) that utilizes high-entropy-change driven mechanism and strategically designed redox couples of the FeCl3/K4[Fe(CN)6] with opposite temperature coefficient. This design synergistically amplifies the output voltage by combination of the thermogalvanic effect and electrochemical potential. Crucially, this mechanism enables a single ATC to achieve 0.71 V (with a similar to 33% thermal contribution at 90 degrees C) and sustain high-current discharge at 70-90 degrees C without a spatial temperature gradient, making it ideal for fire scenarios with nearly spatially uniform temperature across the device. Accordingly, the ATC delivering a high temperature coefficient of 2.8 mV/K, a peak power density of 11.34 W/m2, and a high specific energy density of 87.7 mAh/g. A prototype of five series-connected ATC units successfully generated a stable 3.15 V output under simulated fire conditions, powering both an LED escape indicator and a wireless smoke alarm. This work offers a feasible way toward self-powered, heat-triggered emergency evacuation system that operate independently of external power grids.",True
challenge:137,137,TG:P0165:r002,TG,joint_factors,qualify,活性位点与3D骨架及高电导共同解释性能，单项不可独立。,绑定三因素。,3D skeleton + abundant electroactive sites + high conductivity,"Lithium-ion thermal charging cell, driven by ion migration and redox reaction, exhibits great potential for harvesting and storing electricity from thermal energy. Combining thermodiffusion and thermogalvanic effects could boost their thermopower, but with limited kinetics for heat-to-electric conversion due to the incompatibility between thermodynamical and electrochemical processes. Here, a facile strategy is demonstrated to fully activate the thermoelectrical behavior through simulation-guided electrode engineering, which is realized by incorporating battery-type molybdenum nitride quantum dot into carbon matrix. Benefitting to the well-developed 3D skeleton, abundant electroactive sites, and high conductivity, as-constructed device can achieve a giant thermopower of 53.6 mV K-1, normalized power density of 6.83 mW m-2 K-2, and good durability, which can meet the power demands of wearable sensors and small electronic devices. As a proof-of-concept, a flexible quasi-solid-state device integrating four units is developed for self-powered health-monitoring system by harvesting body heat in daily life. This work provides insights into the effective design of electrodes for high-performance ionic thermoelectrical systems and the development of multifunctional self-charging systems with sustainable operation.",True
challenge:143,143,TG:P0289:r002,TG,joint_factors,qualify,高可达面积与快电子转移共同提升电流及效率，需联合绑定。,增加共同因素组。,high electrochemically accessible surface area + fast redox-mediated electron transfer,"These electrodes provide high electrochemically accessible surface areas and fast redox-mediated electron transfer, which significantly enhances thermocell current generation capacity and overall efficiency.",True
challenge:152,152,TG:P0116:r001,TG,joint_factors,qualify,蒸馏和温度依赖溶解度两个因素共同维持浓度差，hypothesis正确但缺共同因素。,增加联合因素组。,temperature-gradient distillation + temperature-dependent NaOH solubility,"In this work we developed a concept and calculated the efficiency of a hybrid of thermogalvanic and concentration galvanic cells. The proposed device consists of two vessels with the sodium hydroxide solution of various concentrations, Ag/Ag2O or Fe/Fe(OH)(2) electrodes, chamber for water vapor transferring and the ion bridge or a porous partition. Concentration difference is kept because of two factors: distillation of sodium hydroxide solution in temperature gradient and dependence of solubility of sodium hydroxide on temperature (NaOH center dot H2O crystalline hydrates melting). Calculation shows that the efficiency of the hybrid cell may be about 10% of Carnot efficiency. (C) 2017 Elsevier Ltd. All rights reserved.",True
challenge:166,166,TG:P0015:r001,TG,joint_factors,qualify,原文组合设计产出高强度，不能将拉伸结晶单独立为已分离验证的原因。,改为组合设计与高强度的属性关系，保留19MPa。,stretching-induced crystallization + thermoelectric-effect integrated design,"In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1.",True
challenge:192,192,TG:P0012:r002,TG,joint_factors,qualify,压阻与热电协同才构成自供能手势转导，需要共同因素绑定。,添加共同因素组并保持体热和应变条件。,thermoelectricity + active piezoresistivity,"Leveraging the synergistic coupling of thermoelectricity and active piezoresistivity, the interface achieves selfpowered transduction of dynamic gestures into detectable electrical signals via its intrinsic response to body heat and real-time piezoresistive modulation under mechanical strain.",True
challenge:000,0,iTE:P1098:r001,iTE,computational_modality,qualify,因果与联合振动来源正确，但原关系未标识DFT证据。,保留原三元组，增加DFT计算来源限定。,,"Although the Cu1.8S compound consisting of cheap and earth-abundant elements has been reported to be a potential candidate of thermoelectric material, its thermoelectric performance is not very high. In this work, a fast doping strategy is offered to introduce both point defects and nanostructures into thermoelectric materials to improve the performance. Ball-milled Cu1.8S powders were mixed with different amounts of In2S3 powders and were then sintered into bulk samples by the spark plasma sintering (SPS) technique. During the SPS process, In2S3 was doped into the Cu1.8S matrix at 723 K for 10 min, and the fast doping process results in point defects and nanostructures of the Cu1.8S bulk sample including nanopores and those with an included second phase. On the one hand, In doping increased the effective mass of charge carriers in Cu1.8S and improved the Seebeck coefficient, whereas on the other hand, the nanostructures reduced thermal conductivity significantly. The phase structure and microstructure of Cu1.8S bulks are highly dependent on the In2S3 content. Density functional theory calculations revealed that Cu1.8S has an intrinsically low lattice thermal conductivity because of low-frequency localized vibrations from the Cu ionic migration and Cu vacancies. As a result, Cu1.8S+3 wt% In2S3 bulk sample achieved a ZT value of similar to 1.4 at 773 K compared with that of 0.45 at 773 K for the pristine Cu1.8S sample; this value is the highest ZT value in sulfide thermoelectric materials at this temperature. The fast doping strategy demonstrated in this work can also be applied for reducing thermal conductivity and improving ZT values of other thermoelectric systems. (C) 2019 Elsevier Ltd. All rights reserved.",True
challenge:005,5,iTE:P1087:r001,iTE,computational_modality,supported,应变改善ZT方向正确，谓词已标in calculation。,,,"In this study, we conduct a comprehensive computational investigation of the compound Rb2TiBr6, focusing on the influence of triaxial strain on its mechanical, electronic, optical, photocatalytic and thermoelectric properties. All calculations were performed within the framework of density functional theory (DFT) using the Wien2k computational package. Structural optimization was carried out with the Perdew-Burke-Ernzerhof generalized gradient approximation (PBE-GGA), while the modified Becke-Johnson (mBJ) potential was employed to evaluate the electronic and optical properties. In addition, the thermoelectric performance was assessed by combining DFT results with semi-classical Boltzmann transport theory (SBT). The optimized structure of Rb2TiBr6 adopts a cubic phase with a lattice parameter of 10.594 angstrom. The calculated elastic constants confirm its mechanical stability under different strain conditions. Further analysis indicates that the compound exhibits ductile and anisotropic characteristics, with bonding predominantly of ionic nature. The electronic band structure and density of states (DOS) confirm that Rb2TiBr6 is a semiconductor with an indirect band gap (Gamma-X), which increases from 1.952 eV to 2.115 eV as the applied strain varies from 0 % to 6 %. Optical analysis reveals strong absorption above 10(4) cm(-1) and low reflectivity in the visible region, highlighting its potential for photovoltaic applications. Furthermore, the material exhibits excellent photocatalytic activity, underscoring its suitability for water-splitting processes. Thermoelectric analysis reveals that the application of strain enhances the figure of merit (ZT), reaching similar to 3.5 at low temperature, which underscores the strong potential of Rb2TiBr6 for efficient thermoelectric energy conversion.",True
challenge:041,41,iTE:P1366:r001,iTE,computational_modality,qualify,温度升高热导下降的关联正确，缺少第一性原理/Boltzmann计算模态。,加入计算来源限定。,,"The electronic structures and thermal transport properties of the half-Heusler (HH) compounds LiMgN and LiZnN are calculated in detail by combining first-principles calculations with Boltzmann transport theory. Our phonon calculations showed that LiMgN and LiZnN are dynamic stability. The calculated bulk moduli and equilibrium lattice constants are in good agreement with the experimental and available theoretical data. The electronic band structures obtained by PBE (HSE06) method indicate that both LiMgN and LiZnN are direct bandgap semi-conductors with band gaps of 2.33 eV (3.23 eV) and 0.53 eV (1.42 eV), respectively. It is shown that the Li-N, Li-Mg and Li-Zn are ionic bond via ELF analysis. At room temperature, the calculated lattice thermal conduc-tivities of LiMgN and LiZnN compounds are 19.31 Wm- 1K-1 and 18.74 Wm- 1K-1, respectively; But with the external temperature increases to 1100 K, their lattice thermal conductivities are decrease rapidly to 4.96 Wm- 1K-1 and 4.32 Wm- 1K-1, respectively. Moreover, we analyzed the mean free paths, phase volume spaces (P3), Gruneisen parameters (gamma), scattering rates and group velocities in detail in order to further understand the origins of their relatively low lattice thermal conductivities and corresponding microscopic mechanism. We also investigated thermoelectric performances of LiMgN and LiZnN under different temperatures, and our results showed that with the external temperature increasing from 300 K to 1100 K, the maximum ZT values can in-crease from 0.05 (0.03) and 1.83 (1.32) for LiMgN (LiZnN), indicating that they are potential high-temperature thermoelectric materials. Our work can offer some theoretical references for improving thermoelectric perfor-mance and for future experimental studies.",True
challenge:056,56,iTE:P0952:r001,iTE,computational_modality,qualify,联合主语完整，但第一性原理晶格动力学/Boltzmann计算需显式标注。,增加计算证据模态。,,"Here we show by first-principles lattice dynamics and Boltzmann transport calculations that weakly ionic rocksalt structures exhibit strong lattice anharmonicity and low acoustic-phonon group velocity, which combine to produce intrinsic low thermal conductivity.",True
challenge:071,71,iTE:P0657:r001,iTE,computational_modality,supported,DFT解释水含量4:1下弱化阴离子簇/Au作用引起p-n转变，模态与条件正确。,,,"An intriguing p-n conversion of thermoelectric property was observed in a water ionic liquid ([EMIm][Ac]) binary system with precise control over water content. The highest p-type and n-type Seebeck coefficient were optimized at water [EMIm] [Ac] molar ratio of 2:1 and 4:1, respectively. DFT calculation illustrates that a configuration of solvent separation ion pairs is preferred at the water [EMIm][Ac] molar ratio of 4:1, leading to the p-n conversion through weakening, interaction between anion clusters and gold electrodes.",True
challenge:096,96,iTE:P1605:r002,iTE,computational_modality,qualify,3:1对1:1比较有效，但源自三维瞬态模拟，不是实验测得。,补充numerical-model预测限定。,,"the average temperature of PV can be reduced by 6.5 K under the Sin/Sout= 3:1 condition, while its temperature uniformity and allowable concentration ratio improved by 7.9 % and 33.7 %, respectively.",True
challenge:147,147,TG:P0183:r001,TG,computational_modality,qualify,高丙酮比第一壳插入提高热电势来自MD，需显式计算限定并展开a定义。,加入MD预测标记；宾语为thermogalvanic temperature coefficient alpha of Fe3+/Fe2+。,,"Developing redox electrolytes with high thermopower is the key to making efficient thermogalvanic batteries for harvesting low-grade heat. This work applies molecular dynamics simulations to predict the thermopower (i.e. thermogalvanic temperature coefficient) a of the redox pairs Fe(CN)(6)(3-)/ Fe(CN)(6)(4-) and Fe3+/Fe2+, showing excellent agreement with experimental values. We showed that a of the Fe3+/Fe2+ redox pair can be increased from 1.7 +/- 0.4 mV/K to 3.8 +/- 0.5 mV/K with the increased acetone to water fraction. We discovered a significant change in the variance of solvent dipole orientation between Fe3+ and Fe2+, which can serve as a microscopic indicator for large a. In mixed acetone-water solvent, a of Fe3+/Fe2+ showed a rapid increase at high acetone fractions, due to the intercalation of acetone molecules into the first solvation shell of the Fe2+ at high acetone fractions. Our discovery provides insights into how solvation shell order can be engineered to develop electrolytes with high a.",True
challenge:196,196,TG:P0078:r001,TG,computational_modality,supported,水凝胶扰动第一壳明确标simulation，不冒充实验。,,,"Complementary molecular dynamics simula-tions further demonstrate that hydrogel chains disturb the first solvation shell, broaden the radial distribution of coordinating water molecules, and increase dipole orientation disorder, thereby amplifying the configurational disparity between oxidized and reduced species.",True
challenge:199,199,TG:P0193:r002,TG,computational_modality,supported,Li水配位抑冰解释明确标simulation supports，非独立实验因果。,,,"Thermocells (TECs) can directly convert thermal energy into electricity via the thermogalvanic effect of redox ions. The employment of hydrogel electrolytes allows for the facile fabrication of flexible quasi-solid-state TECs with low health hazard, easy scalability and eco-friendliness. In contrast, conventional hydrogel electrolytes cannot adapt to a sufficiently wide working temperature range, as they inevitably freeze under sub-zero temperatures and dry out under elevated temperatures, resulting in loss in both mechanical flexibility and ion transport capability. Herein, a hydrogel electrolyte using low-concentration redox ions with excellent freeze-tolerance and self-humidifying capabilities is rationally designed by regulating the hydration effect, affording a flexible quasi-solid-state aqueous TEC system that can continually work under a wide temperature range (-15 degrees C to 70 degrees C). It also demonstrates long-term environmental stability without the need for encapsulation or packaging. The colligative properties of the hydrogel electrolyte can suppress ice crystallization, and in-depth molecular dynamics simulations reveal that a vital underlying mechanism is the strong coordination effect of Li+ ions with water molecules over a wide range of temperatures. The TEC designed in this work shows high adaptability to temperature fluctuations and environmental changes, and offers a promising route to promote low-grade heat harvesting under extreme environmental conditions.",True
challenge:026,26,iTE:P1526:r001,iTE,cross_sentence_and_symbols,qualify,these complexes须跨句解析为混合八面体-四面体[TS4]Cu6配合物。,主语展开为interactions between mixed octahedral-tetrahedral [TS4]Cu6 complexes；附前一句证据。,,"The interactions between these complexes are responsible for the outstanding electronic transport properties. By contrast, the thermal conductivity is not significantly affected.",True
challenge:029,29,iTE:P0931:r001,iTE,cross_sentence_and_symbols,qualify,alpha在局部引文未定义，全文定义为electrochemical Seebeck coefficient，需显式展开。,宾语展开为electrochemical Seebeck coefficient alpha；保留OH−/H2O alternatives和作者解释。,,"Based on the ultraviolet-visible absorption spectroscopy, we interpreted the enhancement of alpha in terms of the OH- and/or H2O coordination to Fe3+, which was introduced by the crystal water of the solute.",True
challenge:067,67,iTE:P1499:r002,iTE,cross_sentence_and_symbols,supported,阴离子有序稳定HT结构，this指前句有序，指代可解析。,,,"the analysis of the diffraction data gave clear evidence of anion ordering due to site preference of the sulfide ions, which can be rationalized using Pearson's HSAB concept. This leads to a stabilization of the HT structure even at lower temperatures.",True
challenge:095,95,iTE:P0915:r002,iTE,cross_sentence_and_symbols,qualify,混合导电只是电子/离子Seebeck联合设计一环；三参数需展开为P/T/H。,绑定联合机制，并展开宾语为pressure-temperature-humidity readout with minimal crosstalk。,electronic Seebeck effect + ionic Seebeck effect + mixed ion-electron conduction in elastic aerogel,The exclusive read-out of the three individual parameters is performed electronically in one single device configuration and is enabled by the use of a novel strategy that combines electronic and ionic Seebeck effect along with mixed ion-electron conduction in an elastic aerogel.,True
challenge:140,140,TG:P0033:r002,TG,cross_sentence_and_symbols,supported,this phenomenon回指低温运行及力学表现，shared attribution保留，未拆分共同原因。,,,"Importantly, the Gel-Fe3+/2+ TGH was able to operate continuously in experiments at low temperatures(>-20 degrees C), together with excellent mechanical tensile properties. This phenomenon was found to be attributable to the strong hydrogen bonds that were formed between DMSO and H2O.",True
challenge:094,94,iTE:P0815:r001,iTE,purpose_vs_observation,qualify,used to enhance为制备目的，摘要未给添加前后对照，不能标为已实测因果增益。,谓词改为used with aim of enhancing；标design_purpose。,,"The conductive polymer microfibers were prepared by wet-spinning the PEDOT:PSS aqueous dispersion with ionic liquid additives, which was used to enhance the electrical and mechanical properties of the final microfibers.",True
challenge:122,122,TG:P0170:r001,TG,purpose_vs_observation,supported,promising strategy标hypothesis准确，未把展望当实测。,,,"In particular, hybrid ionic-electronic designs are highlighted as a promising strategy to enable continuous power output.",True
challenge:170,170,TG:P0246:r001,TG,purpose_vs_observation,qualify,intentionally utilized to明确设计目的，摘要未直接验证壳重排，需目的性表述。,谓词改为intentionally used to modulate，模态design_purpose。,,"The water containing DES is intentionally utilized to modulate the solvent shell structure of redox couple and expand the operation temperature range of i-TE eutectogel cell. Moreover, appropriate amount of water can increase the solubility of [Fe(CN)6]3-/4- , while maintaining the eutectic properties of DES.",True
challenge:176,176,TG:P0305:r001,TG,purpose_vs_observation,supported,could/suggested前景以hypothesis保留，100–150°C范围在证据。,,,Measurement of Seebeck coefficients in a range of ionic liquids (ILs) suggests that these electrolytes could enable the development of thermoelectric devices to generate electrical energy from low-grade heat in the 100-150 degrees C range.,True
challenge:030,30,iTE:P0884:r001,iTE,conditions_sign_and_opposing_effects,supported,正Seebeck与阳离子冷到热迁移是作者符号约定，谓词as reported已避免改写成普适方向。,,,"One of them shows a positive Seebeck coefficient of 3.81 mV/K due to the movement of cations from the cold to hot region, while the other displays a negative Seebeck coefficient of -2.33 mV/K due to the movement of cations in the opposite direction.",True
challenge:088,88,iTE:P1966:r001,iTE,conditions_sign_and_opposing_effects,supported,5–10%Sr和1%O2条件明确，未线性外推至20%。,,,"Perovskite oxides of the general formula ABO(3-delta), with A and B being metal cations, present themselves in various crystal structures that originate from a distorted ideal cubic perovskite. Understanding how composition, temperature, atmosphere and reduction extent of these non-stoichiometric redox materials induce structural changes on an atomic, as well as macroscopic, level is crucial to transfer newly developed materials to industrial scale applications in the redox-based energy conversion sector. Herein, Ca1-xSrxMnO3-delta (x is an element of [0,0.2]) and its micro- and macroscopic structural changes at elevated temperatures and varying oxygen partial pressure are analyzed by means of in situ high temperature XRD, DSC and dilatometry. Results are expanded by room temperature XRD of compositions with higher Sr-content up to x = 0.4. By adjusting the Sr-content, the formed crystal structure can be governed and thermal expansion can be impacted beneficially in the context of future applications utilizing monolithic structures. Phase transitions from orthorhombic to cubic were found to shift from 900 degrees C to 830 degrees C under air and to even lower temperatures under 1% O-2 atmosphere. Small amounts of Sr-content (5-10%) stabilize the macroscopic structural integrity by improving the reversibility of the cyclic thermal expansion and contraction in a 1% O-2 atmosphere. However, at Sr-contents of 20% an increased irreversible residual expansion within each thermal cycle becomes apparent and shows that such improvements do not follow a linear dependency with Sr-content, but most benefits in this context can be found at Sr-contents below 20%. The results demonstrate the sensitivity of such materials micro- and macroscopic characteristics to composition. In the context of utilization of monolithic structures, fabricated entirely from Ca1-xSrxMnO3-delta, in thermochemical or thermoelectric applications, the results have considerable significance as minor A-site Sr-substitution can substantially improve macroscopic stability of monolithic structures over multiple thermal cycles. Besides the often solely regarded thermodynamic characteristic, this work demonstrates the importance to consider the impact of composition on structural behavior in materials design processes including perovskites for thermochemical applications.",True
challenge:128,128,TG:P0086:r001,TG,conditions_sign_and_opposing_effects,supported,自然对流增强传热不等于提升净发电；此边只讲传热，原文支持。,,,"The presence of natural convection can effectively enhance the heat transfer and mass transport in LTCs, but to some extent induce a significant decrease in Delta T from 10.9 K to 5.9 K due to the increase in effective thermal conductivity from 0.59 to 2.17 W/(m & sdot;K).",True
