concept_id,equivalence,canonical_fit,problem_members,reason,domain,label,members
TG:C35e69cda2ca1b5,equivalent,supported,[],两成员均指氯化氢热扩散迁移的标准熵；溶剂体系不同不改变该物理量的身份。,TG,Standard entropies of hydrogen chloride thermal diffusion transfer,2
TG:Cb9ef19f17c457c,equivalent,supported,[],两成员均指混合溶剂的组分比例，具体溶剂及研究对象差异不改变组成这一条件概念。,TG,Mixed-solvent composition,2
TG:Ce62749aae21009,equivalent,supported,[],四成员均明确描述低热导率；材料和用途不同，未改变该性质的含义。,TG,Low thermal conductivity,4
TG:Cb647a30e0fc170,equivalent,supported,[],三成员均指电池电解质中的物质传输；是否限制性能及对流的影响属于不同论断，不构成概念差异。,TG,Mass transport,3
TG:C6afa4bfb691b06,equivalent,supported,[],两成员均以无毒描述硫酸根／亚硫酸根氧化还原对，定义准确保留了该语境中的性质断言。,TG,Non-toxic,2
TG:C7d1eb89f626e1d,equivalent,supported,[],两成员均指器件输出电压，相关性和放大作用描述的是同一量在不同应用中的表现。,TG,Output voltage,2
TG:C0fde8f217f66ea,equivalent,supported,[],两成员均指热电偶腐蚀，第二处明确关联配对材料的温差；材料组合及实测与假说的区别不改变过程概念。,TG,Thermogalvanic corrosion,2
TG:Cd03b8a1786bbea,equivalent,supported,[],两处原文均明确指电导率，未明确限定不同载流机制；不能仅凭材料及关系分类推定为不同机制概念。,TG,Electrical conductivity,2
TG:Cdcc47253c9bfd6,equivalent,supported,[],两成员均以UNS N08031明确标识Alloy 31，首处证据直接支持高合金奥氏体不锈钢的定义。,TG,Alloy 31 (UNS N08031),2
TG:Cfe0ba1e152316e,equivalent,supported,[],两成员均指由热输入获得电能这一功能；环境温度、温差形成方式和装置不同不改变该功能概念。,TG,Electrical energy generation,2
