paper_id,domain,scope,reference_id,validity,coverage,match_ids,reason
P1378,iTE,ion_mass_transport,P1378:g008,valid,partial,"[""P1378:r007""]","Hypothesis is preserved, but experimental basis and interpretation of atmosphere dependence are not extracted."
P1378,iTE,ion_mass_transport,P1378:g009,valid,complete,"[""P1378:r008""]",
P1378,iTE,ion_mass_transport,P1378:g010,valid,complete,"[""P1378:r009""]",
P1378,iTE,ion_mass_transport,P1378:g011,valid,complete,"[""P1378:r010""]",
P1378,iTE,ion_mass_transport,P1378:g012,valid,complete,"[""P1378:r011""]",
P1378,iTE,ion_mass_transport,P1378:g013,valid,complete,"[""P1378:r010""]",
P1378,iTE,ion_mass_transport,P1378:g014,valid,complete,"[""P1378:r011""]",
P1708,iTE,measurement_method_model,P1708:g001,valid,missing,[],No extracted relationship between nearest-neighbor aggregation and receptive-field limitation.
P1708,iTE,measurement_method_model,P1708:g002,valid,missing,[],No extracted limitation on capturing long-range correlations.
P1708,iTE,ion_mass_transport,P1708:g003,valid,missing,[],No extracted relationship between long-range correlations and ion transport.
P1708,iTE,measurement_method_model,P1708:g004,valid,complete,"[""P1708:r001""]",
P1708,iTE,measurement_method_model,P1708:g005,valid,complete,"[""P1708:r002""]",
P1708,iTE,measurement_method_model,P1708:g006,valid,complete,"[""P1708:r003""]",
P1708,iTE,measurement_method_model,P1708:g007,out_of_scope,complete,"[""P1708:r004""]","Screening and selection counts are numerical inventories, without an extracted material property or mechanism."
P1708,iTE,ion_mass_transport,P1708:g008,valid,complete,"[""P1708:r005"", ""P1708:r007""]",
P1708,iTE,ion_mass_transport,P1708:g009,valid,complete,"[""P1708:r006"", ""P1708:r007""]",
P1708,iTE,measurement_method_model,P1708:g010,out_of_scope,missing,[],Generic future transferability claim.
P0924,iTE,device_thermal_management,P0924:g001,valid,missing,[],No extracted ionic-liquid effect on operating temperature range.
P0924,iTE,device_thermal_management,P0924:g002,valid,missing,[],No extracted ionic-liquid effect on power output.
P0924,iTE,measurement_method_model,P0924:g003,out_of_scope,complete,"[""P0924:r001""]","General material-selection approach without a substantive property, mechanism or performance finding."
P0924,iTE,thermodynamics,P0924:g004,valid,complete,"[""P0924:r002""]",
P0924,iTE,intrinsic_material_mechanism,P0924:g005,valid,complete,"[""P0924:r003""]",
P0924,iTE,electrode_interface_kinetics,P0924:g006,valid,complete,"[""P0924:r004""]",
P0924,iTE,device_thermal_management,P0924:g007,valid,complete,"[""P0924:r005""]",
P0924,iTE,application_sensing,P0924:g008,valid,partial,"[""P0924:r006""]","Joint limitations are preserved, but the review synthesis is labeled own_work."
P0070,TG,intrinsic_material_mechanism,P0070:g001,out_of_scope,complete,"[""P0070:r001"", ""P0070:r002""]",Composition and mixing are recast as a production finding; no material mechanism is stated.
P0070,TG,device_thermal_management,P0070:g002,valid,complete,"[""P0070:r003""]",
P0070,TG,thermodynamics,P0070:g003,valid,complete,"[""P0070:r004""]",
P0217,TG,thermodynamics,P0217:g001,valid,complete,"[""P0217:r001""]",
P0217,TG,device_thermal_management,P0217:g002,valid,missing,[],"The series combination appears as r002's subject, but achieving that assembly is not explicitly extracted."
P0217,TG,device_thermal_management,P0217:g003,valid,complete,"[""P0217:r002""]",
P0217,TG,device_thermal_management,P0217:g004,valid,complete,"[""P0217:r003""]",
P0217,TG,device_thermal_management,P0217:g005,valid,complete,"[""P0217:r004""]",
P0217,TG,device_thermal_management,P0217:g006,valid,complete,"[""P0217:r005""]",
P0213,TG,thermodynamics,P0213:g001,valid,complete,"[""P0213:r001""]",
P0213,TG,application_sensing,P0213:g002,valid,partial,"[""P0213:r002""]","Actual use in the described experimental system is retained, but experimental modality is unspecified."
P0213,TG,intrinsic_material_mechanism,P0213:g003,valid,partial,"[""P0213:r003""]","The relationship is retained, but experimental modality and copper hexacyanoferrate sample identity are omitted."
P0213,TG,device_thermal_management,P0213:g004,valid,partial,"[""P0213:r004""]","Value and operating conditions are preserved, but experimental modality is unspecified."
P0213,TG,device_thermal_management,P0213:g005,valid,partial,"[""P0213:r005""]",Experimental modality is unspecified; '20.0% Carnot efficiency' is reinterpreted as '20.0% of Carnot efficiency' rather than preserving the source wording.
P0213,TG,device_thermal_management,P0213:g006,valid,partial,"[""P0213:r006""]","Comparison and conditions are preserved, but experimental modality is unspecified."
P0213,TG,thermodynamics,P0213:g007,valid,complete,"[""P0213:r007""]",
P0213,TG,thermodynamics,P0213:g008,valid,complete,"[""P0213:r007""]",
P0213,TG,device_thermal_management,P0213:g009,valid,complete,"[""P0213:r007"", ""P0213:r008""]",
P0213,TG,device_thermal_management,P0213:g010,valid,complete,"[""P0213:r007"", ""P0213:r008""]",
P0265,TG,device_thermal_management,P0265:g001,valid,complete,"[""P0265:r001""]",
P0265,TG,device_thermal_management,P0265:g002,valid,complete,"[""P0265:r001""]",
P0265,TG,device_thermal_management,P0265:g003,valid,partial,"[""P0265:r002""]","An effect is extracted, but its stated importance is omitted."
P0265,TG,device_thermal_management,P0265:g004,valid,partial,"[""P0265:r002""]","Active membrane area is retained as the highlighted geometric factor, but the important magnitude of its influence is omitted."
P0077,TG,application_sensing,P0077:g001,valid,partial,"[""P0077:r001""]","The integrated system's proposed nighttime application is retained, but cost-effectiveness is omitted."
P0077,TG,device_thermal_management,P0077:g002,valid,complete,"[""P0077:r002"", ""P0077:r003""]",
P0077,TG,device_thermal_management,P0077:g003,valid,complete,"[""P0077:r002"", ""P0077:r004""]",
P0077,TG,device_thermal_management,P0077:g004,valid,complete,"[""P0077:r005""]",
P0077,TG,device_thermal_management,P0077:g005,valid,complete,"[""P0077:r006""]",
P0077,TG,application_sensing,P0077:g006,valid,complete,"[""P0077:r001""]",
