文章名,期刊名,DOI,年份,摘要,材料,机制,source,source_family,source_record_id,source_file,source_row,paper_id,clean_assignment,record_action,representative_record_id
Phase-Transitional Ionic Thermocells for the Enhanced Thermoelectric Efficiency,ACS APPLIED MATERIALS & INTERFACES,10.1021/acsami.5c04042,2025,"With advancement in soft and wearable electronics, the demand for efficient and adaptable power sources has increased significantly. Ionic thermoelectrics, which converts wasted low-grade heat (<100 degrees C) into electrical energy, is a promising alternative due to its low cost, eco-friendliness, and conformability. To achieve practical implementation of ionic thermocells, innovative strategies that enhance voltage and power generation must be developed. Here, we present an ionic thermogalvanic cell using an ionic liquid, 1-allyl-3-methylimidazolium chloride. The ionic liquid undergoes a phase transition from solid to liquid in cold and hot regions, significantly improving performance without requiring additional components or complex processing. Compared to a homogeneous liquid-state cell, the phase-transitional system exhibits a 2.2-fold increase in the Seebeck coefficient (from 1.79 to 3.89 mV/K), a 3.66-fold enhancement in the power output (from 4.3 to 15.9 nW), and 3.47-fold improvement in the figure of merit (from 0.15 to 0.52) under the same temperature difference of 20 degrees C. Furthermore, the improvement was consistently observed across various electrolytes that undergo phase transitions, confirming the broad applicability of this strategy. This approach provides valuable direction into the advancement of ionic thermoelectric cells for efficient energy harvesting from low-grade heat, paving the way for practical and scalable applications in sustainable energy technologies.",1-allyl-3-methylimidazolium chloride ionic thermogalvanic cell,solid-liquid phase transition between cold and hot regions enhances Seebeck coefficient and power output without extra components,iTE1,iTE,iTE1_0120,source_tables/iTE1_first1000_material_mechanism.csv,122,P0159,TG,removed_from_iTE_retained_in_TG,TG_0158
Gutmann Donor Theory-Guided Design of Mononuclear Ionic Cluster for Exceptional N-Type Thermoelectric Ionogel,ADVANCED SCIENCE,10.1002/advs.202520143,2026,"Quasi-solid-state, ionic liquid-based thermogalvanic gels offer a significant solution for designing ultrasensitive ionic thermopiles due to their exceptional thermopower, superior thermal stability, and high flexibility. Constructing ternary ionogels through ionic doping-induced ionic aggregates and modulation of ionic transport heat have been proved to be an effective strategy for achieving further enhancement of ionic thermopower. However, the theoretical basis and systematic optimization of ion-selective doping have not been effectively verified. This study, grounded in the Gutmann donor theory for anion doping, demonstrates four universal configurations of structural reconfiguration in anion/cation clusters within ternary ionogels to progressively enhance anionic transport heat. At 80% relative humidity, this approach achieves a remarkably high negative thermopower of -25.85 mV K-1 and a high ionic conductivity of 3.21 mS cm-1. Furthermore, this work synergistically complements the Gutmann donor anion-doping strategy by tailoring the structure of the polyacrylate elastomer matrix and the type of cationic dopant. Ultimately, a wearable device prototype integrating 10 n-type ion thermoelectric capacitors is demonastrated. This device yields a thermally responsive voltage of 0.774 V (Delta T = 3K), demonstrating promise for designing high-thermopower ionic thermopiles and harvesting low-grade thermal energy.",ternary ionic-liquid ionogel with anion/cation clusters in polyacrylate elastomer,Gutmann donor-guided anion doping reconfigures ion clusters and increases anionic transport heat for high n-type thermopower,iTE1,iTE,iTE1_0125,source_tables/iTE1_first1000_material_mechanism.csv,127,P0176,TG,removed_from_iTE_retained_in_TG,TG_0175
Water-Thermal Self-Cycling Thermoelectric Hydrogel for Continuous Energy Harvesting from Body Heat,ADVANCED ENERGY MATERIALS,10.1002/aenm.202500540,2025,"The ability to continuously harvest energy from the human body has immense potential for powering wearable devices and biomedical systems, yet current thermoelectric hydrogels are constrained by rapid dehydration, limiting operational lifespans to less than 120 m and achieving temperature gradients of only approximate to 5 degrees C. Here, a self-cycling thermoelectric hydrogel is presented that addresses these challenges by autonomously regulating water-thermal cycling. This strategy achieves a maximum temperature gradient of 13 degrees C-more than 2.6 times the state-of-the-art-and maintains stable thermoelectric output for over 1500 min, the longest lifespan reported for such materials. Additionally, the hydrogel fully recovers hydration within 5 h, enabling robust reusability. Mechanistic studies reveal that optimized ionic interactions enhance thermal diffusion and elevate the Seebeck coefficient to 4.1 mV K-1. This study introduces a scalable design for wearable thermoelectric materials, paving the way for advancements in health monitoring, environmental sensing, and wearable electronics.",water-thermal self-cycling thermoelectric hydrogel,autonomous water-thermal cycling maintains hydration and temperature gradient; optimized ionic interactions enhance thermal diffusion and Seebeck coefficient,iTE1,iTE,iTE1_0176,source_tables/iTE1_first1000_material_mechanism.csv,178,P0247,TG,removed_from_iTE_retained_in_TG,TG_0246
A novel concentrated photovoltaic and ionic thermocells hybrid system for full-spectrum solar cascade utilization,APPLIED ENERGY,10.1016/j.apenergy.2024.123033,2024,"Concentrated photovoltaic-thermoelectric generator (CPV-TEG) hybrid system can harvest the low-grade waste heat derived from photovoltaic cells to generate more electric energy. However, it is economically unfeasible due to the expensive cost of thermoelectric generators and higher photovoltaics temperature. Ionic thermocell based on thermogalvanic effect has a more inexpensive cost and ionic Seebeck coefficient of 1- 2 orders of magnitude higher than thermoelectric generators, which is promising for full-spectrum solar cascade utilization. In present work, a novel concentrated photovoltaic and ionic thermocells hybrid system (CPV-iTEC) is reported, aiming to comprehensively evaluate its feasibility. The ionic thermocell adhered directly to the photovoltaic panel consists the pi-type multi-channels, electrodes and p/n-type redox electrolytes flowing in multi-channels, which can simultaneously cool photovoltaic panel and output electric energy for waste heat harvesting. A threedimensional numerical model is proposed and validated by preliminary experiment to investigate the effects of structural and operating parameters on the performance of CPV-iTEC during energy, exergy and economic analyses. Results show that the optimal structural parameters of ionic thermocell are the 2 mm channel height and 1 mm width, showing a 7.18% higher energy efficiency than that of CPV-TEG at 10 concentration ratios. The presence of ionic thermocell can significantly decrease the photovoltaic panel temperature from 351.30 K to 325.14 K, and thus broaden the available concentration ratio from 1- 21 to 1- 39 compared with CPV-TEG, reaching a higher output power of 16.61 W. During the optimization of advanced redox electrolytes/electrodes, the energy efficiency can reach 49.63% at 21 concentration ratios, which is 5.06% higher than that of CPV-TEG, and show a 22.65% lower overall cost. The application of ionic thermocell in the full-spectrum solar cascade utilization of concentrated photovoltaic system is proved to be feasible with significant advantages of low cost, high performance, and flexible operation.",concentrated photovoltaic-ionic thermocell hybrid with p/n redox electrolytes,ionic thermocell cools photovoltaic panel and harvests waste heat through thermogalvanic redox electrolytes in multichannels,iTE1,iTE,iTE1_0221,source_tables/iTE1_first1000_material_mechanism.csv,223,P0163,TG,removed_from_iTE_retained_in_TG,TG_0162
Enhancing thermoelectric conversion efficiency of hydrogel-based supercapacitors by the three-dimensional ion channels hydration,JOURNAL OF ENERGY STORAGE,10.1016/j.est.2024.110437,2024,"Ionic thermoelectric (i-TE) supercapacitors are capable of converting low-grade heat directly into electricity, which has enormous potential for wearable power sources and the Internet of Things. However, the low thermoelectric conversion efficiency limits their applications. Here, we report a method for forming polar corona in a three-dimensional (3D) network based on chitosan-polyacrylamide-silicon dioxide (PACS) hydrogel, significantly increasing the maximum thermogalvanic power density of 187.2 mW m(-2) at a temperature difference (Delta T) of 5 K. The abundant functional groups on PACS confine free H2O molecules to the polymer network, forming polar corona, reducing the volume of thermally diffused ions, and enabling rapid conduction of lithium ions (Li+) in unsaturated coordination. In addition, demonstrating an impressive ionic conductivity of 50.2 mS cm(-1) as well as a maximum thermal charging voltage of 200 mV (Delta T of 8 K), this work provides a new strategy for broadening applications of ionic thermally chargeable supercapacitors in harvesting low-grade heat and wearable devices.",chitosan-polyacrylamide-silicon dioxide hydrogel (PACS),"functional groups confine water into polar corona, reducing thermally diffused ion volume and enabling rapid Li+ conduction in 3D channels",iTE1,iTE,iTE1_0224,source_tables/iTE1_first1000_material_mechanism.csv,226,P0197,TG,removed_from_iTE_retained_in_TG,TG_0196
Exploring Pyrazine-Based Organic Redox Couples for Enhanced Thermoelectric Performance in Wearable Energy Harvesters,SMALL,10.1002/smll.202407622,2025,"Thermoelectric generators (TEGs) based on thermogalvanic cells can convert low-temperature waste heat into electricity. Organic redox couples are well-suited for wearable devices due to their nontoxicity and the potential to enhance the ionic Seebeck coefficient through functional-group modifications. Pyrazine-based organic redox couples with different functional groups is comparatively analyzed through cyclic voltammetry under varying temperatures. The results reveal substantial differences in entropy changes with temperature and highlight 2,5-pyrazinedicarboxylic acid dihydrate (PDCA) as the optimal candidate. How the functional groups of the pyrazine compounds impact the ionic Seebeck coefficient is examined, by calculating the electrostatic potential based on density functional theory. To evaluate the thermoelectric properties, PDCA is integrated in different concentrations into a double-network hydrogel comprising poly(vinyl alcohol) and polyacrylamide. The resulting champion device exhibits an impressive ionic Seebeck coefficient (Si) of 2.99 mV K-1, with ionic and thermal conductivities of approximate to 67.6 mu S cm-1 and approximate to 0.49 W m-1 K-1, respectively. Finally, a TEG is constructed by connecting 36 pieces of 20 x 10-3 m PDCA-soaked hydrogel in series. It achieves a maximum power output of approximate to 0.28 mu W under a temperature gradient of 28.3 degrees C and can power a small light-emitting diode. These findings highlight the significant potential of TEGs for wearable devices. Four types of pyrazine-based organic redox couples are compared, and the best-performing one, 2,5-pyrazinedicarboxylic acid dihydrate (PDCA), is subsequently incorporated into a poly(vinyl alcohol)/ polyacrylamide hydrogel at varying concentrations to evaluate its thermoelectric properties. To demonstrate practical applications, nine pieces of the 20 x 10-3 m PDCA-soaked hydrogel are connected in series to form a thermoelectric generator (TEG), showcasing its potential for wearable power generation. image",PDCA-soaked PVA/PAAm double-network hydrogel,pyrazine functional groups tune redox entropy and ionic Seebeck coefficient; PDCA redox couple gives best thermogalvanic performance,iTE1,iTE,iTE1_0225,source_tables/iTE1_first1000_material_mechanism.csv,227,P0188,TG,removed_from_iTE_retained_in_TG,TG_0187
Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,MATERIALS TODAY SUSTAINABILITY,10.1016/j.mtsust.2022.100293,2023,"Harvesting abundant and ubiquitous low-grade thermal energy and simultaneously converting it into electrical energy hold the potential of solving the existing energy crisis. Advances in thermoelectric materials now allow thermoelectric ionogel electrolyte to enhance the energy conversion and storage capacities under a thermal gradient. Here, we report an ionic thermoelectric (i-TE) material based on polyacrylamide (PAM) carboxymethyl cellulose (CMC) double network gel substrate with flexible and high thermal-electrical conversion properties. By combining the thermodiffusion effect of lithium sulfate (Li2SO4) ions and the thermogalvanic effect of [Fe(CN)64-/Fe(CN)63-], which achieved a coupled ionic Seebeck effect of up to 11.58 mV/K, exhibiting a high ionic conductivity (18.4 mS cm-1) and low thermal conductivity (0.47 W m-1/K), resulting in a high ionic power factor (198.2 mW m-1K-2) at room tem-perature. It exhibited an excellent tensile property (634%) and adhesion, and avoids electrolyte leakage to a large extent. Moreover, the application in ionic capacitors also demonstrates the superior thermo-electric conversion capability of i-TE gels. We believe that i-TE materials will pave a new pathway for low-grade thermal harvesting and self-driven flexible wearable electronics.(c) 2022 Elsevier Ltd. All rights reserved.",PAM/CMC/Li2SO4/[Fe(CN)6]4-/3- double-network hydrogel,Li2SO4 thermodiffusion and ferro/ferricyanide thermogalvanic effect couple to raise ionic Seebeck coefficient,iTE1,iTE,iTE1_0231,source_tables/iTE1_first1000_material_mechanism.csv,233,P0180,TG,removed_from_iTE_retained_in_TG,TG_0179
Giant thermopower of ionic gelatin near room temperature,SCIENCE,10.1126/science.aaz5045,2020,"Harvesting heat from the environment into electricity has the potential to power Internet-of-things (IoT) sensors, freeing them from cables or batteries and thus making them especially useful for wearable devices. We demonstrate a giant positive thermopower of 17.0 millivolts per degree Kelvin in a flexible, quasi-solid-state, ionic thermoelectric material using synergistic thermodiffusion and thermogalvanic effects. The ionic thermoelectric material is a gelatin matrix modulated with ion providers (KCl, NaCl, and KNO3) for thermodiffusion effect and a redox couple [Fe(CN)(6)(4-)/Fe(CN)(6)(3-)] for thermogalvanic effect. A proof-of-concept wearable device consisting of 25 unipolar elements generated more than 2 volts and a peak power of 5 microwatts using body heat. This ionic gelatin shows promise for environmental heat-to-electric energy conversion using ions as energy carriers.","gelatin matrix with KCl, NaCl, KNO3, and [Fe(CN)6]4-/3- redox couple","ion salts provide thermodiffusion and ferro/ferricyanide provides thermogalvanic effect, synergistically producing giant thermopower",iTE1,iTE,iTE1_0232,source_tables/iTE1_first1000_material_mechanism.csv,234,P0145,TG,removed_from_iTE_retained_in_TG,TG_0144
Enhanced Thermoelectric Power in Ionic Liquids,CHEMELECTROCHEM,10.1002/celc.201300074,2014,"The thiolate/disulfide organic redox couple (McMT (-) /BMT), derived from 2-mercapto-5-methyl-1,3,4-thiadiazole (McMT), recently proposed as an alternative to usual inorganic couples in dye-sensitized solar cells, exhibits a remarkable reversibility and stability in a thermogalvanic cell containing a 1-ethyl-3methyimidazolium tetrafluoroborate/acetonitrile (EMIMBF4/AN) mixture. The thermoelectric power depends strongly on concentrations of both the ionic liquid and the redox couple. It is enhanced by a factor of six at high ionic-liquid concentrations. The control of these parameters can be used to enhance the thermopower and the thermoelectric efficiency of future ionicliquid thermocells.",EMIMBF4/acetonitrile ionic liquid with McMT-/BMT thiolate/disulfide redox couple,ionic-liquid and redox-couple concentrations tune thermogalvanic redox entropy and enhance thermoelectric power,iTE1,iTE,iTE1_0252,source_tables/iTE1_first1000_material_mechanism.csv,254,P0227,TG,removed_from_iTE_retained_in_TG,TG_0226
Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,10.1016/j.icheatmasstransfer.2026.111281,2026,"Nanoconfinement of liquid electrolytes has been shown to exhibit an enhanced ionic Seebeck coefficient compared with bulk systems. However, experimental understanding of the underlying mechanisms remains limited, particularly for electrolytes confined within sub-nanometer nanochannels reconstructed from twodimensional (2D) layered materials. In this study, we experimentally and numerically investigate the thermoelectric response of both monovalent and multivalent liquid electrolytes in graphene oxide (GO) nanochannel membranes, using KCl as a representative system, to elucidate the governing mechanisms. An ionic Seebeck coefficient exceeding -1.2 mV/K is achieved in GO nanochannels integrated with Ag/AgCl electrodes. By isolating the thermogalvanic contribution of the electrodes, the results reveal that the observed ionic Seebeck coefficient of GO nanochannels is governed by a competition between Soret-type ion thermodiffusion and ion diffusion driven by temperature-dependent ion electrophoretic mobility (TDIEM). In the low-concentration regime, where the electrical double layer (EDL) overlap becomes significant, the TDIEM effect dominates, leading to a large negative ionic Seebeck coefficient. Continuum-based numerical simulations show qualitative agreement with experimental trends. The ionic Seebeck coefficient increases with decreasing electrolyte concentration and increasing temperature difference, accompanied by enhanced surface charge density, and reaches a maximum value of -0.400 +/- 0.038 mV/K at a KCl concentration of 0.1 mM under a temperature difference of 24 K. Moreover, monovalent electrolytes exhibit higher ionic Seebeck coefficients than multivalent electrolytes due to their higher cation mobility and lower ionic heat of transport. These findings provide new insights into nanoconfinement-enhanced ionic thermoelectricity and support the development of nanofluidic-based thermoelectric generators for low-grade heat recovery.",GO nanochannel membrane with KCl and Ag/AgCl electrodes,nanoconfinement thermopower results from competition between Soret ion thermodiffusion and temperature-dependent ion electrophoretic mobility,iTE1,iTE,iTE1_0267,source_tables/iTE1_first1000_material_mechanism.csv,269,P0174,TG,removed_from_iTE_retained_in_TG,TG_0173
"Ionic thermoelectrics based on Poly(3,4-ethylenedioxythiophene):Poly(styrenesulfonate): A mini-review",SYNTHETIC METALS,10.1016/j.synthmet.2026.118182,2026,"Ionic thermoelectric (iTE) materials facilitate the efficient conversion of low-grade heat into electrical energy through ion diffusion, typically exhibiting Seebeck coefficients several orders of magnitude higher than conventional electronic thermoelectric materials. Among various iTE candidates, the mixed ionic-electronic conductor poly(3,4-ethylenedioxythiophene):poly(styrenesulfonate) (PEDOT:PSS) has emerged as a prominent material for flexible thermal energy harvesting applications. This mini-review provides an overview of recent advancements in PEDOT:PSS-based iTE materials and devices. Initially, we compared the thermodiffusion and thermogalvanic mechanisms responsible for ionic thermopower generation. A systematic analysis is presented for both p-type and n-type PEDOT:PSS-based ionic thermoelectric materials. In addition, recent advances in device implementations are highlighted, including thermocapacitive sensors, wearable energy harvesters, and thermogalvanic systems. Key factors affecting performance such as humidity, doping level, morphological characteristics are thoroughly examined, while persistent challenges in stability and scalability are critically assessed. In particular, hybrid ionic-electronic designs are highlighted as a promising strategy to enable continuous power output. Overall, PEDOT:PSS is identified as a viable platform for sustainable and flexible thermoelectric energy harvesting.",PEDOT:PSS-based ionic thermoelectric materials; mini-review,"reviews thermodiffusion and thermogalvanic mechanisms, p/n PEDOT:PSS iTEs, humidity, doping, morphology, and hybrid ionic-electronic designs",iTE1,iTE,iTE1_0275,source_tables/iTE1_first1000_material_mechanism.csv,277,P0170,TG,removed_from_iTE_retained_in_TG,TG_0169
Quasi-solid n-type thermogalvanic thermocells with enhanced ionic conductivity for continuous low-grade heat harvesting,APPLIED PHYSICS LETTERS,10.1063/5.0120728,2022,"Quasi-solid thermocells show great potential to save power terminals from periodic charging but still face the grand challenge of low thermoelectric efficiency. Despite many efforts devoted to improve thermopower, few studies have been reported to address the trade-off between thermopower and ionic conductivity encountered by n-type quasi-solid thermocells. Herein, a directional freeze-thawing method is developed to fabricate high-performance n-type quasi-solid thermocells with hierarchically anisotropic networks, enabling the decoupling of thermopower and ionic conductivity. The n-type thermopower is up to 0.74 mV/K, and the ionic conductivity is independently improved to be about 9.3 S/m. Thus, the output power density reaches similar to 200 mW/m(2), which is the same level among the quasi-solid n-type thermocells. Meanwhile, benefiting from the crystalline domains and alignment structures of the solid network, the thermocells achieve the strength of similar to 380 kPa and an elongation at break of similar to 320%. Moreover, the thermocells work stably when being pressed, bent, and stretched in practical uses. We believe this work not only demonstrates a particularly important example for fabricating high-performance n-type quasi-solid thermocells but also inspires the development of thermocell devices to achieve large-scale low-grade heat harvesting in wearable systems. Published under an exclusive license by AIP Publishing.",directionally freeze-thawed n-type quasi-solid thermocell with anisotropic network,hierarchical aligned network decouples thermopower and ionic conductivity while crystalline domains improve mechanical stability,iTE1,iTE,iTE1_0311,source_tables/iTE1_first1000_material_mechanism.csv,313,P0096,TG,removed_from_iTE_retained_in_TG,TG_0095
Ionic transport properties and their empirical correlations for thermal-to-electrical energy conversion,MATERIALS TODAY PHYSICS,10.1016/j.mtphys.2021.100433,2021,"Thermal-to-electrical energy conversion due to the thermo-diffusion of ions is an emerging field of study, which has attracted significant research efforts over the past several years due to unprecedentedly large thermopower over several mV/K compared to 10(-2)-10(-1) mV/K from conventional electronic thermoelectric materials. Nevertheless, key enabling principles and general rules for achieving the extraordinary properties have yet to be fully unveiled due to the complexity in establishing consolidated theories unlike crystalline solids. Here we suggest empirical relationships between ionic conductivity and ionic thermopower as well as their dependency on relative humidity (RH). It is very intriguing to see both ionic electrical conductivity and ionic thermopower are simultaneously improved as RH is raised, in contrast to their adverse correlation in conventional electronic thermoelectrics, offering potential breakthroughs for large performance enhancement. This paper mainly focuses on the thermo-diffusion of ions called the Soret effect in solid-state polyelectrolytes due to their large thermopower, and their transport properties were described in comparison to electronic Seebeck effects. Representative materials and their device applications are introduced along with underlying physics and perspectives. We anticipate that this work serves as a guide for exercising their outstanding properties as well as opening up new strategies for thermal-to-electrical energy conversion. (C) 2021 Elsevier Ltd. All rights reserved.",solid-state polyelectrolytes for ionic thermoelectrics; review/modeling,relative humidity can simultaneously improve ionic conductivity and ionic thermopower via Soret-effect ion thermodiffusion,iTE1,iTE,iTE1_0324,source_tables/iTE1_first1000_material_mechanism.csv,326,P0297,TG,removed_from_iTE_retained_in_TG,TG_0296
Can charged colloidal particles increase the thermoelectric energy conversion efficiency?,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,10.1039/c7cp01023k,2017,"Currently, liquid thermocells are receiving increasing attention as an inexpensive alternative to conventional solid-state thermoelectrics for low-grade waste heat recovery applications. Here we present a novel path to increase the Seebeck coefficient of liquid thermoelectric materials using charged colloidal suspensions; namely, ionically stabilized magnetic nanoparticles (ferrofluids) dispersed in aqueous potassium ferro-/ferri-cyanide electrolytes. The dependency of thermoelectric potential on experimental parameters such as nanoparticle concentration and types of solute ions (lithium citrate and tetrabutylammonium citrate) is examined to reveal the relative contributions from the thermogalvanic potential of redox couples and the entropy of transfer of nanoparticles and ions. The results show that under specific ionic conditions, the inclusion of magnetic nanoparticles can lead to an enhancement of the ferrofluid's initial Seebeck coefficient by 15% (at a nanoparticle volume fraction of similar to 1%). Based on these observations, some practical directions are given on which ionic and colloidal parameters to adjust for improving the Seebeck coefficients of liquid thermoelectric materials.",ferrofluid of ionically stabilized magnetic nanoparticles in ferro/ferricyanide electrolyte,"charged nanoparticles and electrolyte ions add entropy-of-transfer contributions to redox thermogalvanic potential, increasing Seebeck coefficient under selected conditions",iTE1,iTE,iTE1_0337,source_tables/iTE1_first1000_material_mechanism.csv,339,P0215,TG,removed_from_iTE_retained_in_TG,TG_0214
Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,JOURNAL OF POWER SOURCES,10.1016/j.jpowsour.2024.234647,2024,"Quasi-solid thermoelectrochemical cells (TECs) are promising candidates for wearable energy harvesting devices as they enable the continuous conversion of low-grade heat into electricity. However, the TEC performance remains limited by inadequate ionic conductivity. Herein, a triple-network hydrogel consisting of polyacrylamide/poly(vinyl alcohol)/cellulose nanofiber (PAAM/PVA/CNF) is synthesized via a freeze-thaw method, and soaked in the thermogalvanic redox couple Fe(CN)(6)(3-/4-) as the electrolyte. By optimizing the polymer composition and soaking time, a superior ionic conductivity of 168 mS cm(-1) is achieved while maintaining a thermopower of similar to 1.69 mV K-1 . The high ionic conductivity is provided by the fractal microstructure of the hydrogel, as revealed by small-angle X-ray scattering (SAXS). Moreover, the as-fabricated thermoelectric generator array exhibits an exceptional power output of 28.7 mu W at a temperature difference of 11.9 K. This work provides insights on the development of wearable thermoelectric materials for practical and reliable energy harvesting applications.",PAAm/PVA/CNF triple-network hydrogel soaked with Fe(CN)6 3-/4-,fractal hydrogel microstructure gives high ionic conductivity while redox couple provides thermogalvanic thermopower,iTE1,iTE,iTE1_0370,source_tables/iTE1_first1000_material_mechanism.csv,372,P0150,TG,removed_from_iTE_retained_in_TG,TG_0149
Seebeck coefficients in ionic liquids -prospects for thermo-electrochemical cells,CHEMICAL COMMUNICATIONS,10.1039/c1cc11501d,2011,Measurement of Seebeck coefficients in a range of ionic liquids (ILs) suggests that these electrolytes could enable the development of thermoelectric devices to generate electrical energy from low-grade heat in the 100-150 degrees C range.,ionic liquids for thermo-electrochemical cells,ionic-liquid Seebeck coefficients indicate suitability for low-grade heat conversion around 100-150 C,iTE1,iTE,iTE1_0382,source_tables/iTE1_first1000_material_mechanism.csv,384,P0305,TG,removed_from_iTE_retained_in_TG,TG_0304
A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,10.1021/acssuschemeng.4c10855,2025,"This work addresses the dual challenges of seawater purification and converting low-grade waste heat into electricity, both of which are crucial for sustainable resource management. It presents a combined approach that solves both problems using a self-fabricated device. The device generates a temperature gradient through efficient photothermal conversion by placing thermoelectric hydrogels on top of a photothermal hydrogel. Poly(vinyl alcohol) (PVA) is used as the matrix for the photothermal hydrogel and was selected for its biocompatibility and ease of processing. In order to enhance both the solar-driven water evaporation and photothermal conversion efficiency, ball-milled dititanium trioxide (Ti2O3) nanoparticles and carbon nanotubes (CNTs) are incorporated within the PVA matrix. This approach enables a water evaporation rate as high as 3.22 kg m-2 h-1. Additionally, PVA also serves as the matrix for thermoelectric gels, which are soaked with a K3[Fe(CN)6]/K4[Fe(CN)6] redox pair solution to exploit the thermogalvanic acid (TGC) effect. This arrangement enables voltage generation through redox reactions at the hot and cold ends. The obtained excellent thermoelectric properties can be characterized by the ionic Seebeck coefficient (S i ) of 1.48 mV K-1 and a power density of 9.6 mW m-2 after nine thermoelectric hydrogels were connected in series. As a result, this dual-functional device simultaneously and effectively purifies seawater and generates electricity. Outdoor testing shows a daily water production of 9.2 kg m-2 and a stable voltage generation of 130 mV from the thermoelectric hydrogels. This approach advances water purification and energy generation technologies and opens new avenues for innovative applications in renewable energy.",PVA photothermal hydrogel with Ti2O3 nanoparticles and CNTs plus PVA/K3[Fe(CN)6]/K4[Fe(CN)6] thermoelectric gels,photothermal hydrogel creates temperature gradient while ferri/ferrocyanide thermogalvanic redox reactions generate voltage,iTE1,iTE,iTE1_0634,source_tables/iTE1_first1000_material_mechanism.csv,636,P0136,TG,removed_from_iTE_retained_in_TG,TG_0135
Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,NANO ENERGY,10.1016/j.nanoen.2022.108077,2023,"Thermoelectric hydrogels can be used as energy conversion devices to convert low-grade heat into practical electricity for sustainable energy supply. However, current redox couple-based thermogalvanic gel electrolytes contain toxic metal elements, limiting their non-toxic and environmentally sustainable development. Here, a stretchable, flexible gel thermoelectric device is created by introducing a novel non-toxic redox couple of SO42-/ SO32-for the first time, which exhibits a high Seebeck coefficient (Se) of 1.63 mV K-1 at the optimal redox couple concentration of 0.1 M. The tensile/compressive stress and deformation at break of the hydrogel electrolyte achieves a superior index due to the hybrid structure formed between PEDOT: PSS and SO42-/SO32-ion-promoted crosslinking PVA network. By subtly doping additional electrolyte ions, the gel affords a favorable ionic con-ductivity and thermoelectric performance. Furthermore, this PVA-SO4/3 2-hydrogel shows the capacity of har-vesting biothermal energy for operating small electronics at body temperature. This work breaks with conventional redox couples and represents a step towards green sustainable self-powered wearables using a new redox couple with a favorable thermoelectric performance.",PVA-SO4/SO3 hydrogel with PEDOT:PSS and SO4 2-/SO3 2- redox couple,non-toxic sulfate/sulfite redox couple and ion-promoted PVA crosslinking enable thermogalvanic biothermal harvesting,iTE1,iTE,iTE1_0638,source_tables/iTE1_first1000_material_mechanism.csv,640,P0062,TG,removed_from_iTE_retained_in_TG,TG_0061
Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2026.175294,2026,"Despite the significant demand for harvesting low-grade thermal energy and providing timely fire warning, conventional thermoelectric materials face limitations in efficiency, stability, and multifunctionality. Moreover, the advancement of ionic p-n junction devices is impeded by the scarcity of high-performance n-type ionic hydrogels. Herein, we present a flame-retardant n-type ionic thermoelectric hydrogel (RTIG) that synergistically combines thermodiffusion and thermogalvanic effect to achieve self-signaled fire warning alongside enhanced heat harvesting. Fabricated via UV-polymerization in a BmimH2PO4/water solvent followed by FeCl3/FeCl2 impregnation, RTIG demonstrated robust mechanical flexibility (1389% elongation, 0.48 MPa strength) and high ionic conductivity (0.3 S m- 1). The synergistic interplay of ion thermodiffusion (Bmim+/H2PO4- ) and thermogalvanic effect (Fe2+/Fe3+) yielded a high n-type Seebeck coefficient of -6.50 mV center dot K- 1, enabling efficient heatto-electric conversion (76.1 mV, 144.3 nW at Delta T = 12 K). Remarkably, RTIG enabled self-signaled fire alarm activation within 2 s triggered by a rapid voltage surge (74.65 mV) and exhibited exceptional flame retardancy (LOI = 59%, 26.5% reduction of PHRR) attributed to phosphorus-iron synergistic char formation. Additionally, it functioned as a stable supercapacitor (52.4 F center dot g- 1). This work provides a versatile multifunctional platform for next-generation wearable and Internet-of-Things applications.",BmimH2PO4/water/FeCl3/FeCl2 n-type ionic hydrogel (RTIG),Bmim+/H2PO4- thermodiffusion and Fe2+/Fe3+ thermogalvanic redox synergistically produce n-type Seebeck response and fire-warning voltage,iTE1,iTE,iTE1_0645,source_tables/iTE1_first1000_material_mechanism.csv,647,P0080,TG,removed_from_iTE_retained_in_TG,TG_0079
