paper_id,evidence_type,raw_evidence,use_in_embedding_map,use_as_graph_node
P0026,material formulation,all-inorganic hydrogel TGC with Fe2+/Fe3+ redox couple and Fe(OH)3 transformation,True,False
P0026,mechanism statement,"hydrogen-bonded inorganic gel framework and temperature/pH-controlled Fe3+/Fe(OH)3 equilibrium enable recurrent gelation, thermopower, and thermochromism",True,False
P0027,material formulation,GelMA thermogalvanic cells with GdmCl and Fe(CN)6 3-/4-,True,False
P0027,mechanism statement,guanidinium-induced ferricyanide/ferrocyanide crystallization and hydrogel nanochannel control greatly increase Seebeck coefficient,True,False
P0028,material formulation,"fully printed TGM with hybrid current collectors, activated carbon electrodes, adhesive seal, laser-drilled spacer",True,False
P0028,mechanism statement,additive printing integrates many thermogalvanic cells with aqueous redox electrolytes for scalable low-grade heat harvesting,True,False
P0029,material formulation,thermogalvanic electrolytes screened by AI/DFT ion-solvent interaction features,True,False
P0029,mechanism statement,machine learning links solvation features and polarity to large redox solvation entropy differences and high thermopower,True,False
P0030,material formulation,quasi-solid K3Fe(CN)6/K4Fe(CN)6 thermogalvanic cell with 18-crown-6,True,False
P0030,mechanism statement,"18-crown-6 complexes K+ and amplifies cation thermodiffusion, adding Soret contribution to thermogalvanic voltage",True,False
P0031,material formulation,graphene oxide-enhanced hydrogel with [Fe(CN)6]4-/3- and guanidine hydrochloride,True,False
P0031,mechanism statement,"GO adsorbs guanidinium and nucleates ferrocyanide crystallization, strengthening the thermogalvanic effect",True,False
P0032,material formulation,organic thermogalvanic hydrogel with benzoquinone/hydroquinone redox pair and ethylene glycol,True,False
P0032,mechanism statement,"optimized BQ/H2BQ reversible electrode reaction and EG solvent exchange provide fast, stable thermal sensing",True,False
P0033,material formulation,PVA/PEG/Fe3+/Fe2+ thermogalvanic organohydrogel with DMSO/H2O,True,False
P0033,mechanism statement,Hofmeister-assisted rapid gelation and strong DMSO-water hydrogen bonds give moldable antifreezing thermogalvanic temperature/level sensing,True,False
P0034,material formulation,anionic polymer/hydroquinone-benzoquinone n-type thermogalvanic cell,True,False
P0034,mechanism statement,"anionic polymer self-regulates pH and selectively transports HQ, shifting HQ/BQ equilibrium and creating high n-type thermopower",True,False
P0035,material formulation,"SO42-/SO32- redox couple with 3,6-bis(morpholin-4-ylethyl)-1,2,4,5-tetrazine molecular chaperone",True,False
P0035,mechanism statement,molecular chaperone sustains redox concentration gradients and accelerates SO42-/SO32- thermogalvanic kinetics,True,False
P0036,material formulation,PVA/agar H2O/glycerol hydrogel with [Fe(CN)6]3-/4- redox couple,True,False
P0036,mechanism statement,finger/body temperature gradients generate thermogalvanic signatures for self-powered biometric recognition,True,False
P0037,material formulation,alkaline fuel cell coupled with thermogalvanic cells,True,False
P0037,mechanism statement,"AFC waste heat drives TGCs in a thermal-electric cascade, improving power density and conversion efficiency",True,False
P0038,material formulation,"pyroelectric, thermomagnetic, and thermogalvanic thermal-energy harvesters",True,False
P0038,mechanism statement,low-grade heat recovery depends on mechanism-specific thermal cycling/redox/magnetic parameters and materials/device structure,True,False
P0039,material formulation,stretchable thermogalvanic hydrogel thermocell with guanidine and [Fe(CN)6]4-/3-,True,False
P0039,mechanism statement,guanidine-induced ferrocyanide crystallization raises thermopower and power density while antifreezing hydrogel enables wearable heat harvesting,True,False
P0040,material formulation,edible gelatin/glycerol hydrogel with I-/I3- redox pair,True,False
P0040,mechanism statement,thermogalvanic and piezoresistive effects convert body temperature/mechanical physiological motions into self-powered fatigue-monitoring signals,True,False
P0041,material formulation,gold electrodes modified with (3-trimethylammonium bromide)thiopropane SAMs in K3/K4[Fe(CN)6] thermocells,True,False
P0041,mechanism statement,electrostatically charged SAMs electrocatalyze ferri/ferrocyanide redox and suppress gold passivation,True,False
P0042,material formulation,PVA-PDMS gel with Fe2+/Fe3+ redox pair and AuNPs@SiO2-PDMS photothermal film,True,False
P0042,mechanism statement,Au plasmonic photothermal heating creates local temperature gradients that drive thermogalvanic gel output for motion sensing,True,False
P0043,material formulation,interpenetrating thermogalvanic hydrogel with [Fe(CN)6]3-/4- and KCl,True,False
P0043,mechanism statement,finger heat drives redox thermogalvanic current while KCl supports thermodiffusion for self-powered Morse-code information conversion,True,False
P0044,material formulation,Na-K alloy phase-transforming electrodes in thermogalvanic cells,True,False
P0044,mechanism statement,solid-to-liquid melting entropy and configurational entropy of alkali alloy electrodes sharply increase thermopower across transition,True,False
P0045,material formulation,thermogalvanic hydrogel with redox ions in micro/nanochannels for lactic acid sensor,True,False
P0045,mechanism statement,salting-out confined ion transport tunes thermoelectric performance and powers lactic acid sensing,True,False
P0046,material formulation,quasi-solid thermogalvanic cells with Ni textile/Ni oxide electrodes and structure-breaking salts,True,False
P0046,mechanism statement,oxidized Ni textile O-vacancy defects enhance redox reactions and structure-breaking salts improve ion diffusion,True,False
P0047,material formulation,flexible quasi-solid hydrogel thermocell with multivalent redox ions,True,False
P0047,mechanism statement,redox ions provide thermogalvanic conversion and reversible ionic crosslinks for mechanical robustness,True,False
P0048,material formulation,bacterial cellulose thermogalvanic cell with Fe(CN)6 3-/4- and LiBr hygroscopic salt,True,False
P0048,mechanism statement,bacterial cellulose confines redox ions and LiBr prevents drying/freezing for wide-temperature heat harvesting,True,False
P0049,material formulation,quinone/hydroquinone organic thermogalvanic cell with HCl and copper electrode,True,False
P0049,mechanism statement,"HCl accelerates Q/HQ redox kinetics and induces thermogalvanic copper corrosion, synergistically boosting output",True,False
P0050,material formulation,EG/SA/LA composite heat-storage electrodes in solar thermogalvanic cells,True,False
P0050,mechanism statement,photothermal/phase-change heat storage smooths solar fluctuations and sustains temperature difference for longer discharge,True,False
P0051,material formulation,Cu/Cu2+ DMSO/water thermoelectric organohydrogel with PDMS/CuO/Cu electrodes,True,False
P0051,mechanism statement,"photo-thermal-electric conversion creates a temperature difference across Cu/Cu2+ organohydrogel, generating self-powered non-contact sensing output",True,False
P0052,material formulation,ethylene glycol/water antifreezing hydrogel with [Fe(CN)6]3-/4- redox ions,True,False
P0052,mechanism statement,ethylene glycol-water hydrogen bonding suppresses freezing while ferri/ferrocyanide thermogalvanic redox converts human heat to electricity,True,False
P0053,material formulation,stretchable thermogalvanic hydrogel thread prepared by liquid-nitrogen quenching,True,False
P0053,mechanism statement,"ultrafast quenching refines grains and inhibits thermosensitive crystal precipitation, increasing ion utilization and promoting redox reactions",True,False
P0054,material formulation,DMSO/water thermogalvanic organohydrogel electrolyte with Sn2+/Sn4+ and NaCl,True,False
P0054,mechanism statement,Sn2+/Sn4+ thermogalvanic redox converts touch/temperature differences to signals while DMSO-water hydrogen bonding gives anti-freezing and anti-drying behavior,True,False
P0055,material formulation,large-dimension gelled thermogalvanic thermocells using water-water or air-air thermal source/sink,True,False
P0055,mechanism statement,gelation thermally isolates electrodes and maintains larger temperature differences for entropy-driven thermogalvanic power generation,True,False
P0056,material formulation,aqueous [Fe(CN)6]3-/[Fe(CN)6]4- thermogalvanic cell with CoO nanowire/carbon-cloth and Co2Fe(CN)6/CoO asymmetric electrodes,True,False
P0056,mechanism statement,temperature-dependent CoO-ferrocyanide reaction self-assembles asymmetric catalytic electrodes that lower electronic activation energy at hot and cold sides,True,False
P0057,material formulation,cross-linked PVA/gelatin hydrogel in DMSO/water with PDMS solar absorber,True,False
P0057,mechanism statement,binary solvent forms microcrystalline stretchable transparent gel while photothermal heating drives thermogalvanic voltage under sunlight,True,False
P0058,material formulation,smart thermogalvanic hydrogel film with ions and water,True,False
P0058,mechanism statement,"ions undergo thermogalvanic redox conversion while water evaporation removes heat, enabling simultaneous evaporative cooling and electricity generation",True,False
P0059,material formulation,anhydrous DMSO/ethylene glycol thermogalvanic gel with Fe3+/Fe2+,True,False
P0059,mechanism statement,DMSO-EG hydrogen bonding prevents crystallization/evaporation and maintains flexible thermogalvanic conversion across wide temperatures,True,False
P0060,material formulation,thermogalvanic cell transport model with ionic/neutral-component formalisms,True,False
P0060,mechanism statement,"nonequilibrium thermodynamics relates Seebeck, Peltier, and Soret effects; heat-flux definition controls interpretation of interfacial heat and cell thermopower",True,False
P0061,material formulation,PVA/gelatin dual-network H2O/glycerin thermogalvanic gel with Fe(CN)6 3-/4-,True,False
P0061,mechanism statement,glycerin-water solvent limits water hydrogen bonding for antifreezing/antidrying durability while breath heat drives thermogalvanic respiratory signals,True,False
P0062,material formulation,PVA-PEDOT:PSS hydrogel with SO42-/SO32- redox couple,True,False
P0062,mechanism statement,SO42-/SO32- provides non-toxic thermogalvanic redox and promotes PVA crosslinking/PEDOT:PSS hybrid structure for biothermal energy harvesting,True,False
P0063,material formulation,Fe2+/Fe3+ hydrogel thermogalvanic cells with organic solvents including tetramethylene sulfone,True,False
P0063,mechanism statement,"organic solvent donor number changes Fe2+/Fe3+ solvation-shell entropy difference, tuning and boosting Seebeck coefficient",True,False
P0064,material formulation,Fe2+/Fe3+ hydrogel thermogalvanic generator with MWCNT-based flexible electrodes,True,False
P0064,mechanism statement,body-ambient temperature gradients drive thermogalvanic voltage while flexible electrodes/gel patch enable self-powered temperature and pulse sensing,True,False
P0065,material formulation,"cobalt(ii/iii) sarcophagine [Co(SARH2)]4+/5+ in water, DMSO, and ionic-liquid solvents",True,False
P0065,mechanism statement,"low-dielectric bulky solvents enable pendant amine charge-additivity with Co2+/3+ core, increasing redox entropy and Seebeck coefficient",True,False
P0066,material formulation,binary-solvent thermogalvanic gel electrolyte with I-/I3- redox pair,True,False
P0066,mechanism statement,binary solvent weakens water-water hydrogen bonding for temperature tolerance and anti-drying while iodide/triiodide redox gives self-powered temperature monitoring,True,False
P0067,material formulation,gel electrolyte thermogalvanic generator with Fe3+/Fe2+ and microporous PVDF diaphragm,True,False
P0067,mechanism statement,"PVDF thermal barrier reduces thermal conductivity between cell halves, improving Seebeck response for body-heat-powered monitoring and cooling",True,False
P0068,material formulation,gelatin thermoelectric gel with SO32-/SO42- redox pair,True,False
P0068,mechanism statement,non-toxic sulfite/sulfate thermogalvanic redox converts food temperature differences to self-powered sensing signals,True,False
P0069,material formulation,thermogalvanic gel electrolyte with porous CNT/PDMS organic carbon sponge,True,False
P0069,mechanism statement,"photothermal carbon sponge converts light to heat, driving lower thermogalvanic gel voltage proportional to light intensity",True,False
P0070,material formulation,desert sand grains mixed with Cu(NO3)2 aqueous electrolyte quasi-solid Cu thermogalvanic cell,True,False
P0070,mechanism statement,sand-grain quasi-solid matrix with Cu2+ electrolyte gives high n-type Seebeck response and Carnot efficiency under a small temperature gradient,True,False
P0071,material formulation,I-/I3- thermogalvanic cell with thermoresponsive diblock copolymers,True,False
P0071,mechanism statement,"anion-polymer interactions and thermally induced micellization redistribute ions, invert hot/cold redox reactions, and enable p-n conversion",True,False
P0072,material formulation,TEMPO-substituted polyacrylamide PTAm/ox-PTAm n-type thermogalvanic polymer,True,False
P0072,mechanism statement,redox-induced conformational entropy changes in TEMPO/oxoammonium polymer states generate n-type thermopower,True,False
P0073,material formulation,planar interdigitated thermogalvanic hydrogel with MXene electrodes and PAAm-Fe(CN)6 3-/4- hydrogel,True,False
P0073,mechanism statement,"strain modulates ferri/ferrocyanide hydrogel redox kinetics under a thermal gradient, producing coupled strain-voltage handwriting signals",True,False
P0074,material formulation,soft stretchable thermogalvanic fabric woven from alternating p/n hydrogel-based fibers,True,False
P0074,mechanism statement,p/n thermogalvanic hydrogel fibers harvest body heat conformally while fabric geometry improves deformation tolerance and heat transfer,True,False
P0075,material formulation,stretchable thermogalvanic hydrogel elastomer dual temperature-pressure ionic skin,True,False
P0075,mechanism statement,thermogalvanic voltage supplies temperature sensing and stable elastic modulus enables pressure sensing without signal interference during stretching,True,False
P0076,material formulation,"cellulose fiber porous aerogel thermogalvanic cell with liquid electrolyte, reduced graphene oxide absorber, and CNT electrodes",True,False
P0076,mechanism statement,"porous cellulose aerogel limits heat transfer and rGO absorbs solar heat, maintaining electrode temperature difference for power generation",True,False
P0077,material formulation,thermogalvanic cells integrated with radiative sky cooling nighttime generator,True,False
P0077,mechanism statement,radiative cooling creates nighttime temperature gradients and optimized heat/mass transfer maximizes thermogalvanic power output,True,False
P0078,material formulation,PVA hydrogel incorporating Fe2+/Fe3+ redox couple,True,False
P0078,mechanism statement,constrained PVA network perturbs Fe2+/Fe3+ solvation shells and increases configurational entropy contribution to ionic migration entropy,True,False
P0079,material formulation,ferri/ferrocyanide thermogalvanic gel heat-flux sensor array,True,False
P0079,mechanism statement,high Seebeck ferri/ferrocyanide gel transduces heat flux/radiative thermal input into voltage maps for spatial sensing,True,False
P0080,material formulation,flame-retardant BmimH2PO4/water ionic hydrogel impregnated with FeCl3/FeCl2,True,False
P0080,mechanism statement,Bmim+/H2PO4- thermodiffusion and Fe2+/Fe3+ thermogalvanic effect synergistically produce n-type voltage; phosphorus-iron char formation gives fire warning/flame retardancy,True,False
P0081,material formulation,redox-split thermogalvanic cell with nickel-bipyridine complex and weakly coordinating anions,True,False
P0081,mechanism statement,temperature-gradient-driven localized hot-side oxidation creates chemical heterogeneity and concentration-gradient effects that augment thermopower,True,False
P0082,material formulation,dual-layer self-powered thermogalvanic hydrogel wristband patches,True,False
P0082,mechanism statement,body-ambient thermogalvanic harvesting couples with deformation-reduced interfacial resistance gating to amplify mechanical sensing current,True,False
P0083,material formulation,"PVA/gelatin double-network hydrogel with Fe(CN)6 3-/4- and TiO2, WO3, ZnO modified carbon-cloth electrodes",True,False
P0083,mechanism statement,metal oxide nanostructures enlarge electroactive area and oxygen vacancies; TiO2-ferrocyanide coordination facilitates interfacial charge transfer,True,False
P0084,material formulation,ZnAl-LDH cross-linked P(AM-ANA)/CMCS thermogalvanic hydrogel with Fe(CN)6 3-/4- in water-methanol,True,False
P0084,mechanism statement,"ZnAl-LDH selectively binds ferrocyanide, increases redox entropy difference, and creates anion transport pathways while reinforcing hydrogel",True,False
P0085,material formulation,aqueous ferro/ferricyanide thermogalvanic electrolyte with potassium polyacrylate,True,False
P0085,mechanism statement,PAA-/K+ polyelectrolyte-redox interactions modify hydration shells and increase redox entropy difference despite higher viscosity,True,False
P0086,material formulation,liquid thermogalvanic cells modeled with thermal resistance network,True,False
P0086,mechanism statement,"internal thermal resistance regulates electrode temperature changes and concentration overpotential, balancing heat transfer and mass transport for stable discharge",True,False
P0087,material formulation,"thermogalvanic microneedle patch with LFIA, PtPB@PEG@hairpin aptamer nanoparticles, quercetin phase-transition microneedles",True,False
P0087,mechanism statement,"photothermal-thermoelectric coupling powers transdermal 8-OH-dG extraction; aptamer/nanozyme and SERS enable detection, NIR photothermal release enables therapy",True,False
P0088,material formulation,"thermogalvanic cells with Split P, Schwarz P, Gyroid, and IWP triply periodic minimal surface structures",True,False
P0088,mechanism statement,"TPMS geometries alter thermal resistance and natural convection, controlling temperature difference across thermogalvanic cells",True,False
P0089,material formulation,"thin-film Li-ion TREC electrode materials LiMn2O4, Li4Ti5O12, LiFePO4, anatase TiO2, Cl-doped amorphous TiO2",True,False
P0089,mechanism statement,"thermogalvanic characterization links electrode thermogalvanic coefficient, lithiation-state dependence, and kinetics to TREC material selection",True,False
P0090,material formulation,aqueous ferri/ferrocyanide electrolyte with guanidinium and urea additives,True,False
P0090,mechanism statement,guanidinium chaotropic cations and urea amide derivatives synergistically enlarge redox entropy difference and boost Seebeck coefficient,True,False
P0091,material formulation,thin-film Si Li-ion electrodes with LiPON coating,True,False
P0091,mechanism statement,"thermogalvanic profiles reveal formation, passivation, and later degradation of electrolyte decomposition layers on Si electrodes",True,False
P0092,material formulation,thermocells with gelled/partially gelled electrolytes and heat-flux sensor measurement,True,False
P0092,mechanism statement,direct heat-flux measurement separates electrical output from actual heat flow; gelation suppresses convection/radiation losses and improves true efficiency,True,False
P0093,material formulation,I-/I3- thermogalvanic cell with PNIPAM thermosensitive nanogels,True,False
P0093,mechanism statement,"PNIPAM nanogels selectively capture I3- at hot side and release at cold side, creating free-I3- concentration gradient and p-n Seebeck inversion",True,False
P0094,material formulation,K3[Fe(CN)6]/K4[Fe(CN)6] thermocells with alkali chloride/sulfate homogeneous electrocatalysts and Pt/graphite electrodes,True,False
P0094,mechanism statement,redox ratio/concentration follow Nernst and Butler-Volmer behavior; CsCl alters solvation and electrocatalyzes electron transfer to raise power,True,False
P0095,material formulation,superabsorbent polymer hydrogel matrices hosting [Fe(CN)6]3-/4- and Fe2+/3+ redox ions,True,False
P0095,mechanism statement,"highly charged monolithic hydrogels host concentrated redox ions, reducing leakage and supporting both thermogalvanic conversion and thermocapacitive storage",True,False
P0096,material formulation,n-type quasi-solid thermocells with hierarchically anisotropic networks from directional freeze-thawing,True,False
P0096,mechanism statement,"aligned crystalline network decouples n-type thermopower and ionic conductivity, improving power while maintaining mechanical stability",True,False
P0097,material formulation,iron chloride complexes with anionic polycarboxylate/polyaminocarboxylate ligands including NTA and DTPA/DEPTA,True,False
P0097,mechanism statement,safer iron-ligand anionic redox couples tune thermodynamics and kinetics to replace ferri/ferrocyanide in thermogalvanic cells,True,False
P0098,material formulation,concentrated aqueous ferricyanide/ferrocyanide water-in-salt electrolytes with Na+/K+ counterions,True,False
P0098,mechanism statement,Na+/K+ synergy increases redox concentration but water-in-salt physicochemical limits impede proportional power gains,True,False
P0099,material formulation,Cu/CuSO4 thermogalvanic cells with H2SO4 background electrolyte,True,False
P0099,mechanism statement,Cu/Cu2+ thermogalvanic redox under solar-attic temperature gradients converts low-grade heat to charge a battery,True,False
P0100,material formulation,thin-film anatase TiO2 Li-ion thermogalvanic electrode cell,True,False
P0100,mechanism statement,iterative lithiation-state-controlled thermogalvanic profiling measures temperature-dependent equilibrium potential and nanoscale phase behavior for TREC design,True,False
P0101,material formulation,gamma-butyrolactone-based high-density thermogalvanic electrolyte in microchannel forced-convection cooling cell,True,False
P0101,mechanism statement,"microchannel flow forms thin thermal boundary layer on hot surface, maintaining large interelectrode temperature difference for redox thermogalvanic power during cooling",True,False
P0102,material formulation,carbon nanotube/cellulose nanocrystal photothermal nanocomposite with sponge-confined electrolyte hybrid pyroelectric/thermogalvanic generator,True,False
P0102,mechanism statement,CNT/CNC photothermal/electrical conductivity and sponge heat localization enable simultaneous thermogalvanic and pyroelectric conversion across day/night conditions,True,False
P0103,material formulation,"thermogalvanic cells/electrolytes measured by load, current, potential, chronoamperometry, and LSV methods",True,False
P0103,mechanism statement,"measurement protocol, timescale, and electrode configuration strongly affect apparent current and power; normalized power by temperature difference is unreliable",True,False
P0104,material formulation,"aqueous Fe(ii)/Fe(iii) salts: ammonium iron sulfate, iron sulfate, iron triflate, iron nitrate",True,False
P0104,mechanism statement,"anion identity and pH control Fe(ii/iii) speciation/equilibria, changing Seebeck coefficient, current, and power output",True,False
P0105,material formulation,aqueous iron(ii/iii) sulfate with sodium sulfate or sodium hydrogen sulfate,True,False
P0105,mechanism statement,sulfate/bisulfate speciation forms n-type [Fe(SO4)2]-/2- or p-type [FeSO4]0/+ and [Fe(HSO4)]+/2+ thermocells safely,True,False
P0106,material formulation,"PPy broadband absorber/radiator, thermogalvanic cell, and Cu foam/PEG1000 thermal storage material",True,False
P0106,mechanism statement,"integrated heating, radiative cooling, and thermal storage maintain day/night temperature differences for continuous thermogalvanic output",True,False
P0107,material formulation,gelled ferri/ferrocyanide thermogalvanic cells with gold nanoparticles at gel/electrode interface or throughout gel,True,False
P0107,mechanism statement,Au nanoparticles lower electron-transfer resistance initially but dissolve to passivating Prussian-blue analogues under ferri/ferrocyanide thermogalvanic conditions,True,False
P0108,material formulation,thermogalvanic cells with three electrode materials analyzed by electrochemical impedance,True,False
P0108,mechanism statement,impedance model extracts kinetic rate constants and ion diffusion coefficients to diagnose electron-transfer and mass-transport limits,True,False
P0109,material formulation,H2/H+ reversible hydrogen thermogalvanic cell with gas-containing electrolyte and 3D-printed H2/electrolyte microchannels,True,False
P0109,mechanism statement,internal gas/liquid transport and water-vapor entropy reduce heat convection and accelerate H2/H+ redox conversion,True,False
P0110,material formulation,Au sheet in alkaline ferri-/ferrocyanide solution thermogalvanic temperature sensor,True,False
P0110,mechanism statement,large Peltier coefficient at electrode-electrolyte junction enables microkelvin surface-temperature sensing limited by electrochemical thermal noise,True,False
P0111,material formulation,samarium(III) chloride inserted into mesoporous SiO2 hybrid structure,True,False
P0111,mechanism statement,"thermostimulated depolarization shows thermogalvanic effect linked to dielectric permittivity, illumination, and magnetic-field-dependent local fields",True,False
P0112,material formulation,potassium ferrocyanide/ferricyanide gel electrolyte film with carbon cloth electrodes thermally chargeable supercapacitor,True,False
P0112,mechanism statement,ferri/ferrocyanide thermogalvanic Seebeck effect thermally charges redox pseudocapacitance for simultaneous energy conversion and storage,True,False
P0113,material formulation,PEDOT-Tos conducting polymer electrodes with ferro/ferricyanide redox electrolyte,True,False
P0113,mechanism statement,increased PEDOT-Tos thickness/multilayers improve electrode kinetics and approach platinum-like thermogalvanic power output,True,False
P0114,material formulation,proton-exchange-membrane hydrogen thermogalvanic cell with H2 in anode/cathode chambers,True,False
P0114,mechanism statement,"temperature gradient consumes H2 at cold side and regenerates it at hot side, circulating hydrogen for solid-state thermogalvanic conversion",True,False
P0115,material formulation,LiCoO2/Li battery stacks in dual-temperature and single-temperature thermogalvanic systems,True,False
P0115,mechanism statement,cyclic temperature changes charge/discharge lithium electrochemical stacks through temperature-dependent equilibrium potentials,True,False
P0116,material formulation,"hybrid thermogalvanic/concentration galvanic cell with NaOH solutions, Ag/Ag2O or Fe/Fe(OH)2 electrodes, water-vapor chamber",True,False
P0116,mechanism statement,temperature-gradient distillation and NaOH hydrate solubility sustain concentration differences that add galvanic voltage to thermogalvanic conversion,True,False
P0117,material formulation,flexible carbon/orange dye aqueous organic semiconductor/carbon thermogalvanic cell,True,False
P0117,mechanism statement,organic orange dye redox/semiconductor solution under heat or illumination temperature gradients produces negative thermogalvanic voltage,True,False
P0118,material formulation,steel-reinforced concrete and carbon steel/stainless steel couples in NaOH or chloride Ca(OH)2 solutions,True,False
P0118,mechanism statement,temperature gradients reverse anodic/cathodic behavior near a 30 C critical point and drive thermogalvanic corrosion currents,True,False
P0119,material formulation,ferri/ferrocyanide and iodide/triiodide redox couples at platinum and stainless-steel electrodes,True,False
P0119,mechanism statement,iodide/triiodide thermogalvanic redox combines with iodine-induced stainless-steel thermogalvanic corrosion to greatly increase apparent Seebeck coefficient,True,False
