pair_id,left_mention_id,right_mention_id,left_label,right_label,judge_decision,judge_reason,review_mode,dsh_reason,left_evidence,right_evidence,source_locator,merge_applied
pair:ea4ba4428edd62892f1d,TG:P0026:n1,TG:P0290:n2,temperature and pH,ferromagnetic iron compounds,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧为温度/pH条件，右侧为铁磁性铁化合物，原文无任何交联表述，关系无法判定。,"As the temperature and pH coregulating Fe3+ concentration and reversible transformation between Fe3+ and Fe(OH)3, we boost thermopower and realize thermochromism.",Vibration magnetometric analysis revealed the fact of iron oxidation in the ferrocene structure with the formation of ferromagnetic iron compounds.,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:ea4ba4428edd62892f1d,False
pair:38db471ac295febe290f,TG:P0027:n1,TG:P0046:n4,guanidium chloride (GdmCl) salts,structure-breaking salts,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,两侧分别是具体盐 GdmCl 与功能类“结构破坏盐”，原文均未说明 GdmCl 是否属于结构破坏盐，缺乏归属证据。,guanidium chloride (GdmCl) salts are directly introduced into the TGCs to enhance the Seebeck coefficient via ioninduced crystallization in the p-type FeCN 6 3 - /FeCN 6 4 - redox system.,the structure-breaking salts facilitate redox reactions and improve ion diffusion by disrupting water structures in the hydrogel electrolyte.,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:38db471ac295febe290f,False
pair:b32c5e6dc27a91f00be2,TG:P0031:n4,TG:P0174:n2,thermogalvanic effect,TDIEM effect,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,TDIEM 缩写未在原文展开，且无直接证据说明其与 thermogalvanic effect 是同一、上下位或机制关联，无法可靠判定。,"GO serves as a nucleation template by adsorbing guanidinium ions, thereby inducing the crystallization of [Fe(CN)6]4-and enhancing the thermogalvanic effect.","In the low-concentration regime, where the electrical double layer (EDL) overlap becomes significant, the TDIEM effect dominates, leading to a large negative ionic Seebeck coefficient.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:b32c5e6dc27a91f00be2,False
pair:d21134f6813a1d0b8594,TG:P0034:n1,TG:P0071:n1,AP,anionpolymer interaction,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,缩写“AP”未在原文中展开，无法确认其是否指代“anion-polymer”相互作用，两侧证据不足以判定关系。,"The AP facilitates self-regulation of the pH in the polymer matrix, which controls the equilibrium between the HQ and its redox partner, benzoquinone (BQ).","By combining the distinct anionpolymer interaction and the micellization of the diblock copolymer, variable concentrations of ions invert the redox reactions at hot and cold sides.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:d21134f6813a1d0b8594,False
pair:f8fecc8f0aa73ce001dc,TG:P0035:n1,TG:P0289:n1,MC,electrochemically accessible surface areas,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧缩写“MC”未在证据中定义，其指代不清；且左侧为物质实体、右侧为电极表面面积这一量，两侧原文未建立任何可判定的语义或机制联系。,"The MC facilitates continuous redox species concentration gradients near the electrodes through in situ redox reactions, significantly boosting thermoelectric voltage.","These electrodes provide high electrochemically accessible surface areas and fast redox-mediated electron transfer, which significantly enhances thermocell current generation capacity and overall efficiency.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:f8fecc8f0aa73ce001dc,False
pair:76d28e285e596cbf6f6a,TG:P0035:n2,TG:P0046:n2,in situ redox reactions,O vacancy defects,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,两侧分属不同论文，一为 in situ redox reactions 过程、一为 O vacancy defects 结构，原文未给出二者直接关联或异同的证据。,"The MC facilitates continuous redox species concentration gradients near the electrodes through in situ redox reactions, significantly boosting thermoelectric voltage.",forming numerous O vacancy defects that enhance redox reactions,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:76d28e285e596cbf6f6a,False
pair:094d943cf9ef4e961b74,TG:P0039:n3,TG:P0174:n2,thermogalvanic effect,TDIEM effect,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,原文只给出缩写 TDIEM 及其在低浓度区主导并产生负离子 Seebeck 系数，未定义其实质，无法判定与 thermogalvanic effect 是同义、上下位还是另一机制。,significantly enhances the thermogalvanic effect,"the TDIEM effect dominates, leading to a large negative ionic Seebeck coefficient",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:094d943cf9ef4e961b74,False
pair:9bb894e2b90cfb298d04,TG:P0041:n4,TG:P0248:n1,gold passivation,MEMSA hydroxide and guanidine hydrochloride,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧为金电极钝化现象，右侧为改性电解质所用两种化合物；两侧分属不同论文的不同机制，原文未给出任何直接语义或机制联系，无法可靠判定。,"protection against [Fe(CN)6]3-/4--induced gold passivation, relative to bare gold","Additionally, modifications with MEMSA hydroxide and guanidine hydrochloride improved the solvation structure of [Fe(CN)6]3-, resulting in an enhanced Seebeck coefficient from 0.72 to 5.632 mV K-1.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:9bb894e2b90cfb298d04,False
pair:1c51627d4d816123bfa6,TG:P0042:n2,TG:P0051:n1,local surface plasmon resonance (LSPR),PDMS/CuO/Cu electrodes,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧为金纳米颗粒的等离激元共振机制，右侧为电极材料，两侧原文中并无任何相互指涉或关联表述，无法判定具体语义关系。,local surface plasmon resonance (LSPR),PDMS/CuO/Cu electrodes,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:1c51627d4d816123bfa6,False
pair:7f115797f54f4ad76a7f,TG:P0047:n4,TG:P0252:n1,dual-crosslinked structure,carboxylate groups,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,两侧原文均未提及对方概念，双交联结构与羧酸根基团之间没有可据以判定关系的原文证据。,"The introduced redox ions not only endow the hydrogel with excellent heat-to-electricity conversion capability, but also act as ionic crosslinks to afford a dual-crosslinked structure, resulting in reversible bonds for effective energy dissipation.","Sodium polyacrylate (PANa) hydrogels, with their abundant carboxylate groups, reduce mass transfer resistance for [Fe(CN)6]3-/K4[Fe(CN)6]4- redox couples, while also outperforming widely studied polyacrylamide-based hydrogels in terms of absorption capacity and moisture retention.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:7f115797f54f4ad76a7f,False
pair:b740fb9a35db4f6692c0,TG:P0060:n1,TG:P0174:n2,Soret effect,TDIEM effect,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,原文未展开 TDIEM 缩写，无法确认其是否即为热扩散（Soret）类机制，证据不足以判定。,"The Soret effect can occur independently of any Seebeck effect, but the Seebeck effect will be affected by the presence of a Soret effect.","In the low-concentration regime, where the electrical double layer (EDL) overlap becomes significant, the TDIEM effect dominates, leading to a large negative ionic Seebeck coefficient.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:b740fb9a35db4f6692c0,False
pair:f7c7d9162dffe7cba1f1,TG:P0069:n3,TG:P0176:n3,heat,anionic transport heat,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧为通用热量，右侧“anionic transport heat”含义模糊（是热输运量还是某类热量不明），无法可靠判定其与 heat 是否构成同义或上下位。,converts it into heat that trigger the lower thermogalvanic layer to send thermovoltage signals,to progressively enhance anionic transport heat,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:f7c7d9162dffe7cba1f1,False
pair:496a2ce80332524aa2ed,TG:P0076:n2,TG:P0179:n3,porous cellulose aerogel,gelation of methylcellulose and KCl-induced complexation,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧为多孔纤维素气凝胶材料，右侧为甲基纤维素凝胶化与 KCl 诱导络合的具体过程；原文未提供二者同义或明确关联证据。,The low thermal conductivity of the porous cellulose aerogel enables limited heat transfer from the hot side to the cold side,enabled by the gelation of methylcellulose and KCl-induced complexation,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:496a2ce80332524aa2ed,False
pair:6cb023989cf5cb1e6627,TG:P0076:n2,TG:P0205:n1,porous cellulose aerogel,mass transfer overpotential inside the porous electrode,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧为多孔纤维素气凝胶材料，右侧为多孔电极内的传质过电位量；原文未提供二者直接同义或机制关联证据，无法可靠判定。,The low thermal conductivity of the porous cellulose aerogel enables limited heat transfer from the hot side to the cold side,the mass transfer overpotential inside the porous electrode and the resistance of the ion exchange membrane are the two major factors limiting the efficiency and power density,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:6cb023989cf5cb1e6627,False
pair:c99c999a0ac8d4341aea,TG:P0078:n4,TG:P0182:n2,dipole orientation disorder,strong hydrogen bonds,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,两侧分属不同论文、不同体系（水凝胶链扰动的偶极取向无序 vs 被 chaotropic effect 破坏的强氢键），原文没有任何相互指涉或同义证据。,"increase dipole orientation disorder, thereby amplifying the configurational disparity between oxidized and reduced species.","introducing a synergistic chaotropic effect to destruct strong hydrogen bonds, increase polymers' entropic elasticity, and enlarge the entropy difference of thermogalvanic ions.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:c99c999a0ac8d4341aea,False
pair:6bb9709f36ed028e4e99,TG:P0078:n5,TG:P0146:n1,configurational disparity between oxidized and reduced species,interaction between multications and anions,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,两者分属不同论文，无直接语义或机制关联证据，无法可靠判定关系。,the configurational disparity between oxidized and reduced species,the interaction between multications and anions,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:6bb9709f36ed028e4e99,False
pair:259021794e2288bfa610,TG:P0078:n5,TG:P0323:n1,configurational disparity between oxidized and reduced species,"formation of the aqueous species FeBr2(aq) and FeBr3(aq) and destabilization of the solid species Fe, Fe(OH)(2)(s), Fe3O4, and Fe2O3",uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧为热电池中氧化还原物种构型差异，右侧为铁在 LiBr 溶液中的腐蚀物种形成/失稳，无直接联系。,the configurational disparity between oxidized and reduced species,"formation of the aqueous species FeBr2(aq) and FeBr3(aq) and destabilization of the solid species Fe, Fe(OH)(2)(s), Fe3O4, and Fe2O3",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:259021794e2288bfa610,False
pair:1edefbb0f96a6eca6fa1,TG:P0109:n3,TG:P0278:n2,heat convection between electrodes,different solvation environment near the electrodes,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,两侧来自不同论文、不同体系（TGC 电极间热对流 vs LTC 电极附近溶剂化环境），原文没有任何直接关联证据。,has diminished the heat convection between electrodes,"The aqueous biphasic electrolytes can not only offer different solvation environment near the electrodes, but also suppress the thermal convection",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:1edefbb0f96a6eca6fa1,False
pair:639f15ee4d8fa620deb5,TG:P0140:n2,TG:P0159:n1,TBAF concentration in the liquid phase,ionic liquid,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,left 是液相中 TBAF 浓度这一物理量，right 是离子液体材料实体，原文未说明 TBAF 与所提离子液体的同一性，无法可靠判定关系。,a significant change in the TBAF concentration in the liquid phase caused by SCH formation/dissociation,The ionic liquid undergoes a phase transition from solid to liquid in cold and hot regions,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:639f15ee4d8fa620deb5,False
pair:1bf911d008b3b4cf6691,TG:P0141:n1,TG:P0166:n1,hybridizing electron-type and ion-type materials,EG,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧为材料混合设计策略，右侧为具体材料乙二醇（EG），无原文证据表明两者有直接语义或机制联系，故判为不确定。,"Within this context, the proposal of hybridizing electron-type and ion-type materials emerges as an innovative approach aimed at enhancing performance.",EG,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:1bf911d008b3b4cf6691,False
pair:fec0b8d3a1f45d17cfd3,TG:P0159:n3,TG:P0265:n2,performance,performance,uncertain,group 94的performance没有相同评价函数和指标范围，继续待定。,individually_rechecked_with_group_definition,两侧均只笼统称 “performance”，未指明是效率、功率密度还是其他指标，也无证据表明指同一被测量。,significantly improving performance,have the strongest effect on performance,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:fec0b8d3a1f45d17cfd3,False
pair:8e6ac6516ab327bf6e99,TG:P0165:n4,TG:P0237:n1,thermopower,spin mixing,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,两节点来自不同论文，左侧为热电势量、右侧为自旋混合过程，给定原文中没有任何把二者联系起来或区分开的表述，证据不足。,as-constructed device can achieve a giant thermopower of 53.6 mV K-1,A thermodynamic argument introduces spin mixing as the main process measured by this novel thermoelectric measurement technique.,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:8e6ac6516ab327bf6e99,False
pair:f3fc996bd3ee3b6f8e25,TG:P0174:n2,TG:P0201:n1,TDIEM effect,thermodiffusion (Soret) effect,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,原文未展开 TDIEM 缩写，无法确认其与 thermodiffusion (Soret) effect 是否指同一机制，仅凭名称无法判定。,"In the low-concentration regime, where the electrical double layer (EDL) overlap becomes significant, the TDIEM effect dominates, leading to a large negative ionic Seebeck coefficient.","different i-TE thermoelectric effects including the thermodiffusion (Soret) effect and the thermogalvanic effect, in which the latter includes redox reaction entropy and the Soret effect.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:f3fc996bd3ee3b6f8e25,False
pair:072bedbfa4eda148c777,TG:P0174:n2,TG:P0201:n2,TDIEM effect,thermogalvanic effect,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,TDIEM 未定义，右侧原文虽将 thermodiffusion 与 thermogalvanic 并列为不同 i-TE 效应，但未明确 TDIEM 是否等同 thermodiffusion 或与 thermogalvanic 的关系，无法可靠判定。,"In the low-concentration regime, where the electrical double layer (EDL) overlap becomes significant, the TDIEM effect dominates, leading to a large negative ionic Seebeck coefficient.","In this perspective article, we discuss similarities and differences of i-TE materials from electronic-based thermoelectric materials and also different i-TE thermoelectric effects including the thermodiffusion (Soret) effect and the thermogalvanic effect, in which the latter includes redox reaction entropy and the Soret effect.",/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:072bedbfa4eda148c777,False
pair:9d36438c84286c75aec0,TG:P0174:n2,TG:P0201:n4,TDIEM effect,Soret effect,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,TDIEM 未在原文中定义，与 Soret effect 的关系缺乏原文依据。,"In the low-concentration regime, where the electrical double layer (EDL) overlap becomes significant, the TDIEM effect dominates, leading to a large negative ionic Seebeck coefficient.",in which the latter includes redox reaction entropy and the Soret effect.,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:9d36438c84286c75aec0,False
pair:4af70398e8e9448e6945,TG:P0174:n2,TG:P0220:n2,TDIEM effect,asymmetry in the interfaces of the electrical double layer,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧 TDIEM 是未展开的效应名，右侧是 EDL 界面不对称这一结构状态；仅共享 EDL 语境，无法判定两者语义关系。,"In the low-concentration regime, where the electrical double layer (EDL) overlap becomes significant, the TDIEM effect dominates, leading to a large negative ionic Seebeck coefficient.",The observed performance difference between the two ILs is rationalized in terms of the extent of asymmetry in the interfaces of the electrical double layer that essentially originates from different diffusivity of individual ions.,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:4af70398e8e9448e6945,False
pair:396a13f030928a1b2143,TG:P0184:n2,TG:P0188:n1,charged at a temperature and then discharged at a different temperature,different functional groups,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,两侧分别来自不同论文，一侧是电池变温循环操作，另一侧是氧化还原对官能团这一材料特征，原文均未给出二者之间的语义或机制联系。,"an electrochemical cell is charged at a temperature and then discharged at a different temperature with higher cell voltage, thereby converting heat to electricity.",Pyrazine-based organic redox couples with different functional groups is comparatively analyzed through cyclic voltammetry under varying temperatures.,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:396a13f030928a1b2143,False
pair:bee5abe1bac8c978bb7b,TG:P0197:n3,TG:P0249:n4,polar corona,counterions mobile,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,两侧来自不同论文、语境无交集，且各自原文未给出二者间的任何语义或机制联系，无法可靠判定。,forming polar corona,leaving the counterions mobile,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:bee5abe1bac8c978bb7b,False
pair:c17e5b79c815c3683669,iTE:P0337:n1,iTE:P0931:n2,host-guest complexation between alpha-CD and I3-,alpha,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,右侧标签 alpha 语义不明确（原文指由 Fe3+ 配位增强的 Seebeck 系数），与左侧主客体包合作用无原文建立的语义联系，无法可靠判定关系。,The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD,the enhancement of alpha in terms of the OH- and/or H2O coordination to Fe3+,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:c17e5b79c815c3683669,False
pair:fd38626cb17db02d3f42,iTE:P0341:n2,iTE:P0580:n2,ion-dipole interactions,IL-rich spherical structure,uncertain,按授权保留原待定项；本轮未独立裁决该对，不进入接受边清单。,retained_pending_without_new_pair_adjudication,左侧为非共价离子-偶极相互作用，右侧为原位微相分离形成的 IL-rich 球形结构；原文未给出两者之间的语义或机制联系。,ion-dipole interactions,IL-rich spherical structure,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/uncertain_list.csv::pair_id=pair:fd38626cb17db02d3f42,False
