mention_id,label,context,context_start,context_end,method,embedding_text
TG:P0006:n2,salting-out effect,The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,0,212,source_sentence_or_semicolon_clause,clustering: salting-out effect. Context: The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.
TG:P0006:n3,ion-transport highway,The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,0,212,source_sentence_or_semicolon_clause,clustering: ion-transport highway. Context: The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.
TG:P0006:n4,eta(r),The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,0,212,source_sentence_or_semicolon_clause,clustering: eta(r). Context: The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.
TG:P0006:n5,mechanical strength,The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.,0,212,source_sentence_or_semicolon_clause,clustering: mechanical strength. Context: The key to our design lies in simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway to boost eta(r) and improve mechanical strength.
TG:P0007:n1,micropatterned and gradient structure strategy,A micropatterned and gradient structure strategy is introduced to improve the sensitivity to 53.6 kPa-1 with a low detection limit of 1.9 Pa.,0,141,source_sentence_or_semicolon_clause,clustering: micropatterned and gradient structure strategy. Context: A micropatterned and gradient structure strategy is introduced to improve the sensitivity to 53.6 kPa-1 with a low detection limit of 1.9 Pa.
TG:P0007:n2,sensitivity,A micropatterned and gradient structure strategy is introduced to improve the sensitivity to 53.6 kPa-1 with a low detection limit of 1.9 Pa.,0,141,source_sentence_or_semicolon_clause,clustering: sensitivity. Context: A micropatterned and gradient structure strategy is introduced to improve the sensitivity to 53.6 kPa-1 with a low detection limit of 1.9 Pa.
TG:P0008:n1,incorporation of zwitterions,"The incorporation of zwitterions further augments the resistance of the hydrogel to dehydration and low temperatures, allowing maintenance of more than 90% of its weight after 48 h in the air.",0,192,source_sentence_or_semicolon_clause,"clustering: incorporation of zwitterions. Context: The incorporation of zwitterions further augments the resistance of the hydrogel to dehydration and low temperatures, allowing maintenance of more than 90% of its weight after 48 h in the air."
TG:P0008:n2,resistance of the hydrogel to dehydration and low temperatures,"The incorporation of zwitterions further augments the resistance of the hydrogel to dehydration and low temperatures, allowing maintenance of more than 90% of its weight after 48 h in the air.",0,192,source_sentence_or_semicolon_clause,"clustering: resistance of the hydrogel to dehydration and low temperatures. Context: The incorporation of zwitterions further augments the resistance of the hydrogel to dehydration and low temperatures, allowing maintenance of more than 90% of its weight after 48 h in the air."
TG:P0009:n1,in situ photocatalytically enhanced redox reaction,We report an in situ photocatalytically enhanced redox reaction that generates hydrogen and oxygen to realize a continuous concentration gradient of redox ions in thermogalvanic devices.,0,186,source_sentence_or_semicolon_clause,clustering: in situ photocatalytically enhanced redox reaction. Context: We report an in situ photocatalytically enhanced redox reaction that generates hydrogen and oxygen to realize a continuous concentration gradient of redox ions in thermogalvanic devices.
TG:P0009:n2,continuous concentration gradient of redox ions,We report an in situ photocatalytically enhanced redox reaction that generates hydrogen and oxygen to realize a continuous concentration gradient of redox ions in thermogalvanic devices.,0,186,source_sentence_or_semicolon_clause,clustering: continuous concentration gradient of redox ions. Context: We report an in situ photocatalytically enhanced redox reaction that generates hydrogen and oxygen to realize a continuous concentration gradient of redox ions in thermogalvanic devices.
TG:P0009:n3,thermopower,A linear relation between thermopower and hydrogen production rate was established as an essential design principle for devices.,187,315,source_sentence_or_semicolon_clause,clustering: thermopower. Context: A linear relation between thermopower and hydrogen production rate was established as an essential design principle for devices.
TG:P0009:n4,hydrogen production rate,A linear relation between thermopower and hydrogen production rate was established as an essential design principle for devices.,187,315,source_sentence_or_semicolon_clause,clustering: hydrogen production rate. Context: A linear relation between thermopower and hydrogen production rate was established as an essential design principle for devices.
TG:P0010:n1,spontaneous water evaporation,"In this study, a water evaporation-enhanced thermogalvanic cell (WE-TGC) is developed that exposes the electrolyte to ambient air, utilizing spontaneous water evaporation to effectively regulate the electrolyte concentration distribution and cold-end temperature.",0,263,source_sentence_or_semicolon_clause,"clustering: spontaneous water evaporation. Context: In this study, a water evaporation-enhanced thermogalvanic cell (WE-TGC) is developed that exposes the electrolyte to ambient air, utilizing spontaneous water evaporation to effectively regulate the electrolyte concentration distribution and cold-end temperature."
TG:P0010:n2,electrolyte concentration distribution,"In this study, a water evaporation-enhanced thermogalvanic cell (WE-TGC) is developed that exposes the electrolyte to ambient air, utilizing spontaneous water evaporation to effectively regulate the electrolyte concentration distribution and cold-end temperature.",0,263,source_sentence_or_semicolon_clause,"clustering: electrolyte concentration distribution. Context: In this study, a water evaporation-enhanced thermogalvanic cell (WE-TGC) is developed that exposes the electrolyte to ambient air, utilizing spontaneous water evaporation to effectively regulate the electrolyte concentration distribution and cold-end temperature."
TG:P0010:n3,cold-end temperature,"In this study, a water evaporation-enhanced thermogalvanic cell (WE-TGC) is developed that exposes the electrolyte to ambient air, utilizing spontaneous water evaporation to effectively regulate the electrolyte concentration distribution and cold-end temperature.",0,263,source_sentence_or_semicolon_clause,"clustering: cold-end temperature. Context: In this study, a water evaporation-enhanced thermogalvanic cell (WE-TGC) is developed that exposes the electrolyte to ambient air, utilizing spontaneous water evaporation to effectively regulate the electrolyte concentration distribution and cold-end temperature."
TG:P0011:n1,incorporating a cationic pair into a cationic electroactive network (CN),Our results confirm a path to enhance the current density in thermogalvanic hydrogels by incorporating a cationic pair into a cationic electroactive network (CN).,0,162,source_sentence_or_semicolon_clause,clustering: incorporating a cationic pair into a cationic electroactive network (CN). Context: Our results confirm a path to enhance the current density in thermogalvanic hydrogels by incorporating a cationic pair into a cationic electroactive network (CN).
TG:P0011:n2,movement of redox pairs,"This approach facilitates the movement of redox pairs, therefore increasing the power density output.",163,264,source_sentence_or_semicolon_clause,"clustering: movement of redox pairs. Context: This approach facilitates the movement of redox pairs, therefore increasing the power density output."
TG:P0011:n3,current density,Our results confirm a path to enhance the current density in thermogalvanic hydrogels by incorporating a cationic pair into a cationic electroactive network (CN).,0,162,source_sentence_or_semicolon_clause,clustering: current density. Context: Our results confirm a path to enhance the current density in thermogalvanic hydrogels by incorporating a cationic pair into a cationic electroactive network (CN).
TG:P0011:n4,power density output,"This approach facilitates the movement of redox pairs, therefore increasing the power density output.",163,264,source_sentence_or_semicolon_clause,"clustering: power density output. Context: This approach facilitates the movement of redox pairs, therefore increasing the power density output."
TG:P0012:n1,thermoelectricity,"Leveraging the synergistic coupling of thermoelectricity and active piezoresistivity, the interface achieves selfpowered transduction of dynamic gestures into detectable electrical signals via its intrinsic response to body heat and real-time piezoresistive modulation under mechanical strain.",0,293,source_sentence_or_semicolon_clause,"clustering: thermoelectricity. Context: Leveraging the synergistic coupling of thermoelectricity and active piezoresistivity, the interface achieves selfpowered transduction of dynamic gestures into detectable electrical signals via its intrinsic response to body heat and real-time piezoresistive modulation under mechanical strain."
TG:P0012:n3,transduction of dynamic gestures into detectable electrical signals,"Leveraging the synergistic coupling of thermoelectricity and active piezoresistivity, the interface achieves selfpowered transduction of dynamic gestures into detectable electrical signals via its intrinsic response to body heat and real-time piezoresistive modulation under mechanical strain.",0,293,source_sentence_or_semicolon_clause,"clustering: transduction of dynamic gestures into detectable electrical signals. Context: Leveraging the synergistic coupling of thermoelectricity and active piezoresistivity, the interface achieves selfpowered transduction of dynamic gestures into detectable electrical signals via its intrinsic response to body heat and real-time piezoresistive modulation under mechanical strain."
TG:P0013:n1,"hydrogen bonds among phytic acid, glycerol, and water","Due to the multiple hydrogen bonds among phytic acid, glycerol, and water, the hydrogel maintains over 80% of its original electrical performance after 10 days, demonstrating its excellent environmental stability.",0,213,source_sentence_or_semicolon_clause,"clustering: hydrogen bonds among phytic acid, glycerol, and water. Context: Due to the multiple hydrogen bonds among phytic acid, glycerol, and water, the hydrogel maintains over 80% of its original electrical performance after 10 days, demonstrating its excellent environmental stability."
TG:P0013:n2,electrical performance,"Due to the multiple hydrogen bonds among phytic acid, glycerol, and water, the hydrogel maintains over 80% of its original electrical performance after 10 days, demonstrating its excellent environmental stability.",0,213,source_sentence_or_semicolon_clause,"clustering: electrical performance. Context: Due to the multiple hydrogen bonds among phytic acid, glycerol, and water, the hydrogel maintains over 80% of its original electrical performance after 10 days, demonstrating its excellent environmental stability."
TG:P0013:n3,environmental stability,"Due to the multiple hydrogen bonds among phytic acid, glycerol, and water, the hydrogel maintains over 80% of its original electrical performance after 10 days, demonstrating its excellent environmental stability.",0,213,source_sentence_or_semicolon_clause,"clustering: environmental stability. Context: Due to the multiple hydrogen bonds among phytic acid, glycerol, and water, the hydrogel maintains over 80% of its original electrical performance after 10 days, demonstrating its excellent environmental stability."
TG:P0014:n1,electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions,"The strategic design of the polymer complex, featuring electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions, enables the liberation of ClO4- ions, enhancing thermodiffusion and ionic conductivity.",0,220,source_sentence_or_semicolon_clause,"clustering: electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions. Context: The strategic design of the polymer complex, featuring electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions, enables the liberation of ClO4- ions, enhancing thermodiffusion and ionic conductivity."
TG:P0014:n2,liberation of ClO4- ions,"The strategic design of the polymer complex, featuring electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions, enables the liberation of ClO4- ions, enhancing thermodiffusion and ionic conductivity.",0,220,source_sentence_or_semicolon_clause,"clustering: liberation of ClO4- ions. Context: The strategic design of the polymer complex, featuring electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions, enables the liberation of ClO4- ions, enhancing thermodiffusion and ionic conductivity."
TG:P0014:n3,thermodiffusion,"The strategic design of the polymer complex, featuring electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions, enables the liberation of ClO4- ions, enhancing thermodiffusion and ionic conductivity.",0,220,source_sentence_or_semicolon_clause,"clustering: thermodiffusion. Context: The strategic design of the polymer complex, featuring electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions, enables the liberation of ClO4- ions, enhancing thermodiffusion and ionic conductivity."
TG:P0014:n4,ionic conductivity,"The strategic design of the polymer complex, featuring electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions, enables the liberation of ClO4- ions, enhancing thermodiffusion and ionic conductivity.",0,220,source_sentence_or_semicolon_clause,"clustering: ionic conductivity. Context: The strategic design of the polymer complex, featuring electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions, enables the liberation of ClO4- ions, enhancing thermodiffusion and ionic conductivity."
TG:P0015:n1,stretching-induced crystallization,"In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1.",0,270,source_sentence_or_semicolon_clause,"clustering: stretching-induced crystallization. Context: In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1."
TG:P0015:n2,thermoelectric effect,"In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1.",0,270,source_sentence_or_semicolon_clause,"clustering: thermoelectric effect. Context: In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1."
TG:P0015:n3,tensile strength,"In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1.",0,270,source_sentence_or_semicolon_clause,"clustering: tensile strength. Context: In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1."
TG:P0015:n4,thermopower,"In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1.",0,270,source_sentence_or_semicolon_clause,"clustering: thermopower. Context: In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1."
TG:P0016:n1,"lithium magnesium silicate, Gdm+ and lithium bromide","In this paper, a thermogalvanic dual-network hydrogel is fabricated with [Fe(CN)6]3-/4- as a redox couple and lithium magnesium silicate, Gdm+ and lithium bromide as key electrolytes to optimize the interconnected porous structure of the gel, which shows excellent mechanical and thermoelectric properties with a thermopower as high as 4.01 mV K-1.",0,348,source_sentence_or_semicolon_clause,"clustering: lithium magnesium silicate, Gdm+ and lithium bromide. Context: In this paper, a thermogalvanic dual-network hydrogel is fabricated with [Fe(CN)6]3-/4- as a redox couple and lithium magnesium silicate, Gdm+ and lithium bromide as key electrolytes to optimize the interconnected porous structure of the gel, which shows excellent mechanical and thermoelectric properties with a thermopower as high as 4.01 mV K-1."
TG:P0016:n2,interconnected porous structure of the gel,"In this paper, a thermogalvanic dual-network hydrogel is fabricated with [Fe(CN)6]3-/4- as a redox couple and lithium magnesium silicate, Gdm+ and lithium bromide as key electrolytes to optimize the interconnected porous structure of the gel, which shows excellent mechanical and thermoelectric properties with a thermopower as high as 4.01 mV K-1.",0,348,source_sentence_or_semicolon_clause,"clustering: interconnected porous structure of the gel. Context: In this paper, a thermogalvanic dual-network hydrogel is fabricated with [Fe(CN)6]3-/4- as a redox couple and lithium magnesium silicate, Gdm+ and lithium bromide as key electrolytes to optimize the interconnected porous structure of the gel, which shows excellent mechanical and thermoelectric properties with a thermopower as high as 4.01 mV K-1."
TG:P0016:n3,thermopower,"In this paper, a thermogalvanic dual-network hydrogel is fabricated with [Fe(CN)6]3-/4- as a redox couple and lithium magnesium silicate, Gdm+ and lithium bromide as key electrolytes to optimize the interconnected porous structure of the gel, which shows excellent mechanical and thermoelectric properties with a thermopower as high as 4.01 mV K-1.",0,348,source_sentence_or_semicolon_clause,"clustering: thermopower. Context: In this paper, a thermogalvanic dual-network hydrogel is fabricated with [Fe(CN)6]3-/4- as a redox couple and lithium magnesium silicate, Gdm+ and lithium bromide as key electrolytes to optimize the interconnected porous structure of the gel, which shows excellent mechanical and thermoelectric properties with a thermopower as high as 4.01 mV K-1."
TG:P0017:n1,hydrogen bonding between solvent molecules,"Due to strong hydrogen bonding between solvent molecules, the sensor retains over 90 % of its moisture after 14 days, exhibiting great potential in wearable respiratory surveillance.",0,182,source_sentence_or_semicolon_clause,"clustering: hydrogen bonding between solvent molecules. Context: Due to strong hydrogen bonding between solvent molecules, the sensor retains over 90 % of its moisture after 14 days, exhibiting great potential in wearable respiratory surveillance."
TG:P0017:n2,retains over 90 % of its moisture after 14 days,"Due to strong hydrogen bonding between solvent molecules, the sensor retains over 90 % of its moisture after 14 days, exhibiting great potential in wearable respiratory surveillance.",0,182,source_sentence_or_semicolon_clause,"clustering: retains over 90 % of its moisture after 14 days. Context: Due to strong hydrogen bonding between solvent molecules, the sensor retains over 90 % of its moisture after 14 days, exhibiting great potential in wearable respiratory surveillance."
TG:P0018:n1,ethanol,"With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency.",0,246,source_sentence_or_semicolon_clause,"clustering: ethanol. Context: With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency."
TG:P0018:n2,concentration gradient,"With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency.",0,246,source_sentence_or_semicolon_clause,"clustering: concentration gradient. Context: With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency."
TG:P0018:n3,solvation structure,"With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency.",0,246,source_sentence_or_semicolon_clause,"clustering: solvation structure. Context: With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency."
TG:P0018:n4,temperature coefficient of [Fe(CN)6]3-/4-,"With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency.",0,246,source_sentence_or_semicolon_clause,"clustering: temperature coefficient of [Fe(CN)6]3-/4-. Context: With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency."
TG:P0018:n5,thermoelectric power and efficiency,"With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency.",0,246,source_sentence_or_semicolon_clause,"clustering: thermoelectric power and efficiency. Context: With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency."
TG:P0019:n1,non -covalent crosslinking,"Benefiting from non -covalent crosslinking, the gel electrolyte and electrodes can be fully integrated into modules with tight physical and electrical contact, facilitating a stable and reliable signal output.",0,209,source_sentence_or_semicolon_clause,"clustering: non -covalent crosslinking. Context: Benefiting from non -covalent crosslinking, the gel electrolyte and electrodes can be fully integrated into modules with tight physical and electrical contact, facilitating a stable and reliable signal output."
TG:P0019:n2,tight physical and electrical contact,"Benefiting from non -covalent crosslinking, the gel electrolyte and electrodes can be fully integrated into modules with tight physical and electrical contact, facilitating a stable and reliable signal output.",0,209,source_sentence_or_semicolon_clause,"clustering: tight physical and electrical contact. Context: Benefiting from non -covalent crosslinking, the gel electrolyte and electrodes can be fully integrated into modules with tight physical and electrical contact, facilitating a stable and reliable signal output."
TG:P0019:n3,stable and reliable signal output,"Benefiting from non -covalent crosslinking, the gel electrolyte and electrodes can be fully integrated into modules with tight physical and electrical contact, facilitating a stable and reliable signal output.",0,209,source_sentence_or_semicolon_clause,"clustering: stable and reliable signal output. Context: Benefiting from non -covalent crosslinking, the gel electrolyte and electrodes can be fully integrated into modules with tight physical and electrical contact, facilitating a stable and reliable signal output."
TG:P0019:n4,thermogalvanic and piezoresistive effects,"By coupling thermogalvanic and piezoresistive effects, the DCI-TEG permits self -powered timely sensing of pressure using current signals.",210,348,source_sentence_or_semicolon_clause,"clustering: thermogalvanic and piezoresistive effects. Context: By coupling thermogalvanic and piezoresistive effects, the DCI-TEG permits self -powered timely sensing of pressure using current signals."
TG:P0019:n5,sensing of pressure,"By coupling thermogalvanic and piezoresistive effects, the DCI-TEG permits self -powered timely sensing of pressure using current signals.",210,348,source_sentence_or_semicolon_clause,"clustering: sensing of pressure. Context: By coupling thermogalvanic and piezoresistive effects, the DCI-TEG permits self -powered timely sensing of pressure using current signals."
TG:P0020:n2,configurational) entropy difference,"Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower.",0,241,source_sentence_or_semicolon_clause,"clustering: configurational) entropy difference. Context: Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower."
TG:P0020:n3,thermopower,"Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower.",0,241,source_sentence_or_semicolon_clause,"clustering: thermopower. Context: Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower."
TG:P0021:n1,double-layer thermogalvanic cell (DTGC) architecture,"Here, we present a double-layer thermogalvanic cell (DTGC) architecture that spatially segregates redox pairs into two distinct gel layers, enabling unprecedented control over ion concentration gradients.",0,204,source_sentence_or_semicolon_clause,"clustering: double-layer thermogalvanic cell (DTGC) architecture. Context: Here, we present a double-layer thermogalvanic cell (DTGC) architecture that spatially segregates redox pairs into two distinct gel layers, enabling unprecedented control over ion concentration gradients."
