group_index,class_id,original_members,original_equivalent_edges,priority_incomplete_or_inconsistent,judge_decision,draft_partitions,accepted_edges,rejected_edges,uncertain_edges,judge_reason,secondary_review_note,status,merge_applied
15,iTE:P1103:n1,16,62,True,accept,1,62,0,0,十六成员都是半导体/导电聚合物的电子载流子数浓度，density与concentration同量；不把电子/空穴具体数值或符号合并，也不延伸到离子浓度。,,reviewed,False
16,TG:P0247:n2,13,24,True,split,2,23,1,0,0至11均电解质离子热扩散/Soret效应，2泛称由本组电解质上下文约束；12特指质子热扩散，保留物种限定。,,reviewed,False
17,iTE:P1548:n2,12,17,True,split,9,2,15,0,0载流子生成能，1/2/3由电导提取Ag+迁移活化能；4复合电导和热电势活化能；5Cu迁移NEB势垒；6Cu离子传导活化能；7含空位生成贡献；8Ag+微观势垒；9/10电子电导活化能；11Na导电活化能。共同energy词不保证同量。,,reviewed,False
18,iTE:P1742:n1,12,23,True,split,3,17,6,0,0/2/3/4/7为键合离子性属性；1/6/8/9/10/11为离子键/键合类型；5特指Rb和Fr原子的离子性。键合类型与离子性程度相关但不严格同义。,,reviewed,False
19,iTE:P1970:n1,12,25,True,split,4,22,3,0,0/2/3/4/5/6/7/10一般声子散射过程；1多波长覆盖；8强散射状态；9/11散射增强变化。区分强度状态与变化，不能闭包消除。,,reviewed,False
20,TG:P0251:n7,11,45,True,uncertain,2,35,0,10,除3外十个成员都指温度驱动红氧电位效应，可作为同一机制；TG:P0111完整摘要却为SmCl3/介孔SiO2热刺激去极化及介电理论，缺少红氧反应定义，不能仅凭thermogalvanic同名合并。,,reviewed,False
21,iTE:P1860:n1,11,21,True,split,4,11,10,0,1/5/8/9为晶格/声子非谐性一般属性；0/3/4/6/7/10明确高/强晶格非谐性；2为比较greater，未定义达到高值。；动力学现象与非谐性性质拆开。,strong anharmonic lattice dynamics指强非谐动力学现象，与strong anharmonicity性质相关但非严格同义。,reviewed,False
22,iTE:P1558:n2,11,13,True,split,2,12,1,0,0/1/2/3/4为离子迁移或界面极化造成负热电响应，完整摘要核实2/3/4；5/6/7/8/9/10为电子为主的半导体n型导电，不可因n-type同名合并。,,reviewed,False
23,TG:P0204:n3,10,21,True,split,3,15,6,0,0/1/2/3/4/6/8/9均由热刺激产生的热电压，9摘要排除交变压电信号；5的0.71V只有约33%热贡献，不能等同纯热电压；7为热充电赝电容和红氧复合单元输出，独立保留。,,reviewed,False
24,iTE:P0858:n1,10,13,True,uncertain,10,0,4,9,完整摘要证实0=EMIM:TFSI、1=MMIM:DCA、3=EMIM乙基硫酸盐、9=EMIM:TCB；2还比较EMIM/Li TFSI，其他未给明确化学身份。不能把所有IL短称当同一材料。已知不同物种逐对拒绝，其余保留待定。,,reviewed,False
25,iTE:P1901:n2,10,20,True,uncertain,2,19,0,1,0-7/9均为电子价导带能隙，直接间接描述是材料背景；8段混合讨论18电子半导体隙及单自旋隙，不能确认该节点具体对象。,,reviewed,False
26,iTE:P0597:n2,10,17,True,split,3,14,3,0,0/1/2/4/5/6/8/9均离子热驱动装置电压，界面/体相贡献是成因；3明确高值，7为p-n结内部电势差不能直接当端输出。,,reviewed,False
27,TG:P0321:n2,9,17,True,accept,1,17,0,0,九个成员均输出电能/输入热能的转换效率，含循环与稳态装置；4的原文明确区分绝对1.32%和相对Carnot20%，节点取绝对效率。,,reviewed,False
28,iTE:P1795:n2,9,16,True,split,3,10,6,0,0/1/2/3/4/5/8均电子空穴占优p型特征；6明确Cs2CdZnCl6材料限制；7要求全测温区保持p型，不能去掉稳定区间。,,reviewed,False
29,TG:P0201:n3,8,10,True,split,3,4,6,0,1/2/3/6经完整摘要核实均铁氰/亚铁氰红氧系统熵差；0具体Cu-乙二胺螯合反应；4/5/7一般红氧反应熵差，不通过泛称把特定反应合并。,,reviewed,False
30,iTE:P1283:n2,8,14,True,split,3,7,7,0,0/3/5/7为电阻率量；1/2为相对基准较高状态；4/6明确增加变化，不混合物理量和状态事件。,,reviewed,False
31,iTE:P1719:n2,8,10,True,split,4,6,4,0,1/2/3/6为阴阳离子迁移率不对称；0/5为热迁移速率差；4为扩散速率差；7进一步限定Li+/Cl-。速度或扩散率不能仅凭关联当迁移率。,,reviewed,False
32,iTE:P1290:n2,8,10,True,split,4,3,7,0,0/1均Cu7PSe6低热导率，2原文明确ultra-low而非通常low；3/4/5/6/7仅一般低热导率状态，严格不消去材料限定及超低程度。；P1819的low thermal conductivity回指晶格分量，单独保留。,P1819完整上下文明确0.3–0.4 W/mK为晶格热导率，不能并入低总热导率。,reviewed,False
33,iTE:P1713:n1,8,20,True,split,2,17,3,0,1/2/3/4/5/6/7均键合同时含离子/共价特性的一般类别；0明确Ge-O键限定，不与所有混合键合无条件合并。,,reviewed,False
34,iTE:P1472:n3,8,9,True,split,3,5,4,0,0/4/5/7为W/m²面积功率，4虽名output power但单位纠正其量纲；1/2/6为再除温差平方的功率密度；3为总输出功率。不能跨量纲合并。,,reviewed,False
35,TG:P0202:n3,7,11,True,split,2,5,6,0,1/4为以K给出的DeltaT，2/5原文虽称gradient但用温度差单位描述宏观两端差；0/3/6为空间温度梯度未给相同DeltaT定义，不把二者混合。,,reviewed,False
36,iTE:P1612:n4,7,15,True,accept,1,15,0,0,七成员的density、concentration、electron holes均明确空穴数浓度；不并入电子浓度或总载流子数。,,reviewed,False
37,iTE:P1206:n1,7,16,True,accept,1,16,0,0,七成员均热力学温度自变量，无温差或温区混入；不同测试区间保留原始证据。,,reviewed,False
38,iTE:P1781:n2,7,9,True,split,3,4,5,0,0/1为离子热电负到正极性；2/4/5/6为电子n到p转换；3仅载流子符号反转且无固定方向，不能删除起止条件。,,reviewed,False
39,TG:P0297:n2,6,11,True,split,2,9,2,0,0/1/2/3/5都离子电导率量，5 ionic electrical为同量展开；4明确相对其他溶剂系统优越，属于比较状态。,,reviewed,False
40,iTE:P1616:n1,6,11,True,split,2,10,1,0,0至4同为电导率和热导率两个量的组合；5明确high复合状态，不能去掉高值限定。,,reviewed,False
41,iTE:P0685:n2,6,11,True,accept,1,11,0,0,六个成员均衡量离子运动迁移率，非阴阳离子迁移率差；聚合物、含水量和DES只是调节来源。,,reviewed,False
42,iTE:P1867:n2,6,14,True,accept,1,14,0,0,六个成员均为晶胞周期几何参数/晶格常数，单复数和值写法不改定义，不包含晶胞体积。,,reviewed,False
43,iTE:P1877:n2,6,6,True,split,4,2,4,0,0/1/5指两相分离不必移出材料；2限定纳米分相；4是移除PSS；3又限定大量移除。不存在通过相分离连接移除的严格同义。,,reviewed,False
44,iTE:P1155:n2,6,6,True,split,4,1,5,0,0/3一般选择性离子迁移；2限定热梯度下选择性；1进一步限定阳离子；4/5仅温度驱动定向迁移，不等于选择性。,,reviewed,False
45,TG:P0332:n1,5,4,True,split,3,2,2,0,0/1原文都是持续红氧离子梯度；2未限定持续；3/4均FeCN红氧离子跨膜两区浓度差。差与梯度、持续与未限定不能闭包合并。,,reviewed,False
46,TG:P0300:n2,5,9,True,accept,1,9,0,0,五段均为电极可接近并参与电化学反应的表面积，4的enlarge surface为面积扩展省略；不与反应位点数量等同。,,reviewed,False
47,TG:P0134:n1,5,5,True,uncertain,4,1,0,4,1/2均为电池两电极温差；0是凝胶最大温差，3测量温差未给端点，4两流体接触的温差，需核实各测量边界。,,reviewed,False
48,iTE:P1533:n1,5,4,True,split,2,3,1,0,0/2为Cu迁移及析出/异质界面抑制；1/3/4明确扩散，定向迁移与扩散不可仅因同物种相等。,,reviewed,False
49,iTE:P0560:n1,5,7,True,uncertain,2,4,0,3,0/1为离子Eastman熵；2/3/4为Eastman entropy change，可能指两种离子差或状态变化，缺少数学定义不跨两类合并。,,reviewed,False
50,iTE:P1539:n2,5,5,True,accept,1,5,0,0,五段均为电子热电材料载流子数减少导致Seebeck/电导变化；0的reduction carriers在UV-VIS掺杂语境对应数浓度下降。,,reviewed,False
51,iTE:P1839:n2,5,6,True,accept,1,6,0,0,五段都明确direct bandgap；3的具体eV数值为该量的实例值，不构成不同带隙类型，数值保留原文而非合并值。,,reviewed,False
52,iTE:P0708:n3,5,5,True,split,3,2,3,0,1/2/3明确温差/温度波动产生电；0为多环境发电未明确唯一热源；4环境下渗透自发产生电，不可默认为热到电转换。,,reviewed,False
53,iTE:P0600:n1,5,5,True,split,2,4,1,0,0/1/2/4都一般离子与聚合物相互作用；3特指离子液体与聚合物链，属于材料范围受限子类。,,reviewed,False
54,iTE:P0575:n1,5,7,True,split,3,3,4,0,0/2/4一般离子偶极作用；1明确动态且涉及IL/PVDF-HFP/FS，3特指PVDF-HFP与IL；机制同类不足以抹除动态和材料限定。,,reviewed,False
55,iTE:P1807:n2,5,4,True,split,3,2,2,0,0/3为电子热电p到n转换，1/2是离子热电极性p到n，4特指2D空穴气到2D电子气；不能把热迁移极性当电子载流子类型。,,reviewed,False
56,iTE:P1761:n1,5,5,True,accept,1,5,0,0,五段均外部压力调节电子结构，1明确静水压但节点为pressure；共同压力变量不等同压力诱发的结果。,,reviewed,False
57,iTE:P1449:n3,5,8,True,split,2,6,2,0,0/1/2/4一般拉伸能力/最大拉伸应变；3明确以裂纹起始应变衡量，不等同极限延伸率。,,reviewed,False
58,iTE:P1628:n2,5,7,True,uncertain,5,0,0,7,相同ultralow名称却含<0.5与1.9-2.58 W/mK等不同温度/材料参照，very low亦无共同阈值；按本轮严格范围要求不强行确定统一极低状态。,,reviewed,False
59,iTE:P1503:n1,5,8,True,split,2,6,2,0,0/1/3/4均黏度eta参数，2特指相对水溶液更高的黏度，保留比较条件。,,reviewed,False
60,TG:P0264:n3,4,5,True,accept,1,5,0,0,四段均指溶剂化壳改变贡献的红氧离子熵差，0省略solvation的标签由原文补齐；共同定义支持所有成员关系。,,reviewed,False
61,TG:P0203:n2,4,3,True,accept,1,3,0,0,四段均为将热能转换成电能的功能/过程，3完整句明确low-grade heat来源；不同实现方式不构成等同机制。,,reviewed,False
62,TG:P0303:n1,4,6,False,accept,1,6,0,0,四段均自然对流过程，不是外驱强迫对流；对传质传热的不同作用保留为关系。,,reviewed,False
63,TG:P0233:n4,4,4,True,accept,1,4,0,0,0原文thermogalvanic明确补足简写galvanic，2展开TG；四段均为温差引起的电化学电流。,,reviewed,False
64,TG:P0246:n3,4,3,True,split,3,1,2,0,0/1明确宽运行温区；2为外部环境有效工作温区，3为一般装置温区，宽度条件与温度对象不可删。,,reviewed,False
65,iTE:P1386:n2,4,6,False,accept,1,6,0,0,cell在0/2为晶体晶胞而非电池，3由cubic crystal structure确认体积对象；四者同一量。,,reviewed,False
66,iTE:P1924:n2,4,4,True,accept,1,4,0,0,四处都指样品结晶度属性，薄膜与聚合物的材料载体差异不改结晶程度定义，不合并晶体材料本身。,,reviewed,False
67,iTE:P1889:n1,4,3,True,split,2,2,1,0,0/1均离子热扩散产生内场，2/3明确externally applied场；物理量同类但驱动条件不同且节点有external限定。,,reviewed,False
68,iTE:P1292:n1,4,3,True,split,2,2,1,0,0/1/2均离子交换一般过程，3明确自发发生，保留热力学条件。,,reviewed,False
69,iTE:P0645:n2,4,3,True,split,3,1,2,0,0/2为一般迁移，1自由离子运动可包括扩散，3明确DC驱动电化学迁移并排除热扩散；不能借2闭包消除区别。,,reviewed,False
70,iTE:P1851:n2,4,4,True,accept,1,4,0,0,四处均一般离子输运过程；选择性、热渗等是调节机制，不把子机制与过程合并。,,reviewed,False
71,iTE:P1775:n2,4,6,False,accept,1,6,0,0,四处都为可移动离子扩散，物态与外部调节方式不同不影响扩散过程定义。,,reviewed,False
72,iTE:P0842:n1,4,3,True,split,2,2,1,0,0/3一般离子输运热，1原文和2均明确银离子输运热；两种记号对应该银离子量，但不可泛化所有离子。,,reviewed,False
73,iTE:P1913:n2,4,6,False,uncertain,4,0,0,6,0同时电子和空穴，1特指电子低于空穴，2/3低值参考不明；数值低与比较更低并非同一限定，全部建议待定。,,reviewed,False
74,iTE:P1516:n1,4,6,False,accept,1,6,0,0,四段均调节为n型载流子的掺杂过程，实际或预测情态不改操作定义。,,reviewed,False
75,iTE:P0884:n4,4,4,True,split,2,3,1,0,0/2/3为负离子Seebeck响应，1为含电极Donnan贡献的S_eff负号这一符号属性，不能等同系数本身。,,reviewed,False
76,iTE:P1725:n2,4,5,True,accept,1,5,0,0,四处均为晶格氧位空缺；0的O-2(-)为氧离子表示异常但Raman和点缺陷语境可定位氧空位，不是分子氧。,,reviewed,False
77,iTE:P1755:n3,4,5,True,accept,1,5,0,0,补充上下文逐一显示0/1/2均影响晶格热导或明确phonon scattering；因此3的phonon不是新增子类限定，风险提示可解除。,,reviewed,False
78,iTE:P1394:n2,4,5,True,accept,1,5,0,0,四节点均为相对降低/reduced状态或过程，方向和量一致；不与单纯低热导率混同。,,reviewed,False
79,iTE:P0920:n2,4,6,False,accept,1,6,0,0,四段均指材料破坏后自修复的能力，动态机制/室温速度仅为附加关系条件。,,reviewed,False
80,iTE:P1689:n2,4,6,False,split,2,3,3,0,0/2/3均声子模软化过程，1有strong程度限定，保留强度子类。,,reviewed,False
81,iTE:P1746:n2,4,3,True,split,2,2,1,0,0/2/3均Seebeck正负号变化；1节点仅sign为符号属性，原句reverse可用于另外抽取但不能把属性与事件混合。,,reviewed,False
82,iTE:P0971:n1,4,5,True,accept,1,5,0,0,四处均时间上的温度波动，非空间温差/梯度。,,reviewed,False
83,iTE:P1617:n3,4,5,True,accept,1,5,0,0,四处均空间温度梯度，生长界面的G_L仍同一物理量，非温差。,,reviewed,False
84,iTE:P0536:n3,4,4,True,split,3,1,3,0,0/2一般组合性能，1两个性能均高，3力学性质加超高热电性能，程度条件不同。,,reviewed,False
85,iTE:P1616:n2,4,6,False,accept,1,6,0,0,0完整证据限定thermoelectric efficiency，四段同为热到电效率，不直接等同ZT。,,reviewed,False
86,TG:P0054:n2,3,3,False,accept,1,3,0,0,三段均明确抗冻结性能，形成机制不同；不并入非干燥性能。,,reviewed,False
87,TG:P0179:n4,3,2,True,uncertain,3,0,0,2,1明确solvation entropy和浓度比之差；0/2是一般熵差与浓度差，复合项定义未完全一致，两个建议均待定。,,reviewed,False
88,TG:P0209:n1,3,3,False,accept,1,3,0,0,三段都描述热电池红氧电解质的空间浓度梯度，非浓度差或溶剂化结构本身。,,reviewed,False
89,TG:P0167:n2,3,3,False,accept,1,3,0,0,三段原文均明确胍离子/Gdm诱导[Fe(CN)6]4-结晶，GO为额外模板不改该机制。,,reviewed,False
90,TG:P0175:n3,3,3,False,accept,1,3,0,0,三段current均指热电化学外电路电流，不是交换电流密度；数值与限制机制不同。,,reviewed,False
91,TG:P0166:n4,3,3,False,accept,1,3,0,0,三个成员都明确水-水氢键，与水-DMSO等其他氢键区分。,,reviewed,False
92,TG:P0054:n3,3,3,False,accept,1,3,0,0,三段均为保持不干燥的性能，不合并抗冻性能或水含量。,,reviewed,False
93,TG:P0225:n2,3,3,False,accept,1,3,0,0,三处均明确开路条件，数值和装置不同不改同一量定义。,,reviewed,False
94,TG:P0265:n2,3,2,True,uncertain,3,0,0,2,0是混合材料策略性能，1仅有孤立单词，2是化学性质支配的电池性能；缺少相同指标边界。,,reviewed,False
95,TG:P0134:n2,3,3,False,accept,1,3,0,0,三处均为红氧反应一般过程，不同促进条件不改变概念层级。,,reviewed,False
96,TG:P0109:n4,3,2,True,split,2,1,1,0,0特指向环境空气自发蒸发；1/2仅为水汽化过程，保留自发及环境条件，不通过2把0与1传递合并。,,reviewed,False
97,TG:P0167:n3,3,3,False,accept,1,3,0,0,三段明确热电转换综合性能，不是单一参数；接受同一上层性能概念。,,reviewed,False
98,TG:P0203:n1,3,2,True,split,2,1,1,0,1/2均为单一电化学单元在不同温度充放电；0特别指两个LiCoO2/Li单元循环，装置与化学限定不可丢弃。,,reviewed,False
99,iTE:P0788:n3,3,3,False,accept,1,3,0,0,三个成员并列相同两个指标，顺序变化不改变组合含义。,,reviewed,False
100,iTE:P0681:n3,3,3,False,accept,1,3,0,0,三处全名、化学式和NP缩写明确同一纳米粒子类别。,,reviewed,False
101,iTE:P0895:n1,3,2,True,split,2,1,1,0,0/2为加入的amount；1为浓度，分母未指定且用量不等于浓度。,,reviewed,False
102,iTE:P1143:n2,3,3,False,split,2,1,2,0,1/2均为阴离子热扩散过程；0要求阴离子占主导，不能与普通阴离子热扩散混同。,,reviewed,False
103,iTE:P1265:n2,3,2,True,uncertain,3,0,0,2,0是层间绝热迁移势垒，1是阳离子热扩散方向势垒，2为纳米径向离子跳跃势垒；现有证据不能判定统一能垒定义，均不合并。,,reviewed,False
104,iTE:P1420:n1,3,2,True,accept,1,2,0,0,三段均为半导体电子与空穴共同输运，compensated Seebeck证据确认bipolar conduction同义；缺失0外的边不影响共同机制定义。,,reviewed,False
105,iTE:P0960:n2,3,3,False,accept,1,3,0,0,三个语境均为半导体/导电聚合物电子载流子输运，不是离子迁移。,,reviewed,False
106,iTE:P1959:n2,3,3,False,accept,1,3,0,0,0的原文补齐了标签略去的方向，三者起止构象及主体一致。,,reviewed,False
107,iTE:P1837:n2,3,3,False,split,2,1,2,0,0原文mostly与1 predominantly均表明以共价为主；2只确认共价特征而未证明占主导。,,reviewed,False
108,iTE:P1471:n2,3,3,False,split,2,1,2,0,0/1节点均为DOS有效质量这一量；2明确高有效质量状态，不抹去高值条件。,,reviewed,False
109,iTE:P1177:n2,3,2,True,split,2,1,1,0,0/1均一般晶格畸变，2明确大畸变；2并列的扭曲、位错也不是畸变同义词。,,reviewed,False
110,iTE:P1706:n2,3,3,False,accept,1,3,0,0,三句都明确electronic conductivity，与ionic分量区分，不能并入总电导率。,,reviewed,False
111,iTE:P1614:n2,3,3,False,accept,1,3,0,0,0/2明确离子对；P1263完整摘要补足1也是K3Fe(CN)6/K4Fe(CN)6体系，三者范围一致。,,reviewed,False
112,iTE:P0598:n2,3,3,False,uncertain,3,0,0,3,0以保水抵御干燥，1为水下抗溶胀，2为全固态耐环境；均称稳定但测试环境/失效模式不同，不足以严格同义。,,reviewed,False
113,iTE:P1018:n2,3,3,False,accept,1,3,0,0,三个成员都指自旋通道半金属特征，不是一般半金属semimetal；直接/间接带隙不改变上层特征。,,reviewed,False
114,iTE:P1044:n2,3,3,False,reject,3,0,3,0,P0465为离子电子混合网络整体响应；1明确离子Soret热电势；2为电子空穴密度调节的电子热电势。相同TEP词不能消去机制及有效量差异。,,reviewed,False
115,iTE:P1545:n3,3,2,True,split,2,1,1,0,0节点为环境湿度水平，1/2为湿度增加事件，保留量与变化区别。,,reviewed,False
116,iTE:P0670:n2,3,2,True,split,2,1,1,0,0/2一般氢键网络，1有强度限定；共同网络不足以合并强网络子类。,,reviewed,False
117,iTE:P0398:n3,3,3,False,uncertain,3,0,0,3,三个成员均离子热电，但2明确定义Si和离子电导率两项，0还涉及Eastman熵与扩散系数；缺少同一集合边界，不强制合并。,,reviewed,False
118,iTE:P1500:n3,3,2,True,split,2,1,1,0,0/1均有序性相对改善，2为高有序状态，不保证经历同一增加过程。,,reviewed,False
119,iTE:P0394:n3,3,2,True,accept,1,2,0,0,三段均为离子扩散系数这一量，稳态建立时间为其作用不是另一个概念；共同定义支持未直接比较的1-2。,,reviewed,False
120,iTE:P1935:n1,3,3,False,accept,1,3,0,0,三者都是离子载流子导电过程，贡献大小和气氛不同，不改过程定义。,,reviewed,False
121,iTE:P0511:n3,3,2,True,accept,1,2,0,0,三者明确ionic figure of merit或ZTi；1给出sigma_i alpha_i²T/lambda，支持共同离子优值定义，不并入电子ZT。,,reviewed,False
122,iTE:P1712:n4,3,3,False,accept,1,3,0,0,kappaL/K-L均为晶格热导率，P1712完整摘要明确展开；非总热导率。,,reviewed,False
123,iTE:P1544:n4,3,3,False,accept,1,3,0,0,三篇均为电子热电材料中低/poor electrical conductivity状态，保留低值条件。,,reviewed,False
124,iTE:P1870:n2,3,3,False,accept,1,3,0,0,三者均描述低能光学声子分支/模，2的guest ion vibration仍属于同一低能光学模类别；不等同声学模。,,reviewed,False
125,iTE:P1536:n1,3,2,True,split,2,1,1,0,0/2明确金属态/metallic nature；1为metallic-type properties，类金属性证据不确证实际金属态。,,reviewed,False
126,iTE:P1783:n1,3,2,True,split,2,1,1,0,0/2同为声子动力学；1为晶格振动本身，动力学包含色散寿命等，范围更广。,,reviewed,False
127,iTE:P1489:n2,3,2,True,split,2,1,1,0,0/2是群速度量，1为small群速度状态；不能抹去小值限定。,,reviewed,False
128,iTE:P1908:n2,3,2,True,accept,1,2,0,0,三处均指晶格声子在材料中传播输运过程，方向/抑制增强是关系条件，未将热导率量混入。,,reviewed,False
129,iTE:P0554:n2,3,2,True,accept,1,2,0,0,0明确passive；1明确passive layer；2由高发射率低吸收率实现冷却，证据支持同一被动辐射机制，风险提示不成立。,,reviewed,False
130,iTE:P1660:n3,3,2,True,accept,1,2,0,0,0/1明确superionic conductivity，2明确超离子相中质子跳跃导致电导，补足其离子属性。,,reviewed,False
131,iTE:P1577:n2,3,3,False,accept,1,3,0,0,三处均为热传导过程；离子或材料贡献不同不改变热传导定义，非热导率量。,,reviewed,False
132,iTE:P1389:n2,3,2,True,accept,1,2,0,0,thermal transport、heat transport、heat flow在三段都描述热的传输而未作为定量通量，统一过程层级。,,reviewed,False
133,iTE:P0571:n3,3,3,False,accept,1,3,0,0,三文均为离子热扩散造成温度到电的响应，响应对象一致，机制调节不同。,,reviewed,False
134,iTE:P1505:n2,3,3,False,uncertain,3,0,0,3,0/1为综合输运属性，2由Seebeck数据单独描述small polaron热电输运，未给相同属性集合。,,reviewed,False
135,TG:P0114:n1,2,1,False,accept,1,1,0,0,两段均描述热端产氢、冷端耗氢的同一可逆氢氧化还原反应；装置不同不改变反应定义。,,reviewed,False
136,TG:P0254:n3,2,1,False,accept,1,1,0,0,两篇完整摘要均明确展开solution Rs、charge-transfer Rct、diffusion Rdif，同符号在这里确实对应同一电阻分量。,,reviewed,False
137,TG:P0254:n4,2,1,False,accept,1,1,0,0,两篇完整摘要均明确展开solution Rs、charge-transfer Rct、diffusion Rdif，同符号在这里确实对应同一电阻分量。,,reviewed,False
138,TG:P0254:n2,2,1,False,accept,1,1,0,0,两篇完整摘要均明确展开solution Rs、charge-transfer Rct、diffusion Rdif，同符号在这里确实对应同一电阻分量。,,reviewed,False
139,TG:P0090:n3,2,1,False,uncertain,2,0,0,1,一处讨论Soret与Seebeck的独立性，另一处用Seebeck effect表示氧化还原熵差增强的响应；尚不能确定同一效应定义。,,reviewed,False
140,TG:P0301:n2,2,1,False,uncertain,2,0,0,1,第二段实际以解决不连续输出为目标，须核实抽取是否指实现的连续输出；不把问题描述自动转为性能。,,reviewed,False
141,TG:P0304:n1,2,1,False,accept,1,1,0,0,currents指促进混合的流体运动，flows指促进充电的同类流动，不是电流；均为对流。,,reviewed,False
142,TG:P0327:n2,2,1,False,accept,1,1,0,0,两篇分别研究钢和铝腐蚀，节点均为腐蚀过程本身，非特定腐蚀产物或速率。,,reviewed,False
143,TG:P0267:n3,2,1,False,accept,1,1,0,0,两段均明确外电路持续输出电流；电极反应不同属于实现机制而非该输出特征定义。,,reviewed,False
