raw_mention_id,class_id,paper_id,source_file,source_locator,quote,context,source_quote_start,source_quote_end
iTE:P0413:n3,iTE:P1958:n2,P0413,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0413:n3,"Introducing 5 vol% conductive polymer PEDOT:PSS aqueous solution into the PVA hydrogel strengthened chemical coordination between the polymer matrix and Cu2+ ions to facilitate mobile Cl- ions, resulting in an ultrahigh alpha of -22.8 mV K-1, further elevated to - 33.8 mV K-1 via freezing-thawing cycles.","Introducing 5 vol% conductive polymer PEDOT:PSS aqueous solution into the PVA hydrogel strengthened chemical coordination between the polymer matrix and Cu2+ ions to facilitate mobile Cl- ions, resulting in an ultrahigh alpha of -22.8 mV K-1, further elevated to - 33.8 mV K-1 via freezing-thawing cycles.",0,305
iTE:P0414:n3,iTE:P1958:n2,P0414,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0414:n3,"A two-wire 3 omega method was employed to measure thermal conductivity, along with a temperature gradient system for Seebeck coefficient measurements. The thermal conductivity, electrical conductivity, and Seebeck coefficient of the hybrid systems were investigated across various mass fractions and temperatures. The results indicate that selective solvation effects between ionic liquids and solvents can significantly enhance both electrical conductivity and Seebeck coefficient.","A two-wire 3 omega method was employed to measure thermal conductivity, along with a temperature gradient system for Seebeck coefficient measurements. The thermal conductivity, electrical conductivity, and Seebeck coefficient of the hybrid systems were investigated across various mass fractions and temperatures. The results indicate that selective solvation effects between ionic liquids and solvents can significantly enhance both electrical conductivity and Seebeck coefficient.",0,482
iTE:P0436:n3,iTE:P1958:n2,P0436,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0436:n3,"This study is based on a dynamic supramolecular hydrogen bonding system composed of polyvinyl alcohol (PVA), inositol hexakisphosphate (IP6), and choline chloride (ChCl), and the synergistic regulation of carrier (proton) ionization equilibrium according to Le Chatelier's principle. This system endows the i-TE gel elastomer with excellent stretchability, self-healing ability, recyclability, and a large ionic thermopower.","This study is based on a dynamic supramolecular hydrogen bonding system composed of polyvinyl alcohol (PVA), inositol hexakisphosphate (IP6), and choline chloride (ChCl), and the synergistic regulation of carrier (proton) ionization equilibrium according to Le Chatelier's principle. This system endows the i-TE gel elastomer with excellent stretchability, self-healing ability, recyclability, and a large ionic thermopower.",0,424
iTE:P0446:n2,iTE:P1958:n2,P0446,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0446:n2,"Notably, the lower critical solution temperature (LCST) of this ionic hydrogels can be feasibly modulated, and the thermoteopic phase transition also induces a sharp increase in their Seebeck coefficient, reaching up to 39.03 mV K-1 with a power factor (PFi) value up to 0.838 mW m-1 K-2.","Notably, the lower critical solution temperature (LCST) of this ionic hydrogels can be feasibly modulated, and the thermoteopic phase transition also induces a sharp increase in their Seebeck coefficient, reaching up to 39.03 mV K-1 with a power factor (PFi) value up to 0.838 mW m-1 K-2.",0,288
iTE:P0451:n3,iTE:P1958:n2,P0451,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0451:n3,"Mixed ionic-electronic conducting (MIEC) thermoelectric (TE) materials offer higher ionic conductivity and ionic Seebeck coefficient compared to those of purely ionic-conducting TE materials. These characteristics make them suitable for direct use in thermoelectric generators (TEGs) as the charge carriers can be effectively transported from one electrode to the other via the external circuit. In the present study, MIEC hydrogels are fabricated via the chemical cross-linking of polyacrylamide (PAAM) and polydopamine (PDA) to form a double network. In addition, electrically conducting carboxylated carbon nanotubes (CNT-COOH) are dispersed evenly within the hydrogel via sonication and interaction with the PDA. Moreover, the electrical properties of the hydrogel are further improved via the in situ polymerization of polyaniline (PANI). The presence of CNT-COOH facilitates the ionic conductivity and enhances the ionic Seebeck coefficient via ionic-electronic interactions between sodium ions and carboxyl groups on CNT-COOH, which can be observed in X-ray photoelectron spectroscopy results, thereby promoting the charge transport properties.","Mixed ionic-electronic conducting (MIEC) thermoelectric (TE) materials offer higher ionic conductivity and ionic Seebeck coefficient compared to those of purely ionic-conducting TE materials. These characteristics make them suitable for direct use in thermoelectric generators (TEGs) as the charge carriers can be effectively transported from one electrode to the other via the external circuit. In the present study, MIEC hydrogels are fabricated via the chemical cross-linking of polyacrylamide (PAAM) and polydopamine (PDA) to form a double network. In addition, electrically conducting",0,589
iTE:P0454:n3,iTE:P1958:n2,P0454,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0454:n3,"Poly(3,4-ethylenedioxythiophene):poly(4-styrenesulfonate) (PEDOT:PSS) has garnered significant considerable interest in the field of flexible thermoelectric films owing to its very low thermal conductivity, highly adjustable electrical conductivity (sigma) and Seebeck coefficient (S). However, improving the sigma and S of PEDOT:PSS simultaneously remains challenging for achieving efficient thermoelectrics. In this paper, we proposed a two-step process involving femtosecond laser irradiation and ionic liquid (IL) 1-Ethyl-3-MethylImidazolium DiCyAmide treatment to enhance the thermoelectric properties of PEDOT: PSS thin films. This finding revealed that the increase in PEDOT: PSS conductivity was attributed to both laser irradiation and the post-treatment with IL, in which the former enabled the efficient elimination of insulating PSS from the surface of the conductive polymer, the latter further contributed to the decoupling of PEDOT and PSS. The enhanced Seebeck coefficient was due to the ion exchange resulting from IL post-processing, which regulated the PEDOT doping level.","in the field of flexible thermoelectric films owing to its very low thermal conductivity, highly adjustable electrical conductivity (sigma) and Seebeck coefficient (S). However, improving the sigma and S of PEDOT:PSS simultaneously remains challenging for achieving efficient thermoelectrics. In this paper, we proposed a two-step process involving femtosecond laser irradiation and ionic liquid (IL) 1-Ethyl-3-MethylImidazolium DiCyAmide treatment to enhance the thermoelectric properties of PEDOT: PSS thin films. This finding revealed that the increase in PEDOT: PSS conductivity was attributed to",117,717
iTE:P0461:n2,iTE:P1958:n2,P0461,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0461:n2,"For the first time, a large rise in the thermopower by 6.5 times during the sol-gel transition of poloxamer/LiCl system is observed, an even greater ionic figure of merit by approximate to 23 times.","For the first time, a large rise in the thermopower by 6.5 times during the sol-gel transition of poloxamer/LiCl system is observed, an even greater ionic figure of merit by approximate to 23 times.",0,198
iTE:P0462:n3,iTE:P1958:n2,P0462,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0462:n3,"The conjugated polymer PEDOT:PSS and the related hybrid systems undoubtedly possess a high electrical conductivity and a reasonable Seebeck coefficient, showing potential for thermoelectric applications due to the feasibility of modulating their degree of doping by partially extracting the PSS section. Herein, the combination of PEDOT:PSS, with four ionic liquids (XMIM BF4) having cations of various alkyl chain lengths (methyl, ethyl, butyl, and hexyl denote X = M, E, B, and H, respectively) and the same tetrafluoroborate BF4 anion, was studied to optimize the thermoelectricity. It was found that the introduction of ionic liquids with small-(MMIM BF4) and large-sized cations (HMIM BF4) into the PEDOT:PSS film contributes to an improved Seebeck coefficient and conductivity, respectively.","The conjugated polymer PEDOT:PSS and the related hybrid systems undoubtedly possess a high electrical conductivity and a reasonable Seebeck coefficient, showing potential for thermoelectric applications due to the feasibility of modulating their degree of doping by partially extracting the PSS section. Herein, the combination of PEDOT:PSS, with four ionic liquids (XMIM BF4) having cations of various alkyl chain lengths (methyl, ethyl, butyl, and hexyl denote X = M, E, B, and H, respectively) and the same tetrafluoroborate BF4 anion, was",0,542
iTE:P0498:n2,iTE:P1958:n2,P0498,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0498:n2,"While a canonical, constant-volume thermodynamic model indicates that greater disparity and longer aliphatic groups should exhibit larger Seebeck coefficients, we instead measure the opposite: Longer aliphatic chains correlate with lower densities and greater heat expansion, stronger intermolecular associations, stronger steric repulsion, and lower Seebeck coefficients.","While a canonical, constant-volume thermodynamic model indicates that greater disparity and longer aliphatic groups should exhibit larger Seebeck coefficients, we instead measure the opposite: Longer aliphatic chains correlate with lower densities and greater heat expansion, stronger intermolecular associations, stronger steric repulsion, and lower Seebeck coefficients.",0,372
iTE:P0503:n2,iTE:P1958:n2,P0503,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0503:n2,"This study investigates an innovative PE-enhanced iTEs effect, wherein the ionic thermopower exhibits a 58% enhancement while the ionic conductivity arises more than 2x within a PE-induced internal electric field.","This study investigates an innovative PE-enhanced iTEs effect, wherein the ionic thermopower exhibits a 58% enhancement while the ionic conductivity arises more than 2x within a PE-induced internal electric field.",0,213
iTE:P0506:n2,iTE:P1958:n2,P0506,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0506:n2,"The CPG-L2 hydrogel exhibits impressive mechanical properties, demonstrating a maximum tensile strength of 1.24 MPa. Moreover, its Seebeck coefficient of 9.31 mV/K indicates a considerable thermoelectric performance.","The CPG-L2 hydrogel exhibits impressive mechanical properties, demonstrating a maximum tensile strength of 1.24 MPa. Moreover, its Seebeck coefficient of 9.31 mV/K indicates a considerable thermoelectric performance.",0,216
iTE:P0509:n2,iTE:P1958:n2,P0509,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0509:n2,"The achieved DES gel exhibits outstanding properties, including a high Seebeck coefficient (17.96 mV K-1), impressive ionic conductivity (7.16 mS cm-1), and low thermal conductivity (0.1847 W m-1 K-1) at room temperature with relative humidity of 60 %, marking a substantial advancement in thermoelectric performance.","The achieved DES gel exhibits outstanding properties, including a high Seebeck coefficient (17.96 mV K-1), impressive ionic conductivity (7.16 mS cm-1), and low thermal conductivity (0.1847 W m-1 K-1) at room temperature with relative humidity of 60 %, marking a substantial advancement in thermoelectric performance.",0,317
iTE:P0542:n2,iTE:P1958:n2,P0542,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0542:n2,"Ionic thermoelectric materials, renowned for their high Seebeck coefficients, are gaining prominence for their potential in harvesting low-grade waste heat. However, the theoretical underpinnings for enhancing the performance of these materials remain underexplored. In this study, the Hoffmeister effect was leveraged to augment the thermoelectric properties of hydrogel-based ionic thermoelectric materials. A series of PAAm-x Zn(CF3SO3)(2), PAAm-x ZnSO4, and PAAm-x Zn(ClO4)(2) hydrogels were synthesized, using polyacrylamide (PAAm) as the matrix and three distinct zinc salts with varying anion volumes to impart the Hoffmeister effect. Exceptionally, the most cost-effective ZnSO4 yielded the highest ionic Seebeck coefficient among the hydrogels, with PAAm-1 ZnSO4 achieving a remarkable value of -3.72 mV K-1. To elucidate the underlying mechanism, we conducted an innovative analysis correlating the Seebeck coefficient with the zinc ion transfer number.","Ionic thermoelectric materials, renowned for their high Seebeck coefficients, are gaining prominence for their potential in harvesting low-grade waste heat. However, the theoretical underpinnings for enhancing the performance of these materials remain underexplored. In this study, the Hoffmeister effect was leveraged to augment the thermoelectric properties of hydrogel-based ionic thermoelectric materials. A series of PAAm-x Zn(CF3SO3)(2), PAAm-x ZnSO4, and PAAm-x Zn(ClO4)(2) hydrogels were synthesized, using polyacrylamide (PAAm) as the matrix and three distinct zinc salts with varying anion volumes to",0,610
iTE:P0547:n3,iTE:P1958:n2,P0547,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0547:n3,"The equivalent Seebeck coefficient can be significantly boosted and reaches 1 order of magnitude higher than the current state of the art, even beyond thermoTRP ion channels. The improvement is attributed to substantial slippage on the highly charged graphene surface, leading to enhanced electrokinetic ion transport inside the graphene channel, which is confirmed by a scaling theory for thermoelectric coupling as well as molecular dynamic simulations.","The equivalent Seebeck coefficient can be significantly boosted and reaches 1 order of magnitude higher than the current state of the art, even beyond thermoTRP ion channels. The improvement is attributed to substantial slippage on the highly charged graphene surface, leading to enhanced electrokinetic ion transport inside the graphene channel, which is confirmed by a scaling theory for thermoelectric coupling as well as molecular dynamic simulations.",0,455
iTE:P0553:n3,iTE:P1958:n2,P0553,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0553:n3,"Although ionic thermoelectric (iTE) materials can have very high thermopower, it is of great significance to develop novel methods to further improve the ionic thermopower and figure of merit (ZT(i)). Here, significant improvement in the thermopower and thus the ZT(i) value of an ionogel by cationic doping, is reported. Doping sodium dicyanamide (Na:DCA) into the ionogels of poly(vinylidene fluoride-co-hexafluoropropylene) (PVDF-HFP) and 1-ethyl-3-methylimidazolium dicyanamide (EMIM:DCA) that is an ionic liquid can greatly enhance the thermopower. This is attributed to the interactions between the doped Na+ cations and DCA(-) anions, thereby increasing the difference in the mobilities of EMIM+ cations and DCA(-) anions.","Although ionic thermoelectric (iTE) materials can have very high thermopower, it is of great significance to develop novel methods to further improve the ionic thermopower and figure of merit (ZT(i)). Here, significant improvement in the thermopower and thus the ZT(i) value of an ionogel by cationic doping, is reported. Doping sodium dicyanamide (Na:DCA) into the ionogels of poly(vinylidene fluoride-co-hexafluoropropylene) (PVDF-HFP) and 1-ethyl-3-methylimidazolium dicyanamide (EMIM:DCA) that is an ionic liquid can greatly enhance the thermopower. This is attributed to the interactions",0,592
iTE:P0559:n2,iTE:P1958:n2,P0559,/Users/chl/Desktop/my_project/knowledge_reflection/stage2_normalization/dsh_flash_review/evidence_cards.jsonl,mention_id=iTE:P0559:n2,"Ionic thermoelectric (TE) materials such as ionic hydrogels and ionogels consisting of ionic liquids have emerged as next generation TE materials because of their quasi-solid states and high TE properties, particularly high ionic Seebeck coefficient. However, ionic hydrogels can have a severe stability problem owing to water evaporation, and the ionic liquids of ionogels are very expensive and are usually not biocompatible or even toxic. Here, we report the high TE and mechanical properties of eutectogels made of elastomeric water-borne polyurethane (WPU) and choline chloride (ChCl):ethylene glycol (EG). ChCl:EG is a deep eutectic solvent with high ionic conductivity and non-volatility like ionic liquids, and it has advantages of low cost and environment friendliness in comparison with ionic liquids.","ionic liquids have emerged as next generation TE materials because of their quasi-solid states and high TE properties, particularly high ionic Seebeck coefficient. However, ionic hydrogels can have a severe stability problem owing to water evaporation, and the ionic liquids of ionogels are very expensive and are usually not biocompatible or even toxic. Here, we report the high TE and mechanical properties of eutectogels made of elastomeric water-borne polyurethane (WPU) and choline chloride (ChCl):ethylene glycol (EG). ChCl:EG is a deep",87,629
