article_role,assertion,claim_id,claim_scope,conditions,context_quotes,decision_source,doi,domain,evidence_spans,id,joint_factor_local_resolution,joint_factor_raw_values,joint_factors,modality,modality_evidence,modality_spans,note,object,object_id,object_role,paper_id,paper_input_hash,paper_title,predicate,quote,relation_id,review_reason,review_status,scope,source,status,subject,subject_id,subject_role,target,year
research,author_claim,iTE:P0336:r004,own_work,,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/adma.202510199,iTE,"[{""start"":546,""end"":860}]",r004,,,[],unspecified,[],[],,Cu2+ ions from CuCl2,P0336:cu,material_entity,P0336,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,forms coordination bonds with,"Leveraging the amphiphilic nature of PVA, its hydrophilic hydroxyl groups form coordination bonds with Cu2+ ions from copper chloride (CuCl2), while its hydrophobic backbone interacts with water-soluble conjugated polymer (poly(3-(3 '-N,N,N-triethylammonium-1 '-propy-loxy)-4-methyl-2,5-thiophene chloride (PMNT). ",P0336:r004,,not_targeted_by_full_audit_v1,intrinsic_material_mechanism,iTE:C7a08626b3acd96,accepted,Hydrophilic hydroxyl groups of PVA,P0336:oh,material_entity,iTE:Cd2e523f0bd67c6,2025
research,author_claim,iTE:P0336:r005,own_work,,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/adma.202510199,iTE,"[{""start"":546,""end"":860}]",r005,,,[],unspecified,[],[],,Water-soluble conjugated polymer PMNT,P0336:pm,material_entity,P0336,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,interacts hydrophobically with,"Leveraging the amphiphilic nature of PVA, its hydrophilic hydroxyl groups form coordination bonds with Cu2+ ions from copper chloride (CuCl2), while its hydrophobic backbone interacts with water-soluble conjugated polymer (poly(3-(3 '-N,N,N-triethylammonium-1 '-propy-loxy)-4-methyl-2,5-thiophene chloride (PMNT). ",P0336:r005,,not_targeted_by_full_audit_v1,intrinsic_material_mechanism,iTE:Cc45528075b4d62,accepted,Hydrophobic PVA backbone,P0336:bb,material_entity,iTE:C188e3f933ca441,2025
research,author_claim,iTE:P0336:r006,own_work,Among PMNT chains,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/adma.202510199,iTE,"[{""start"":860,""end"":983}]",r006,"[{""raw_id"":""pi"",""label"":""Strong pi-pi stacking among PMNT chains""},{""raw_id"":""bh"",""label"":""PMNT backbone hydrophobicity""}]","[""pi"",""bh""]","[""Strong pi-pi stacking among PMNT chains"",""PMNT backbone hydrophobicity""]",unspecified,[],[],,Hydrophobic associations among PMNT chains,P0336:pa,interaction,P0336,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,jointly drives,"Meanwhile, hydrophobic associations also occur among PMNT chains due to strong pi-pi stacking and backbone hydrophobicity. ",P0336:r006,,not_targeted_by_full_audit_v1,intrinsic_material_mechanism,iTE:C31db19161db0a3,accepted,Strong pi-pi stacking among PMNT chains,P0336:pi,interaction,iTE:C52cfbe0aa11236,2025
research,author_claim,iTE:P0336:r007,own_work,Chloride anions originate from both CuCl2 and PMNT,"[""This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower. ""]","{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/adma.202510199,iTE,"[{""start"":546,""end"":860},{""start"":983,""end"":1164}]",r007,"[{""raw_id"":""co"",""label"":""Coordination interactions""},{""raw_id"":""hy"",""label"":""Hydrophobic interactions""}]","[""co"",""hy""]","[""Coordination interactions"",""Hydrophobic interactions""]",unspecified,[],[],,Thermophoretic difference between chloride anions and cations,P0336:td,quantity,P0336,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,enhances,"Leveraging the amphiphilic nature of PVA, its hydrophilic hydroxyl groups form coordination bonds with Cu2+ ions from copper chloride (CuCl2), while its hydrophobic backbone interacts with water-soluble conjugated polymer (poly(3-(3 '-N,N,N-triethylammonium-1 '-propy-loxy)-4-methyl-2,5-thiophene chloride (PMNT). ",P0336:r007,,not_targeted_by_full_audit_v1,ion_mass_transport,iTE:C0333804bb268c9,accepted,Dual coordination and hydrophobic interaction strategy,P0336:ds,design_strategy,iTE:C9c30ddad47da6c,2025
research,author_claim,iTE:P0336:r008,own_work,,"[""This dual-interaction strategy approach enhances the thermophoretic difference between chloride anions (from both CuCl2 and PMNT) and cations, enabling the giant ionic thermopower. ""]","{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/adma.202510199,iTE,"[{""start"":306,""end"":546},{""start"":983,""end"":1164}]",r008,,,[],unspecified,[],[],,Ionic Seebeck coefficient of -38.6 mV K-1,P0336:tp,quantity,P0336,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,enables,"Herein, a poly(vinyl alcohol) (PVA)-based n-type i-TE hydrogel is presented that exhibits both large negative S i (-38.6 mV K-1) and excellent stretchability (382.5%) through synergistic effect of coordination and hydrophobic interactions. ",P0336:r008,,not_targeted_by_full_audit_v1,thermodynamics,iTE:C9c30ddad47da6c,accepted,Thermophoretic difference between chloride anions and cations,P0336:td,quantity,iTE:C8ee92d4b57b737,2025
research,author_claim,iTE:P0336:r009,own_work,,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/adma.202510199,iTE,"[{""start"":1164,""end"":1262}]",r009,,,[],unspecified,[],[],,Overall mechanical robustness,P0336:mr,performance_function,P0336,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,contributes to,"Besides, the long-range hydrophobic interactions contribute to the overall mechanical robustness. ",P0336:r009,,not_targeted_by_full_audit_v1,mechanical_environmental_stability,iTE:C5351b158bd8595,accepted,Long-range hydrophobic interactions,P0336:lh,interaction,iTE:Cdcc446dd2d1af9,2025
research,author_claim,iTE:P0336:r010,own_work,,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/adma.202510199,iTE,"[{""start"":1262,""end"":1472}]",r010,,,[],unspecified,[],[],,Self-powered temperature sensing,P0336:ts,application,P0336,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,is implemented in,"The developed hydrogels are successfully implemented in self-powered temperature sensors and low-grade heat harvesting systems, such as powering a cooling fan by utilizing the waste heat from a working tablet. ",P0336:r010,,not_targeted_by_full_audit_v1,application_sensing,iTE:C12e6e76693c74c,accepted,PVA-based n-type ionic thermoelectric hydrogel,P0336:g,material_entity,iTE:Cabacea39d40aeb,2025
research,author_claim,iTE:P0336:r011,own_work,,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/adma.202510199,iTE,"[{""start"":1262,""end"":1472}]",r011,,,[],unspecified,[],[],,Low-grade heat harvesting,P0336:hh,application,P0336,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,is implemented in,"The developed hydrogels are successfully implemented in self-powered temperature sensors and low-grade heat harvesting systems, such as powering a cooling fan by utilizing the waste heat from a working tablet. ",P0336:r011,,not_targeted_by_full_audit_v1,application_sensing,iTE:C12e6e76693c74c,accepted,PVA-based n-type ionic thermoelectric hydrogel,P0336:g,material_entity,iTE:C23fbb343a05e86,2025
research,author_claim,iTE:P0336:r012,own_work,,[],"{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/adma.202510199,iTE,"[{""start"":1262,""end"":1472}]",r012,,,[],unspecified,[],[],,Powering a cooling fan using waste heat from a working tablet,P0336:fan,application,P0336,a1fffe0d882e172020b3ed29a83744b6f7be71af651e8a40c35ee285897c423e,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,is used for,"The developed hydrogels are successfully implemented in self-powered temperature sensors and low-grade heat harvesting systems, such as powering a cooling fan by utilizing the waste heat from a working tablet. ",P0336:r012,,not_targeted_by_full_audit_v1,application_sensing,iTE:C12e6e76693c74c,accepted,PVA-based n-type ionic thermoelectric hydrogel,P0336:g,material_entity,iTE:C4370a2d2486016,2025
research,author_claim,iTE:P0337:r001,own_work,,"[""Furthermore, the stretchable ITEC demonstrates a substantial power density of 5.9 mW m-2. ""]","{""run"":""full_extraction_v1"",""action"":""unchanged""}",10.1002/aenm.202405502,iTE,"[{""start"":172,""end"":358},{""start"":893,""end"":983}]",r001,,,[],unspecified,[],[],,Host-guest complexation between alpha-CD and I3-,P0337:cx,interaction,P0337,d8605bce09b31bed94feda6f38f1513797fb0d224e57b38b72b43afad7de7e26,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,incorporates,This study introduces a novel design for ionic thermoelectric capacitors (ITECs) by incorporating host-guest complexation between alpha-cyclodextrin (alpha-CD) and triiodide ions (I3-). ,P0337:r001,,not_targeted_by_full_audit_v1,intrinsic_material_mechanism,iTE:C6c2d75ca36e549,accepted,Stretchable ionic thermoelectric capacitor,P0337:it,material_entity,iTE:Cbcd09cf40aeccd,2025
