entry_id,paper_id,year,title,doi,role,text,x,y
TG_0005_mechanism,TG_0005,2024,"Ultrastrong, flexible thermogalvanic armor with a Carnot-relative efficiency over 8%",10.1038/s41467-024-51002-8,mechanism,thermosensitive crystallization and salting-out simultaneously increase thermogalvanic efficiency and mechanical toughness,13.013281,3.3967533
TG_0006_material,TG_0006,2025,Bionic Multimodal Augmented Somatosensory Receptor Enabled by Thermogalvanic Hydrogel,10.1002/advs.202505873,material,thermogalvanic hydrogel multimodal fingertip receptor,15.047531,5.5816684
TG_0006_mechanism,TG_0006,2025,Bionic Multimodal Augmented Somatosensory Receptor Enabled by Thermogalvanic Hydrogel,10.1002/advs.202505873,mechanism,static thermovoltage and dynamic interfacial heat-transfer signals enable pressure/temperature/material fingerprint sensing,11.700895,1.6233336
TG_0007_material,TG_0007,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,material,PVA hydrogel with I-/I3- redox couple and zwitterions,15.450603,5.1577363
TG_0007_mechanism,TG_0007,2024,Thermogalvanic hydrogel-based e-skin for self-powered on-body dual-modal temperature and strain sensing,10.1038/s41378-024-00693-6,mechanism,thermogalvanic redox conversion plus piezoresistive gel response enables self-powered temperature and strain sensing; zwitterions improve dehydration/cold resistance,11.357807,1.5794674
TG_0008_material,TG_0008,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,material,photocatalytically enhanced thermogalvanic redox system,12.993835,5.5678105
TG_0008_mechanism,TG_0008,2023,In situ photocatalytically enhanced thermogalvanic cells for electricity and hydrogen production,10.1126/science.adg0164,mechanism,"photocatalytic hydrogen/oxygen generation maintains redox-ion concentration gradient, coupling hydrogen production with thermogalvanic power",13.081183,1.8345543
TG_0009_material,TG_0009,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,material,water evaporation-enhanced thermogalvanic cell electrolyte,13.538509,5.532921
TG_0009_mechanism,TG_0009,2025,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,10.1002/adfm.202503541,mechanism,"ambient evaporation creates electrolyte concentration gradient and sub-ambient cold side, boosting thermopower and output from waste steam",13.245115,1.5955073
TG_0010_material,TG_0010,2025,Enhancing Thermogalvanic Efficiency through Electrostatic Interaction in Cationic Hydrogels,10.1021/acsaem.4c02835,material,cationic electroactive hydrogels with cationic redox pairs,13.995056,4.062554
TG_0010_mechanism,TG_0010,2025,Enhancing Thermogalvanic Efficiency through Electrostatic Interaction in Cationic Hydrogels,10.1021/acsaem.4c02835,mechanism,electrostatic compatibility between cationic network and redox pair facilitates redox-pair transport and increases current/power density,15.031855,1.6238626
TG_0011_material,TG_0011,2025,Self-powered versatile on-hand virtual interface enabled by thermogalvanic hydrogel,10.1016/j.cej.2025.167739,material,PVA/trehalose/glycerol/water thermogalvanic hydrogel virtual interface,15.518801,5.8198504
TG_0011_mechanism,TG_0011,2025,Self-powered versatile on-hand virtual interface enabled by thermogalvanic hydrogel,10.1016/j.cej.2025.167739,mechanism,body-heat thermoelectricity and active piezoresistive modulation transduce hand gestures into self-powered signals,11.230989,1.5924574
TG_0012_material,TG_0012,2025,Deep-learning-enabled breathable thermogalvanic hydrogel array for self-powered mental monitoring,10.1039/d5ta00253b,material,"thermogalvanic hydrogel/gelatin breathable array with phytic acid, glycerol, water",15.505413,5.7346754
TG_0012_mechanism,TG_0012,2025,Deep-learning-enabled breathable thermogalvanic hydrogel array for self-powered mental monitoring,10.1039/d5ta00253b,mechanism,through-hole breathable structure and hydrogen-bonded double network preserve ionic/electrical performance for facial-expression signals,13.081953,3.0092437
TG_0013_material,TG_0013,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,material,PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex,14.357905,3.7874644
TG_0013_mechanism,TG_0013,2025,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,10.1039/d5ee01216c,mechanism,"PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output",13.541555,2.616052
TG_0014_material,TG_0014,2023,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,10.1002/adma.202300696,material,stretchable PVA thermogalvanic thermocell,12.467634,3.1397765
TG_0014_mechanism,TG_0014,2023,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,10.1002/adma.202300696,mechanism,"stretching-induced crystallization couples with thermogalvanic redox effect to combine high strength, toughness, stretchability, and thermopower",12.659136,3.2596822
TG_0015_material,TG_0015,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,10.1002/smll.202405911,material,"dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",15.454762,6.3779235
TG_0015_mechanism,TG_0015,2025,Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,10.1002/smll.202405911,mechanism,porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals,11.3957815,1.4491543
TG_0016_material,TG_0016,2025,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,10.1016/j.jcis.2024.09.132,material,PVA dual-network binary-solvent hydrogel fiber with Fe2+/Fe3+ redox ions,15.673257,4.8237042
TG_0016_mechanism,TG_0016,2025,Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,10.1016/j.jcis.2024.09.132,mechanism,nostril temperature swings from respiration generate thermogalvanic signals while strong solvent hydrogen bonding maintains moisture,11.573198,2.344645
TG_0017_material,TG_0017,2025,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,10.1016/j.nanoen.2024.110515,material,sodium ferrocyanide/ferricyanide thermogalvanic electrolyte with ethanol solvent regulator,11.628852,4.125032
TG_0017_mechanism,TG_0017,2025,Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,10.1016/j.nanoen.2024.110515,mechanism,"ethanol modifies concentration gradient and solvation structure, raising temperature coefficient and extending low-temperature operating range",13.500253,1.5275563
TG_0018_material,TG_0018,2024,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,10.1016/j.cej.2024.150816,material,dynamic crystalline ion-injected thermoelectric gel DCI-TEG,15.653538,4.195167
TG_0018_mechanism,TG_0018,2024,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,10.1016/j.cej.2024.150816,mechanism,solvent-exchange salting-out creates robust ionic gel that couples thermogalvanic current with piezoresistive pressure sensing,11.736203,1.7803398
TG_0019_material,TG_0019,2025,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,10.1021/acs.nanolett.5c02774,material,aqueous [Ni(bpy)3]2+/3+ thermogalvanic redox agent,14.343929,4.975133
TG_0019_mechanism,TG_0019,2025,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,10.1021/acs.nanolett.5c02774,mechanism,different hydration-shell behavior between oxidant/reductant creates configurational entropy difference for stable high thermopower,15.598147,1.7698605
TG_0020_material,TG_0020,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189,material,double-layer gelatin K4[Fe(CN)6]/K3[Fe(CN)6] thermogalvanic cell,15.485947,7.039111
TG_0020_mechanism,TG_0020,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189,mechanism,spatially separated redox gel layers maintain ion concentration gradients and boost thermogalvanic voltage/efficiency,13.244788,1.5034832
TG_0021_material,TG_0021,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,10.1021/acsami.5c03375,material,"Cu/Cu(en)2 2+ redox couple with ethylenediamine, Cu electrode, (NH4)2SO4 electrolyte",14.634686,5.0498943
TG_0021_mechanism,TG_0021,2025,An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,10.1021/acsami.5c03375,mechanism,Cu/en chelation reaction creates large entropy change for high n-type thermogalvanic temperature coefficient,14.978451,2.2287579
TG_0022_material,TG_0022,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,10.1021/acsapm.5c02573,material,"polyacrylamide hydrogel with Fe(CN)6 3-/4-, guanidine hydrochloride, sodium pyrrolidone carboxylate",15.465786,6.4400105
TG_0022_mechanism,TG_0022,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,10.1021/acsapm.5c02573,mechanism,redox thermogalvanic effect harvests device waste heat; guanidine boosts thermopower and sodium PCA improves water retention/mechanics,13.167061,3.5765033
TG_0023_material,TG_0023,2026,Performance evaluation and optimal design of solar thermal liquid thermogalvanic generators without optical concentrator,10.1016/j.solener.2025.114122,material,solar liquid thermogalvanic generator with thermally sensitive TGCs and spectrally selective solar absorbers,13.771917,4.729134
TG_0023_mechanism,TG_0023,2026,Performance evaluation and optimal design of solar thermal liquid thermogalvanic generators without optical concentrator,10.1016/j.solener.2025.114122,mechanism,"solar absorber supplies heat directly to liquid TGCs, enabling full-spectrum solar-thermal-to-electric conversion without optical concentrator",13.71777,4.553581
TG_0024_material,TG_0024,2025,Unraveling Reaction Kinetics and Thermodynamics in Thermogalvanic Hydrogels: A Pathway to Efficient Thermal Energy Harvesting,10.1021/acs.chemmater.5c01558,material,formamide/water thermogalvanic hydrogels,14.651425,5.4527407
TG_0024_mechanism,TG_0024,2025,Unraveling Reaction Kinetics and Thermodynamics in Thermogalvanic Hydrogels: A Pathway to Efficient Thermal Energy Harvesting,10.1021/acs.chemmater.5c01558,mechanism,"formamide increases redox reaction entropy, promotes ion desolvation, lowers activation energy, and accelerates reaction kinetics",15.553855,1.2033652
TG_0025_material,TG_0025,2024,Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells,10.1126/sciadv.adp4533,material,all-inorganic hydrogel TGC with Fe2+/Fe3+ redox couple and Fe(OH)3 transformation,15.688258,4.864258
TG_0025_mechanism,TG_0025,2024,Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells,10.1126/sciadv.adp4533,mechanism,"hydrogen-bonded inorganic gel framework and temperature/pH-controlled Fe3+/Fe(OH)3 equilibrium enable recurrent gelation, thermopower, and thermochromism",14.070567,2.3304217
TG_0026_material,TG_0026,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,material,GelMA thermogalvanic cells with GdmCl and Fe(CN)6 3-/4-,15.282564,6.231306
TG_0026_mechanism,TG_0026,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,mechanism,guanidinium-induced ferricyanide/ferrocyanide crystallization and hydrogel nanochannel control greatly increase Seebeck coefficient,12.411124,3.6569057
TG_0027_material,TG_0027,2025,Fully Printed Thermogalvanic Modules for Low-Grade Energy Harvesting,10.1021/acsaem.5c02080,material,"fully printed TGM with hybrid current collectors, activated carbon electrodes, adhesive seal, laser-drilled spacer",13.171808,6.0328474
TG_0027_mechanism,TG_0027,2025,Fully Printed Thermogalvanic Modules for Low-Grade Energy Harvesting,10.1021/acsaem.5c02080,mechanism,additive printing integrates many thermogalvanic cells with aqueous redox electrolytes for scalable low-grade heat harvesting,15.55755,3.2048786
TG_0028_material,TG_0028,2025,AI-Informed Solvation Engineering for Thermogalvanic Electrolytes with High Thermopower,10.1021/acs.jpclett.5c02903,material,thermogalvanic electrolytes screened by AI/DFT ion-solvent interaction features,13.755357,3.753714
TG_0028_mechanism,TG_0028,2025,AI-Informed Solvation Engineering for Thermogalvanic Electrolytes with High Thermopower,10.1021/acs.jpclett.5c02903,mechanism,machine learning links solvation features and polarity to large redox solvation entropy differences and high thermopower,15.871344,1.4393716
TG_0029_material,TG_0029,2025,High-Performance Quasi-Solid Thermogalvanic Cells via Crown-Ether-Mediated Ion Migration,10.1021/acsnano.5c11865,material,quasi-solid K3Fe(CN)6/K4Fe(CN)6 thermogalvanic cell with 18-crown-6,16.215828,3.6971347
TG_0029_mechanism,TG_0029,2025,High-Performance Quasi-Solid Thermogalvanic Cells via Crown-Ether-Mediated Ion Migration,10.1021/acsnano.5c11865,mechanism,"18-crown-6 complexes K+ and amplifies cation thermodiffusion, adding Soret contribution to thermogalvanic voltage",13.522799,2.8974469
TG_0030_material,TG_0030,2025,Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,10.1016/j.colsurfa.2025.137971,material,graphene oxide-enhanced hydrogel with [Fe(CN)6]4-/3- and guanidine hydrochloride,15.407301,6.516962
TG_0030_mechanism,TG_0030,2025,Hydrogel incorporated with graphene oxide featuring enhanced thermosensitive crystallization for thermogalvanic cell,10.1016/j.colsurfa.2025.137971,mechanism,"GO adsorbs guanidinium and nucleates ferrocyanide crystallization, strengthening the thermogalvanic effect",12.684462,3.4643154
TG_0031_material,TG_0031,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,10.1016/j.nanoen.2025.111686,material,organic thermogalvanic hydrogel with benzoquinone/hydroquinone redox pair and ethylene glycol,15.338812,5.145181
TG_0031_mechanism,TG_0031,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,10.1016/j.nanoen.2025.111686,mechanism,"optimized BQ/H2BQ reversible electrode reaction and EG solvent exchange provide fast, stable thermal sensing",13.383514,2.321419
TG_0032_material,TG_0032,2025,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,10.1016/j.sna.2025.116876,material,PVA/PEG/Fe3+/Fe2+ thermogalvanic organohydrogel with DMSO/H2O,15.223696,5.2756963
TG_0032_mechanism,TG_0032,2025,A rapidly moldable thermogalvanic organohydrogel for self-powered water temperature and level monitoring,10.1016/j.sna.2025.116876,mechanism,Hofmeister-assisted rapid gelation and strong DMSO-water hydrogen bonds give moldable antifreezing thermogalvanic temperature/level sensing,11.491891,2.5178733
TG_0033_material,TG_0033,2024,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,10.1039/d4ee00768a,material,anionic polymer/hydroquinone-benzoquinone n-type thermogalvanic cell,14.531922,3.8366156
TG_0033_mechanism,TG_0033,2024,Realizing a high-performance n-type thermogalvanic cell by tailoring the thermodynamic equilibrium,10.1039/d4ee00768a,mechanism,"anionic polymer self-regulates pH and selectively transports HQ, shifting HQ/BQ equilibrium and creating high n-type thermopower",14.498611,3.0174382
TG_0034_material,TG_0034,2025,Unlocking enhanced thermogalvanic cell performance via molecular chaperone-assisted non-toxic redox couple for waste heat harvesting,10.1016/j.cej.2025.164170,material,"SO42-/SO32- redox couple with 3,6-bis(morpholin-4-ylethyl)-1,2,4,5-tetrazine molecular chaperone",16.133848,4.856667
TG_0034_mechanism,TG_0034,2025,Unlocking enhanced thermogalvanic cell performance via molecular chaperone-assisted non-toxic redox couple for waste heat harvesting,10.1016/j.cej.2025.164170,mechanism,molecular chaperone sustains redox concentration gradients and accelerates SO42-/SO32- thermogalvanic kinetics,16.168407,4.7528
TG_0035_material,TG_0035,2024,Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security,10.1002/smll.202402700,material,PVA/agar H2O/glycerol hydrogel with [Fe(CN)6]3-/4- redox couple,15.573532,6.182489
TG_0035_mechanism,TG_0035,2024,Machine Learning Assisted Self-Powered Identity Recognition Based on Thermogalvanic Hydrogel for Intelligent Security,10.1002/smll.202402700,mechanism,finger/body temperature gradients generate thermogalvanic signatures for self-powered biometric recognition,11.246273,1.592869
TG_0036_material,TG_0036,2024,"Modeling, thermodynamic performance analysis, and parameter optimization of a hybrid power generation system coupling thermogalvanic cells with alkaline fuel cells",10.1016/j.energy.2024.130557,material,alkaline fuel cell coupled with thermogalvanic cells,13.2987585,5.4867706
TG_0036_mechanism,TG_0036,2024,"Modeling, thermodynamic performance analysis, and parameter optimization of a hybrid power generation system coupling thermogalvanic cells with alkaline fuel cells",10.1016/j.energy.2024.130557,mechanism,"AFC waste heat drives TGCs in a thermal-electric cascade, improving power density and conversion efficiency",14.336299,1.3900632
TG_0037_material,TG_0037,2023,"Low-grade waste heat recovery scenarios: Pyroelectric, thermomagnetic, and thermogalvanic thermal energy harvesting",10.1016/j.nanoen.2023.108596,material,"pyroelectric, thermomagnetic, and thermogalvanic thermal-energy harvesters",13.637073,1.9001713
TG_0037_mechanism,TG_0037,2023,"Low-grade waste heat recovery scenarios: Pyroelectric, thermomagnetic, and thermogalvanic thermal energy harvesting",10.1016/j.nanoen.2023.108596,mechanism,low-grade heat recovery depends on mechanism-specific thermal cycling/redox/magnetic parameters and materials/device structure,15.605359,3.1842363
TG_0038_material,TG_0038,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,material,stretchable thermogalvanic hydrogel thermocell with guanidine and [Fe(CN)6]4-/3-,12.531148,3.3212416
TG_0038_mechanism,TG_0038,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,mechanism,guanidine-induced ferrocyanide crystallization raises thermopower and power density while antifreezing hydrogel enables wearable heat harvesting,12.608209,3.3843834
TG_0039_material,TG_0039,2024,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,10.1039/d4tc01418a,material,edible gelatin/glycerol hydrogel with I-/I3- redox pair,15.478019,5.3492794
TG_0039_mechanism,TG_0039,2024,Edible temperature-responsive-adhesive thermogalvanic hydrogel for self-powered multi-sited fatigue monitoring,10.1039/d4tc01418a,mechanism,thermogalvanic and piezoresistive effects convert body temperature/mechanical physiological motions into self-powered fatigue-monitoring signals,11.267893,1.6194159
TG_0040_material,TG_0040,2024,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,10.1039/d3sc06766a,material,gold electrodes modified with (3-trimethylammonium bromide)thiopropane SAMs in K3/K4[Fe(CN)6] thermocells,15.394996,7.290547
TG_0040_mechanism,TG_0040,2024,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,10.1039/d3sc06766a,mechanism,electrostatically charged SAMs electrocatalyze ferri/ferrocyanide redox and suppress gold passivation,11.640785,3.2316666
TG_0041_material,TG_0041,2023,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,10.1016/j.cej.2023.145247,material,PVA-PDMS gel with Fe2+/Fe3+ redox pair and AuNPs@SiO2-PDMS photothermal film,15.750266,4.833117
TG_0041_mechanism,TG_0041,2023,Thermogalvanic gel patch for self-powered human motion recognition enabled by photo-thermal-electric conversion,10.1016/j.cej.2023.145247,mechanism,Au plasmonic photothermal heating creates local temperature gradients that drive thermogalvanic gel output for motion sensing,12.371476,1.857138
TG_0042_material,TG_0042,2023,Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients,10.1016/j.nanoen.2023.108612,material,interpenetrating thermogalvanic hydrogel with [Fe(CN)6]3-/4- and KCl,15.397223,6.3377357
TG_0042_mechanism,TG_0042,2023,Self-powered information conversion based on thermogalvanic hydrogel with interpenetrating networks for nursing aphasic patients,10.1016/j.nanoen.2023.108612,mechanism,finger heat drives redox thermogalvanic current while KCl supports thermodiffusion for self-powered Morse-code information conversion,11.238252,1.5299027
TG_0043_material,TG_0043,2024,Boosted thermogalvanic thermopower upon solid-to-liquid phase transition,10.1039/d4ee01642d,material,Na-K alloy phase-transforming electrodes in thermogalvanic cells,13.721412,5.3355527
TG_0043_mechanism,TG_0043,2024,Boosted thermogalvanic thermopower upon solid-to-liquid phase transition,10.1039/d4ee01642d,mechanism,solid-to-liquid melting entropy and configurational entropy of alkali alloy electrodes sharply increase thermopower across transition,15.688395,1.6549461
TG_0044_material,TG_0044,2024,Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor,10.1016/j.nanoen.2024.110329,material,thermogalvanic hydrogel with redox ions in micro/nanochannels for lactic acid sensor,14.804078,5.2644424
TG_0044_mechanism,TG_0044,2024,Thermogalvanic hydrogel with controllable ion confined transportation and its application for self-powered lactic acid sensor,10.1016/j.nanoen.2024.110329,mechanism,salting-out confined ion transport tunes thermoelectric performance and powers lactic acid sensing,14.288424,2.7808387
TG_0045_material,TG_0045,2025,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,10.1002/aenm.202404151,material,quasi-solid thermogalvanic cells with Ni textile/Ni oxide electrodes and structure-breaking salts,16.075054,3.5966659
TG_0045_mechanism,TG_0045,2025,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,10.1002/aenm.202404151,mechanism,oxidized Ni textile O-vacancy defects enhance redox reactions and structure-breaking salts improve ion diffusion,15.068301,3.0573967
TG_0046_material,TG_0046,2022,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,10.1007/s40820-022-00824-6,material,flexible quasi-solid hydrogel thermocell with multivalent redox ions,16.255306,3.5929537
TG_0046_mechanism,TG_0046,2022,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,10.1007/s40820-022-00824-6,mechanism,redox ions provide thermogalvanic conversion and reversible ionic crosslinks for mechanical robustness,13.117317,2.547606
TG_0047_material,TG_0047,2023,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,10.1016/j.cej.2023.141274,material,bacterial cellulose thermogalvanic cell with Fe(CN)6 3-/4- and LiBr hygroscopic salt,15.179385,6.2179236
TG_0047_mechanism,TG_0047,2023,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,10.1016/j.cej.2023.141274,mechanism,bacterial cellulose confines redox ions and LiBr prevents drying/freezing for wide-temperature heat harvesting,15.150197,6.1052437
TG_0048_material,TG_0048,2025,Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,10.1002/cssc.202401749,material,quinone/hydroquinone organic thermogalvanic cell with HCl and copper electrode,14.626216,4.4928784
TG_0048_mechanism,TG_0048,2025,Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,10.1002/cssc.202401749,mechanism,"HCl accelerates Q/HQ redox kinetics and induces thermogalvanic copper corrosion, synergistically boosting output",12.560714,0.49344242
TG_0049_material,TG_0049,2024,A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,10.1016/j.solener.2024.112939,material,EG/SA/LA composite heat-storage electrodes in solar thermogalvanic cells,14.023925,4.9596124
TG_0049_mechanism,TG_0049,2024,A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,10.1016/j.solener.2024.112939,mechanism,photothermal/phase-change heat storage smooths solar fluctuations and sustains temperature difference for longer discharge,14.009008,1.7569385
TG_0050_material,TG_0050,2024,Thermogalvanic organohydrogel-based non-contact self-powered electronics for advancing smart agriculture,10.1039/d3tc04133f,material,Cu/Cu2+ DMSO/water thermoelectric organohydrogel with PDMS/CuO/Cu electrodes,14.771173,5.154341
TG_0050_mechanism,TG_0050,2024,Thermogalvanic organohydrogel-based non-contact self-powered electronics for advancing smart agriculture,10.1039/d3tc04133f,mechanism,"photo-thermal-electric conversion creates a temperature difference across Cu/Cu2+ organohydrogel, generating self-powered non-contact sensing output",11.602973,1.4291377
TG_0051_material,TG_0051,2023,Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,10.1021/acs.nanolett.3c03818,material,ethylene glycol/water antifreezing hydrogel with [Fe(CN)6]3-/4- redox ions,15.565688,6.1894474
TG_0051_mechanism,TG_0051,2023,Highly Antifreezing Thermogalvanic Hydrogels for Human Heat Harvesting in Ultralow Temperature Environments,10.1021/acs.nanolett.3c03818,mechanism,ethylene glycol-water hydrogen bonding suppresses freezing while ferri/ferrocyanide thermogalvanic redox converts human heat to electricity,11.597687,2.7155554
