paper_id,concept_id,canonical_concept,concept_type,concept_subtype,evidence_field,evidence_text,extraction_method,confidence
P0027,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,GelMA thermogalvanic cells with GdmCl and Fe(CN)6 3-/4- | guanidinium-induced ferricyanide/ferrocyanide crystallization and hydrogel nanochannel control greatly increase Seebeck coefficient,domain_curated_rule,0.97
P0028,CB56BB4DDB0,carbon-electrode redox interface,electrode_interface,interface/kinetics mechanism,material+mechanism+abstract,"fully printed TGM with hybrid current collectors, activated carbon electrodes, adhesive seal, laser-drilled spacer | additive printing integrates many thermogalvanic cells with aqueous redox electrolytes for scalable low-grade heat harvesting",domain_curated_rule,0.97
P0029,C10D3798CF7,selective solvation,solvation_entropy,solvation,material+mechanism+abstract,thermogalvanic electrolytes screened by AI/DFT ion-solvent interaction features | machine learning links solvation features and polarity to large redox solvation entropy differences and high thermopower,domain_curated_rule,0.97
P0029,C5CA44ABCFC,redox-solvation hybrid entropy,solvation_entropy,solvation/entropy mechanism,material+mechanism+abstract,thermogalvanic electrolytes screened by AI/DFT ion-solvent interaction features | machine learning links solvation features and polarity to large redox solvation entropy differences and high thermopower,domain_curated_rule,0.97
P0029,CC022D91D01,solvation entropy,solvation_entropy,solvation/entropy mechanism,abstract/material/mechanism,solvation entropy,cleaned_open_concept,0.78
P0030,C0AD9C93101,crown-ether cation complexation,solvation_entropy,supramolecular interaction,material+mechanism+abstract,"quasi-solid K3Fe(CN)6/K4Fe(CN)6 thermogalvanic cell with 18-crown-6 | 18-crown-6 complexes K+ and amplifies cation thermodiffusion, adding Soret contribution to thermogalvanic voltage",domain_curated_rule,0.97
P0030,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,"quasi-solid K3Fe(CN)6/K4Fe(CN)6 thermogalvanic cell with 18-crown-6 | 18-crown-6 complexes K+ and amplifies cation thermodiffusion, adding Soret contribution to thermogalvanic voltage",domain_curated_rule,0.97
P0030,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,"quasi-solid K3Fe(CN)6/K4Fe(CN)6 thermogalvanic cell with 18-crown-6 | 18-crown-6 complexes K+ and amplifies cation thermodiffusion, adding Soret contribution to thermogalvanic voltage",domain_curated_rule,0.97
P0030,CF4A6A0344F,ion migration,transport_mechanism,ionic transport,title,Ion Migration,controlled_rule,0.94
P0030,CFBB5A400A1,cation-anion thermodiffusion asymmetry,transport_mechanism,thermodiffusion,material+mechanism+abstract,"quasi-solid K3Fe(CN)6/K4Fe(CN)6 thermogalvanic cell with 18-crown-6 | 18-crown-6 complexes K+ and amplifies cation thermodiffusion, adding Soret contribution to thermogalvanic voltage",domain_curated_rule,0.97
P0031,C4AF8816DD4,ion-induced crystallization,phase_or_species_transition,phase/species transition,mechanism_raw,nucleates ferrocyanide crystallization,controlled_rule,0.94
P0031,C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,material+mechanism+abstract,"graphene oxide-enhanced hydrogel with [Fe(CN)6]4-/3- and guanidine hydrochloride | GO adsorbs guanidinium and nucleates ferrocyanide crystallization, strengthening the thermogalvanic effect",domain_curated_rule,0.97
P0031,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"graphene oxide-enhanced hydrogel with [Fe(CN)6]4-/3- and guanidine hydrochloride | GO adsorbs guanidinium and nucleates ferrocyanide crystallization, strengthening the thermogalvanic effect",domain_curated_rule,0.97
P0031,C967653EA5F,thermosensitive crystallization,phase_or_species_transition,phase/species transition,material+mechanism+abstract,"graphene oxide-enhanced hydrogel with [Fe(CN)6]4-/3- and guanidine hydrochloride | GO adsorbs guanidinium and nucleates ferrocyanide crystallization, strengthening the thermogalvanic effect",domain_curated_rule,0.97
P0032,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"organic thermogalvanic hydrogel with benzoquinone/hydroquinone redox pair and ethylene glycol | optimized BQ/H2BQ reversible electrode reaction and EG solvent exchange provide fast, stable thermal sensing",domain_curated_rule,0.97
P0032,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"organic thermogalvanic hydrogel with benzoquinone/hydroquinone redox pair and ethylene glycol | optimized BQ/H2BQ reversible electrode reaction and EG solvent exchange provide fast, stable thermal sensing",domain_curated_rule,0.97
P0033,C10C4FF4B6C,hydrogen bonding,solvation_entropy,intermolecular interaction,mechanism_raw,hydrogen bonds,controlled_rule,0.94
P0033,C5E47CC0A62,Hofmeister/chaotropic effect,gel_microstructure,specific-ion effect,mechanism_raw,Hofmeister,controlled_rule,0.94
P0033,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA/PEG/Fe3+/Fe2+ thermogalvanic organohydrogel with DMSO/H2O | Hofmeister-assisted rapid gelation and strong DMSO-water hydrogen bonds give moldable antifreezing thermogalvanic temperature/level sensing,domain_curated_rule,0.97
P0033,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA/PEG/Fe3+/Fe2+ thermogalvanic organohydrogel with DMSO/H2O | Hofmeister-assisted rapid gelation and strong DMSO-water hydrogen bonds give moldable antifreezing thermogalvanic temperature/level sensing,domain_curated_rule,0.97
P0036,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA/agar H2O/glycerol hydrogel with [Fe(CN)6]3-/4- redox couple | finger/body temperature gradients generate thermogalvanic signatures for self-powered biometric recognition,domain_curated_rule,0.97
P0036,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,PVA/agar H2O/glycerol hydrogel with [Fe(CN)6]3-/4- redox couple | finger/body temperature gradients generate thermogalvanic signatures for self-powered biometric recognition,domain_curated_rule,0.97
P0037,CC5968B917E,convection and mass transport,transport_mechanism,mass transport,abstract,convection,controlled_rule,0.94
P0039,C4AF8816DD4,ion-induced crystallization,phase_or_species_transition,phase/species transition,title,ion-induced crystallization,controlled_rule,0.94
P0039,C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,material+mechanism+abstract,stretchable thermogalvanic hydrogel thermocell with guanidine and [Fe(CN)6]4-/3- | guanidine-induced ferrocyanide crystallization raises thermopower and power density while antifreezing hydrogel enables wearable heat harvesting,domain_curated_rule,0.97
P0039,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,stretchable thermogalvanic hydrogel thermocell with guanidine and [Fe(CN)6]4-/3- | guanidine-induced ferrocyanide crystallization raises thermopower and power density while antifreezing hydrogel enables wearable heat harvesting,domain_curated_rule,0.97
P0039,CEA29EF1A99,thermal-gradient heat-transfer control,device_mechanism,thermal management,abstract,thermal management,controlled_rule,0.94
P0040,C46747A02A1,ion-pairing and complexation,solvation_entropy,complexation,material+mechanism+abstract,edible gelatin/glycerol hydrogel with I-/I3- redox pair | thermogalvanic and piezoresistive effects convert body temperature/mechanical physiological motions into self-powered fatigue-monitoring signals,domain_curated_rule,0.97
P0040,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,edible gelatin/glycerol hydrogel with I-/I3- redox pair | thermogalvanic and piezoresistive effects convert body temperature/mechanical physiological motions into self-powered fatigue-monitoring signals,domain_curated_rule,0.97
P0040,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,edible gelatin/glycerol hydrogel with I-/I3- redox pair | thermogalvanic and piezoresistive effects convert body temperature/mechanical physiological motions into self-powered fatigue-monitoring signals,domain_curated_rule,0.97
P0042,C9B6878E079,photothermal-thermoelectric coupling,device_mechanism,multimodal conversion,mechanism_raw,photothermal heating creates local temperature gradients that drive thermogalvanic,controlled_rule,0.94
P0043,C3002C089A5,ionic thermodiffusion (Soret effect),transport_mechanism,thermodiffusion,material+mechanism+abstract,interpenetrating thermogalvanic hydrogel with [Fe(CN)6]3-/4- and KCl | finger heat drives redox thermogalvanic current while KCl supports thermodiffusion for self-powered Morse-code information conversion,domain_curated_rule,0.97
P0043,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,interpenetrating thermogalvanic hydrogel with [Fe(CN)6]3-/4- and KCl | finger heat drives redox thermogalvanic current while KCl supports thermodiffusion for self-powered Morse-code information conversion,domain_curated_rule,0.97
P0043,CB25BC3FC14,double/interpenetrating network,gel_microstructure,network structure,abstract,interpenetrating network,controlled_rule,0.94
P0043,CFBB5A400A1,cation-anion thermodiffusion asymmetry,transport_mechanism,thermodiffusion,material+mechanism+abstract,interpenetrating thermogalvanic hydrogel with [Fe(CN)6]3-/4- and KCl | finger heat drives redox thermogalvanic current while KCl supports thermodiffusion for self-powered Morse-code information conversion,domain_curated_rule,0.97
P0044,C555F4672C1,configurational-entropy modulation,phase_or_species_transition,entropy mechanism,mechanism_raw,configurational entropy,controlled_rule,0.94
P0044,C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,material+mechanism+abstract,Na-K alloy phase-transforming electrodes in thermogalvanic cells | solid-to-liquid melting entropy and configurational entropy of alkali alloy electrodes sharply increase thermopower across transition,domain_curated_rule,0.97
P0044,CA8C62A4868,redox reaction entropy,solvation_entropy,redox thermodynamics,material+mechanism+abstract,Na-K alloy phase-transforming electrodes in thermogalvanic cells | solid-to-liquid melting entropy and configurational entropy of alkali alloy electrodes sharply increase thermopower across transition,domain_curated_rule,0.97
P0045,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,thermogalvanic hydrogel with redox ions in micro/nanochannels for lactic acid sensor | salting-out confined ion transport tunes thermoelectric performance and powers lactic acid sensing,domain_curated_rule,0.97
P0045,CABD4C9C815,salting-out confined ion gel,gel_microstructure,soft-material mechanism,material+mechanism+abstract,thermogalvanic hydrogel with redox ions in micro/nanochannels for lactic acid sensor | salting-out confined ion transport tunes thermoelectric performance and powers lactic acid sensing,domain_curated_rule,0.97
P0045,CF652A991A2,salting-out,phase_or_species_transition,phase/species transition,mechanism_raw,salting-out,controlled_rule,0.94
P0046,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,quasi-solid thermogalvanic cells with Ni textile/Ni oxide electrodes and structure-breaking salts | oxidized Ni textile O-vacancy defects enhance redox reactions and structure-breaking salts improve ion diffusion,domain_curated_rule,0.97
P0046,C8AD5B453CC,ion diffusion,transport_mechanism,ionic transport,mechanism_raw,ion diffusion,controlled_rule,0.94
P0046,CF2C5201A37,porous-electrode area enhancement,electrode_interface,electrode architecture,abstract,"surface area, (specifically Ni textiles), and structure-breaking salts for hydrogel electrolytes. The electrodes are oxidized to create Ni and Ni oxide heterostructures, forming numerous O vacancy defects that enhance redox reactions. Meanwhile, the structure-breaking salts facilitate redox",controlled_rule,0.94
P0047,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,flexible quasi-solid hydrogel thermocell with multivalent redox ions | redox ions provide thermogalvanic conversion and reversible ionic crosslinks for mechanical robustness,domain_curated_rule,0.97
P0047,CE6FC512ED2,dynamic crosslinked gel network,gel_microstructure,network structure,material+mechanism+abstract,flexible quasi-solid hydrogel thermocell with multivalent redox ions | redox ions provide thermogalvanic conversion and reversible ionic crosslinks for mechanical robustness,domain_curated_rule+prediction_family_collapse,0.97
P0048,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,bacterial cellulose thermogalvanic cell with Fe(CN)6 3-/4- and LiBr hygroscopic salt | bacterial cellulose confines redox ions and LiBr prevents drying/freezing for wide-temperature heat harvesting,domain_curated_rule,0.97
P0048,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,bacterial cellulose thermogalvanic cell with Fe(CN)6 3-/4- and LiBr hygroscopic salt | bacterial cellulose confines redox ions and LiBr prevents drying/freezing for wide-temperature heat harvesting,domain_curated_rule,0.97
P0049,C45C8AAD12E,charge-transfer resistance engineering,electrode_interface,interface/kinetics mechanism,material+mechanism+abstract,"quinone/hydroquinone organic thermogalvanic cell with HCl and copper electrode | HCl accelerates Q/HQ redox kinetics and induces thermogalvanic copper corrosion, synergistically boosting output",domain_curated_rule,0.97
P0049,CE2D00B183C,redox-kinetics enhancement,electrode_interface,reaction kinetics,mechanism_raw,redox kinetics,controlled_rule,0.94
P0050,C78D65254F9,phase transition,phase_or_species_transition,phase/species transition,material+mechanism+abstract,EG/SA/LA composite heat-storage electrodes in solar thermogalvanic cells | photothermal/phase-change heat storage smooths solar fluctuations and sustains temperature difference for longer discharge,domain_curated_rule,0.97
P0050,C9B6878E079,photothermal-thermoelectric coupling,device_mechanism,multimodal conversion,abstract,"photothermal properties, and heat storage capabilities, and applied them in thermogalvanic",controlled_rule,0.94
P0051,C872881EC3C,gel-confined redox transport,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"Cu/Cu2+ DMSO/water thermoelectric organohydrogel with PDMS/CuO/Cu electrodes | photo-thermal-electric conversion creates a temperature difference across Cu/Cu2+ organohydrogel, generating self-powered non-contact sensing output",domain_curated_rule,0.97
P0051,C9B6878E079,photothermal-thermoelectric coupling,device_mechanism,multimodal conversion,mechanism_raw,photo-thermal-electric,controlled_rule,0.94
P0051,CC028ABF9C6,anti-freezing organohydrogel design,gel_microstructure,soft-material mechanism,material+mechanism+abstract,"Cu/Cu2+ DMSO/water thermoelectric organohydrogel with PDMS/CuO/Cu electrodes | photo-thermal-electric conversion creates a temperature difference across Cu/Cu2+ organohydrogel, generating self-powered non-contact sensing output",domain_curated_rule,0.97
P0052,C10C4FF4B6C,hydrogen bonding,solvation_entropy,intermolecular interaction,mechanism_raw,hydrogen bonding,controlled_rule,0.94
P0052,C7932B1CE8C,chaotropic polymer-water disruption,gel_microstructure,soft-material mechanism,material+mechanism+abstract,ethylene glycol/water antifreezing hydrogel with [Fe(CN)6]3-/4- redox ions | ethylene glycol-water hydrogen bonding suppresses freezing while ferri/ferrocyanide thermogalvanic redox converts human heat to electricity,domain_curated_rule,0.97
