flag_id,flag_type,relation_ids,detail,resolution_status,automatic_action,judge_disposition,judge_reason,contextual_review_status,human_review_status,evidence_locator,source_records_modified
flag:b1c9d2ba7f1b4241d3b1,multiple_predicates_same_endpoints,"[""iTE:P1960:r001"", ""iTE:P1961:r001""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,different_compositional_series,两篇均报告半径减小伴随八面体畸变增大，但一个为Co/Ti系列，一个为Fe/Co系列。保留La–Ho与Pr–Gd的不同对象范围。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P1960:r001"", ""iTE:P1961:r001""]",False
flag:ad1be6b35cb7ce84f302,multiple_predicates_same_endpoints,"[""iTE:P0632:r002"", ""iTE:P0636:r002"", ""iTE:P0718:r002"", ""iTE:P1362:r001"", ""iTE:P1475:r001"", ""iTE:P1508:r002""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,compatible_inverse_associations,这些表述均指半径与Seebeck系数反向变化。P0632引用片段未写方向，完整摘要补足former decreased/latter increased with decreasing ionic radii；方向有摘要依据，但材料、温度和符号反转语境仍分别保留。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P0632:r002"", ""iTE:P0636:r002"", ""iTE:P0718:r002"", ""iTE:P1362:r001"", ""iTE:P1475:r001"", ""iTE:P1508:r002""]",False
flag:95413d67d02305628362,multiple_predicates_same_endpoints,"[""iTE:P0632:r001"", ""iTE:P0636:r001"", ""iTE:P0718:r001"", ""iTE:P1508:r001""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,compatible_direct_associations,半径减小电导降低与半径增大电导增加同向。P0632完整摘要补足引用片段缺失的方向信息；不能将系列关联泛化为所有材料的因果定律。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P0632:r001"", ""iTE:P0636:r001"", ""iTE:P0718:r001"", ""iTE:P1508:r001""]",False
flag:1127e629f737df492d08,multiple_predicates_same_endpoints,"[""iTE:P1510:r001"", ""iTE:P1516:r001""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,assertion_taxonomy_review_needed,两条均为计算预测n掺杂提升功率因子，但原assertion_type一条author_claim、一条hypothesis。预测限定在谓词中已保留；断言分类一致性留待抽取审计，不直接回写或称实验验证。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P1510:r001"", ""iTE:P1516:r001""]",False
flag:83eb60ea5f7c8d5f7057,multiple_predicates_same_endpoints,"[""iTE:P1125:r001"", ""iTE:P1140:r001"", ""iTE:P1761:r001""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,material_specific_opposite_effects,P1125中LiCaH3带隙随压力降低而LiSrH3/LiBaH3升高；CsVO3为升高，P1761为降低。不同材料条件下的方向差异不是直接矛盾；P1125一条原关系本身含多个材料条件，暂不拆造新事实。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P1125:r001"", ""iTE:P1140:r001"", ""iTE:P1761:r001""]",False
flag:7f360f580ce30f687ff9,multiple_predicates_same_endpoints,"[""iTE:P0932:r003"", ""iTE:P1539:r002""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,compatible_mechanistic_claims,两条均将载流子浓度降低与Seebeck系数提升关联；分别是PEDOT:PSS和Zn掺杂体系，保留原作者主张及材料条件。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P0932:r003"", ""iTE:P1539:r002""]",False
flag:633304c4efb6ad30862a,multiple_predicates_same_endpoints,"[""iTE:P0829:r002"", ""iTE:P0921:r003"", ""iTE:P0928:r004""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,compatible_mechanistic_claims,lowers/reduces/suppresses均描述声子散射降低热导的方向；不同材料和微观来源分别保留，不在本阶段自动归一化谓词。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P0829:r002"", ""iTE:P0921:r003"", ""iTE:P0928:r004""]",False
flag:32b78020a98b63128e91,multiple_predicates_same_endpoints,"[""iTE:P0604:r001"", ""iTE:P0622:r001""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,compatible_mechanistic_claims,两条均明确温度波动通过离子Soret效应发电；不能省略机制限定，或与温度梯度下电子Seebeck作用混同。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P0604:r001"", ""iTE:P0622:r001""]",False
flag:99d47aa948ced91a2d54,multiple_predicates_same_endpoints,"[""iTE:P0426:r001"", ""iTE:P0847:r001""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,compatible_control_claims,离子栅控调节载流子浓度与控制载流子密度相容；P0847明确WO3绝缘—金属转变语境。保留原文对象。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P0426:r001"", ""iTE:P0847:r001""]",False
flag:dcdba365c0303aeb33bb,multiple_predicates_same_endpoints,"[""iTE:P1152:r001"", ""iTE:P1654:r002""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,compatible_mechanistic_claims,两篇均描述点缺陷散射降低晶格热导，分别是YbMg2Bi2-xSbx固溶体与Ho/In离子差异，保留各自定量证据。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P1152:r001"", ""iTE:P1654:r002""]",False
flag:ed2c3251010dd333ba92,multiple_predicates_same_endpoints,"[""iTE:P0409:r003"", ""iTE:P0471:r002""]",同一概念端点有多个原谓词；只提示检查，不等同语义冲突。,pending_context_review,none,compatible_mechanistic_claims,迁移率提高对应电导提高；PEDOT:PSS纤维束与PEG包覆NiO复合物是不同实验体系，证据不可去重。,model_context_review_completed,pending,"inputs/raw/relation_evidence.csv::relation_ids=[""iTE:P0409:r003"", ""iTE:P0471:r002""]",False
