mention_id,paper_id,domain,raw_phrase,proposed_semantic_role,quote,evidence_scope,decision_source,annotation_status,human_decision,human_role,human_reason
iTE:P0337:n1,P0337,iTE,host-guest complexation between alpha-CD and I3-,interaction,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0337:n2,P0337,iTE,confines the diffusion of I3-,mechanism_process,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0337:n3,P0337,iTE,ion mobility difference between I3- and sodium ions,quantity,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0337:n4,P0337,iTE,ionic thermopower,performance_function,"The strong host-guest complexation between alpha-CD and I3- confines the diffusion of I3- within the cylindrical cavities of alpha-CD, as evidenced by UV-vis spectroscopy and 13C-NMR analysis. This confinement enhances the ion mobility difference between I3- and sodium ions, which in turn significantly boosts the ionic thermopower of the polyvinyl alcohol/alpha-CD/NaI hydrogels.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0338:n1,P0338,iTE,enriching oxygen-containing functional groups,design_strategy,"In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0338:n2,P0338,iTE,constructing oriented ionic transport nanochannels,design_strategy,"In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0338:n3,P0338,iTE,long-term service and reusability,performance_function,"In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0339:n1,P0339,iTE,volume phase transition (VPT),mechanism_process,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0339:n2,P0339,iTE,ion entropy difference,quantity,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0339:n3,P0339,iTE,redox reaction efficiency,quantity,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0339:n4,P0339,iTE,ionic thermodiffusion rate,quantity,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0340:n1,P0340,iTE,hollow-heterostructure,state_structure,"Owing to the hollow-heterostructure for the strong light absorption, MoS2/Carbon hollow nanoflower-based fabrics demonstrated a photothermal conversion efficiency of 39.6%.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0340:n2,P0340,iTE,light absorption,mechanism_process,"Owing to the hollow-heterostructure for the strong light absorption, MoS2/Carbon hollow nanoflower-based fabrics demonstrated a photothermal conversion efficiency of 39.6%.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0340:n3,P0340,iTE,photothermal conversion efficiency,performance_function,"Owing to the hollow-heterostructure for the strong light absorption, MoS2/Carbon hollow nanoflower-based fabrics demonstrated a photothermal conversion efficiency of 39.6%.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0341:n1,P0341,iTE,hydrogen bonding,interaction,"Furthermore, the ionogels exhibit excellent elastic tensile and self-healing properties, even after multiple cut/heal and stretch/release cycles, due to abundant noncovalent interactions, including hydrogen bonding and ion-dipole interactions.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0341:n2,P0341,iTE,ion-dipole interactions,interaction,"Furthermore, the ionogels exhibit excellent elastic tensile and self-healing properties, even after multiple cut/heal and stretch/release cycles, due to abundant noncovalent interactions, including hydrogen bonding and ion-dipole interactions.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0341:n3,P0341,iTE,elastic tensile and self-healing properties,performance_function,"Furthermore, the ionogels exhibit excellent elastic tensile and self-healing properties, even after multiple cut/heal and stretch/release cycles, due to abundant noncovalent interactions, including hydrogen bonding and ion-dipole interactions.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0342:n1,P0342,iTE,incorporating crown ether,design_strategy,"Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0342:n2,P0342,iTE,complexation,interaction,"Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0342:n3,P0342,iTE,thermal diffusion,mechanism_process,"Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0343:n1,P0343,iTE,high concentrations of OH- ions,condition,"When the pore solution contains high concentrations of OH- ions, these ions migrate toward the colder region under temperature gradients, imparting the cement-based material n-type thermoelectric behavior.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0343:n2,P0343,iTE,these ions migrate toward the colder region under temperature gradients,mechanism_process,"When the pore solution contains high concentrations of OH- ions, these ions migrate toward the colder region under temperature gradients, imparting the cement-based material n-type thermoelectric behavior.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0343:n3,P0343,iTE,n-type thermoelectric behavior,performance_function,"When the pore solution contains high concentrations of OH- ions, these ions migrate toward the colder region under temperature gradients, imparting the cement-based material n-type thermoelectric behavior.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0344:n1,P0344,iTE,ordered ions,state_structure,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0344:n2,P0344,iTE,Manning counterion condensation effect,mechanism_process,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0344:n3,P0344,iTE,selective ion migration,mechanism_process,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0344:n4,P0344,iTE,Seebeck coefficient,performance_function,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0345:n1,P0345,iTE,modifying the cement with PVA hydrogel,design_strategy,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0345:n2,P0345,iTE,capillary porosity,quantity,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0345:n3,P0345,iTE,Seebeck coefficient,performance_function,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0345:n4,P0345,iTE,overall strength,performance_function,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0345:n5,P0345,iTE,capacitance,quantity,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0346:n1,P0346,iTE,Fmoc-FF,material_entity,"Spectroscopic analyses revealed that Fmoc-FF formed eutectogels through pi-pi interactions between Fmoc groups, resulting in a highly porous colloidal network.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0346:n2,P0346,iTE,pi-pi interactions between Fmoc groups,interaction,"Spectroscopic analyses revealed that Fmoc-FF formed eutectogels through pi-pi interactions between Fmoc groups, resulting in a highly porous colloidal network.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0346:n3,P0346,iTE,highly porous colloidal network,state_structure,"Spectroscopic analyses revealed that Fmoc-FF formed eutectogels through pi-pi interactions between Fmoc groups, resulting in a highly porous colloidal network.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0347:n1,P0347,iTE,reconstructed lignocellulose ion channels,state_structure,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0347:n2,P0347,iTE,surface negative charges,state_structure,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0347:n3,P0347,iTE,spatially confined fixed anions,state_structure,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0347:n4,P0347,iTE,selective cation migration driven by a temperature gradient,mechanism_process,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0348:n1,P0348,iTE,cross-linking and amine functionalization,design_strategy,This research demonstrates the transformation of lignin-based hydrogels from p-type to n-type materials through a green synthesis approach involving cross-linking and amine functionalization.,original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0348:n2,P0348,iTE,transformation of lignin-based hydrogels from p-type to n-type materials,performance_function,This research demonstrates the transformation of lignin-based hydrogels from p-type to n-type materials through a green synthesis approach involving cross-linking and amine functionalization.,original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0349:n1,P0349,iTE,Formamide,material_entity,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0349:n2,P0349,iTE,hydrogen bond network between water molecules,state_structure,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0349:n3,P0349,iTE,forming a deep eutectic solvent,mechanism_process,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0349:n4,P0349,iTE,operate near cryo temperatures,performance_function,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0350:n1,P0350,iTE,ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI),material_entity,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0350:n2,P0350,iTE,ionic mobility,quantity,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0350:n3,P0350,iTE,diffusion difference between cations and anions,quantity,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0350:n4,P0350,iTE,ionic conductivity,quantity,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0350:n5,P0350,iTE,ionic Seebeck coefficient,performance_function,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0351:n1,P0351,iTE,combining two asymmetric gels into a double sandwich structure,design_strategy,"Herein, we originally designed an ionic thermoelectric-electrochemical (i-TE-EC) cell by combining two asymmetric gels into a double sandwich structure, resulting in high thermoelectric performance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0351:n2,P0351,iTE,high thermoelectric performance,performance_function,"Herein, we originally designed an ionic thermoelectric-electrochemical (i-TE-EC) cell by combining two asymmetric gels into a double sandwich structure, resulting in high thermoelectric performance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0352:n1,P0352,iTE,"lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte",material_entity,"The optimized lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte, demonstrates high ionic conductivity (226.5 mS/cm) and a superior Seebeck coefficient of 13 mV/K.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0352:n2,P0352,iTE,ionic conductivity,quantity,"The optimized lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte, demonstrates high ionic conductivity (226.5 mS/cm) and a superior Seebeck coefficient of 13 mV/K.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0352:n3,P0352,iTE,Seebeck coefficient,performance_function,"The optimized lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte, demonstrates high ionic conductivity (226.5 mS/cm) and a superior Seebeck coefficient of 13 mV/K.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0353:n1,P0353,iTE,ion-electronic friction,interaction,"In this conveyor mode, ion-electronic friction serves as the link between ions and electrons, enabling the thermally diffused ions to convey electrons to power the load, and persistent ionic transport, owing to the ionic circuit, ensures continuous power generation.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0353:n2,P0353,iTE,thermally diffused ions to convey electrons,mechanism_process,"In this conveyor mode, ion-electronic friction serves as the link between ions and electrons, enabling the thermally diffused ions to convey electrons to power the load, and persistent ionic transport, owing to the ionic circuit, ensures continuous power generation.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0353:n3,P0353,iTE,ionic circuit,state_structure,"In this conveyor mode, ion-electronic friction serves as the link between ions and electrons, enabling the thermally diffused ions to convey electrons to power the load, and persistent ionic transport, owing to the ionic circuit, ensures continuous power generation.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0353:n4,P0353,iTE,persistent ionic transport,mechanism_process,"In this conveyor mode, ion-electronic friction serves as the link between ions and electrons, enabling the thermally diffused ions to convey electrons to power the load, and persistent ionic transport, owing to the ionic circuit, ensures continuous power generation.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
iTE:P0353:n5,P0353,iTE,continuous power generation,performance_function,"In this conveyor mode, ion-electronic friction serves as the link between ions and electrons, enabling the thermally diffused ions to convey electrons to power the load, and persistent ionic transport, owing to the ionic circuit, ensures continuous power generation.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0003:n1,P0003,TG,increase in Fe2+/3+ concentration,condition,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0003:n2,P0003,TG,decrease in electron transfer resistance,quantity,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0003:n3,P0003,TG,ISC value increase,performance_function,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0143:n1,P0143,TG,applying pressure,condition,"In addition, by applying pressure, the thermoelectric effect of this ionic thermoelectric gelatin can be changed (the thermopower of the ionic thermoelectric gelatin increases from 1.21 mV/K to 1.67 mV/K, representing a 38 % increase), so as to enable the sensor to sense external forces.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0143:n2,P0143,TG,thermopower,performance_function,"In addition, by applying pressure, the thermoelectric effect of this ionic thermoelectric gelatin can be changed (the thermopower of the ionic thermoelectric gelatin increases from 1.21 mV/K to 1.67 mV/K, representing a 38 % increase), so as to enable the sensor to sense external forces.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0146:n1,P0146,TG,interaction between multications and anions,interaction,"Herein, an adhesive and self-healing cationic high-entropy gel (CHEG) G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+ in a multi-ion cooperative chemical environment has been designed by the interaction between multications and anions, improving the entropy change of redox reaction, exchange current density, and ionic conductivity, thereby achieving an overall high ionic thermoelectric performance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0146:n2,P0146,TG,entropy change of redox reaction,quantity,"Herein, an adhesive and self-healing cationic high-entropy gel (CHEG) G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+ in a multi-ion cooperative chemical environment has been designed by the interaction between multications and anions, improving the entropy change of redox reaction, exchange current density, and ionic conductivity, thereby achieving an overall high ionic thermoelectric performance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0146:n3,P0146,TG,exchange current density,quantity,"Herein, an adhesive and self-healing cationic high-entropy gel (CHEG) G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+ in a multi-ion cooperative chemical environment has been designed by the interaction between multications and anions, improving the entropy change of redox reaction, exchange current density, and ionic conductivity, thereby achieving an overall high ionic thermoelectric performance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0146:n4,P0146,TG,ionic conductivity,quantity,"Herein, an adhesive and self-healing cationic high-entropy gel (CHEG) G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+ in a multi-ion cooperative chemical environment has been designed by the interaction between multications and anions, improving the entropy change of redox reaction, exchange current density, and ionic conductivity, thereby achieving an overall high ionic thermoelectric performance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0146:n5,P0146,TG,ionic thermoelectric performance,performance_function,"Herein, an adhesive and self-healing cationic high-entropy gel (CHEG) G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+ in a multi-ion cooperative chemical environment has been designed by the interaction between multications and anions, improving the entropy change of redox reaction, exchange current density, and ionic conductivity, thereby achieving an overall high ionic thermoelectric performance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0141:n1,P0141,TG,hybridizing electron-type and ion-type materials,design_strategy,"Within this context, the proposal of hybridizing electron-type and ion-type materials emerges as an innovative approach aimed at enhancing performance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0141:n2,P0141,TG,performance,performance_function,"Within this context, the proposal of hybridizing electron-type and ion-type materials emerges as an innovative approach aimed at enhancing performance.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0268:n1,P0268,TG,carbon-based paper (CBP) electrodes,material_entity,"A universal negative offset in the thermopower is observed when substituting the conventional Cu foil by carbon-based paper (CBP) electrodes. This is attributed to the electrolyte infiltration and strong cation restriction on the CBP electrodes, which facilitates anion thermodiffusion.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0268:n2,P0268,TG,electrolyte infiltration,mechanism_process,"A universal negative offset in the thermopower is observed when substituting the conventional Cu foil by carbon-based paper (CBP) electrodes. This is attributed to the electrolyte infiltration and strong cation restriction on the CBP electrodes, which facilitates anion thermodiffusion.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0268:n3,P0268,TG,strong cation restriction on the CBP electrodes,mechanism_process,"A universal negative offset in the thermopower is observed when substituting the conventional Cu foil by carbon-based paper (CBP) electrodes. This is attributed to the electrolyte infiltration and strong cation restriction on the CBP electrodes, which facilitates anion thermodiffusion.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0268:n4,P0268,TG,anion thermodiffusion,mechanism_process,"A universal negative offset in the thermopower is observed when substituting the conventional Cu foil by carbon-based paper (CBP) electrodes. This is attributed to the electrolyte infiltration and strong cation restriction on the CBP electrodes, which facilitates anion thermodiffusion.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
TG:P0268:n5,P0268,TG,negative offset in the thermopower,performance_function,"A universal negative offset in the thermopower is observed when substituting the conventional Cu foil by carbon-based paper (CBP) electrodes. This is attributed to the electrolyte infiltration and strong cation restriction on the CBP electrodes, which facilitates anion thermodiffusion.",original_quote_rechecked,pilot_recalibration,model_proposed_pending_human,,,
