node_id,node_type,label,evidence_status,year,doi,discovery_status
program:PRG_cf22ac785fee,translation_program,把 iTE 低凝固混合溶剂迁移到 Co 配合物准固态 TG,direct_TG_precedent_upgrade_candidate,,,
lever:antifreeze_or_low_volatility_gel,iTE_transferable_lever,抗冻/低挥发凝胶,taxonomy,,,
tg_system:cobalt_complex,TG_recipient_system,Co 配合物氧化还原对,corpus_supported,,,
paper:P0291,paper,Quasi-solid-State Electrolytes for Low-Grade Thermal Energy Harvesting using a Cobalt Redox Couple,TG_baseline,2018.0,10.1002/cssc.201800794,
program:PRG_0f7a0b8392d8,translation_program,在 TG 电极前构建 Donnan 界面层，调节 3−/4− 局部活度与动力学,direct_TG_precedent_upgrade_candidate,,,
paper:P0041,paper,Self-assembled monolayers for electrostatic electrocatalysis and enhanced electrode stability in thermogalvanic cells,TG_baseline,2024.0,10.1039/d3sc06766a,
program:PRG_08afbdcdbb17,translation_program,把水热扩散驱动的质子定向输运叠加到 Q/HQ 热电化学反应,direct_TG_precedent_upgrade_candidate,,,
lever:water_assisted_proton_transport,iTE_transferable_lever,水辅助质子输运,taxonomy,,,
program:PRG_17b64f2815f3,translation_program,用 iTE 离子–电子耦合启发 Fe2+/Fe3+ TG 的局部混合导体电极,direct_TG_precedent_upgrade_candidate,,,
lever:ion_electron_coupling,iTE_transferable_lever,离子–电子耦合,taxonomy,,,
paper:P0014,paper,Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,TG_baseline,2025.0,10.1039/d5ee01216c,
program:PRG_4e691dc1cea3,translation_program,在薄层 TG 中加入取向滑移纳米通道，提高短路电流而非只追求电压,mechanism_extension_white_space,,,
lever:thermoosmotic_slip,iTE_transferable_lever,热渗透与滑移增强,taxonomy,,,
program:PRG_4cca4840d8f1,translation_program,用可调疏水微区选择性分配 I3−，同时兼顾 TG 凝胶韧性,direct_TG_precedent_upgrade_candidate,,,
lever:hydrophobic_partitioning,iTE_transferable_lever,疏水微区分配,taxonomy,,,
program:PRG_00699a1a9edc,translation_program,用可切换 Soret 单元为 I−/I3− TG 构建等效 p/n 腿,direct_TG_precedent_upgrade_candidate,,,
lever:polarity_switching,iTE_transferable_lever,热电极性切换,taxonomy,,,
paper:P0093,paper,P-N conversion in thermogalvanic cells induced by thermo-sensitive nanogels for body heat harvesting,TG_baseline,2019.0,10.1016/j.nanoen.2018.12.073,
program:PRG_791da0044d52,translation_program,把温差诱导的渗透浓度势与 TG 红氧电势串联，而非只做单一机制,direct_TG_precedent_upgrade_candidate,,,
lever:osmotic_or_concentration_gradient,iTE_transferable_lever,渗透/浓度梯度,taxonomy,,,
paper:P0021,paper,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,TG_baseline,2025.0,10.1016/j.nanoen.2025.111189,
program:PRG_55d2dd45b552,translation_program,把 EHD 离子均匀化工艺扩展为 TG 凝胶的空间分区打印,direct_TG_precedent_upgrade_candidate,,,
lever:ordered_ion_printing,iTE_transferable_lever,有序离子打印,taxonomy,,,
program:PRG_086c824d735e,translation_program,正对照：蒸发冷却与浓缩可同时增强 TG 的 ΔT 和活度差,known_TG_precedent_positive_control,,,
lever:moisture_or_evaporation_gradient,iTE_transferable_lever,湿度/蒸发梯度,taxonomy,,,
tg_system:any_tg,TG_recipient_system,通用 TG 红氧体系,corpus_supported,,,
paper:P0010,paper,Water Evaporation-Enhanced Thermogalvanic Cell for Waste Steam Utilizing,TG_baseline,2025.0,10.1002/adfm.202503541,
program:PRG_bee069aa7a26,translation_program,正对照：α-CD/I3− 主–客体作用已能直接进入 I−/I3− TG,known_TG_precedent_positive_control,,,
lever:host_guest_complexation,iTE_transferable_lever,主–客体络合,taxonomy,,,
paper:P0283,paper,Supramolecular Thermo-Electrochemical Cells: Enhanced Thermoelectric Performance by Host-Guest Complexation and Salt-Induced Crystallization,TG_baseline,2016.0,10.1021/jacs.6b04923,
program:PRG_be2befc69363,translation_program,正对照：冠醚增强 K+ 热扩散，可与 ferri/ferrocyanide TG 电压叠加,known_TG_precedent_positive_control,,,
paper:P0030,paper,High-Performance Quasi-Solid Thermogalvanic Cells via Crown-Ether-Mediated Ion Migration,TG_baseline,2025.0,10.1021/acsnano.5c11865,
program:PRG_a4dbfa46d1fd,translation_program,正对照：把 iTE 的阴离子胶束固定迁移为 TG 中 I3− 的温敏捕获/释放,known_TG_precedent_positive_control,,,
lever:phase_or_species_transition,iTE_transferable_lever,相变/物种转变,taxonomy,,,
paper:P0071,paper,p-n Conversion of Thermogalvanic Cells by Harnessing the Micellization of Thermoresponsive Diblock Copolymers,TG_baseline,2023.0,10.1021/acsaem.3c01907,
program:PRG_99097fe0f5e3,translation_program,正对照：热释电负责瞬态、TG 负责稳态的双时间尺度收能,known_TG_precedent_positive_control,,,
lever:pyroelectric_hybrid,iTE_transferable_lever,热释电混合,taxonomy,,,
paper:P0102,paper,Hybrid Photothermal Pyroelectric and Thermogalvanic Generator for Multisituation Low Grade Heat Harvesting,TG_baseline,2018.0,10.1002/aenm.201802397,
paper:P0003,paper,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,no_claim_unit_extracted,2025.0,10.1016/j.cej.2025.161288,
paper:P0015,paper,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,no_claim_unit_extracted,2023.0,10.1002/adma.202300696,
paper:P0019,paper,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,no_claim_unit_extracted,2024.0,10.1016/j.cej.2024.150816,
paper:P0020,paper,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,no_claim_unit_extracted,2025.0,10.1021/acs.nanolett.5c02774,
paper:P0023,paper,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,no_claim_unit_extracted,2025.0,10.1021/acsapm.5c02573,
paper:P0032,paper,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,outside_analysis_freeze_window,2026.0,10.1016/j.nanoen.2025.111686,
paper:P0047,paper,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,no_claim_unit_extracted,2022.0,10.1007/s40820-022-00824-6,
paper:P0060,paper,"Seebeck, Peltier, and Soret effects: On different formalisms for transport equations in thermogalvanic cells",no_claim_unit_extracted,2023.0,10.1063/5.0131731,
paper:P0062,paper,Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,no_claim_unit_extracted,2023.0,10.1016/j.nanoen.2022.108077,
paper:P0078,paper,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,outside_analysis_freeze_window,2026.0,10.1016/j.jpowsour.2025.239060,
paper:P0079,paper,Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing,outside_analysis_freeze_window,2026.0,10.1021/acsaem.6c01130,
paper:P0080,paper,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting,outside_analysis_freeze_window,2026.0,10.1016/j.cej.2026.175294,
paper:P0082,paper,Ultra-sensitive self-powered thermogalvanic hydrogel wristband enabled by resistance-gated strategy,outside_analysis_freeze_window,2026.0,10.1016/j.cej.2026.178230,
paper:P0090,paper,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,no_claim_unit_extracted,2018.0,10.1038/s41467-018-07625-9,
paper:P0096,paper,Quasi-solid n-type thermogalvanic thermocells with enhanced ionic conductivity for continuous low-grade heat harvesting,no_claim_unit_extracted,2022.0,10.1063/5.0120728,
paper:P0101,paper,Thermogalvanic energy harvesting from forced convection cooling of 100-200 °C surfaces generating high power density,no_claim_unit_extracted,2021.0,10.1039/d1se01264a,
paper:P0113,paper,"Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells",no_claim_unit_extracted,2017.0,10.1039/c7ta04891b,
paper:P0115,paper,Multi-cell thermogalvanic systems for harvesting energy from cyclic temperature changes,no_claim_unit_extracted,2018.0,10.1016/j.jpowsour.2018.07.080,
paper:P0136,paper,A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation,no_claim_unit_extracted,2025.0,10.1021/acssuschemeng.4c10855,
paper:P0137,paper,Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting,no_claim_unit_extracted,2024.0,10.1039/d3ee03759b,
paper:P0139,paper,High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices,no_claim_unit_extracted,2025.0,10.1002/adfm.202417740,
paper:P0141,paper,Ionic thermoelectric materials: Innovations and challenges,no_claim_unit_extracted,2024.0,10.1016/j.mtphys.2024.101375,
paper:P0142,paper,Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning,no_claim_unit_extracted,2025.0,10.1002/advs.202509400,
paper:P0143,paper,Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities,no_claim_unit_extracted,2025.0,10.1016/j.nanoen.2025.111156,
paper:P0144,paper,Modulating thermo-diffusion/galvanic coupling via ion speciation engineering enables high-performance ionic thermoelectric cells,outside_analysis_freeze_window,2026.0,10.1038/s41467-026-68721-9,
paper:P0145,paper,Giant thermopower of ionic gelatin near room temperature,no_claim_unit_extracted,2020.0,10.1126/science.aaz5045,
paper:P0146,paper,Improved Ionic Thermoelectric Performance of Adhesive and Self-Healing Cationic High-Entropy Gel Thermocell,no_claim_unit_extracted,2025.0,10.1002/anie.202511293,
paper:P0150,paper,Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,no_claim_unit_extracted,2024.0,10.1016/j.jpowsour.2024.234647,
paper:P0159,paper,Phase-Transitional Ionic Thermocells for the Enhanced Thermoelectric Efficiency,no_claim_unit_extracted,2025.0,10.1021/acsami.5c04042,
paper:P0162,paper,Liquid-flow thermocells with high hybrid entropy for low-grade heat harvesting,no_claim_unit_extracted,2024.0,10.1016/j.nanoen.2024.109992,
paper:P0163,paper,A novel concentrated photovoltaic and ionic thermocells hybrid system for full-spectrum solar cascade utilization,no_claim_unit_extracted,2024.0,10.1016/j.apenergy.2024.123033,
paper:P0169,paper,3D Hierarchical Electrodes Boosting Ultrahigh Power Output for Gelatin-KCl-FeCN4-/3- Ionic Thermoelectric Cells,no_claim_unit_extracted,2022.0,10.1002/aenm.202103666,
paper:P0170,paper,"Ionic thermoelectrics based on Poly(3,4-ethylenedioxythiophene):Poly(styrenesulfonate): A mini-review",outside_analysis_freeze_window,2026.0,10.1016/j.synthmet.2026.118182,
paper:P0174,paper,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,outside_analysis_freeze_window,2026.0,10.1016/j.icheatmasstransfer.2026.111281,
paper:P0175,paper,Thermal potential induced redox reaction enabled ionic thermoelectric generator,outside_analysis_freeze_window,2026.0,10.1016/j.nanoen.2025.111648,
paper:P0176,paper,Gutmann Donor Theory-Guided Design of Mononuclear Ionic Cluster for Exceptional N-Type Thermoelectric Ionogel,outside_analysis_freeze_window,2026.0,10.1002/advs.202520143,
paper:P0180,paper,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,no_claim_unit_extracted,2023.0,10.1016/j.mtsust.2022.100293,
paper:P0182,paper,Stretchable and Freeze-Tolerant Organohydrogel Thermocells with Enhanced Thermoelectric Performance Continually Working at Subzero Temperatures,no_claim_unit_extracted,2021.0,10.1002/adfm.202104071,
paper:P0188,paper,Exploring Pyrazine-Based Organic Redox Couples for Enhanced Thermoelectric Performance in Wearable Energy Harvesters,no_claim_unit_extracted,2025.0,10.1002/smll.202407622,
paper:P0196,paper,Zinc-iodine thermal charging cell engineered by cost-efficient electrolytes for low-grade heat harvesting,no_claim_unit_extracted,2024.0,10.1016/j.jpowsour.2024.234325,
paper:P0197,paper,Enhancing thermoelectric conversion efficiency of hydrogel-based supercapacitors by the three-dimensional ion channels hydration,no_claim_unit_extracted,2024.0,10.1016/j.est.2024.110437,
paper:P0201,paper,Ionic thermoelectric materials for near ambient temperature energy harvesting,no_claim_unit_extracted,2021.0,10.1063/5.0032119,
paper:P0215,paper,Can charged colloidal particles increase the thermoelectric energy conversion efficiency?,no_claim_unit_extracted,2017.0,10.1039/c7cp01023k,
paper:P0217,paper,Achieving pseudo-'n-type p-type' in-series and parallel liquid thermoelectrics using all-iron thermoelectrochemical cells with opposite Seebeck coefficients,no_claim_unit_extracted,2016.0,10.1016/j.elecom.2016.10.001,
paper:P0220,paper,Exploiting low-grade waste heat to produce electricity through supercapacitor containing carbon electrodes and ionic liquid electrolytes,no_claim_unit_extracted,2022.0,10.1016/j.electacta.2021.139640,
paper:P0224,paper,Thermoelectricity and Thermodiffusion in Magnetic Nanofluids: Entropic Analysis,no_claim_unit_extracted,2018.0,10.3390/e20060405,
paper:P0225,paper,Efficient Photo-Thermo-Electric Conversion Using Polyoxovanadate in Ionic Liquid for Low-Grade Heat Utilization,no_claim_unit_extracted,2021.0,10.1002/cssc.202101532,
paper:P0227,paper,Enhanced Thermoelectric Power in Ionic Liquids,no_claim_unit_extracted,2014.0,10.1002/celc.201300074,
paper:P0246,paper,High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy,no_claim_unit_extracted,2025.0,10.1016/j.cej.2025.159714,
paper:P0247,paper,Water-Thermal Self-Cycling Thermoelectric Hydrogel for Continuous Energy Harvesting from Body Heat,no_claim_unit_extracted,2025.0,10.1002/aenm.202500540,
paper:P0249,paper,Ion transport control in electrolytes via electrochemical doping,outside_analysis_freeze_window,2026.0,10.1073/pnas.2532302123,
paper:P0250,paper,Simultaneously Modulating Solvation and Water Structure for High-Performance Antifreezing n-Type Liquid Thermocells,no_claim_unit_extracted,2025.0,10.1021/acsmaterialslett.4c02193,
paper:P0251,paper,Antisolvent engineering enhanced high-entropy liquid flow thermocells with giant power densities for low-grade heat harvesting,outside_analysis_freeze_window,2026.0,10.1039/d5ee04880j,
paper:P0253,paper,Convection Effect on Resistance Components in Liquid Thermoelectric Converter,outside_analysis_freeze_window,2026.0,10.7566/jpsj.95.044601,
paper:P0254,paper,Role of strong electrolytes on resistivity components in a liquid themoelectronic converter,outside_analysis_freeze_window,2026.0,10.35848/1347-4065/ae2ec1,
paper:P0258,paper,Cost-effective n-type liquid flow thermocells with giant ionic thermopower and power density through solvation entropy engineering for low-grade heat harvesting,no_claim_unit_extracted,2025.0,10.1016/j.cej.2025.168815,
paper:P0261,paper,Multi-material 3D printing of self-powered sensors based on ionic thermoelectric hydrogels,outside_analysis_freeze_window,2026.0,10.1080/17452759.2026.2638660,
paper:P0264,paper,Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting,outside_analysis_freeze_window,2026.0,10.1016/j.jechem.2026.05.024,
paper:P0267,paper,A Multifunctional MXene/PVA Hydrogel as a Continuous Ionic Thermoelectric Generator and a Strain/Temperature Sensor,no_claim_unit_extracted,2025.0,10.1002/smll.202407529,
paper:P0268,paper,Synergy between gelatin hydrogels and electrodes for adjustable and thermally stable ionic thermoelectric supercapacitors,no_claim_unit_extracted,2024.0,10.1016/j.cej.2024.152734,
paper:P0274,paper,High-performance ionic thermoelectric materials and emerging applications of ionic thermoelectric devices,no_claim_unit_extracted,2023.0,10.1016/j.mtener.2023.101342,
paper:P0275,paper,Significantly enhanced properties of micro-ionic thermocells through the microstructure interfacial effect,no_claim_unit_extracted,2024.0,10.1039/d4ta03996c,
paper:P0297,paper,Ionic transport properties and their empirical correlations for thermal-to-electrical energy conversion,no_claim_unit_extracted,2021.0,10.1016/j.mtphys.2021.100433,
paper:P0304,paper,Thermoelectric energy recovery at ionic-liquid/electrode interface,no_claim_unit_extracted,2015.0,10.1063/1.4923199,
paper:P0305,paper,Seebeck coefficients in ionic liquids -prospects for thermo-electrochemical cells,no_claim_unit_extracted,2011.0,10.1039/c1cc11501d,
paper:P0334,paper,Unlocking new possibilities in ionic thermoelectric materials: a machine learning perspective,claim_extracted_not_mapped,2025.0,10.1093/nsr/nwae411,
paper:P0335,paper,Remarkable ionic thermoelectric performance of high-entropy gel thermocell near room temperature,claim_extracted_not_mapped,2025.0,10.1039/d4ee04247f,
paper:P0336,paper,Exceptional n-Type Ionic Thermoelectric Hydrogels by Synergistic Hydrophobic and Coordination Interactions,mapped_to_curated_complementarity_program,2025.0,10.1002/adma.202510199,
paper:P0337,paper,Host-Guest Complexation of α-Cyclodextrin and Triiodide Ions for Enhanced Performance of Ionic Thermoelectric Capacitors,mapped_to_curated_complementarity_program,2025.0,10.1002/aenm.202405502,
paper:P0338,paper,Long-Term Serviceable Ionic Thermoelectric Hydrogel with Temperature and Moisture Dual-Driven Waste Energy Harvesting Capability,mapped_to_curated_complementarity_program,2025.0,10.1002/smll.202501960,
paper:P0339,paper,Phase transition driven tough hydrogel ionic thermoelectric cell with giant thermopower,claim_extracted_not_mapped,2025.0,10.1038/s41467-025-64054-1,
paper:P0340,paper,Wearable Solar Ionic Thermoelectric Detectors for Human Motion Monitoring and Language Recognition Conversion,claim_extracted_not_mapped,2025.0,10.1002/adfm.202422592,
paper:P0341,paper,Self-healing and stretchable tetrameric PVA-CNF-PVP-IL complex ionogel with high-performance ionic thermoelectric properties,claim_extracted_not_mapped,2025.0,10.1039/d5ta00744e,
paper:P0342,paper,Advanced N-Type Ionic Thermoelectric Cells Featuring Bidirectional Cationic Anchoring Strategy and REDOX Electrode,mapped_to_curated_complementarity_program,2025.0,10.1002/aenm.202500584,
paper:P0343,paper,Insight into the ionic thermoelectric effect and electrochemical energy storage of Portland cement,claim_extracted_not_mapped,2025.0,10.1016/j.conbuildmat.2025.144173,
paper:P0344,paper,High-performance ionic thermoelectric hydrogels via electrohydrodynamic printing for self-powered wearable sensors,mapped_to_curated_complementarity_program,2025.0,10.1016/j.colsurfa.2025.138182,
paper:P0345,paper,Ionic thermoelectric performance of cement and its modifications,mapped_to_curated_complementarity_program,2025.0,10.1016/j.cscm.2024.e04186,
paper:P0346,paper,"Biodegradable, ionic thermoelectric composites via self-assembly of dipeptides and deep eutectic solvents",mapped_to_curated_complementarity_program,2025.0,10.1007/s42114-025-01239-8,
paper:P0347,paper,Superior ionic thermoelectric performance enabled by lignocellulose channel reconstruction in all-wood gels,mapped_to_curated_complementarity_program,2025.0,10.1016/j.cej.2025.165667,
paper:P0348,paper,Amine-functionalized lignin hydrogels for high-performance N-type ionic thermoelectric materials,mapped_to_curated_complementarity_program,2025.0,10.1039/d4gc06542e,
paper:P0349,paper,High-performance cryo-temperature ionic thermoelectric liquid cell developed through a eutectic solvent strategy,mapped_to_curated_complementarity_program,2024.0,10.1038/s41467-024-45432-7,
paper:P0350,paper,Wearable ionogel fiber-based ionic thermoelectric device for low-grade human body heat harvesting,claim_extracted_not_mapped,2024.0,10.1016/j.cej.2024.149784,
paper:P0351,paper,Ultra-high performance of ionic thermoelectric-electrochemical gel cells for harvesting low grade heat,claim_extracted_not_mapped,2024.0,10.1039/d4ee01150c,
paper:P0352,paper,Highly-efficient sustainable ionic thermoelectric materials using lignin-derived hydrogels,claim_extracted_not_mapped,2024.0,10.1007/s42114-024-00863-0,
paper:P0353,paper,Conveyor mode enabling continuous ionic thermoelectric conversion,mapped_to_curated_complementarity_program,2024.0,10.1016/j.joule.2024.08.004,
paper:P0354,paper,Organic/Inorganic Hybrid Ionogel Fiber with Synergistically Enhanced Mechanical and Ionic Thermoelectric Performances,claim_extracted_not_mapped,2025.0,10.1002/adfm.202415856,
paper:P0355,paper,Negative thermopower anisotropic ionic thermoelectric hydrogels based on synergistic coordination and hydration for low-grade heat harvesting,mapped_to_curated_complementarity_program,2024.0,10.1016/j.cej.2024.148797,
paper:P0356,paper,Bamboo-Like Bio-Derived Carbon Microtubes for High-Performance Ionic Thermoelectric Supercapacitors,claim_extracted_not_mapped,2025.0,10.1021/acssuschemeng.5c10114,
paper:P0357,paper,High-thermopower ionic thermoelectric hydrogels for low-grade heat harvesting and intelligent fire protection,mapped_to_curated_complementarity_program,2025.0,10.1039/d5ta04718h,
paper:P0358,paper,Radiation-enhanced and moisture-synergized wearable ionic thermoelectric generator based on adhesive ionic thermoelectric elastomer,claim_extracted_not_mapped,2025.0,10.1016/j.cej.2025.168065,
paper:P0359,paper,Polyvinyl alcohol/sodium alginate double network hydrogels design for high-performance p-type ionic thermoelectric cement-based composites,outside_analysis_freeze_window,2026.0,10.1016/j.jobe.2025.114806,
paper:P0360,paper,Ionic thermoelectric osmotic energy conversion for harvesting low-grade waste heat from electronic heat sink,mapped_to_curated_complementarity_program,2025.0,10.1016/j.energy.2025.138825,
paper:P0361,paper,Rational Design of Robust and Efficient Natural Leather-Based Ionic Thermoelectric Detectors for Energy-Autonomous and Anti-scalding,claim_extracted_not_mapped,2025.0,10.1007/s42765-025-00529-6,
paper:P0362,paper,Selective tuning cation coordination variations for developing high-performance N-type solid-state ionic thermoelectric materials,claim_extracted_not_mapped,2025.0,10.1016/j.ijheatmasstransfer.2025.127042,
paper:P0363,paper,Thermodynamic Design Strategy for Ionic Thermoelectric Polymer Complexes with Giant Thermopower and Power Density,outside_analysis_freeze_window,2026.0,10.1002/adfm.202514954,
paper:P0364,paper,P-N Series Integrated Ionic Thermoelectric Generator Based on Cation/Anion-Selective Hydrogels for Body Heat Harvesting,mapped_to_curated_complementarity_program,2025.0,10.1002/smll.202502884,
paper:P0365,paper,"Highly stretchable, low-hysteresis, and antifreeze hydrogel for low-grade thermal energy harvesting in ionic thermoelectric Supercapacitors",mapped_to_curated_complementarity_program,2024.0,10.1016/j.mtphys.2024.101589,
paper:P0366,paper,Harvesting body heat through clay-based ionic thermoelectric devices,outside_analysis_freeze_window,2026.0,10.1039/d5mh01762a,
paper:P0367,paper,An n-type ionic thermoelectric hydrogel with confined cation diffusion for boosted low-grade heat harvesting,claim_extracted_not_mapped,2025.0,10.1039/d4ta07484j,
paper:P0368,paper,"Conductive ionic thermoelectric hydrogel with negative Seebeck coefficient, self-healing and highly sensitive to temperature for photothermoelectric conversion and non-contact sensing device",claim_extracted_not_mapped,2024.0,10.1016/j.cej.2024.157823,
paper:P0369,paper,Effect of pore structure on the ionic thermoelectric effect of pure cement paste,claim_extracted_not_mapped,2024.0,10.1016/j.ceramint.2024.04.384,
paper:P0370,paper,Ionic Thermoelectric-Powered Resistive Sensors,claim_extracted_not_mapped,2025.0,10.1002/advs.202413093,
paper:P0371,paper,Solar Heating Modulated by Evaporative Cooling Provides Intermittent Temperature Gradients for Ionic Thermoelectric Supercapacitors,mapped_to_curated_complementarity_program,2024.0,10.1002/adfm.202407948,
paper:P0372,paper,Ionic thermoelectric effects in CSA and OPC hardened cement pastes,claim_extracted_not_mapped,2024.0,10.1617/s11527-024-02323-z,
paper:P0373,paper,Reversible bipolar thermopower of ionic thermoelectric polymer composite for cyclic energy generation,mapped_to_curated_complementarity_program,2023.0,10.1038/s41467-023-36018-w,
paper:P0374,paper,Ultrasensitive Flexible Thermal Sensor Arrays based on High-Thermopower Ionic Thermoelectric Hydrogel,claim_extracted_not_mapped,2023.0,10.1002/advs.202302685,
paper:P0375,paper,Self-healable polymer complex with a giant ionic thermoelectric effect,claim_extracted_not_mapped,2023.0,10.1038/s41467-023-38830-w,
paper:P0376,paper,Remarkable high-temperature ionic thermoelectric performance induced by graphene in gel thermocells,claim_extracted_not_mapped,2024.0,10.1039/d3ee03818a,
paper:P0377,paper,Kaolin Clay-Based Geopolymer for Ionic Thermoelectric Energy Harvesting,claim_extracted_not_mapped,2024.0,10.1021/acsomega.3c08257,
paper:P0378,paper,Zwitterionic Polymer Gel-Based Fully Self-Healable Ionic Thermoelectric Generators with Pressure-Activated Electrodes,claim_extracted_not_mapped,2023.0,10.1002/aenm.202301133,
paper:P0379,paper,Super-stretching and high-performance ionic thermoelectric hydrogels based on carboxylated bacterial cellulose coordination for self-powered sensors,claim_extracted_not_mapped,2023.0,10.1016/j.carbpol.2023.121310,
paper:P0380,paper,Ion-Electron Coupling Enables Ionic Thermoelectric Material with New Operation Mode and High Energy Density,mapped_to_curated_complementarity_program,2023.0,10.1007/s40820-023-01077-7,
paper:P0381,paper,An Ionic Thermoelectric Generator with a Giant Output Power Density and High Energy Density Enabled by Synergy of Thermodiffusion Effect and Redox Reaction on Electrodes,claim_extracted_not_mapped,2023.0,10.1002/aenm.202204357,
paper:P0382,paper,Ionoelastomer electrolytes for stretchable ionic thermoelectric supercapacitors,claim_extracted_not_mapped,2023.0,10.1016/j.nanoen.2023.108643,
