文章名,期刊名,DOI,年份,摘要,材料,机制
Enhancing Thermogalvanic Efficiency through Electrostatic Interaction in Cationic Hydrogels,ACS APPLIED ENERGY MATERIALS,10.1021/acsaem.4c02835,2025,"Thermoelectric hydrogels have the potential to be used in energy conversion devices for harnessing ubiquitous low-grade heat and generating useful electricity. This can be achieved through the use of thermogalvanic cells based on redox chemistry. While significant attention has been focused toward maximizing voltage for a given temperature gradient in liquid-based thermocells, it is crucial to consider both voltage and current density for accurate power output estimation in the case of gel-based thermocells. Here, we analyze the influence of the functional groups and the redox pair concentration over the voltage and current density in two different hydrogels. Our results confirm a path to enhance the current density in thermogalvanic hydrogels by incorporating a cationic pair into a cationic electroactive network (CN). This approach facilitates the movement of redox pairs, therefore increasing the power density output.",cationic electroactive hydrogels with cationic redox pairs,electrostatic compatibility between cationic network and redox pair facilitates redox-pair transport and increases current/power density
Self-powered versatile on-hand virtual interface enabled by thermogalvanic hydrogel,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2025.167739,2025,"The growing demand for immersive human-machine interaction has exposed the limitations of conventional input devices, which often suffer from power dependency, conditional constraints, or cumbersome hardware. To address these drawbacks, we present a self-powered thermogalvanic-hydrogel virtual interface for versatile onhand interactions, which is composed of polyvinyl alcohol/trehalose networks absorbed with glycerol/water and exhibits high stretchability, strong adhesion, and rapid self-healing, inspired by algae's stress adaption. Leveraging the synergistic coupling of thermoelectricity and active piezoresistivity, the interface achieves selfpowered transduction of dynamic gestures into detectable electrical signals via its intrinsic response to body heat and real-time piezoresistive modulation under mechanical strain. With the aid of deep learning, the adaptive interface enables intuitive on-hand virtual interaction by translating sensory data into diverse interactive tasks-such as sign language recognition, keyboard text entry, and mouse control-with over 96% task-specific accuracy. This study offers an economical and straightforward approach to embodied interaction, fostering advancements in human-machine interfaces, virtual technologies, and wearable electronics.",PVA/trehalose/glycerol/water thermogalvanic hydrogel virtual interface,body-heat thermoelectricity and active piezoresistive modulation transduce hand gestures into self-powered signals
Deep-learning-enabled breathable thermogalvanic hydrogel array for self-powered mental monitoring,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/d5ta00253b,2025,"Facial expression is vital for assessing psychological health, especially in adolescents. Current facial expression recognition systems face challenges such as poor breathability, limited electromechanical performance, and insufficient environmental stability. Here, an air-permeable self-powered hydrogel array designed for continuous mental monitoring based on facial expression recognition is proposed. The remarkable breathability of the patch composed of thermogalvanic hydrogel and gelatin films is achieved by the through-holes structure design. Additionally, the hydrogel leverages a double network structure and phytic acid with rich hydrogen ions, achieving a trade-off between mechanical (1.07 MPa) and electrical (34.4 mS cm-1) properties. Due to the multiple hydrogen bonds among phytic acid, glycerol, and water, the hydrogel maintains over 80% of its original electrical performance after 10 days, demonstrating its excellent environmental stability. Integrated with a deep learning algorithm, the hydrogel array can recognize six facial expressions with a high accuracy of 100% and provide long-term monitoring of mental states based on the positive-to-negative emotion ratio. This work paves the way for a new generation of wearable mental monitoring platform for healthcare and human-machine interfaces.","thermogalvanic hydrogel/gelatin breathable array with phytic acid, glycerol, water",through-hole breathable structure and hydrogen-bonded double network preserve ionic/electrical performance for facial-expression signals
Solid-state n-type thermodiffusion-assisted thermogalvanic cells with unprecedented thermal energy conversion,ENERGY & ENVIRONMENTAL SCIENCE,10.1039/d5ee01216c,2025,"Thermogalvanic (TG) cells are a promising technology for harvesting low-grade waste heat, but their practical applications have been hindered by low thermopower and output power density. Here, we report for the first time a solid-state n-type thermodiffusion (TD)-assisted TG cell based on a PEDOT:PSS/Fe(ClO4)(2/3) polymer complex. The strategic design of the polymer complex, featuring electrostatic interactions between the PEDOT:PSS matrix and the Fe2+/3+ ions, enables the liberation of ClO4- ions, enhancing thermodiffusion and ionic conductivity. This mechanism results in a remarkable ionic Seebeck coefficient of -40.05 mV K-1 and a record-high normalized maximum power density of 56.57 mW m(-2) K-2. The TD-assisted TG cell demonstrates excellent stability for >50 charge-discharge cycles. A 16-paired TG module generates 360 mu W, sufficient to power commercial electronic devices. A wearable device showcases the practical applicability by harvesting body heat and producing 1.5 V. These findings represent a significant advancement in thermal energy harvesting and pave the way for practical TG-based energy conversion technologies.",PEDOT:PSS/Fe(ClO4)2/3 solid-state n-type thermogalvanic polymer complex,"PEDOT:PSS-Fe2+/Fe3+ electrostatic interactions liberate ClO4- ions, enhancing thermodiffusion and ionic conductivity for n-type output"
Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,ADVANCED MATERIALS,10.1002/adma.202300696,2023,"Thermocells can continuously convert heat into electricity, and they are widely used to power wearable electronic devices. However, they have a risk of leakage and poor mechanical properties. Although quasi-solid ionic thermocells can overcome the issue of electrolyte leakage, the trade-off between their excellent mechanical properties and high thermopower remains a major challenge. In this study, stretching-induced crystallization and the thermoelectric effect are combined to propose a high-strength quasi-solid stretchable polyvinyl alcohol thermogalvanic thermocell (SPTC) with a large tensile strength of 19 MPa and high thermopower of 6.5 mV K-1. The SPTC exhibits a high stretchability of 1300%, ultrahigh toughness of 163.4 MJ m(-3), and high specific output power density of 1969 & mu;W m(-2) K-2. These comprehensive properties are superior to those of previously reported quasi-solid stretchable thermogalvanic thermocells. The use of SPTC-based systems in wearable devices for energy-autonomous strain sensors and health monitoring is demonstrated. This can facilitate the rapid implementation of sustainable wearable electronics in the Internet of Things era.",stretchable PVA thermogalvanic thermocell,"stretching-induced crystallization couples with thermogalvanic redox effect to combine high strength, toughness, stretchability, and thermopower"
Self-Powered Machine-Learning-Assisted Material Identification Enabled by a Thermogalvanic Dual-Network Hydrogel with a High Thermopower,SMALL,10.1002/smll.202405911,2025,"Wearable devices equipped with high-performance flexible sensors that can identify diverse physical information free from batteries are playing an indispensable role in various fields. However, previous studies on flexible sensors have primarily focused on their elasticity and temperature-sensing capability, with few reports on material identification. In this paper, a thermogalvanic dual-network hydrogel is fabricated with [Fe(CN)6]3-/4- as a redox couple and lithium magnesium silicate, Gdm+ and lithium bromide as key electrolytes to optimize the interconnected porous structure of the gel, which shows excellent mechanical and thermoelectric properties with a thermopower as high as 4.01 mV K-1. A self-powered material identification ring is developed based on the temperature-triggered thermoelectric response of the gel in conjunction with machine learning, which can actively infer materials without an external power connection by analyzing the voltage signals correlated with interfacial heat transfer produced upon contact with different materials. The proposed gel ring has important applications for future areas such as human-computer interaction and haptic-associated artificial intelligence.","dual-network hydrogel with [Fe(CN)6]3-/4-, lithium magnesium silicate, guanidinium, LiBr",porous ion network and redox thermogalvanic response convert material-dependent interfacial heat transfer into self-powered identification signals
Deep-learning-assisted thermogalvanic hydrogel fiber sensor for self-powered in-nostril respiratory monitoring,JOURNAL OF COLLOID AND INTERFACE SCIENCE,10.1016/j.jcis.2024.09.132,2025,"Direct and consistent monitoring of respiratory patterns is crucial for disease prognostication. Although the wired clinical respiratory monitoring apparatus can operate accurately, the existing defects are evident, such as the indispensability of an external power supply, low mobility, poor comfort, and limited monitoring timeframes. Here, we present a self-powered in-nostril hydrogel sensor for long-term non-irritant anti-interference respiratory monitoring, which is developed from a dual-network binary-solvent thermogalvanic polyvinyl alcohol hydrogel fiber (d = 500 mu m, L=30 mm) with Fe2+/Fe3+ ions serving as a redox couple, which can generate a thermoelectrical signal in the nasal cavity based on the temperature difference between the exhaled gas and skin as well as avoid interference from the external environment. Due to strong hydrogen bonding between solvent molecules, the sensor retains over 90 % of its moisture after 14 days, exhibiting great potential in wearable respiratory surveillance. With the assistance of deep learning, the hydrogel fiber-based respiration monitoring strategy can actively recognize seven typical breathing patterns with an accuracy of 97.1 % by extracting the time sequence and dynamic parameters of the thermoelectric signals generated by respiration, providing an alert for high-risk respiratory symptoms. This work demonstrates the significant potential of thermogalvanic gels for next-generation wearable bioelectronics for early screening of respiratory diseases.",PVA dual-network binary-solvent hydrogel fiber with Fe2+/Fe3+ redox ions,nostril temperature swings from respiration generate thermogalvanic signals while strong solvent hydrogen bonding maintains moisture
Solvent-assisted thermogalvanic cell for enhanced low-grade heat harvesting over an extended temperature range,NANO ENERGY,10.1016/j.nanoen.2024.110515,2025,"In the pursuit of sustainable energy harvesting from low-grade heat, thermogalvanic cells (TGCs) have received considerable attention, but still confront profound challenges in efficiency and cost-effectiveness, limiting their real-world applications. To expedite the deployment of TGCs, this study delves into the mechanistic interplay of three crucial determinants: intrinsic temperature coefficient, concentration gradient, and activity coefficient of redox couples, elucidating their impact on TGCs' thermoelectric performance. We report a solvent-assisted liquid-state thermogalvanic cell (SA-LTC) by incorporating organic solvents into the sodium ferrocyanidebased TGCs system. With ethanol as a regulator to the concentration gradient and solvation structure, the temperature coefficient of [Fe(CN)6]3-/4- can be enhanced from- 1.39 to- 4.32 mV K- 1 , leading to a five-fold increase in thermoelectric power and efficiency. Meanwhile, ethanol imparts a lower freezing point and wider working temperature range to the system, showing its better environmental adaptability. In particular, SA-LTC performs better at lower temperatures, at which it achieved a record-high temperature coefficient of- 5.26 mV K- 1 and a power density of 2.17 mW m- 2 K- 2 at 10-20 degrees C. This study not only provides useful guidance to the optimization of electrolyte design, but also highlights the potential of TGCs for sustainable energy conversion in varied thermal conditions for practical applications.",sodium ferrocyanide/ferricyanide thermogalvanic electrolyte with ethanol solvent regulator,"ethanol modifies concentration gradient and solvation structure, raising temperature coefficient and extending low-temperature operating range"
Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2024.150816,2024,"The human hand provides rich sensory information for proper interaction with the environment. However, designing passive hand -sensing arrays with robust mechanical properties, high conductivity, ease of integration and reliability remains a long-term challenge. Here, we develop a robust dynamic crystalline ion -injected thermoelectric gel (DCI-TEG) via a simple solvent -exchange salt -out strategy. The resultant DCI-TEG exhibits high tensile strength (3.8 MPa), toughness (7.5 MJ m -3 ), and ionic conductivity of 1.84 S m -1 . Benefiting from non -covalent crosslinking, the gel electrolyte and electrodes can be fully integrated into modules with tight physical and electrical contact, facilitating a stable and reliable signal output. By coupling thermogalvanic and piezoresistive effects, the DCI-TEG permits self -powered timely sensing of pressure using current signals. By implanting ionic thermoelectric module arrays on a glove, a wearable pressure sensing route is demonstrated with the merits of self -power, low cost and simple preparation. With the help of deep learning algorithms, a selfpowered recognition for sign language and objects is realized in wearable/portable scenarios by active highaccuracy pressure detection. This work gives people a new direction toward barrier -free passive communication and human - machine interaction in the next -generation artificial intelligence.",dynamic crystalline ion-injected thermoelectric gel DCI-TEG,solvent-exchange salting-out creates robust ionic gel that couples thermogalvanic current with piezoresistive pressure sensing
On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,NANO LETTERS,10.1021/acs.nanolett.5c02774,2025,"Achieving stable and sustained power output remains a major challenge in the development of ionic thermoelectric devices (such as thermogalvanic cells and thermoionic capacitors) for low-grade heat harvesting. Many such systems exhibit strong performance in the initial throes of operation but degrade rapidly over time, limiting their utility. Here, we report an aqueous thermogalvanic redox agent ([Ni(bpy)3]2+/3+) with a Seebeck coefficient approximately double that of the canonical [Fe(CN)6]4-/3-, which can be utilized continuously for multiple hours under large temperature gradients (Delta T >= 60 K) without significant change in electrical performance. Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower. This new redox pair demonstrates stability, cyclability, and tunability in both liquid- and gel-based electrolytes, and provides a novel redox platform from which to build next-generation high-thermopower waste-heat recovery cells.",aqueous [Ni(bpy)3]2+/3+ thermogalvanic redox agent,different hydration-shell behavior between oxidant/reductant creates configurational entropy difference for stable high thermopower
Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,NANO ENERGY,10.1016/j.nanoen.2025.111189,2025,"Thermogalvanic cells (TGCs) have emerged as a promising technology for harvesting low-grade thermal energy, but their widespread application has been hindered by limited conversion efficiencies. A critical factor in enhancing TGC performance lies in establishing substantial ion concentration gradients, which remains challenging due to the inherent tendency of ion pairing. Here, we present a double-layer thermogalvanic cell (DTGC) architecture that spatially segregates redox pairs into two distinct gel layers, enabling unprecedented control over ion concentration gradients. This innovative design yields a single p-type gelatin-K-4[Fe(CN)(6)]/K-3[Fe(CN)(6)] DTGC unit with remarkable performance metrics of an open-circuit voltage of 220 mV, a power density of 1.73 mW m(-2) K-2, and a relative Carnot efficiency (eta(r)) of 1.34 % at Delta T = 10 K, representing a tenfold improvement over conventional TGCs. Scaling up this technology, we demonstrate a modular thermoelectric generator comprising a 4 x 12 array of alternating p-type and n-type DTGCs, capable of delivering an output voltage exceeding 11.3 V at Delta T = 20 K, sufficient to directly power commercial LED lights and electronic displays. This work establishes a new paradigm for efficient low-grade thermal energy conversion, offering a scalable and practical solution for waste heat recovery applications.",double-layer gelatin K4[Fe(CN)6]/K3[Fe(CN)6] thermogalvanic cell,spatially separated redox gel layers maintain ion concentration gradients and boost thermogalvanic voltage/efficiency
An N-Type Thermogalvanic Cell with a High Temperature Coefficient Based on the Cu/Cu(en)2 2+ Redox Couple,ACS APPLIED MATERIALS & INTERFACES,10.1021/acsami.5c03375,2025,"Thermogalvanic cells (TGCs) are at the forefront of effective thermoelectric conversion methods, but the practical utilization of their integrated devices is hindered by the suboptimal performance of N-type TGCs. Herein, a novel redox couple of Cu/Cu(en)2 2+ is proposed to construct a liquid-state N-type TGC. The electrochemical reaction involving the Cu electrode, ethylenediamine (en), and their chelated compound Cu(en)2 2+ exhibits a significant reaction entropy change, resulting in an enhanced temperature coefficient (alpha). We reveal that the alpha of the Cu/Cu(en)2 2+-based TGC reaches 1.64 mV K-1. Furthermore, by optimizing the concentrations of Cu2+, ethylenediamine, and (NH4)2SO4 in the electrolyte, both alpha and normalized power density can be significantly improved, achieving values of 2.12 mV K-1 and 676 mu W m-2 K-2, respectively. Moreover, by constructing a P-N junction with P-type and N-type TGC, we achieve a high potential of 121 mV under a temperature gradient of 35 K. This work expands the available redox couple options for N-type TGCs and offers a new pathway for efficient thermoelectric conversion.","Cu/Cu(en)2 2+ redox couple with ethylenediamine, Cu electrode, (NH4)2SO4 electrolyte",Cu/en chelation reaction creates large entropy change for high n-type thermogalvanic temperature coefficient
High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,ACS APPLIED POLYMER MATERIALS,10.1021/acsapm.5c02573,2025,"Energy is fundamental to human survival and development and also serves as a crucial driving force for sustainable economic growth. Due to the limited efficiency of energy conversion, electronic devices operating at high loads generate substantial amounts of low-grade waste heat. Recycling and reusing of this waste heat can lead to significant energy savings. The present thermoelectric materials typically exhibit low thermopower (or Seebeck coefficient), making it challenging to efficiently recover low-grade waste heat. This study rapidly fabricated polyacrylamide hydrogels via aqueous polymerization and then introduced the Fe(CN)6 3-/4- redox couple and guanidine hydrochloride through solvent exchange to produce the thermogalvanic ionic hydrogel (TGIH). Subsequently, the water retention and mechanical properties of TGIH were enhanced by introducing the natural moisturizing factor sodium pyrrolidone carboxylate. The TGIH exhibited a high Seebeck coefficient of 5.49 mV/K, a high specific power density of 1213.29 mu W/m2K2, a high water retention rate of 62.7%, a great tensile fracture rate of 523.65%, and a toughness of 0.167 MJ/m3. In addition, an application case is carried on using smartphones; this work demonstrated the TGIH's capability to efficiently dissipate heat from electronic devices while simultaneously recovering low-grade waste heat. The TGIH can promote the recovery and utilization of low-grade thermal energy and holds significant application potential in sustainable wearable electronics.","polyacrylamide hydrogel with Fe(CN)6 3-/4-, guanidine hydrochloride, sodium pyrrolidone carboxylate",redox thermogalvanic effect harvests device waste heat; guanidine boosts thermopower and sodium PCA improves water retention/mechanics
