audit_id,group_index,selection_reason,members_reviewed,judge_decision,judge_reason,judge_model,judge_reasoning_effort,acceptance_method,status,required_human_review,evidence_locator
normcheck:g155,155,mixed_source_roles,2,uphold_existing_partition_with_uncertainties,lithiation state与嵌锂程度x均指嵌锂状态参数，原文讨论系数对嵌锂程度的依赖，不是插入速率。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g155
normcheck:g194,194,mixed_source_roles,2,revise_partition,修订为待定：CaAg0.9P抑制双极输运的高掺杂与N2200聚合物的高掺杂，未给出共同掺杂量定义或高值阈值；不能因high doping同名接受。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g194
normcheck:g208,208,mixed_source_roles,2,uphold_existing_partition_with_uncertainties,两处均以阳离子交换辅助n型掺杂，设计策略和微观过程标注不改变交换操作；BBL与N2200对象保留在证据层。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g208
normcheck:g220,220,mixed_source_roles,2,uphold_existing_partition_with_uncertainties,两句均明确降低氧分压的方向；外部条件变化与实验调控策略可归同一操作，但不与氧空位浓度合并。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g220
normcheck:g260,260,mixed_source_roles,2,uphold_existing_partition_with_uncertainties,两处指离子输运选择性这一属性，性能/数量角色不改变概念。此处只接受定性属性类型，不断言不同选择性指标具有相同计算公式。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g260
normcheck:g280,280,mixed_source_roles,2,uphold_existing_partition_with_uncertainties,两文均为组成变化下金属到半导体输运行为的变化；不把第二篇gradual变化改成尖锐相变，保留行为转变这一共同层次。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g280
normcheck:g335,335,mixed_source_roles,2,revise_partition,修订为待定：一侧明确晶胞体积收缩，另一侧只说lattice contraction策略；完整摘要未给出体积或各轴条件，不能断言几何范围严格等价。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g335
normcheck:g000,0,large_group,130,uphold_existing_partition_with_uncertainties,复核确认P1711已单列为热扩散与NH4热脱嵌混合系数，完整摘要支持该边界，维持原分区。其他电子、离子、红氧、混合、器件级及带限定分区保留，原待定不强制接受。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g000
normcheck:g001,1,large_group,67,uphold_existing_partition_with_uncertainties,电导率继续区分电子、离子、混合及DC条件；高/较高/增强限定和来源不明节点保留。P0533原文把electrical和ionic分列，P0944电子复合膜证据支持原额外接受对。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g001
normcheck:g002,2,large_group,38,uphold_existing_partition_with_uncertainties,properties集合与performance评价继续分开，并保留机制范围。指标未定义的跨分区待定合理，不能以相似论文主题代替相同评价函数。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g002
normcheck:g003,3,large_group,32,uphold_existing_partition_with_uncertainties,电化学、Soret/红氧混合、腐蚀复合、非对称电极和初始条件不同。P0104与P0119已拆分，初始不擅自断言瞬态；Te纳米线电子系数保持分离。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g003
normcheck:g004,4,large_group,32,uphold_existing_partition_with_uncertainties,总体热导率与声子分量、晶界局部量、高值限定的分拆合理。P1783说明主要传热机制，不自动把测得总热导的对象改成一个独立分量。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g004
normcheck:g005,5,large_group,27,uphold_existing_partition_with_uncertainties,ZT/figure of merit缩写在电子材料量层面一致；离子、红氧、单自旋和显式高温/高值限定仍分开。样品数值接近1不等于把无限定标签都改成near-unity概念。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g005
normcheck:g006,6,large_group,26,uphold_existing_partition_with_uncertainties,26成员共同为晶格热导率；两处heat transport有κL或W m−1 K−1量纲支撑，非无量纲的传热过程。个别可疑数值原样保留，不据此新造物理结论。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g006
normcheck:g007,7,large_group,26,revise_partition,修订：enhanced power factor为增强后的状态，enhancement in the power factor为变化过程，拆开25与15/24。普通电子、离子、混合及最大值仍按原定义分开。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g007
normcheck:g008,8,large_group,25,uphold_existing_partition_with_uncertainties,离子电导率共同定义成立；离子凝胶及SPE显式对象限定单列。否定ionic conductivity存在的句子仍提到同一概念，但否定断言不能变成正向科学关系。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g008
normcheck:g009,9,large_group,22,uphold_existing_partition_with_uncertainties,输出功率、按面积归一的功率密度和发电过程分开；原文μW/cm²和W/m²支持密度组，未给密度分母的节点继续待定。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g009
normcheck:g012,12,hierarchy_warning_overruled,18,uphold_existing_partition_with_uncertainties,全部成员在离子/电解质语境下指Soret热扩散，包括原文直接同义展开；被否定为主导机制不改变被提及概念的定义。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g012
normcheck:g016,16,hierarchy_warning_overruled,13,uphold_existing_partition_with_uncertainties,电解质热扩散/Soret分区可保留；明确质子扩散限制物种范围，继续分开。热扩散与Dufour热流不因共同出现而合并。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g016
normcheck:g010,10,hierarchy_warning_overruled,21,uphold_existing_partition_with_uncertainties,三价稀土半径组保留；含Bi的R3+集合、碱金属、碱土、其他M3+及下降事件仍单列。修正旧理由中仍列8属于稀土的过期表述。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g010
normcheck:g014,14,hierarchy_warning_overruled,16,uphold_existing_partition_with_uncertainties,普通热电化学系数与叠加Soret的总响应分开，电极相变等来源机制仍有电化学系数的定义基础；不与电功率同义。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g014
normcheck:g027,27,hierarchy_warning_overruled,9,uphold_existing_partition_with_uncertainties,热转电效率的能量比定义可在类型层面保留；绝对效率不与Carnot相对效率混合，循环/稳态及有无回热条件仍在原证据，不据此直接横向排名。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g027
normcheck:g013,13,hierarchy_warning_overruled,17,uphold_existing_partition_with_uncertainties,普通迁移率、高值、较高、Hall增强、电子/空穴比较及OECT器件提取量的边界保留；不将不同测量定义强制合一。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g013
normcheck:g021,21,hierarchy_warning_overruled,11,uphold_existing_partition_with_uncertainties,一般非谐性、高/强非谐性、相对greater和非谐动力学现象分开。已完成的动力学现象拆分保留。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g021
normcheck:g063,63,hierarchy_warning_overruled,4,uphold_existing_partition_with_uncertainties,原上下文明确galvanic和TG均指thermogalvanic电流，缩写/简称同义有文本依据；持续性作为关系修饰保留。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g063
normcheck:g017,17,split_definition_boundary,12,uphold_existing_partition_with_uncertainties,载流子生成能、电导活化能、微观迁移势垒、含空位形成贡献的输运能垒不能直接合并；Ag+电导提取同类量和电子电导活化能分别保留。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g017
normcheck:g018,18,split_definition_boundary,12,uphold_existing_partition_with_uncertainties,键合离子性属性与离子键类型保持分开；具体Rb/Fr对象限定不消除。单复数bond/bonding可归同一键型。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g018
normcheck:g019,19,split_definition_boundary,12,revise_partition,修订：enhanced phonon scattering指增强后的散射状态，increase in phonon scattering指增强过程，拆开9/11。一般散射、多波长及强散射范围继续保留。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g019
normcheck:g023,23,split_definition_boundary,10,uphold_existing_partition_with_uncertainties,纯热致输出与包含额外电化学势/赝电容贡献的总输出分开；光热产生的温差不等于直接光伏输出，原先补读摘要支持该归属。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g023
normcheck:g026,26,split_definition_boundary,10,uphold_existing_partition_with_uncertainties,热致离子端电压分区保留；高值和p-n结内部电势另列。体相迁移与界面极化是电压成因，原始关系中继续保留差别。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g026
normcheck:g029,29,split_definition_boundary,8,uphold_existing_partition_with_uncertainties,铁氰/亚铁氰反应、Cu-乙二胺螯合反应及泛称红氧熵变继续分开；溶剂化壳是原反应体系的贡献，未把任何entropy字样统合。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g029
normcheck:g011,11,uncertainty_boundary,21,uphold_existing_partition_with_uncertainties,保留严格待定。低/超低阈值与材料温区不统一；已经拆开的reduced状态和reduction/decrease过程继续分离。旧理由仍称四者同一过程的表述应修正。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g011
normcheck:g020,20,uncertainty_boundary,11,revise_partition,修订P0201：该综述明确将Soret纳入thermogalvanic范围，与只取红氧电位机制的共同定义不完全一致，单列待定。SmCl3热刺激去极化节点继续待定，其余红氧机制保留。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g020
normcheck:g024,24,uncertainty_boundary,10,uphold_existing_partition_with_uncertainties,IL在这些句子中回指实际不同化学物质，不是可把实例吞并的通用材料标签；已明确EMIM:TFSI、MMIM:DCA、EMIM乙基硫酸盐、EMIM:TCB差异，其余身份未定继续待定。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g024
normcheck:g025,25,uncertainty_boundary,10,uphold_existing_partition_with_uncertainties,电子能隙类型可归共同定义，直接/间接及材料数值保留；P1883涉及单自旋缺口，对象不清，继续待定。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g025
normcheck:g321,321,accepted_group_reference,2,uphold_existing_partition_with_uncertainties,streaming potential由带电流体通道电动效应产生，与并列的Soret热电势明确不同；两节点同义成立。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g321
normcheck:g301,301,accepted_group_reference,2,uphold_existing_partition_with_uncertainties,两篇完整上下文均为有序/无序进入超离子态的转变温度，不是任意结构相变温度。材料差别不消除其相变温度参数定义。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g301
normcheck:g278,278,accepted_group_reference,2,uphold_existing_partition_with_uncertainties,mechanical and electrical与electrical and mechanical仅顺序变化，性能集合相同；不把样品实例或数值视为相同。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g278
normcheck:g281,281,accepted_group_reference,2,uphold_existing_partition_with_uncertainties,两处microstructure均为材料微观结构属性，具体双连续形貌及聚合物网络是其取值，保留在原文，不合并材料实体。,gpt-6-astra,high,model_judge_replaces_human_sampling,completed,False,../normalization_draft/normalization_spotcheck_evidence.csv::audit_id=normcheck:g281
