mention_id,paper_id,domain,local_node_id,raw_phrase,legacy_role,semantic_role,claim_id,quote,phrase_location_status,phrase_start_char,phrase_end_char,phrase_span_candidates,semantic_review_status,reconstruction_run_id,audit_id,draft_concept_id,draft_definition,source_role,abstract_locator
iTE:P1200:n2,P1200,iTE,n2,p -type semiconducting nature,performance,,iTE:P1200:claim_block,"In the present work, we give a thorough analysis of the cubic inverse-perovskite Na3SCl's structural, electrical, optical, and thermoelectric properties using the FP-LAPW approach within the context of DFT. PBE-GGA has espoused for exchange -correlation the potential for the evaluation of structural characteristics. A well-known accurate potential for the computation of electronic structures known as TB-mBJ has also been added along with PBE-GGA for the computations of band structures and their density of states. The probe of cohesive energy, formation energy, and elastic aspects demonstrates that the material under study is chemically, and thermodynamically stable. The obtained lattice parameters and other structural data of the investigated Na3SCl are in well agreement with the reported results of similar compounds. A direct band gap of 3.493 eV identified from the band structure for Na3SCl demonstrates the semiconducting character of the examined antiperovskite. Charge density contours analysis reveals that Na3SCl possesses an ionic nature, which is confirmed by electron localization function (ELF) analysis. We additionally assessed optical constants for the Na3SCl, such as the dielectric function, optical reflectivity, refractive index, and electron energy loss, with radiation up to 12 eV. Furthermore, variations in temperature -dependent thermoelectric features in terms of Seebeck coefficient, thermal conductivity, electrical conductivity, power factor, and figure of merit have been determined for the first time using the BoltzTraP code. The perovskite under study has a p -type semiconducting nature, as indicated by the estimated positive Seebeck value, and holes rather than electrons are the predominant charge carriers for conduction. The obtained substantial figure of merit along with the low thermal -to -electrical conductivity ratio for the examined inverse perovskite imply it is suitable for thermoelectric applications in devices. Our examined Na3SCl inverse perovskite offers a fruitful framework for enhancing comprehensive TE efficacy for TE usage and green energy generation.",exact_unique_in_quote,1602,1631,"[[1602, 1631]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g028,draft:v2:iTE:80aa78742ce4cc05321d,p型电子导电特征,state_structure,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1200
iTE:P1279:n2,P1279,iTE,n2,p-type conduction,performance,,iTE:P1279:claim_block,"Thermoelectric and electrical characteristics investigation of M-type hexagonal ferrite, Ba0.5Sr0.5CoxRuxFe(12-2x)O19 (x = 0.0, 0.2, 0.4, 0.6, 0.8, 1.0, 1.2), have been carried out from 303 K to 473 K. The static current density-electric field characteristics have been measured at room temperature. The Seebeck coefficient indicates n-type behavior at lower substitution and p-type conduction at higher substitution. The different electrical parameters are affected by change in grain size with substitution of Co2+ and Ru4+ ions. The existence of polarons is confirmed from increase in conductivity with frequency. The static conduction due to applied electric field is discussed qualitatively in terms of space charge limited current, ionic hopping, Poole-Frenkel and Schottky-Richardson mechanisms. The large current density has been observed at higher substitution.",exact_unique_in_quote,376,393,"[[376, 393]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g028,draft:v2:iTE:80aa78742ce4cc05321d,p型电子导电特征,mechanism_process,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1279
iTE:P1444:n2,P1444,iTE,n2,p-type character,physical_consequence,,iTE:P1444:claim_block,The positive values of Seebeck coefficients specify p-type character of X2MnB,exact_unique_in_quote,1059,1075,"[[1059, 1075]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g028,draft:v2:iTE:80aa78742ce4cc05321d,p型电子导电特征,state_structure,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1444
iTE:P1490:n2,P1490,iTE,n2,p-type nature of Cs2CdZnCl6,physical_consequence,,iTE:P1490:claim_block,Positive values of the Seebeck coefficient characterize the p-type nature of Cs2CdZnCl6.,exact_unique_in_quote,1061,1088,"[[1061, 1088]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g028,draft:v2:iTE:8610faeda559fc890376,Cs2CdZnCl6的p型特征,state_structure,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1490
iTE:P1571:n2,P1571,iTE,n2,remains p-type,physical_consequence,,iTE:P1571:claim_block,"the nanocrystalline AgCuS does not display the p-n-p type conduction switching property like its bulk form, but remains p-type throughout the measured temperature range due to the presence of excess localized Ag vacancies.",exact_unique_in_quote,1412,1426,"[[1412, 1426]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g028,draft:v2:iTE:68d385e5e083000c3344,测量温区持续p型,state_structure,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1571
iTE:P1795:n2,P1795,iTE,n2,p-type conduction,physical_consequence,,iTE:P1795:claim_block,"Over the last few decades, the blooming interest on n-type Mg3Sb2-based alloys in the room-temperature regime is of utmost importance owing to its properties capable of replacing the widely studied as well as commercialized Bi2Te3-based alloys. This alternate hunt is to overcome the dependency on the one of the rarest elements on earth's crust, i.e., Te. In this regard, an in-depth understanding of the role of dopants to achieve n-type conduction is paramount significance as the aforementioned alloy in stoichiometric amount is highly vulnerable toward p-type conduction with extremely low carrier concentration owing to the loss of Mg during the synthetic step. To avert the situation, over stoichiometric state of Mg is crucial; however, an arbitrary increase in the Mg content may lead to the undesired phase and subsequently the chemistry of the alloy may differ. The present study unleashes the two chemical conditions for economically efficient room-temperature-based n-type Mg3Sb2 alloy, viz. (i) cationic self-doping in the presence of anionic external dopant and (ii) cationic self-doping and external doping in the absence of anionic dopant. Extensive investigation unveils that Mg-rich condition is the prerequisite condition for n-type conduction; however, the addition of excess Mg should be within the solubility-limit of Mg in the presence of Te. Thus, a systematic and detailed experiment was carried out to arrive at the solubility limit of Mg in Mg3Sb2-based alloys for enhanced thermoelectric performance. Nonetheless, to forestall the problems associated with excess Mg, cationic substitution with group-3 elements was carried out. However, the study divulges that the ionic radii of the dopants are crucial for effective n-type dopant. Here, the concentrations of yttrium under study is found to be an effective cationic dopant under Mg-rich condition, whereas indium with ionic radii comparable to that of Mg both in four- and six-coordinate geometries showed that it can substitute both Mg-(1) and Mg-(2) along with Sb site under Mg-rich condition and eventually cause electron compensation defect. Surprisingly, In-Mg(1) being acceptor defect and In-Sb being electron compensation defect cause p-type conduction in Mg3Sb2 and thus not effective for high performance considering the concentrations under study. Among all the compositions studied, Mg3.2Sb1.49Bi0.49Te0.02 was found to exhibit a peak ZT of 1.7 at 623 K (350 degrees C). However, we have considered Mg3.3Sb1.49Bi0.49Te0.02 to be more suitable from device viewpoint owing to have appreciably good average ZT.",multiple_exact_matches_in_quote,,,"[[558, 575], [2223, 2240]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g028,draft:v2:iTE:80aa78742ce4cc05321d,p型电子导电特征,mechanism_process,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1795
TG:P0081:n1,P0081,TG,n1,temperature gradient,physical_consequence,,TG:P0081:claim_block,"Here, we introduce a redox-split thermogalvanic cell in which a temperature gradient drives localized oxidation of a nickel-bipyridine complex at the hot electrode only, creating chemical heterogeneity that augments thermopower via additional concentration gradient effects.",exact_unique_in_quote,240,260,"[[240, 260]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g035,draft:v2:TG:545455d468a9761c9d69,空间温度梯度,condition,inputs/raw/paper_coverage.csv::domain=TG;paper_id=P0081
TG:P0086:n4,P0086,TG,n4,Delta T,physical_consequence,,TG:P0086:claim_block,"The presence of natural convection can effectively enhance the heat transfer and mass transport in LTCs, but to some extent induce a significant decrease in Delta T from 10.9 K to 5.9 K due to the increase in effective thermal conductivity from 0.59 to 2.17 W/(m & sdot;K).",exact_unique_in_quote,1478,1485,"[[1478, 1485]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g035,draft:v2:TG:0afe676449258d3fe4bf,两端温度差,quantity,inputs/raw/paper_coverage.csv::domain=TG;paper_id=P0086
TG:P0118:n1,P0118,TG,n1,Temperature gradients,physical_consequence,,TG:P0118:claim_block,The thermogalvanic currents between nominally identical segments in a reinforced concrete beam were investigated. Temperature gradients induce galvanic currents that exhibit a 30 degrees C critical point. The character of the hot electrode side changes from anodic to cathodic when the temperature rises above that pivot point. Parallel tests performed in solution using carbon steel-stainless steel galvanic couples also revealed that 30 degrees C is a critical temperature. In NaOH solution the carbon steel behaves cathodically with respect to stainless steel but only for T<30 degrees C. In Ca(OH)(2) solution containing chlorides the carbon steel consistently behaves anodically while the degree of thermogalvanic current exhibits a pronounced temperature dependence. (C) 2015 Elsevier Ltd. All rights reserved.,exact_unique_in_quote,114,135,"[[114, 135]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g035,draft:v2:TG:649c8b1cc593da36c6af,温度梯度（30°C为临界温度，DeltaT定义未证实）,condition,inputs/raw/paper_coverage.csv::domain=TG;paper_id=P0118
TG:P0136:n3,P0136,TG,n3,temperature gradient,physical_consequence,,TG:P0136:claim_block,The device generates a temperature gradient through efficient photothermal conversion by placing thermoelectric hydrogels on top of a photothermal hydrogel.,exact_unique_in_quote,295,315,"[[295, 315]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g035,draft:v2:TG:545455d468a9761c9d69,空间温度梯度,quantity,inputs/raw/paper_coverage.csv::domain=TG;paper_id=P0136
TG:P0202:n3,P0202,TG,n3,Delta T,physical_consequence,,TG:P0202:claim_block,"Harvesting heat or solar energy to directly generate affordable and sustainable electricity holds great promise toward both fundamental science and practical applications in self-powered wearable electronics. However, solar thermoelectric (STE) devices remain challenging in establishing a stable and significant temperature gradient (Delta T) across thermoelectric materials for cost-effective electricity generation. Herein, a wearable STE generator with all-weather and high-performance electricity generation was elaborately designed and synthesized sandwiched by a thermogalvanic cell and a large-area nanofiber membrane of Cs0.32WO3 (CWO) nanoparticles with strong near-infrared (NIR) absorption. These prepared CWO membranes, which were prepared via an electrostatic spinning technique, present a high photothermal conversion efficiency of 42.7 % with no degradation after running for 10 cycles. Notably, a significant Delta T of 31.5 K across the thermoelectric modular was achieved for STE generation via the thermal concentration of these photothermal membranes under natural sunlight. Owing to the high thermopower of 2.87 mV K-1 for each p-n pair, STE generation demonstrates a maximum output voltage of 200 mV under natural solar irradiance during the time period of noon. This work explores a new strategy to achieve efficient heat management of STE devices for high electricity generation under all-weather conditions, which demonstrates great potential for self-powered wearable electronics.",multiple_exact_matches_in_quote,,,"[[335, 342], [926, 933]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g035,draft:v2:TG:0afe676449258d3fe4bf,两端温度差,quantity,inputs/raw/paper_coverage.csv::domain=TG;paper_id=P0202
TG:P0233:n3,P0233,TG,n3,temperature gradient,physical_consequence,,TG:P0233:claim_block,"Experiments were conducted to determine the effect of sustained temperature gradients of approximate to20 degreesC on copper pipe corrosion under stagnant conditions in simulated potable water. An apparatus was constructed to (1) apply realistic temperature gradients to the pipes, (2) monitor copper release to the water, and (3) measure thermogalvanic currents between the warm and cold sections of pipe. The orientation of the pipe in relation to the temperature gradients determined whether convection currents developed that promoted mixing during stagnation, and this influenced the magnitude of the temperature gradient in the pipe. The temperature gradient led to significant sustained thermogalvanic currents. Mixing of the water within the pipe also influenced copper leaching and scale build-up. (C) 2004 Elsevier Ltd. All rights reserved.",multiple_exact_matches_in_quote,,,"[[64, 84], [246, 266], [454, 474], [606, 626], [644, 664]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g035,draft:v2:TG:0afe676449258d3fe4bf,两端温度差,quantity,inputs/raw/paper_coverage.csv::domain=TG;paper_id=P0233
TG:P0295:n1,P0295,TG,n1,temperature gradient,material_strategy,,TG:P0295:claim_block,A new approach to introduce concentration gradients is presented using a temperature gradient that creates a small salt concentration gradient due to thermally driven mass diffusion (the Soret effect).,exact_unique_in_quote,589,609,"[[589, 609]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g035,draft:v2:TG:545455d468a9761c9d69,空间温度梯度,condition,inputs/raw/paper_coverage.csv::domain=TG;paper_id=P0295
iTE:P0357:n2,P0357,iTE,n2,thermoelectric type of HIG transitioned from negative (n-type) to positive (p-type),performance,,iTE:P0357:claim_block,It was found that the thermoelectric type of HIG transitioned from negative (n-type) to positive (p-type) as the sodium chloride content increased from 0.67 wt% to 1.00 wt%.,exact_unique_in_quote,347,430,"[[347, 430]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g038,draft:v2:iTE:81efcaa9dddab98bd36d,离子热电n到p转换,performance_function,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0357
iTE:P0529:n2,P0529,iTE,n2,transition of the ionic liquid from n-type to p-type,performance,,iTE:P0529:claim_block,"This enhancement stems from the chelation of redox ions within the ionic liquid, which induces a transition of the ionic liquid from n-type to p-type.",exact_unique_in_quote,873,925,"[[873, 925]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g038,draft:v2:iTE:81efcaa9dddab98bd36d,离子热电n到p转换,performance_function,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0529
iTE:P0949:n2,P0949,iTE,n2,n-p inversion,performance,,iTE:P0949:claim_block,Density functional theory calculations of the electronic properties of TiNiSn compound with point defects in the form of vacancies have shown that the formation of titanium vacancies may lead to n-p inversion of the type of conductivity in these materials.,exact_unique_in_quote,195,208,"[[195, 208]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g038,draft:v2:iTE:482f201590358c1c4307,电子n到p转换,mechanism_process,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0949
iTE:P0999:n2,P0999,iTE,n2,inversion of the sign of predominant charge carriers,performance,,iTE:P0999:claim_block,"The paper presents the studies of ionic and electronic Zeebeck coefficients and electronic conductivity in nonstoichiometric Ag0.25-delta Cu1.75Se, Ag1.2-delta Cu0.8Se solid solutions existing on the basis of the cubic phase of copper selenide. It is shown that Ag1.2-delta Cu0.8Se is a bilateral variable composition phase manifesting inversion of the sign of predominant charge carriers under variation of the chemical composition by silver within the homogeneity region. Mobilities of electrons and electron holes are estimated on the basis of the concentration dependences.",exact_unique_in_quote,336,388,"[[336, 388]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g038,draft:v2:iTE:dce05f48c267886f1899,载流子符号反转未限定方向,mechanism_process,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P0999
iTE:P1020:n2,P1020,iTE,n2,n- to p-type,performance,,iTE:P1020:claim_block,"Both the DC conductivity and the thermoelectric power of Cu1+xGexFe2-2xO4 and Cu1+xTixFe2-2xO4 ferrites, for 0less than or equal toxless than or equal to0.4, were measured in a wide range of temperature from RT up to 773K. The measurements showed that the substitution of both tetravalent ions (Ge4+ and Ti4+) tend to convert Cu-ferrite from n- to p-type semiconductor. The results were analyzed on the basis of the small polaron model. The cation distribution for each system was proposed. The activation energy DeltaE, Fermi energy E-F, the density of charge carriers n or p and the carriers mobility p were determined for both systems. In addition, an energy band schemes of Cu-Ge and Cu-Ti ferrites were schematically represented. (C) 2002 Elsevier Science B.V. All rights reserved.",exact_unique_in_quote,342,354,"[[342, 354]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g038,draft:v2:iTE:482f201590358c1c4307,电子n到p转换,state_structure,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1020
iTE:P1647:n2,P1647,iTE,n2,type of conductivity is changed from n to p,physical_consequence,,iTE:P1647:claim_block,The type of conductivity is changed from n to p after etching in an aqueous ammonia solution.,exact_unique_in_quote,1137,1180,"[[1137, 1180]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g038,draft:v2:iTE:482f201590358c1c4307,电子n到p转换,state_structure,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1647
iTE:P1781:n2,P1781,iTE,n2,n-type (m = -1/4) to p-type (m = +1/4) transition,physical_consequence,,iTE:P1781:claim_block,"Electrical conductivity and oxygen nonstoichiometry (delta) have been measured, respectively, by a dc 4-probe technique and coulometric titrometry on the system of polycrystalline Ti(0.99)Ga(0.01)O(1.995)-delta against oxygen activity in the range of -20 < log aO(2) <= 0 at different temperatures in the range of 1073 <= T/K <= 1373. It is found that isothermal conductivity varies as sigma proportional to a(O2)(m) with m approximate to -1/4, -1/5, -1/4, +1/4, in order of increasing aO(2), finally exhibiting an n-type (m = -1/4) to p-type (m = +1/4) transition crossing the stoichiometric composition (delta = 0), in perfect agreement with the oxygen nonstoichiometry variation. The electrical conductivity and oxygen nonstoichiometry isotherms are combined to evaluate the ionic partial conductivity and transference number, the intrinsic electronic excitation equilibrium constant, and eventually both mobilities of electrons and holes without employing any assumption at all. The partial molar enthalpy and entropy of the component oxygen are also evaluated as functions of nonstoichiometry.",exact_unique_in_quote,515,564,"[[515, 564]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g038,draft:v2:iTE:482f201590358c1c4307,电子n到p转换,mechanism_process,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1781
iTE:P1142:n2,P1142,iTE,n2,lattice parameters,physical_consequence,,iTE:P1142:claim_block,"Calcium Zirconate Oxide (CaZrO3) was studied in this work for its electronic, optical, structural, thermoelectric and thermodynamic properties in the consistent external pressure from 0 to 100 GPa. The correlation functionals utilized have been Generalized Gradient Approximations (GGA) and Heyd-Scuseria-Ernzerhof (HSE03). The structure maintains its cubical structure for a maximum of 100 GPa, while the lattice parameters gradually decrease when exposed to external pressure. Band structure are seen an indirect band at 0-40 GPa whereas direct band at 60-100 GPa (4.737-4.629 eV). To further comprehend the band gap, decrease with the estimated partial densities of states (PDOS) for bulk CaZrO3 for Ca, Zr and O are also estimated. Optical properties such as absorption I ( w ), complex optical conductivity sigma (w), complex dielectric function E ( w ), loss function L ( w ), reflectivity R ( w ) and complex refractive index n ( w ) varies significantly with external pressure ranges from 0 to 100 GPa. Mechanical stability is only observed at pressures up to 0-100 GPa becomes stable according to elastic constants. According to Pugh's ratio, the compound is ductile at 0-100 GPa. Whereas Poisson ratio shows metallic bonding up to 100 GPa, our predicted findings show anisotropic nature. According to the thermoelectric properties, these phases could potentially beneficial for thermoelectric devices. Thermodynamic parameters with respect to both temperature and pressure, including heat capacity, thermal expansion, and Debye temperature, from 0 to 1000 K and 0-100 GPa. CZO has phonon density of states and dispersion are calculated along high symmetry directions. This structure is dynamically stable and all frequencies are in the positive phonon spectrum.",exact_unique_in_quote,406,424,"[[406, 424]]",not_reviewed,txt_reconstruction_v1_19f1c2edac18,normcheck:g042,draft:v2:iTE:91bfbf036e7b8ab66483,晶格参数,quantity,inputs/raw/paper_coverage.csv::domain=iTE;paper_id=P1142
