projection_group_id,domain,subject_concept_id,object_concept_id,raw_predicate,assertion_type,direction,joint_factor_group,condition_annotation_status,evidence_count,relation_ids,paper_ids,aggregation_status
relation_projection:edb37149462da81f48ce,TG,draft:v2:TG:082d96349d28bb7db69b,draft:v2:TG:9a0254282a5628a981be,facilitates,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0034:r001""]","[""P0034""]",navigation_only_no_evidence_deduplication
relation_projection:6afbf71ac153fa8f4d01,TG,draft:v2:TG:082e1ad2ddb13e4f3123,draft:v2:TG:0c8f931a220a6f42721a,decreases,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0131:r002""]","[""P0131""]",navigation_only_no_evidence_deduplication
relation_projection:a61d95c8921e9fcc8a9a,TG,draft:v2:TG:082e1ad2ddb13e4f3123,draft:v2:TG:203d8543a7685e24d52f,increases,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0131:r001""]","[""P0131""]",navigation_only_no_evidence_deduplication
relation_projection:3970bc1ea71830312c59,TG,draft:v2:TG:08eef177562df42a3438,draft:v2:TG:58c5c810f43779bb0492,eliminates,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0158:r001""]","[""P0158""]",navigation_only_no_evidence_deduplication
relation_projection:4cb6ce65ea5ec25a60de,TG,draft:v2:TG:08eef177562df42a3438,draft:v2:TG:b55bc2abf573105e1991,improves to millimeter-level,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0158:r002""]","[""P0158""]",navigation_only_no_evidence_deduplication
relation_projection:b45e3f528f101619ae04,TG,draft:v2:TG:0a308457e1d63f222863,draft:v2:TG:21ef68e9efb2ce3f2f9b,dominates at lower laser power,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0148:r001""]","[""P0148""]",navigation_only_no_evidence_deduplication
relation_projection:4d15f9e9c5b77f594dfc,TG,draft:v2:TG:0a92d2f89ee2aa7d3b41,draft:v2:TG:7529c9ec98f7878481fc,joint photothermoelectric device supplies,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0156:r002""]","[""P0156""]",navigation_only_no_evidence_deduplication
relation_projection:be7a499fe0b48e0c521e,TG,draft:v2:TG:0acc3e2758fa5c00512a,draft:v2:TG:efc9e708cc96d09a9a45,suppresses,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0181:r001""]","[""P0181""]",navigation_only_no_evidence_deduplication
relation_projection:1e12d49982b6d6574b0e,TG,draft:v2:TG:0afe676449258d3fe4bf,draft:v2:TG:845eb31eabaebfb7b50d,drives,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0202:r003""]","[""P0202""]",navigation_only_no_evidence_deduplication
relation_projection:5df03361052f8e6b7b5c,TG,draft:v2:TG:0afe676449258d3fe4bf,draft:v2:TG:f1ed72e6d3f5bae19e1d,induces sustained,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0233:r003""]","[""P0233""]",navigation_only_no_evidence_deduplication
relation_projection:21d01a06e750c50ad40d,TG,draft:v2:TG:0b16bb6f80e603898cd7,draft:v2:TG:c90ab2d13b329a75a042,enhances,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0005:r001""]","[""P0005""]",navigation_only_no_evidence_deduplication
relation_projection:10896066e58e9c8ee3fb,TG,draft:v2:TG:0b380baa5247e6b0bdc4,draft:v2:TG:a17e920786c97a94668e,jointly supports,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0032:r001""]","[""P0032""]",navigation_only_no_evidence_deduplication
relation_projection:95273faa6fd77de67f0e,TG,draft:v2:TG:0b4556f32907d18e29ad,draft:v2:TG:457ac81b650f59bb9f8a,establishes,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0255:r001""]","[""P0255""]",navigation_only_no_evidence_deduplication
relation_projection:f1c89114df1744a99845,TG,draft:v2:TG:0b4556f32907d18e29ad,draft:v2:TG:b575c2ec783f3b03d3d7,joint design boosts,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0006:r001""]","[""P0006""]",navigation_only_no_evidence_deduplication
relation_projection:01930b5aee41908615b1,TG,draft:v2:TG:0b6ab7598c4e438cc0e3,draft:v2:TG:98c6f32db9029d1d27e5,exhibits under gradient,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0117:r001""]","[""P0117""]",navigation_only_no_evidence_deduplication
relation_projection:b89ddb8255843fa3f740,TG,draft:v2:TG:0b6ab7598c4e438cc0e3,draft:v2:TG:c90ab2d13b329a75a042,exhibits reported range,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0117:r002""]","[""P0117""]",navigation_only_no_evidence_deduplication
relation_projection:136212630dacafb21464,TG,draft:v2:TG:0bc9d2434b3d26009a95,draft:v2:TG:1aa6cb3e0d463e57b7e9,protects redox couple against,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0191:r002""]","[""P0191""]",navigation_only_no_evidence_deduplication
relation_projection:d6c7e59fb5af88d1bce4,TG,draft:v2:TG:0ca2fafd15703b8d7fe6,draft:v2:TG:519def499cb6b1615385,boosts,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0264:r003""]","[""P0264""]",navigation_only_no_evidence_deduplication
relation_projection:812fae79550f830547eb,TG,draft:v2:TG:0ca2fafd15703b8d7fe6,draft:v2:TG:537eabac196155b5f3e6,reported to enhance,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0162:r003""]","[""P0162""]",navigation_only_no_evidence_deduplication
relation_projection:3db5e17fa7f6b2e9eb3c,TG,draft:v2:TG:0ca2fafd15703b8d7fe6,draft:v2:TG:6ba190a41bcbbf6a1548,reported jointly to enhance,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0162:r004""]","[""P0162""]",navigation_only_no_evidence_deduplication
relation_projection:5e2aea5b6088b23c8f1b,TG,draft:v2:TG:0d4c80316a78317ec7ea,draft:v2:TG:537eabac196155b5f3e6,proposed to promote,hypothesis,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0251:r005""]","[""P0251""]",navigation_only_no_evidence_deduplication
relation_projection:448b5c247d34fa13a81d,TG,draft:v2:TG:0da66cc07cd4ecd78511,draft:v2:TG:3108058c5adb1b32bd48,modifies,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0139:r001""]","[""P0139""]",navigation_only_no_evidence_deduplication
relation_projection:13737e48ecc21010792d,TG,draft:v2:TG:0e62b63243b8e37b4242,draft:v2:TG:f2aa19426941e9be7cfb,induces,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0031:r002""]","[""P0031""]",navigation_only_no_evidence_deduplication
relation_projection:8e8f80f661fc7fe58199,TG,draft:v2:TG:0e6f725933105add7dcd,draft:v2:TG:02a4ca2571e9ae30a770,parameterizes analytical model,association,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0224:r002""]","[""P0224""]",navigation_only_no_evidence_deduplication
relation_projection:bbdb7ff45f8e2cead030,TG,draft:v2:TG:0eadeda31b32a9da1e47,draft:v2:TG:155b439a5a79a1ec4a14,fabricates,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0096:r001""]","[""P0096""]",navigation_only_no_evidence_deduplication
relation_projection:65a9cf99306ea7ba84bf,TG,draft:v2:TG:0f4af992c4f264e86e91,draft:v2:TG:9e8350bf591781b3adf2,enables,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0249:r001""]","[""P0249""]",navigation_only_no_evidence_deduplication
relation_projection:43cbeea6701e9f71facc,TG,draft:v2:TG:0f5137fdf78cc9de8602,draft:v2:TG:7229139751a23d6320da,synergistically boosts,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0284:r001""]","[""P0284""]",navigation_only_no_evidence_deduplication
relation_projection:81a4d500bda1b8d4a380,TG,draft:v2:TG:109550d9cca3df56b4eb,draft:v2:TG:2fc9046c159a8c3918c9,enables,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0264:r001""]","[""P0264""]",navigation_only_no_evidence_deduplication
relation_projection:4d11111c27cca48af009,TG,draft:v2:TG:10c339f27a36fa447459,draft:v2:TG:062c4a8203a30da0c200,reported jointly to amplify,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0078:r004""]","[""P0078""]",navigation_only_no_evidence_deduplication
relation_projection:52582c0c9a15d14cbc74,TG,draft:v2:TG:1367fe1fca77d5793eee,draft:v2:TG:cf31f14318fcef766412,decreases relative to salt-in-water,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0098:r001""]","[""P0098""]",navigation_only_no_evidence_deduplication
relation_projection:c90dbd3cb92edc7a1cdd,TG,draft:v2:TG:136bf6790a6a317afffc,draft:v2:TG:2c3247d8b9b35a190b37,hinders,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0059:r002""]","[""P0059""]",navigation_only_no_evidence_deduplication
relation_projection:ce09a9fe292be0f58ff2,TG,draft:v2:TG:136bf6790a6a317afffc,draft:v2:TG:3750c24e5b1f565eba14,prevents,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0059:r001""]","[""P0059""]",navigation_only_no_evidence_deduplication
relation_projection:5b51a58db202ee561840,TG,draft:v2:TG:155b439a5a79a1ec4a14,draft:v2:TG:a564a51afcf550162415,enables,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0096:r002""]","[""P0096""]",navigation_only_no_evidence_deduplication
relation_projection:a0bcf3920817e56a8c9c,TG,draft:v2:TG:16394f0fbcbfe19fb248,draft:v2:TG:0afe676449258d3fe4bf,influences magnitude,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0233:r002""]","[""P0233""]",navigation_only_no_evidence_deduplication
relation_projection:e4baa33e9403a48409cb,TG,draft:v2:TG:16394f0fbcbfe19fb248,draft:v2:TG:744edb6f2e718b22c49f,accelerates,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0304:r001""]","[""P0304""]",navigation_only_no_evidence_deduplication
relation_projection:ac30cb4e627f34343717,TG,draft:v2:TG:180944a8a99397a7e15e,draft:v2:TG:e79fbf5323002fcabcf8,causes,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0195:r001""]","[""P0195""]",navigation_only_no_evidence_deduplication
relation_projection:3d462df865160bd5dc5c,TG,draft:v2:TG:19094ea98e900fd9c0e8,draft:v2:TG:e443d2ae7f9abcfa168f,enables charging-free operation,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0287:r001""]","[""P0287""]",navigation_only_no_evidence_deduplication
relation_projection:86f357b0b14bc6195639,TG,draft:v2:TG:191fa5c1e855a9849189,draft:v2:TG:5d4be4e3a3ebf4fc9d80,increases,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0266:r001""]","[""P0266""]",navigation_only_no_evidence_deduplication
relation_projection:2ffdee6a0b317357b7a6,TG,draft:v2:TG:19442a6699ca22b9972f,draft:v2:TG:519def499cb6b1615385,associated with,association,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0227:r001""]","[""P0227""]",navigation_only_no_evidence_deduplication
relation_projection:dd8b78315989a110b7c2,TG,draft:v2:TG:194c95c3abcd2a60c7af,draft:v2:TG:c90ab2d13b329a75a042,correlates with enhancement,association,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0218:r003""]","[""P0218""]",navigation_only_no_evidence_deduplication
relation_projection:80a8d5a2853933c9291f,TG,draft:v2:TG:1a4c61964ce7272d9d28,draft:v2:TG:b85a80b8508a7485f2bd,provide in bromine/bromide thermocells,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0328:r001""]","[""P0328""]",navigation_only_no_evidence_deduplication
relation_projection:2ec17845f4e35a852a26,TG,draft:v2:TG:1a80b964ec9b50cf8c8d,draft:v2:TG:1a99d401b52c8ac6a734,negligible effect,negated,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0127:r002""]","[""P0127""]",navigation_only_no_evidence_deduplication
relation_projection:cfc1c2eb2905d11fa865,TG,draft:v2:TG:1a84d8a092e29f5e27fb,draft:v2:TG:ea3a0efe212becb1571f,proposed to amplify through selective complexation,hypothesis,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0030:r001""]","[""P0030""]",navigation_only_no_evidence_deduplication
relation_projection:fa100246dff29d321317,TG,draft:v2:TG:1a99d401b52c8ac6a734,draft:v2:TG:021830706cf633bde7e7,jointly boosts,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0094:r004""]","[""P0094""]",navigation_only_no_evidence_deduplication
relation_projection:cce5ff33218630ffb674,TG,draft:v2:TG:1bc012d3b63cfd18d30f,draft:v2:TG:519def499cb6b1615385,enhances sixfold,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0227:r002""]","[""P0227""]",navigation_only_no_evidence_deduplication
relation_projection:42cead4a2e0947141967,TG,draft:v2:TG:1bdaf8043fc8cc0eb071,draft:v2:TG:cf31f14318fcef766412,increases relative to bare gold,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0041:r001""]","[""P0041""]",navigation_only_no_evidence_deduplication
relation_projection:8c74b1f1559460980baa,TG,draft:v2:TG:1bdaf8043fc8cc0eb071,draft:v2:TG:ea7400c36e730e55b7da,protects against,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0041:r002""]","[""P0041""]",navigation_only_no_evidence_deduplication
relation_projection:397c087c5445a5cadb2c,TG,draft:v2:TG:1cad0be52d94cb1d5758,draft:v2:TG:b81c3dc972d8b6ca464d,enables,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0115:r001""]","[""P0115""]",navigation_only_no_evidence_deduplication
relation_projection:c64242d73b8f5b8b26a3,TG,draft:v2:TG:1ccb421e1bb6ed03b366,draft:v2:TG:8c806c6039efd20f4d9e,modulates,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0246:r001""]","[""P0246""]",navigation_only_no_evidence_deduplication
relation_projection:1d73886fc46d1b5daedb,TG,draft:v2:TG:1ccb421e1bb6ed03b366,draft:v2:TG:a16e8494abe776ba4354,expands,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0246:r002""]","[""P0246""]",navigation_only_no_evidence_deduplication
relation_projection:7b1156853d1d289fd7a3,TG,draft:v2:TG:1ce4b2c805100dba61ea,draft:v2:TG:8fddcf5ecdf925ccb3f4,provides ions for,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0043:r001""]","[""P0043""]",navigation_only_no_evidence_deduplication
relation_projection:1919c80627c54d489ac6,TG,draft:v2:TG:1d61af2cc2e74b9a6283,draft:v2:TG:29adf0f05c32a8d20d7b,supports,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0013:r002""]","[""P0013""]",navigation_only_no_evidence_deduplication
relation_projection:05a37d28b4d46cf24791,TG,draft:v2:TG:1d61af2cc2e74b9a6283,draft:v2:TG:e7ad02185837be6c024c,supports retention,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0013:r001""]","[""P0013""]",navigation_only_no_evidence_deduplication
relation_projection:877029b6d33d0ba705d2,TG,draft:v2:TG:1dda2c310181961e3a1b,draft:v2:TG:8fddcf5ecdf925ccb3f4,enhances,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0247:r001""]","[""P0247""]",navigation_only_no_evidence_deduplication
relation_projection:5172a5c802ec63d37be8,TG,draft:v2:TG:1dda2c310181961e3a1b,draft:v2:TG:bdb6a32ae0e10284841b,elevates,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0247:r002""]","[""P0247""]",navigation_only_no_evidence_deduplication
relation_projection:78cbeaf8fdd070aaf979,TG,draft:v2:TG:1f25e15bf0d44e21ea96,draft:v2:TG:7e50adc7cf0393f35613,sensor demonstrates relative to thermocouples,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0241:r001""]","[""P0241""]",navigation_only_no_evidence_deduplication
relation_projection:d7d8d8901d342a40f8dd,TG,draft:v2:TG:1fa1ef9783f66e96eaf7,draft:v2:TG:ed0573c8f437b6e1c896,enables,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0005:r003""]","[""P0005""]",navigation_only_no_evidence_deduplication
relation_projection:93ba0f64f274cc06f1b4,TG,draft:v2:TG:20afd48e5bc5c44c7eeb,draft:v2:TG:e6457db22aa9b1bb9c6a,suppression reduces effective heat transfer,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0278:r004""]","[""P0278""]",navigation_only_no_evidence_deduplication
relation_projection:e233fe9ee2a1a42bedc9,TG,draft:v2:TG:20b6d4dfae05addad419,draft:v2:TG:6e71b7618d2981789c23,reports 8-17 mV and 100-425 mu A respectively at 20-70 degrees C,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0325:r001""]","[""P0325""]",navigation_only_no_evidence_deduplication
relation_projection:4520cc59082607685270,TG,draft:v2:TG:2110e9cf2adecf3deecf,draft:v2:TG:49648144df518e7d9691,induces at final thermal-runaway stage,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0256:r001""]","[""P0256""]",navigation_only_no_evidence_deduplication
relation_projection:ac3704c661c554c3c14b,TG,draft:v2:TG:2119be068ff4e08bc6c8,draft:v2:TG:018479fbb28d8fe1af96,causes,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0093:r003""]","[""P0093""]",navigation_only_no_evidence_deduplication
relation_projection:9cf565825f158b014ea7,TG,draft:v2:TG:2129656c19e3323a8f87,draft:v2:TG:91d9be871ed4d1851f05,proposed operating principle,hypothesis,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0132:r001""]","[""P0132""]",navigation_only_no_evidence_deduplication
relation_projection:1d68701430988ed4d585,TG,draft:v2:TG:2148ca6b6e8e56ddcd01,draft:v2:TG:c9d82d3b2e33fce013d7,converts to,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0069:r002""]","[""P0069""]",navigation_only_no_evidence_deduplication
relation_projection:c14ed07c8b0dc3bceb58,TG,draft:v2:TG:21a51a22b42dea8c2f41,draft:v2:TG:2257649897fa1109cdb4,no improvement from area increase in tested thickness range,negated,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0187:r001""]","[""P0187""]",navigation_only_no_evidence_deduplication
relation_projection:43c37955ee5c417a865d,TG,draft:v2:TG:2202c6f410813b498a2c,draft:v2:TG:3b95ede01a9305b00209,enables with cyclic temperature modulation,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0171:r001""]","[""P0171""]",navigation_only_no_evidence_deduplication
relation_projection:e94a40ba3d7447236ffa,TG,draft:v2:TG:2219d0cdfcab00d45e04,draft:v2:TG:aaecb64119f79a1a9193,model predicts improvement jointly with conditions and geometry,hypothesis,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0077:r001""]","[""P0077""]",navigation_only_no_evidence_deduplication
relation_projection:73f7a94ccf8c420fa3f7,TG,draft:v2:TG:2315fc0ef3ac78b3d404,draft:v2:TG:e00827339ae482a24601,exhibits linear temperature dependence in both salt-bridge conditions,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0333:r001""]","[""P0333""]",navigation_only_no_evidence_deduplication
relation_projection:217b99d64d2b846e0f2c,TG,draft:v2:TG:2342d6c7b921c173c3d7,draft:v2:TG:c90ab2d13b329a75a042,improves,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0278:r003""]","[""P0278""]",navigation_only_no_evidence_deduplication
relation_projection:c16aee8908f20bdbd149,TG,draft:v2:TG:237c2250ab3fa53c86a2,draft:v2:TG:57eab61d0d0e76db9133,enhances,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0014:r003""]","[""P0014""]",navigation_only_no_evidence_deduplication
relation_projection:af80055bd59995f6708f,TG,draft:v2:TG:237c2250ab3fa53c86a2,draft:v2:TG:8fddcf5ecdf925ccb3f4,enhances,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0014:r002""]","[""P0014""]",navigation_only_no_evidence_deduplication
relation_projection:de618c5591ec6079de40,TG,draft:v2:TG:23be1e73d17e3622a731,draft:v2:TG:91ee7b7c7cd1cf0d0694,causes according to profile interpretation,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0091:r001""]","[""P0091""]",navigation_only_no_evidence_deduplication
relation_projection:a7c727a5fc7dd14cfa18,TG,draft:v2:TG:2408f7c624d0847d78c3,draft:v2:TG:232dd684fb828718d71a,causes in electrolyte-based alumina nanofluid,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0314:r001""]","[""P0314""]",navigation_only_no_evidence_deduplication
relation_projection:1ddff5c98bae5a2db94d,TG,draft:v2:TG:2453cd0d99a5666d0c5b,draft:v2:TG:a596e8e1fbaf8d550d79,improves,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0248:r001""]","[""P0248""]",navigation_only_no_evidence_deduplication
relation_projection:543d97324fa4ed954f96,TG,draft:v2:TG:24548847f93f957e7b14,draft:v2:TG:2a3bd776e81947d89a42,creates,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0081:r002""]","[""P0081""]",navigation_only_no_evidence_deduplication
relation_projection:035b71b31bfb9d36f55b,TG,draft:v2:TG:24d35f0a0953521e6d54,draft:v2:TG:2dea7c4cab5c6b2a2701,changes intensity and form in model,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0189:r001""]","[""P0189""]",navigation_only_no_evidence_deduplication
relation_projection:5813d3f11e0d2e69dbb3,TG,draft:v2:TG:24dbc0144f7bd5482e33,draft:v2:TG:cf31f14318fcef766412,decreases for water-water,author_claim,subject_to_object_as_exported,,not_reconstructed,1,"[""TG:P0055:r003""]","[""P0055""]",navigation_only_no_evidence_deduplication
