kind,left_claim,left_concept_id,left_support,reason,relation_match,review_id,right_claim,right_concept_id,right_support,scope
different,iTE:P0496:r007,iTE:Ca9dccb7df2c6bc,supported,聚合物双阳离子水凝胶与可氧化还原钴配合物不是相同材料概念。,1,M006,TG:P0065:r003,TG:Cc134307d20b8d5,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0496:r007,iTE:C30c17b4175daf6,supported,同为电压温度响应指标，但数值、条件及离子热扩散与反应熵来源不同。,1,M006,TG:P0065:r003,TG:C5bb67b9f76ecc9,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P1539:r007,iTE:C3a8eada727de8a,supported,均为成分调节操作，但晶体掺杂与溶液加盐的物理实现不同。,1,M007,TG:P0094:complete_v1_cr004,TG:C7c4c4955a05ffa,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1539:r007,iTE:Cc91b24e796044f,supported,电子热电势与热电化学温度系数具有相关测量形式，但不是相同物理量来源。,1,M007,TG:P0094:complete_v1_cr004,TG:Cd3c44fa9a984c2,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0836:r007,iTE:C03f7e465be6055,supported,均为使用相同两类氧化还原对的热循环电化学装置，但凝胶自再生装置与液流电池并非同一对象。,0,M008,TG:P0205:complete_v1_cr003,TG:C3e5b8f07ece5cb,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0836:r007,iTE:C0c1b5375688076,supported,K+是共同反离子，铁氰化物盐对是负极氧化还原电解质；组成相关不构成概念等价。,0,M008,TG:P0205:complete_v1_cr003,TG:C82c83d073f1ab8,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P1878:r005,iTE:C4ec5c62368821a,supported,均通过加入组分调控电解液，但氟表面活性剂与有机共溶剂的组成和作用条件不同。,0,M009,TG:P0063:r003,TG:Cda47d82964d34a,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1878:r005,iTE:C1f92c1995a9c59,supported,界面稳定性与溶剂化壳尺寸变化是不同结构层级和性质。,0,M009,TG:P0063:r003,TG:C900fc863fbec21,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0836:complete_v1_cr001,iTE:Ce61772edc0e404,supported,均承担热能转换功能，但左侧是宽泛材料类别，右侧是采用热电化学效应的器件。,1,M010,TG:P0166:complete_v1_cr001,TG:Ce38387f9eee631,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P0836:complete_v1_cr001,iTE:Cabc95516b0bfb3,supported,在这两条背景句中均指低品位热向电能的转换功能，不代表转换机制相同。,1,M010,TG:P0166:complete_v1_cr001,TG:Cc774ef15366e80,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0862:complete_v1_cr002,iTE:Cf962d1f7024037,supported,均为热能转换系统，但离子热扩散系统与氧化还原热电池的物理实现不同。,1,M011,TG:P0166:complete_v1_cr001,TG:Ce38387f9eee631,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P0862:complete_v1_cr002,iTE:C3c2f02303fd8e3,supported,均表达低品位热转化为电能这一功能终点。,1,M011,TG:P0166:complete_v1_cr001,TG:Cc774ef15366e80,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P1200:r008,iTE:C75bc7dc50e07a8,supported,两侧均以温度作为自变量，而非将温差与绝对温度混同。,1,M012,TG:P0129:complete_v1_cr001,TG:C4c3edb3c1ad619,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1200:r008,iTE:C8a3529b008783f,supported,电子Seebeck系数与平衡电极电势均涉及热电响应，但分别是输运系数和电势，物理量及机制不同。,1,M012,TG:P0129:complete_v1_cr001,TG:C883b67b9ee29a1,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1232:r014,iTE:C1d21e77a315490,supported,同属相变概念，但分别指特定晶体结构转变与电解质物态行为。,1,M013,TG:P0273:r007,TG:C1fe7a857867575,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1232:r014,iTE:C395fdb04500d73,supported,特定zT增强与泛指热电化学性能并非同一指标或变化方向。,1,M013,TG:P0273:r007,TG:C56eb79b7c8cc9c,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0444:r007,iTE:C58105cd9451a4a,supported,均为柔性热电器件中的离子导电材料，但纸复合物与水凝胶不是同一材料。,0,M014,TG:P0004:r003,TG:C2f76f990bdfd69,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0444:r007,iTE:Ce3ab4fc4abd55a,supported,热导率与离子电导率是不同物理量。,0,M014,TG:P0004:r003,TG:Ca0dec0b46652ca,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P1335:r009,iTE:Cefaa4ea2056aab,supported,均承担MXene复合电极功能，但PPy与SWCNT/PANI组成及器件用途不同。,1,M015,TG:P0154:r002,TG:Cf1cb921776807e,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1335:r009,iTE:Ce5d75578c66996,supported,电极电化学性能与相对铂增强的热电化学性能范围及比较基准不同。,1,M015,TG:P0154:r002,TG:C1fa697d10ad8ee,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1513:r007,iTE:C0f16bb303d5113,supported,溶液中的离子表面活性剂与盐嵌入介孔二氧化硅的复合物具有不同材料角色。,0,M016,TG:P0111:r006,TG:Cbec2f44cfe28b7,supported,selected_claim_context_only_not_global_sameAs
uncertain,iTE:P1513:r007,iTE:C2bad7859b811cc,supported,分别用于光热操控和热刺激去极化，摘要不足以确认两种命名效应的共同物理内涵。,0,M016,TG:P0111:r006,TG:Cd69428503a4990,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1555:r001,iTE:C86dd8bff3d9e76,supported,晶格位点替代与凝胶内金纳米颗粒分布不是同一干预，也未体现相同设计功能。,0,M017,TG:P0107:r002,TG:Ca36b0394938ab5,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1555:r001,iTE:Ce6e2e7ece005d9,supported,晶格电子浓度与界面电子转移电阻属于不同物理量。,0,M017,TG:P0107:r002,TG:C9786d089ea562a,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P1168:r008,iTE:C098846baf305b6,supported,两者都承担载流功能，但固体Cu离子与热电化学氧化还原离子的物理实现不同。,1,M018,TG:P0097:complete_v1_cr001,TG:C44079d0a129eee,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1168:r008,iTE:C563447c4c81dfa,supported,高迁移率载流子是带有限定的角色，右侧一般载流子概念不保证该限定或相同输运机制。,1,M018,TG:P0097:complete_v1_cr001,TG:C131499e45b463e,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P1397:r014,iTE:C17f72912d20348,supported,均为凝胶相关热电响应器件，但Janus织物传感器与细菌纤维素热电化学电池是不同装置。,1,M019,TG:P0200:r003,TG:C35588476e3cf14,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1397:r014,iTE:C2275568ef853be,supported,均为Seebeck系数报告，但数值、形成机制及测量条件不同；共享指标不使这两个具体结果等同。,1,M019,TG:P0200:r003,TG:C52629dfc2f3160,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1775:r005,iTE:C5b3b276e6a02e8,supported,填孔质量输运与自然对流均涉及物质运动，但前者是输运过程，后者是液体输运的驱动方式。,0,M020,TG:P0086:r006,TG:Cb07b792924e233,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1775:r005,iTE:C62b4840ae526ed,supported,致密化是固体结构演化结果，电解液质量输运是物种迁移过程。,0,M020,TG:P0086:r006,TG:Cb647a30e0fc170,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0611:r010,iTE:C8692cac2f97d54,supported,热泳迁移率差是输运差异，右侧主语是热电压响应系数。,0,M021,TG:P0223:r003,TG:Cd3c44fa9a984c2,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0611:r010,iTE:Cd015c78d1c524a,supported,离子塞贝克系数与氧化还原对熵差是不同物理量。,0,M021,TG:P0223:r003,TG:Cee9c43b4e28370,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0407:r005,iTE:Cd8f874b0650aa6,supported,均为承载热电功能的水凝胶，但属于不同配方和工作体系。,1,M022,TG:P0016:complete_v1_cr001,TG:C8ad8950cefac33,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0407:r005,iTE:C4ee1e80beb17de,supported,亲水—疏水双网络是更具体的结构描述，右侧一般双网络未证明具有该特征。,1,M022,TG:P0016:complete_v1_cr001,TG:Cfb1c7809ab9c40,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0339:complete_v1_cr002,iTE:C4536d07f1ac24e,supported,均涉及含凝胶的能量器件，但一个是PNA电池，一个是蒸发与热电化学集成器件。,0,M023,TG:P0181:r006,TG:C027e1355d61d7c,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0339:complete_v1_cr002,iTE:Ca16833aa43c4f8,supported,体积相变与吸水—离子交换是不同过程，摘要未证明功能对应。,0,M023,TG:P0181:r006,TG:Cfba18194433579,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0403:complete_v1_cr004,iTE:C6d653026752234,supported,均讨论热电转换效率，但分别属于离子材料与双流动电池系统，核算边界未证明相同。,0,M024,TG:P0302:r005,TG:C829ab558ee42cb,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0403:complete_v1_cr004,iTE:Cb4b3fe3fcc18b2,supported,离子ZT与传统热电ZT具有相关评价角色，但物理载流过程及适用装置不同。,0,M024,TG:P0302:r005,TG:C71dc9c772f988b,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1189:r006,iTE:C44773f2fdc8f88,supported,均涉及聚合物链活动，但链呼吸与解络合、再缠结不是同一过程。,0,M025,TG:P0040:r006,TG:Cdd0960ce26d427,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1189:r006,iTE:Ce6be17e20dd885,supported,电导率提升与温敏黏附是不同物理功能。,0,M025,TG:P0040:r006,TG:C0a8e6d30eeb6b7,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P1251:r001,iTE:C469f296efd1c47,supported,两处均指作为基体原料的明胶这一材料概念，不表示具体样品相同。,2,M026,TG:P0068:complete_v1_cr001,TG:C2779f9fb597bb2,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P1251:r001,iTE:C167718448bd57a,supported,此处聚合物基体与聚合物网络均指明胶构成凝胶主体的结构角色，不意味着微观网络完全一致。,2,M026,TG:P0068:complete_v1_cr001,TG:C7ec0d0aea7bba8,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0407:r001,iTE:Ca4e60436da596f,supported,亲水聚合物PVA与集流体兼太阳吸收体的材料和器件角色不同。,0,M027,TG:P0207:r004,TG:C2ae221f895926e,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0407:r001,iTE:Cf1c3887e4c9ea2,supported,生物相容性和电导率是不同属性，“良好”不建立概念对应。,0,M027,TG:P0207:r004,TG:C1bcce20feba1c2,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P1421:r005,iTE:Cc72b6d7ac1f46e,supported,两处均指机械形变应变这一控制量，但具体形变模式和范围未知。,1,M028,TG:P0073:r003,TG:Cac73309a6222aa,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P1421:r005,iTE:C87202ef7ed01af,supported,两者均作为应变调控的内部过程，但晶体相变与氧化还原动力学具有不同物理实现。,1,M028,TG:P0073:r003,TG:C364ecf051c6def,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0736:complete_v1_cr002,iTE:Cc1b2c010d1e161,supported,均涉及温度分布，但零宏观梯度的波动不等于跨电池温度梯度。,0,M029,TG:P0025:complete_v1_cr002,TG:C488b365b066e7b,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0736:complete_v1_cr002,iTE:C38d54f066d34bc,supported,净端电压与温度相关电化学势有关联，但物理来源及所述量不同。,0,M029,TG:P0025:complete_v1_cr002,TG:C21c284da2ed68a,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P0433:r002,iTE:C8a7bcec164104f,supported,两者均指驱动所述过程的空间温度梯度。,1,M030,TG:P0222:complete_v1_cr002,TG:C68acbca33840d7,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0433:r002,iTE:C7ca9788e209245,supported,离子热电转换是整体功能，质量热扩散是具体输运过程；其在左侧的贡献未明。,1,M030,TG:P0222:complete_v1_cr002,TG:Ce8ba1ae467ff9d,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0882:r006,iTE:Cdf68dae98435f6,supported,两者均为热电功能材料，但离子凝胶电解质与嵌锂固体电极具有不同物理角色。,1,M031,TG:P0262:r008,TG:C4d15618f9886d0,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0882:r006,iTE:C6b50fdd2cf231e,supported,均为热电势系数，但数值、条件及物理贡献不同，并非同一具体性能量。,1,M031,TG:P0262:r008,TG:C64d173a5e9f010,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0550:r002,iTE:Cdf885d03a44541,supported,温度梯度本身与管道相对温度梯度的取向是不同控制变量。,0,M032,TG:P0233:r001,TG:C7966f96769966b,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0550:r002,iTE:Cf3fc505589e81f,supported,两种电荷输运机制与流体对流的发生不是相同过程。,0,M032,TG:P0233:r001,TG:Cce02e259d26441,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0380:r006,iTE:C577825ceb1fc78,supported,均作为热电转换材料，但离子电子导体与热电化学离子凝胶不是同一材料概念。,1,M033,TG:P0005:r001,TG:C06c27fcc985db8,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0380:r006,iTE:C62a2039d430bcf,supported,均报告电压温度响应指标，但数值不同且物理贡献不同，不能视为同一具体量值。,1,M033,TG:P0005:r001,TG:C50497233df259b,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0548:r006,iTE:C447040297fd10c,supported,均为承担热电转换功能的凝胶材料，但配方与转换过程不同或未明。,1,M034,TG:P0005:r001,TG:C06c27fcc985db8,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0548:r006,iTE:C4dab3527647b3f,supported,同属Seebeck系数指标，但1.70与32.4 mV/K是不同量值，机制可比性未建立。,1,M034,TG:P0005:r001,TG:C50497233df259b,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P1766:r020,iTE:C0e9a142fb8527d,supported,不同组成与形态的材料在所选关系中均承担近红外吸收体角色。,2,M035,TG:P0202:r003,TG:C94d809914e80a1,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P1766:r020,iTE:Ca0b02f08c3cdb4,supported,两处均指强近红外光学吸收这一性质；不表示吸收谱、强度或微观机制相同。,2,M035,TG:P0202:r003,TG:Cf63acc1268ada8,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1480:r015,iTE:C2415c40256615e,supported,固体熵与电极电势是不同物理量，所给文本未建立二者联系。,0,M036,TG:P0184:complete_v1_cr002,TG:C047ee8b4d75943,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P1480:r015,iTE:C75bc7dc50e07a8,supported,均指热状态变量温度，但模型条件及温度使用阶段不同。,0,M036,TG:P0184:complete_v1_cr002,TG:C4c3edb3c1ad619,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0854:complete_v1_cr001,iTE:C18f0e1d9c46e57,supported,CuI半导体与硫酸根/亚硫酸根氧化还原电对是不同材料及功能实体。,1,M037,TG:P0035:r001,TG:Ceda1cae2dec8bc,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0854:complete_v1_cr001,iTE:Ca32ac91172132e,supported,仅共享无毒属性；左侧复合描述还包含资源丰富及半导体类别。,1,M037,TG:P0035:r001,TG:C6afa4bfb691b06,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0434:r007,iTE:C2c4195c9f98565,partial,热端物种捕获是浓度调控过程，快速H2/H+反应是电极氧化还原过程。,0,M038,TG:P0109:r004,TG:C2e1f75dffcf5d9,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0434:r007,iTE:Cc99b9b0a90cc51,partial,反应方向逆转与热端生成氢气分别是方向变化和产物生成。,0,M038,TG:P0109:r004,TG:C0db1d84ec11e2e,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1250:r014,iTE:C8287137b02a3e4,supported,特定掺杂固体化合物与包含双相电解液的完整热电池不属于同一实体层级或物理实现。,0,M039,TG:P0278:r005,TG:Cebe43752f62fda,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1250:r014,iTE:C94d21b9e42bc5c,supported,均为热电性能结果，但综合优值zT与热电势系数的定义、比较基线和改善幅度不同。,0,M039,TG:P0278:r005,TG:C5f09aea8f1f546,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1069:r008,iTE:C27da5c88a0b7d4,supported,电流密度变化和高温是不同控制变量。,0,M040,TG:P0131:r004,TG:C0d6ae2b3ebfd73,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1069:r008,iTE:C9709cd6a896ffa,supported,Zn沉积量是物质累积结果，钝化电流密度是腐蚀电化学响应量。,0,M040,TG:P0131:r004,TG:Ce69d464f8478eb,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1407:r004,iTE:Ce964f7ade739e6,supported,体相类液态结构与表面保护膜的结构位置及功能不同。,0,M041,TG:P0326:r011,TG:C4d29f5c2c48dc5,partial,selected_claim_context_only_not_global_sameAs
different,iTE:P1407:r004,iTE:Ccbb70e9a0a6c47,supported,可动Cu离子与Fe3O4氧化物组分不具备对应物理角色。,0,M041,TG:P0326:r011,TG:C1a55706d877b79,partial,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0772:r016,iTE:C62c2531a99efab,supported,两者均为透明柔性凝胶材料，但离子凝胶与PVA/gelation双网络凝胶的配方和结构不同。,2,M042,TG:P0057:complete_v1_cr002,TG:C44b60bf18886a0,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P0772:r016,iTE:Cfb9282697cb5bc,supported,两处均指材料的高光学透明度，不意味着数值相等。,2,M042,TG:P0057:complete_v1_cr002,TG:C1c56d67ea43fbf,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0669:r003,iTE:C292325d712a1b3,supported,声子拖曳与耦合装置中的协同离子输运涉及不同载流过程。,0,M043,TG:P0198:r003,TG:C8e966c5d45c98e,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0669:r003,iTE:C7dd199f3ec9bdf,supported,热电势系数增强与输出功率增强是不同物理量。,0,M043,TG:P0198:r003,TG:Ca73caf9983e141,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0407:r001,iTE:Ca4e60436da596f,supported,PVA聚合物与含PVA的多组分水凝胶纤维相关，但不是同一材料对象。,0,M044,TG:P0017:r001,TG:C16acd36d2a84f5,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0407:r001,iTE:Cf1c3887e4c9ea2,supported,生物相容性与直径、长度属于不同属性。,0,M044,TG:P0017:r001,TG:C29cfa91416f061,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1232:r001,iTE:C23a1abbbc5be56,supported,Cu2−xSe平均晶体结构与Co/Cu纳米线不是同一材料或结构对象。,1,M045,TG:P0237:r009,TG:C11757d6da6151e,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1232:r001,iTE:C4c76bdcdfc137c,supported,均涉及层状排列，但特定Se–Cu晶体层不等同于Co/Cu多层构造。,1,M045,TG:P0237:r009,TG:C429306b887e52b,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0376:complete_v1_cr001,iTE:Ca92fa306e60c71,supported,采用氧化还原离子的凝胶热电池是热原电池的一类，范围不同。,2,M046,TG:P0029:complete_v1_cr002,TG:C13a5b154985836,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P0376:complete_v1_cr001,iTE:C86bd8d4d661823,supported,均为热电转换，但右侧额外限定连续运行，不能抹除该限定。,2,M046,TG:P0029:complete_v1_cr002,TG:Ce514f94d5ea305,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0578:complete_v1_cr002,iTE:C10fba45d79228c,supported,均承担离子载流角色，但可移动离子与氧化还原活性离子的物理化学职责不同。,1,M047,TG:P0097:complete_v1_cr001,TG:C44079d0a129eee,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P0578:complete_v1_cr002,iTE:C3591d9608c6853,supported,两处均指承担电荷输运的载流子这一角色；角色相同不意味着转换机制相同。,1,M047,TG:P0097:complete_v1_cr001,TG:C131499e45b463e,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1345:r014,iTE:Ccd7ee4b180596b,supported,体相纤维素离子凝胶与Si电极上的分解界面层是不同对象。,0,M048,TG:P0091:r004,TG:Cffad820a3f93d2,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1345:r014,iTE:C7ce64138ea67dd,supported,n型热电转换功能与抑制电解液继续分解的钝化功能不同。,0,M048,TG:P0091:r004,TG:Cd78dce1820bee7,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0831:r001,iTE:C4c1fcb363c01c3,supported,银碲化合物与高锰硅化物单晶是不同材料。,1,M049,TG:P0240:r006,TG:C83ac0ebf39d17d,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P0831:r001,iTE:C309adb9034f7e7,supported,均指晶体结构复杂这一概括性属性，不代表具体晶体结构相同。,1,M049,TG:P0240:r006,TG:C6a35e5abfa77a7,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P1915:r020,iTE:C3e9e73c2c71a4e,partial,均充当热电转换材料，但分别为无机固体与含氧化还原对的复合水凝胶。,1,M050,TG:P0191:r006,TG:C4f5abcb831c7de,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1915:r020,iTE:C62876351a0ac92,partial,均描述温差电压响应强，但电子热电系数与氧化还原热电系数的物理来源不同，且高的基准未统一。,1,M050,TG:P0191:r006,TG:C4d465f5ab5ac88,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1374:r004,iTE:Cd8833fe86e7497,supported,均涉及离子种类或性质，但分别指晶格稀土掺杂离子与溶液中的H+、K+、Cl−。,0,M051,TG:P0245:r005,TG:C94b641fb836359,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1374:r004,iTE:C6a8384ca5b3488,supported,晶胞长度参数与Soret系数、输运熵等热扩散特性不是同一科学量。,0,M051,TG:P0245:r005,TG:C71dbf842e09a32,supported,selected_claim_context_only_not_global_sameAs
related_not_equivalent,iTE:P1818:r007,iTE:C8ad3cd841c888f,supported,均涉及含盐处理，但溶剂交换成网与均相电子转移催化属于不同过程。,0,M052,TG:P0094:r006,TG:C5dc3e3ec61069d,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1818:r007,iTE:C879b915d8c5474,supported,金属配体配位是化学相互作用，加和电催化效应是两类催化共同作用的结果。,0,M052,TG:P0094:r006,TG:Ca62a12d7140757,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P0374:complete_v1_cr001,iTE:C86b0821db2cf16,supported,均承担温差下产生电势的功能，物理实现分别为离子热扩散和电极红氧过程。,1,M053,TG:P0094:complete_v1_cr002,TG:C5d10086b213473,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P0374:complete_v1_cr001,iTE:Cedbaa341060dfa,supported,均指两端电势差这一物理量，等同不延伸至产生机制或输出能力。,1,M053,TG:P0094:complete_v1_cr002,TG:C5181b5a029364e,supported,selected_claim_context_only_not_global_sameAs
analogous_role,iTE:P1007:r009,iTE:Ce3e57c8fb88acf,supported,均是集成热采能与储能的超级电容器，但属于不同结构与电解质体系。,0,M054,TG:P0112:r002,TG:C7b2312649b0fd2,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P1007:r009,iTE:Cada9a823cf063f,supported,双电层电容工作是储能机制，热电化学效应是温差驱动的转换机制。,0,M054,TG:P0112:r002,TG:C6a160a3e4c4c73,supported,selected_claim_context_only_not_global_sameAs
different,iTE:P0478:complete_v1_cr002,iTE:C802caf76267b20,supported,PEDOT:PSS与PVA/gelation双网络凝胶是不同材料体系，目标关系未建立相同设计角色。,1,M055,TG:P0057:complete_v1_cr002,TG:C44b60bf18886a0,supported,selected_claim_context_only_not_global_sameAs
equivalent_in_context,iTE:P0478:complete_v1_cr002,iTE:Cfb9282697cb5bc,supported,均指高光学透明度这一性质，但不表示定量透过率相同。,1,M055,TG:P0057:complete_v1_cr002,TG:C1c56d67ea43fbf,supported,selected_claim_context_only_not_global_sameAs
