conditions,explanation,left_claim,left_physics,left_support,left_working_stage,level,limitations,local_structure_assessment,match,physical_boundary,review_id,right_claim,right_physics,right_support,right_working_stage
insufficient,热转电方向及功能终点对应，但左侧明确依赖Soret离子迁移，右侧依赖热电化学效应；共同输出不能建立共同转换机制。,iTE:P0862:complete_v1_cr002,ionic_thermodiffusion,supported,背景：温差驱动的离子热扩散转换，取电阶段未指定,shared_outcome_only,目标均为宽泛背景句，缺少共同温区、电极边界及负载条件，不支持具体跨机制迁移。,仅支持单边功能对应，没有可供核查的两边路径。,1,两侧均涉及温差，但Soret驱动的离子分布与氧化还原反应的温度依赖电势不同。左侧未指定电极反应或持续取电方式，不能将其直接视为右侧的持续电化学电流，也不能断言其必为有限电容充电。,M011,TG:P0166:complete_v1_cr001,thermogalvanic_redox,supported,背景：热电化学发电；正文展示持续温差运行
insufficient,两侧均支持温度与电学响应量变化的有向关联，但左侧是电子Seebeck系数的温度依赖，右侧是平衡电极电势随温度快速变化；对应仅限温度响应层面。,iTE:P1200:r008,electronic_thermoelectric,supported,计算表征：BoltzTraP温度依赖电子输运,analogous_different_mechanisms,左侧未给变化方向或幅度，右侧“快速”未量化；保留作者对“电极动力学”的称呼，但不能据此推断反应速率常数。,仅有单边温度依赖类比。左侧所给邻边均从温度分叉，不能串成两边因果路径。,1,左侧为空穴主导的Na3SCl电子输运计算，右侧为热电化学平衡电势及稳态输运理论。S(T)变化与Eeq(T)变化不是同一关系；后者的温度导数可关联热电化学热电势，但该联系只是物理解释，不能替换目标边。计算表征与稳态运行阶段亦不同。,M012,TG:P0129:complete_v1_cr001,thermogalvanic_redox,supported,稳态热电化学发电的理论分析
insufficient,左侧明确描述伴随zT增强的相变，但具体贡献机制仅为假说；右侧忠实保留相变、溶剂化与性能之间待研究的相关性，未给出增强方向。仅有有限对应。,iTE:P1232:r014,electronic_thermoelectric,supported,跨相变的变温晶体结构表征及性能解释,analogous_different_mechanisms,缺少可比温区、相态条件和右侧相关性的具体方向，不能据此迁移zT增强机制。,左侧邻边保留能带和熵的联合假说；右侧虽有相变→溶剂化→性能的图路径，两边均为相关性研究，不能解释为因果链。仅支持单边层面的有限类比。,1,左侧是固体晶体相变涉及的电子热电性能；右侧是电解质物态调控离子热扩散。结构重排熵不能等同于离子热扩散驱动力；变温结构表征与运行中极性调控也不是相同阶段。,M013,TG:P0273:r007,ionic_thermodiffusion,supported,运行中物态调控与性能关联研究
insufficient,两侧均支持MXene复合电极具有良好性能，但左侧是未量化的电极电化学性能，右侧是相对铂电极增强的热电化学性能。设计功能相似，性能含义及运行机制不同。,iTE:P1335:r009,other_unclear,supported,热充电及储能器件中的电极性能评价,analogous_different_mechanisms,该问题是由右侧界面结构证据启发的探索性推断；左侧未证明相同界面机制，也没有共同基准或电极性能数值。,左侧邻边确定电极与凝胶的装配关系；右侧邻边给出孔层结构、活性面积及组分协同。没有两侧对应的完整两边因果路径，仅支持电极→性能的有限单边对应。,1,左侧用于热充电超级电容器，所选电极性能未区分电容、赝电容或反应动力学；右侧明确为热电池界面质荷传输。有限充放电不能等同于持续温差下的热电池发电；右侧具体氧化还原对未提供。,M015,TG:P0154:r002,thermogalvanic_redox,supported,施加温差下的热电池发电性能评价
insufficient,两篇均明确提出离子承担载流角色，因此有有限的角色关系对应。左侧强调固体中电子与离子混合导电及高迁移率；右侧描述热电化学氧化还原离子的载流功能，未声称高迁移率。,iTE:P1168:r008,hybrid,supported,材料电荷及热输运性能表征,analogous_different_mechanisms,高迁移率载流子这一限定不能转移到右侧；摘要未给出区分离子与电子贡献的测量细节，角色类比不足以提出具体材料迁移方案。,左侧邻边补充Cu离子的声子散射及迁移率作用，但均从Cu离子出发，不能串成两边因果链。右侧无邻边，仅支持单边角色类比。,1,左侧Cu离子的作用位于Bi2Te3/铜硫属化物混合导电体系，不能据此推定电极氧化还原；右侧载流涉及氧化还原物种输运和电极反应。左侧输运表征与右侧一般运行描述未提供可比的电流持续性或迁移率条件。,M018,TG:P0097:complete_v1_cr001,thermogalvanic_redox,supported,热电化学发电中的载流角色背景描述
insufficient,两侧均支持各自器件具有所报Seebeck系数，形成器件→热电压响应指标的有限对应。数值和单位相近不能证明相同转换机制或结构优化规律。,iTE:P1397:r014,ionic_thermodiffusion,supported,织物器件热电性能表征，测量时序未说明,shared_outcome_only,未提供可比温度、湿度、电极和测量时间；右侧网络归因未给出独立贡献量，现有指标对应不足以支持具体跨机制迁移问题。,右侧有BC-GTC→缠结网络→所报系数的同文路径；左侧仅有器件到凝胶结构及性能的分支，缺少结构→系数边。只支持单边指标对应，不能制造对称的结构因果链。,1,左侧由离子液体凝胶及明确的离子热电描述暂归离子热扩散，摘要未直接验证Soret机制或分离PPy贡献；右侧明确由氧化还原反应转换热能。两侧均未给出目标系数的测量时序，不能把可能的有限充电响应等同于持续热电化学电流。,M019,TG:P0200:r003,thermogalvanic_redox,supported,热电化学电池热电性能表征，目标系数测量时序未说明
insufficient,两侧均支持水凝胶具有双网络结构这一单边对应。左侧明确亲水PVA与疏水PTA，右侧仅明确双网络和多孔结构，具体网络组成及作用不能视为相同。所选边本身是结构归属，并非能量转换机制。,iTE:P0407:r005,other_unclear,supported,材料制备与结构描述,analogous_different_mechanisms,右侧未给出网络化学组成，双方缺少可比较的工作条件；问题是跨机制探索，不代表效果或新颖性已获验证。,左侧有水凝胶→双网络→机械性能的同论文两边路径；右侧只有水凝胶分别指向结构和机械性能的分支，不能补出双网络→机械性能边。仅支持有限的结构归属单边对应。,1,结构制备阶段无明确冲突；工作时左侧涉及阳离子配位与阴离子通道，右侧明确使用铁氰化物氧化还原对。限制离子运动是否损害右侧反应物输运只能作为待检验推断。,M022,TG:P0016:complete_v1_cr001,other_unclear,supported,材料制备与结构描述
insufficient,两侧均支持机械应变调控内部物理过程的方向，但左侧诱导晶体相变，右侧调节凝胶氧化还原动力学。仅构成有限的应变调控类比。,iTE:P1421:r005,other_unclear,supported,应变调控相变与晶格热输运研究,analogous_different_mechanisms,该问题是由两摘要启发的探索性推断；右侧未报告应变改变热输运，左侧也未研究凝胶或氧化还原反应，不能迁移其具体相变机制。,左侧存在应变→相变→非谐性，右侧存在应变→氧化还原动力学→电压的各自同论文有向路径。路径拓扑可类比，但中间过程与终点不同，不能视为同一因果链。,1,左侧涉及二维晶体相变、声子非谐性与晶格热导率，未直接建立电子热电转换；右侧在温度梯度下进行动态电压感测。晶格热导率变化不能直接等同于维持温差或改变氧化还原动力学，阶段与边界条件也未匹配。,M028,TG:P0073:r003,thermogalvanic_redox,supported,温度梯度下的动态应变感测与电压输出
insufficient,两侧均支持温度梯度驱动过程这一方向，但左侧对象是整体离子热电转换，右侧是明确的热扩散过程。左侧摘要未说明转换的微观机制，只能建立有限对应。,iTE:P0433:r002,other_unclear,supported,连续及间歇热管理运行中的热电转换,insufficient,左侧缺少离子选择性、热扩散、电极及充放电机制；两侧材料、时间尺度和边界条件不完整。,左侧邻边仅确认转换集成于热管理系统，与目标边共同指向转换过程，不形成有向两边路径；仅有有限单边对应。,1,左侧结合相变材料进行连续及间歇热管理；右侧在干聚合物电解质中以热扩散和浓度扩散平衡测量稳态Soret效应。不能据离子热电名称认定相同机制，也不能把稳态浓度分布等同于持续输出电流或有限电容充电。,M030,TG:P0222:complete_v1_cr002,ionic_thermodiffusion,supported,稳态Soret浓度分布的表征
insufficient,两侧均明确报告特定材料的负热电势系数，构成有限的材料—性能关系对应。左侧离子凝胶的微观来源未交代，右侧明确由双相区晶格嵌入熵主导；共同指标不能建立机制对应。,iTE:P0882:r006,other_unclear,supported,离子凝胶热电势表征；具体测量时序未说明,shared_outcome_only,左侧测量温区、温差和时间条件缺失；右侧结果限定双相区，不能直接比较器件效率或功率。,左侧存在器件→使用材料→表现热电势的路径，右侧存在插锂过程→构建电极→表现热电势的路径；前序边含义不同，不能对应为共同因果链。右侧熵邻边仅澄清机制，保留单边性能对应。,1,左侧用于离子热电超级电容器，右侧是30 nm嵌锂电极在双相区的法拉第嵌入热电势。材料热电势表征与器件充放电或持续发电阶段不能互换；左侧未给出电极反应或离子热扩散证据。,M031,TG:P0262:r008,thermogalvanic_redox,supported,嵌锂电极双相区的电化学热电势表征
insufficient,两摘要分别明确支持材料具有32.7和32.4 mV/K热电势系数。材料→性能的关系有限对应，但数值接近不能证明转换机制相同。,iTE:P0380:r006,hybrid,supported,热电性能表征；体系另报告连续发电,shared_outcome_only,缺少测量温区、温差、负载和电极条件；共同指标不足以支持机制迁移。,仅支持材料→热电势系数的单边对应，无对应的两边因果路径。,1,左侧为离子热扩散电场驱动电子/空穴的耦合过程；右侧为热电化学体系，具体氧化还原对未给出。右侧辐射冷却维持温差与左侧载流子耦合属于不同环节；两侧连续运行描述不等于系数测量条件相同。,M033,TG:P0005:r001,thermogalvanic_redox,supported,热电性能表征；集成器件另报告辐射冷却下连续发电
insufficient,两条材料→Seebeck系数关系均有直接依据。左侧摘要讨论离子导电但未明确热电压生成机制，不能仅凭离子凝胶或MWCNT判定热扩散、电子热电或混合机制。,iTE:P0548:r006,other_unclear,supported,不同MWCNT浓度样品的热电性能表征,shared_outcome_only,左侧转换机制和两侧系数测试条件缺失；不能据性能指标推导添加剂策略可迁移。,r005限定优化只在三个MWCNT浓度之间成立；它与目标边共享主体，不构成两边因果链。仅有性能归属的单边对应。,1,左侧1 wt%样品的40°C离子电导提升不能移用于0.25 wt%样品的热电势系数，也不能视为右侧热电化学增益。左侧没有连续发电证据；右侧连续运行依赖辐射冷却提供温差。,M034,TG:P0005:r001,thermogalvanic_redox,supported,热电性能表征；集成器件另报告连续发电
insufficient,两条材料描述均有摘要支持，仅在“材料被描述为无毒”这一子关系上有限对应；左侧还包含资源丰富和热电半导体属性。,iTE:P0854:complete_v1_cr001,electronic_thermoelectric,supported,材料背景描述；未指定运行阶段,surface_similarity,支持的是作者的无毒表述，并非独立毒理验证；不能据此提出物理迁移或材料替代结论。,仅有描述性单边对应，无邻接边支持机制路径。,1,左侧为CuI半导体电子热电材料，右侧为氧化还原电对；无毒描述不能连接两种转换机制，也未给出可比较的毒性测试条件。两条描述均不限定运行阶段。,M037,TG:P0035:r001,thermogalvanic_redox,supported,材料选择与描述；未指定运行阶段
insufficient,两侧均支持材料具有层状结构这一有限对应；左侧是晶体内Se–Cu层，右侧是Co/Cu多层纳米线，不能据此认定相同结构作用机制。,iTE:P1232:r001,electronic_thermoelectric,supported,多温度晶体结构表征,surface_similarity,摘要未给出两种层状结构共同影响热电响应的证据；电子热电分类来自摘要语境，目标边本身仅描述结构。,r002补充隔层间的额外铜，仅为同一主体的并列结构描述；无可对应的有向两边路径。,1,左侧为多温度衍射确定的平均晶体结构；右侧为直流电流下交流温度激励的自旋输运测量。原子层排列与纳米线多层构造尺度及作用不同，右侧的thermogalvanic名称不代表电极氧化还原热电池。,M045,TG:P0237:r009,electronic_thermoelectric,supported,样品结构描述；交流热响应表征
insufficient,两侧均明确将离子描述为电荷载体，角色关系有有限对应；左侧涉及Soret效应，右侧涉及氧化还原活性离子，转换机制不同。,iTE:P0578:complete_v1_cr002,ionic_thermodiffusion,supported,热电压形成的载流背景；具体时序未说明,analogous_different_mechanisms,共同关系过于概括，未提供将左侧氢键调节规律迁移至右侧配体体系的直接依据。,仅能支持载流角色的单边类比，无邻接路径证据。,1,左侧通过离子热扩散形成热电压，右侧依赖电极氧化还原过程。相同载流角色不能推出反应熵、热扩散选择规律或输出时序可互换；左侧摘要未确定充放电模式。,M047,TG:P0097:complete_v1_cr001,thermogalvanic_redox,supported,热原电池运行的载流背景
insufficient,两摘要均支持材料具有复杂晶体结构，存在有限的属性关系对应；但左侧讨论声子热输运，右侧讨论金属化的备选解释，不能据此对应机制。,iTE:P0831:r001,electronic_thermoelectric,supported,材料结构与热输运表征,surface_similarity,复杂结构未给出可比较的具体结构参数；右侧机制为备选解释，不能由TG标签认定为氧化还原热电池。,邻边仅提供同一材料的并列属性及现象；没有结构节点出发的完整第二条因果边，仅能支持单边属性对应。,1,左侧结构复杂性与低声速共同关联低晶格热导率；右侧异常限于特定几何和超结构取向，且体相类热电化学过程与近表面载流子重分布尚未区分。两者均非已对应的发电阶段证据。,M049,TG:P0240:r006,other_unclear,supported,特定几何和取向单晶的金属化现象表征
insufficient,左侧高Seebeck系数及温度、应变条件有文本依据，但冻结声明未保留计算研究限定；右侧高系数得到直接支持。对应仅限于材料表现高热电压响应，不能建立共同转换机制。,iTE:P1915:r020,electronic_thermoelectric,partial,800 K、指定应变下的计算性质表征,shared_outcome_only,两侧均缺可直接比较的Seebeck数值及测试条件；左侧300 K稳定性模拟不能验证800 K实际运行稳定性，也不能把所列优值当作Seebeck数值。,右侧存在制备→水凝胶→高Seebeck系数的同论文有向路径，但未证明制备策略导致系数提高；左侧没有对应两边路径。转换增强还依赖快速传热。,1,左侧为800 K下应变固体的计算电子热电性质；右侧为光热驱动的铁氰化物氧化还原水凝胶，其热电压涉及反应熵。右侧未给温度范围，不能假设适用800 K；计算表征与器件供电示范也不是同一工作阶段。,M050,TG:P0191:r006,thermogalvanic_redox,supported,制备后热电性质表征及光热发电示范；稳态条件未说明
compatible,两摘要均支持所选过程产生电势差的方向；但离子选择性热扩散与电极氧化还原仅在热致产电功能上类比，不能视为同一机制。,iTE:P0374:complete_v1_cr001,ionic_thermodiffusion,supported,温差下电势建立与热传感；背景机制,analogous_different_mechanisms,背景关系得到支持，但摘要未提供两机制的可迁移设计参数或统一负载与时间响应比较。,右侧存在同论文的“熵→电极红氧过程→电势差”有向路径，且红氧过程另产生电流；左侧无提供的对应上游边，仅可建立有限单边类比。,1,两侧均有温差驱动背景。左侧为离子热扩散产生电势，右侧为反应熵相关的电极电势并涉及电流；不能由左侧传感电压推断持续供电能力，也不能将离子迁移选择性直接等同于红氧反应熵调控。,M053,TG:P0094:complete_v1_cr002,thermogalvanic_redox,supported,温差下热电化学发电；稳态细节未说明
insufficient,两条“材料具有高透明度”关系均获摘要支持，仅在光学属性层面有限对应。左侧为材料背景性质，右侧为特定溶剂与双网络凝胶的研究结果，不支持透明化机制对应。,iTE:P0478:complete_v1_cr002,other_unclear,supported,背景材料性质描述；未指定测量阶段,shared_outcome_only,无透过率、波长、厚度或左侧处理后透明度数据；不能提出有证据支撑的透明化策略迁移。,右侧有同论文“引入二元溶剂→凝胶→高透明度”路径，并有溶剂直接使能透明度的边；左侧无对应制备路径，仅支持属性单边对应。,1,所选关系均为光学性质，不直接表征热电转换。左文研究导电聚合物热电性能，右文研究热电化学凝胶；透明度相同不能连接两者的载流机制，也不能证明处理后光学性质一致。,M055,TG:P0057:complete_v1_cr002,other_unclear,supported,制备后凝胶光学性质表征
insufficient,摘要分别支持PEDOT:PSS属于可水加工导电聚合物、离子聚合物器件可水加工。共同点只覆盖加工属性；左侧对象还包含导电聚合物类别，且材料与器件层级不同。,iTE:P1292:complete_v1_cr001,other_unclear,supported,制备相关的材料背景属性,surface_similarity,两摘要均未给出可比较的水加工流程；所选关系不能确定热电转换机制或支持工艺迁移。,右侧邻边确认器件基于单极离子导电聚合物，与水加工性边构成共同主语的分支，不能串成因果路径。仅可保留加工属性的有限单边对应。,1,对应发生在制备阶段。左文涉及PEDOT电子载流与掺杂，右文讨论单极离子导体的多组分输运；右文未明确电极红氧化学，不能凭“thermogalvanic”命名判为红氧机制。水加工性不保证工作含水量或发电条件兼容。,M056,TG:P0216:r004,other_unclear,supported,器件制备与水加工性展示
insufficient,左侧明确将电子热电势提升归于离子交换调节PEDOT掺杂；右侧明确归于离子诱导结晶与纳米通道控制的共同作用。可作离子处理改善热电响应的有限类比，但不能将右侧联合效应简化为离子交换效应。,iTE:P0454:r007,electronic_thermoelectric,supported,离子液体后处理及随后热电性能表征,analogous_different_mechanisms,支持的是作者摘要中的归因，不是机制独立验证；共同使用离子处理和Seebeck指标不足以支持具体物理迁移。,左侧存在后处理→离子交换→Seebeck系数提高的同文有向路径；右侧存在GdmCl添加→离子诱导结晶→系数提高的同文路径。两者仅有干预—中介—响应的结构类比；右侧所选边仍须保留纳米通道联合因素。,1,左侧是制备后掺杂调节所影响的电子热电势；右侧是GelMA中铁氰化物氧化还原体系的热电响应，且含结构联合因素。制备过程可以类比，但运行时的电子输运与电化学电势来源不同；摘要未分离右侧各因素贡献。,M061,TG:P0027:r007,thermogalvanic_redox,supported,水凝胶制备与结构调控后热电化学性能表征
insufficient,两侧均支持计算所得Seebeck系数高于各自参照的定向比较，但左侧比较两种Heusler化合物，右侧比较氢电极热电池与经典热电发电机。对应仅限比较关系与指标，不能转译为共同增强机制。,iTE:P1865:r012,electronic_thermoelectric,supported,电子输运计算表征,shared_outcome_only,摘要未给出统一温度、化学势、气体状态或经典发电机参照清单，不能进行跨论文定量排序；均为预测而非实验验证。,右侧邻边明确预测系数属于氢电极热电池，并可接其高于经典发电机的比较边；左侧无所供邻边。只能支持单条比较关系的有限对应，不能建立成对机制路径。,1,左侧涉及自旋电子能带及温度、化学势条件；右侧涉及氢气电极和质子交换膜的电化学热响应。两侧均为计算评估，但参照体系、边界条件及系数物理来源不同；不能据系数排序推出功率或效率排序。,M063,TG:P0317:r004,thermogalvanic_redox,supported,温差发电工况的非平衡热力学模拟
insufficient,两条温度依赖关系均获支持，但固体热力学熵与NaOH溶解度不是可对应的响应量；共享自变量和谓词不足以成立关系匹配。,iTE:P1480:r015,other_unclear,supported,计算表征：准谐德拜模型热力学性质,surface_similarity,两侧均未给出目标温度依赖的方向或函数；右侧浓差维持还联合依赖蒸馏，不能由溶解度单独解释。,左侧邻边仅补充熵也依赖压力，与温度依赖构成并列关系；右侧无所供邻边，不存在可比较的两边因果路径。,0,左侧是准谐德拜模型中的固体热力学性质计算，所选熵关系不是电子热电输运机制；右侧是水合物熔化相关的溶解度变化，用于概念混合电池的浓差维持，也不是Soret过程。计算表征与运行中浓差维持不能直接对应。,M003,TG:P0116:complete_v1_cr001,other_unclear,supported,概念器件运行中的浓差维持；未报告实测运行
insufficient,两侧均支持“起关键作用”的表述，但左侧是水热扩散促进质子迁移并提高热电势，右侧是电极过程支配电池运行；动作措辞相似不足以建立具体关系对应。,iTE:P0392:complete_v1_cr002,ionic_thermodiffusion,supported,温差下离子热电响应表征；带载阶段未指定,surface_similarity,左侧具体热电势指标与右侧宽泛的电池运行不等价；摘要未证明两种关键过程具有可迁移的调控关系。,左侧存在同论文有向路径：水热扩散→冷热端定向质子迁移→大离子热电势。右侧邻边仅解释电极动力学的作者用语，没有对应的两边作用路径；目标单边也不构成实质匹配。,0,左侧讨论PSS-H内水与质子的定向热扩散，右侧讨论热电化学电极及反应物输运。右侧将“电极动力学”表述为平衡电势随温度快速变化，应保留该限定，不能改写为反应速率提升。左侧未明确带载稳态阶段，不能等同右侧稳态电池运行。,M004,TG:P0129:r007,thermogalvanic_redox,supported,稳态热电化学电池运行的理论分析
insufficient,两条目标关系均有直接证据，且两装置采用相同氧化还原对组合；但“利用共同K+再生”与“以铁氰化物对作负极电解液”不是对应关系，不能用共享化学组成替换目标边。,iTE:P0836:r007,thermogalvanic_redox,supported,温度循环中的自再生,surface_similarity,共享氧化还原化学是已有相似性，不能支持目标再生功能迁移；右侧摘要未说明共同反离子的再生作用。,左侧有装置→共同K+→分离电池再生的有向路径；右侧只有装置→正、负极电解液的组成分支，不存在对应再生路径，目标单边亦不匹配。,0,左侧在10–60 ℃时间循环中利用共同反离子自平衡，实现分离电池电化学势差归零；右侧是连续输出的循环液流系统，受多孔电极传质与膜电阻限制。相同氧化还原体系不证明右侧也采用K+自再生；两者均无目标相关离子热扩散证据。,M008,TG:P0205:complete_v1_cr003,thermogalvanic_redox,supported,电解液组成配置；用于连续输出的热再生液流循环
