node_audit_order,shared_global_concept_id,shared_label,shared_category,shared_node_focus_eligible,raw_node_strict_syntax_tier,raw_node_strict_syntax_tier_order,all_candidate_best_evidence_grade,all_candidate_best_evidence_grade_order,focus_candidate_best_evidence_grade,focus_candidate_best_evidence_grade_order,shared_ite_document_frequency,shared_tg_document_frequency,ite_incident_pair_count,tg_incident_pair_count,ite_relation_supported_incident_pair_count,tg_relation_supported_incident_pair_count,ite_highest_side_evidence_level,tg_highest_side_evidence_level,all_candidate_combination_count,focus_node_nontrivial_path_count,focus_candidate_combination_count,focus_endpoint_quarantine_path_count,tier_A_candidate_count,tier_B_candidate_count,tier_C_candidate_count,best_candidate_id,best_focus_candidate_id,human_relation_review_status,cross_paper_compatibility_status,novelty_status,release_status,release_reason,shared_minimum_document_frequency,review_adjusted_best_evidence_grade,review_adjusted_best_evidence_grade_order,review_adjusted_best_candidate_id,review_adjusted_R2_path_count,review_adjusted_R1_path_count,review_adjusted_R0_path_count,human_confirmation_status,cross_endpoint_evaluation_status
83,GC_78d65254f96d,phase transition,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,4,6,8,0,0,1,1,48,48,21,27,0,0,48,TC_0b2378b05a58,TC_49d8908ad1c2,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,3,R0_cooccurrence_only_or_rejected,3,TC_49d8908ad1c2,0,0,21,pending,not_tested
87,GC_7ef3326ecb7c,photothermal conversion,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,1,7,2,0,0,1,1,14,14,10,4,0,0,14,TC_cc8d0d068e73,TC_61b3898ae18a,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_61b3898ae18a,0,0,10,pending,not_tested
88,GC_7fd8c2696d32,solvation,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,7,1,21,0,0,1,1,21,21,18,3,0,0,21,TC_4b4364f1575a,TC_4b4364f1575a,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_4b4364f1575a,0,0,18,pending,not_tested
92,GC_843294ffb6b0,charge transfer,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,3,4,9,0,0,1,1,36,36,27,9,0,0,36,TC_9f9061da1267,TC_af32bb5980df,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_af32bb5980df,0,0,27,pending,not_tested
93,GC_8ad5b453cc37,ion diffusion,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,4,3,24,10,0,0,1,1,239,239,199,40,0,0,239,TC_6843f4f274c0,TC_6843f4f274c0,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,3,R0_cooccurrence_only_or_rejected,3,TC_6843f4f274c0,0,0,199,pending,not_tested
95,GC_9112a3072547,conducting polymer,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,4,2,10,9,0,0,1,1,90,90,48,42,0,0,90,TC_62cdc758b1da,TC_62cdc758b1da,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_62cdc758b1da,0,0,48,pending,not_tested
97,GC_9642d16dca71,graphene oxide,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,1,5,1,0,0,1,1,5,5,5,0,0,0,5,TC_f31b1d014c7d,TC_f31b1d014c7d,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_f31b1d014c7d,0,0,5,pending,not_tested
98,GC_96a5e1f0372e,complexation,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,1,8,2,0,0,1,1,16,16,7,9,0,0,16,TC_46ba368b7236,TC_b6bc78e10b76,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_b6bc78e10b76,0,0,7,pending,not_tested
99,GC_99697930f29b,selective transport,mechanism_or_process,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G0_cooccurrence_only,3,1,1,4,5,1,0,2,1,20,20,9,11,0,5,15,TC_04c7b5f22eed,TC_1ec114e97e44,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_1ec114e97e44,0,0,9,pending,not_tested
100,GC_99cc5cc07851,swelling,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,2,9,9,0,0,1,1,81,81,64,17,0,0,81,TC_f82de0850274,TC_f82de0850274,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_f82de0850274,0,0,64,pending,not_tested
102,GC_9f138d3cd94d,diffusion,mechanism_or_process,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,11,4,23,7,1,0,2,1,160,160,119,41,0,7,153,TC_d0a0a1002ef9,TC_d0a0a1002ef9,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,4,R1_single_direct_sentence_relation,2,TC_d0a0a1002ef9,0,6,113,pending,not_tested
103,GC_9f1b398c45ad,cold electrode,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,4,6,10,0,0,1,1,60,60,40,20,0,0,60,TC_aba0aed1eac7,TC_aba0aed1eac7,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_aba0aed1eac7,0,0,40,pending,not_tested
108,GC_a8e6012e4ab8,transport,mechanism_or_process,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,12,2,33,2,1,0,2,1,65,65,61,4,0,2,63,TC_e42d3f23d772,TC_e42d3f23d772,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,2,R0_cooccurrence_only_or_rejected,3,TC_e42d3f23d772,0,0,61,pending,not_tested
109,GC_a96e785527e1,electrical energy conversion,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,2,1,2,0,0,1,1,2,2,0,2,0,0,2,TC_e8012cc37601,,not_applicable,untested,not_assessed,endpoint_quarantine,all_distinct_paths_fail_other_endpoint_category_or_generic_gate,1,Q_endpoint_quarantine_or_no_path,4,,0,0,0,pending,not_tested
110,GC_a97795bf660d,different electrode,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,2,1,4,0,0,1,1,4,4,0,4,0,0,4,TC_3af1e513a377,,not_applicable,untested,not_assessed,endpoint_quarantine,all_distinct_paths_fail_other_endpoint_category_or_generic_gate,1,Q_endpoint_quarantine_or_no_path,4,,0,0,0,pending,not_tested
113,GC_b5a2446cb394,kinetics,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,3,3,6,0,0,1,1,18,18,18,0,0,0,18,TC_3892e7d8ac9e,TC_3892e7d8ac9e,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_3892e7d8ac9e,0,0,18,pending,not_tested
114,GC_b5a9925163a6,intermolecular interaction,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,2,1,5,4,0,0,1,1,20,20,16,4,0,0,20,TC_0e4f2640d80f,TC_0e4f2640d80f,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_0e4f2640d80f,0,0,16,pending,not_tested
124,GC_bfab31d6e65a,electrostatic interaction,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,4,1,17,5,0,0,1,1,85,85,70,15,0,0,85,TC_67b4a42cb1ad,TC_67b4a42cb1ad,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_67b4a42cb1ad,0,0,70,pending,not_tested
126,GC_c193d91329df,charge transport,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,3,3,8,7,0,0,1,1,56,56,42,14,0,0,56,TC_d898bd7f9279,TC_d898bd7f9279,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,3,R0_cooccurrence_only_or_rejected,3,TC_d898bd7f9279,0,0,42,pending,not_tested
127,GC_c19a90a7850d,triiodide ion,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,1,3,2,0,0,1,1,5,5,1,4,0,0,5,TC_3831e2cfe954,TC_f26b55b4a3f6,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_f26b55b4a3f6,0,0,1,pending,not_tested
129,GC_c2d00d7f1242,ion transport,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,13,5,23,16,0,0,1,1,368,368,255,113,0,0,368,TC_ed9711da7a6d,TC_ed9711da7a6d,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,5,R0_cooccurrence_only_or_rejected,3,TC_ed9711da7a6d,0,0,255,pending,not_tested
131,GC_c346d734e247,host polymer,material_or_structure,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,Q_endpoint_quarantine_or_no_path,4,1,1,6,2,0,0,1,1,12,12,0,12,0,0,12,TC_231a75656ccb,,not_applicable,untested,not_assessed,endpoint_quarantine,all_distinct_paths_fail_other_endpoint_category_or_generic_gate,1,Q_endpoint_quarantine_or_no_path,4,,0,0,0,pending,not_tested
132,GC_c466b5b6a256,evaporative cooling,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,TC_158be6bdba6a,TC_158be6bdba6a,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_158be6bdba6a,0,0,1,pending,not_tested
133,GC_c5590b164e57,migration,mechanism_or_process,True,C_cooccurrence_only,3,G0_cooccurrence_only,3,G0_cooccurrence_only,3,5,1,13,2,0,0,1,1,25,25,11,14,0,0,25,TC_b3f5f8226797,TC_e1e241ebd5ca,not_applicable,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,1,R0_cooccurrence_only_or_rejected,3,TC_e1e241ebd5ca,0,0,11,pending,not_tested
139,GC_cf402379d512,concentration gradient,mechanism_or_process,True,A_dual_strict_syntax_candidates,1,G2_dual_strict_syntax_candidates,1,G2_dual_strict_syntax_candidates,1,3,5,4,19,1,1,2,2,76,76,60,16,1,21,54,TC_6b6af2caadc5,TC_6b6af2caadc5,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,3,R2_dual_direct_sentence_relations,1,TC_6b6af2caadc5,1,17,42,pending,not_tested
141,GC_d18c91f9affa,temperature difference,mechanism_or_process,True,B_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,G1_single_strict_syntax_candidate,2,27,27,71,54,0,1,1,2,3826,3826,2765,1061,0,71,3755,TC_a9d4215cfe50,TC_a9d4215cfe50,pending,untested,not_assessed,eligible,at_least_one_distinct_pair_path_passes_endpoint_gate,27,R0_cooccurrence_only_or_rejected,3,TC_a9d4215cfe50,0,0,2765,pending,not_tested
