relation_id,paper_id,analysis_layer,source_membership,year,title,doi,sentence_id,evidence_sentence,sentence_char_start,sentence_char_end,source_occurrence_id,source_global_concept_id,source_layer_node_id,source_surface,source_normalized_label,source_char_start,source_char_end,predicate_surface,predicate_normalized,predicate_char_start,predicate_char_end,target_occurrence_id,target_global_concept_id,target_layer_node_id,target_surface,target_normalized_label,target_char_start,target_char_end,assertion_status,risk_nominal_predicate,risk_hyphenated_predicate,risk_cross_clause,risk_other_predicate_between_endpoints,risk_long_endpoint_gap,risk_coordinated_inherited_subject,risk_compound_subject_after_selected_source,risk_intervening_target_head,risk_reasons,strict_syntax_eligible,human_semantic_review,graph_eligible,verifier_status
AR_ec3600e8c827,P0020,holdout,iTE|TG,2025,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,10.1021/acs.nanolett.5c02774,4,"Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower.",663,904,CO_8a7a134bee58,GC_27998e08b8e3,LN_2b42241c623f,hydration,hydration,734,743,provide,provide,808,815,CO_807ff8b6c7a4,GC_f22b98b878db,LN_4a043df7d6b5,entropy difference,entropy difference,853,871,hypothetical_or_epistemic,False,False,True,False,True,False,False,False,risk_cross_clause; risk_long_endpoint_gap,False,pending,False,relation_review_required
AR_ccd7b6f50c0f,P0020,holdout,iTE|TG,2025,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,10.1021/acs.nanolett.5c02774,4,"Molecular dynamics simulations suggest that significant differences in hydration shell behavior between the oxidant and reductant, which in turn provide a significant (here configurational) entropy difference, drive the observed thermopower.",663,904,CO_807ff8b6c7a4,GC_f22b98b878db,LN_4a043df7d6b5,entropy difference,entropy difference,853,871,drive,drive,873,878,CO_38054705bb06,GC_95caa4851429,LN_9cce59e4009e,observed thermopower,observed thermopower,883,903,hypothetical_or_epistemic,False,False,True,False,False,True,False,False,risk_cross_clause; risk_coordinated_inherited_subject,False,pending,False,relation_review_required
AR_dde174ce629b,P0020,holdout,iTE|TG,2025,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,10.1021/acs.nanolett.5c02774,5,"This new redox pair demonstrates stability, cyclability, and tunability in both liquid- and gel-based electrolytes, and provides a novel redox platform from which to build next-generation high-thermopower waste-heat recovery cells.",905,1136,CO_3d98594c90f4,GC_753211f34d40,LN_c93c4271c19c,redox pair,redox pair,914,924,provides,provide,1025,1033,CO_a89bf3cc2a06,GC_2c6e45217a6c,LN_8382add8e1cd,high-thermopower,high thermopower,1093,1109,observed_assertion,False,False,True,False,True,False,True,False,risk_cross_clause; risk_long_endpoint_gap; risk_compound_subject_after_selected_source,False,pending,False,relation_review_required
AR_0341386142ba,P0021,holdout,iTE|TG,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,10.1016/j.nanoen.2025.111189,3,"Here, we present a double-layer thermogalvanic cell (DTGC) architecture that spatially segregates redox pairs into two distinct gel layers, enabling unprecedented control over ion concentration gradients.",375,579,CO_057ee8d4a564,GC_b5a585dc8537,LN_95776bb493c2,distinct gel,distinct gel,494,506,control,control,538,545,CO_821a3489554f,GC_9558695ae72b,LN_70b58408a0d4,ion concentration gradients,ion concentration gradient,551,578,observed_assertion,False,False,True,False,False,False,False,False,risk_cross_clause,False,pending,False,relation_review_required
AR_3f8c14ad53c4,P0023,holdout,iTE|TG,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,10.1021/acsapm.5c02573,5,This study rapidly fabricated polyacrylamide hydrogels via aqueous polymerization and then introduced the Fe(CN)6 3-/4- redox couple and guanidine hydrochloride through solvent exchange to produce the thermogalvanic ionic hydrogel (TGIH).,526,764,CO_d09c34a79c5c,GC_8b5805715859,LN_c6a82a8d5d70,polyacrylamide hydrogels,polyacrylamide hydrogel,556,580,produce,produce,715,722,CO_eaf030bd27a4,GC_fb876e2d4d56,LN_9e4892d9117d,thermogalvanic ionic hydrogel,thermogalvanic ionic hydrogel,727,756,purpose_or_design,False,False,False,False,True,False,True,False,risk_long_endpoint_gap; risk_compound_subject_after_selected_source,False,pending,False,relation_review_required
AR_1d0d14921d86,P0024,TG,TG,2026,Performance evaluation and optimal design of solar thermal liquid thermogalvanic generators without optical concentrator,10.1016/j.solener.2025.114122,3,"Based on the developed thermo-electric coupling model, numerical calculation shows that the peak efficiency of the SLTG is 5.0% at AM1.5G (1 kW/m2) conditions, corresponding to a low thermal concentration of 3.87.",519,732,CO_cf0a3b5c4336,GC_da234a942ae6,LN_11e441f62bf8,thermo-electric coupling,thermo electric coupling,542,566,shows,show,596,601,CO_1ae4fca9eb38,GC_1dfd91ff597e,LN_d6e874564633,peak efficiency,peak efficiency,611,626,observed_assertion,False,False,True,False,False,False,False,False,risk_cross_clause,False,pending,False,relation_review_required
AR_e198c3a2d451,P0026,TG,TG,2024,Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells,10.1126/sciadv.adp4533,1,"Thermogalvanic cells (TGCs) draw great attention in the field of heat to electricity conversion, but TGCs were only in the form of liquid or organic gel.",0,153,CO_789f6125d019,GC_2d3c6fbbefea,LN_6e37bd7158f9,electricity conversion,electricity conversion,73,95,form,form,123,127,CO_c83d5b45ca3c,GC_cf97450eea4b,LN_3cf71ca53931,organic gel,organic gel,141,152,observed_assertion,True,False,True,False,False,False,False,False,risk_nominal_predicate; risk_cross_clause,False,pending,False,relation_review_required
AR_e369ca23a463,P0026,TG,TG,2024,Recurrently gellable and thermochromic inorganic hydrogel thermogalvanic cells,10.1126/sciadv.adp4533,4,"As the temperature and pH coregulating Fe3+ concentration and reversible transformation between Fe3+ and Fe(OH)3, we boost thermopower and realize thermochromism.",477,639,CO_486bc86b5cd5,GC_5a30de5a1f59,LN_612ad40d02de,Fe3+,fe3+,573,577,boost,boost,594,599,CO_e2bc5bf7c4e7,GC_118af0040619,LN_f53e94117152,thermopower,thermopower,600,611,observed_assertion,False,False,True,False,False,False,True,False,risk_cross_clause; risk_compound_subject_after_selected_source,False,pending,False,relation_review_required
AR_7435924ae103,P0027,TG,TG,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,8,"In brief, the dual effect of ion-induced crystallization and nanochannel control substantially enhances the Seebeck coefficient of the TGC, thereby offering a promising strategy for enhancing the performance of low-grade thermal energy harvesting wearable TEGs.",1183,1444,CO_2eb570d680ab,GC_ab50f164306f,LN_cbeaabccfdb7,ion-induced crystallization,ion induced crystallization,1212,1239,control,control,1256,1263,CO_5662dc519e4f,GC_6cdb23f33c74,LN_ccd3eb53d5e7,Seebeck coefficient,seebeck coefficient,1291,1310,observed_assertion,False,False,False,True,False,False,True,False,risk_other_predicate_between_endpoints; risk_compound_subject_after_selected_source,False,pending,False,relation_review_required
AR_1345a4c8f6d0,P0027,TG,TG,2024,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,10.1016/j.mtener.2024.101546,8,"In brief, the dual effect of ion-induced crystallization and nanochannel control substantially enhances the Seebeck coefficient of the TGC, thereby offering a promising strategy for enhancing the performance of low-grade thermal energy harvesting wearable TEGs.",1183,1444,CO_2eb570d680ab,GC_ab50f164306f,LN_cbeaabccfdb7,ion-induced crystallization,ion induced crystallization,1212,1239,enhances,enhance,1278,1286,CO_5662dc519e4f,GC_6cdb23f33c74,LN_ccd3eb53d5e7,Seebeck coefficient,seebeck coefficient,1291,1310,observed_assertion,False,False,False,True,False,False,True,False,risk_other_predicate_between_endpoints; risk_compound_subject_after_selected_source,False,pending,False,relation_review_required
AR_a069616d3d05,P0039,TG,TG,2022,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,10.1039/d2ee00738j,3,The guanidine ion induces [Fe(CN)(6)](4-) ion crystallization and significantly enhances the thermogalvanic effect.,435,550,CO_58f91d3bf912,GC_eb1ae6ca699a,LN_8ac649c27002,guanidine ion,guanidine ion,439,452,induces,induce,453,460,CO_cbc817cc2245,GC_345d9b2416ca,LN_1d3617cde319,ion crystallization,ion crystallization,477,496,observed_assertion,False,False,False,False,False,False,False,False,,True,pending,False,strict_syntax_gate_pass_pending_semantic_review
AR_3a18a894d373,P0044,TG,TG,2024,Boosted thermogalvanic thermopower upon solid-to-liquid phase transition,10.1039/d4ee01642d,7,Exploiting the entropy of fusion among thermogalvanic devices and the associated configurational entropy change of bulk alkali metal alloys enables significant boosting of the thermopower from 1.5 mV K-1 to 26.1 mV K-1 for Na2+xK alloys.,985,1222,CO_92d8832e2305,GC_abd31bd36d27,LN_6183dc10274e,associated configurational entropy,associated configurational entropy,1055,1089,enables,enable,1125,1132,CO_c3f757081804,GC_118af0040619,LN_f53e94117152,thermopower,thermopower,1161,1172,observed_assertion,False,False,False,False,False,False,False,False,,True,pending,False,strict_syntax_gate_pass_pending_semantic_review
AR_129fc61c9483,P0046,TG,TG,2025,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,10.1002/aenm.202404151,4,"The electrodes are oxidized to create Ni and Ni oxide heterostructures, forming numerous O vacancy defects that enhance redox reactions.",644,780,CO_f68fe1dd104b,GC_51a392b35849,LN_f9c07b7a3073,Ni oxide,ni oxide,689,697,enhance,enhance,756,763,CO_f9b61d9d97fa,GC_dad97d797387,LN_13114a75157e,redox reactions,redox reaction,764,779,observed_assertion,False,False,True,False,False,True,False,False,risk_cross_clause; risk_coordinated_inherited_subject,False,pending,False,relation_review_required
AR_92fbe33272b2,P0046,TG,TG,2025,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,10.1002/aenm.202404151,5,"Meanwhile, the structure-breaking salts facilitate redox reactions and improve ion diffusion by disrupting water structures in the hydrogel electrolyte.",781,933,CO_b19e12f0812a,GC_e9d78ff58518,LN_5438934e1799,structure-breaking salts,structure breaking salt,796,820,facilitate,facilitate,821,831,CO_eaeeccb7e957,GC_dad97d797387,LN_13114a75157e,redox reactions,redox reaction,832,847,observed_assertion,False,False,False,False,False,False,False,False,,True,pending,False,strict_syntax_gate_pass_pending_semantic_review
AR_81b98005631a,P0046,TG,TG,2025,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,10.1002/aenm.202404151,5,"Meanwhile, the structure-breaking salts facilitate redox reactions and improve ion diffusion by disrupting water structures in the hydrogel electrolyte.",781,933,CO_eaeeccb7e957,GC_dad97d797387,LN_13114a75157e,redox reactions,redox reaction,832,847,improve,improve,852,859,CO_9a738bc37cdf,GC_8ad5b453cc37,LN_ec5c94179a6e,ion diffusion,ion diffusion,860,873,observed_assertion,False,False,False,False,False,True,True,False,risk_coordinated_inherited_subject; risk_compound_subject_after_selected_source,False,pending,False,relation_review_required
AR_dfbf066d48ef,P0046,TG,TG,2025,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,10.1002/aenm.202404151,7,"Finally, the proposed QTCs can generate a stable open-circuit voltage and output power for wearable applications owing to the flexibility of the electrodes and electrolyte, achieving successful electronic device operation using body heat from the forearm (Delta T approximate to 2 K).",1214,1498,CO_8a099a010d9b,GC_946d2b458f1f,LN_3acfb4f26262,QTCs,qtcs,1236,1240,generate,generate,1245,1253,CO_4bc86128d31e,GC_5b704f82a7d4,LN_cbc77b54d46d,stable open-circuit voltage,stable open circuit voltage,1256,1283,hypothetical_or_modal,False,False,False,False,False,False,False,False,,False,pending,False,relation_review_required
AR_7ae40b0ef6c1,P0049,holdout,TG,2025,Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,10.1002/cssc.202401749,4,"By adding hydrochloric acid (HCl) into electrolyte solution, HCl not only boosts intrinsic redox kinetic rate of Q/HQ, but also induces rapid thermogalvanic corrosion of the copper electrode.",518,709,CO_7695fb637202,GC_33fa704710f4,LN_6cc2a8dc82b2,HCl,hcl,579,582,boosts,boost,592,598,CO_f7b493349d4f,GC_fdf301670039,LN_b2f2848f71f0,intrinsic redox kinetic rate,intrinsic redox kinetic rate,599,627,observed_assertion,False,False,False,False,False,False,False,False,,False,pending,False,relation_review_required
AR_e2f566ed3831,P0049,holdout,TG,2025,Boosting Thermogalvanic Cell Performance through Synergistic Redox and Thermogalvanic Corrosion,10.1002/cssc.202401749,4,"By adding hydrochloric acid (HCl) into electrolyte solution, HCl not only boosts intrinsic redox kinetic rate of Q/HQ, but also induces rapid thermogalvanic corrosion of the copper electrode.",518,709,CO_f7b493349d4f,GC_fdf301670039,LN_b2f2848f71f0,intrinsic redox kinetic rate,intrinsic redox kinetic rate,599,627,induces,induce,646,653,CO_42be29878a5b,GC_6c76863e5251,LN_6f84869e6dbb,copper electrode,copper electrode,692,708,observed_assertion,False,False,True,False,False,True,False,False,risk_cross_clause; risk_coordinated_inherited_subject,False,pending,False,relation_review_required
AR_1ae5fd5cd2bb,P0050,TG,TG,2024,A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,10.1016/j.solener.2024.112939,2,"However, their low utilization rate limits energy recovery and conversion efficiency.",82,167,CO_29a31c45b24e,GC_b9685da817f9,LN_ab418428dcb5,utilization rate,utilization rate,101,117,limits,limit,118,124,CO_e8578f57b481,GC_21faa67da1fd,LN_42f3c16c1ea5,conversion,conversion,145,155,observed_assertion,True,False,False,False,False,False,False,False,risk_nominal_predicate,False,pending,False,relation_review_required
AR_02f9aa67b4d3,P0050,TG,TG,2024,A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,10.1016/j.solener.2024.112939,6,"Compared to traditional thermal chemical cells, the new heat storage electrode materials significantly enhance the stability and energy output efficiency.",602,756,CO_03ddc942a77d,GC_c65ae68fc356,LN_4fb367752119,heat storage electrode,heat storage electrode,658,680,enhance,enhance,705,712,CO_c81a187964fe,GC_b30eeda47966,LN_fd1621713a5e,energy output efficiency,energy output efficiency,731,755,observed_assertion,False,False,False,False,False,False,False,False,,True,pending,False,strict_syntax_gate_pass_pending_semantic_review
AR_60df5cf7905f,P0051,holdout,TG,2024,Thermogalvanic organohydrogel-based non-contact self-powered electronics for advancing smart agriculture,10.1039/d3tc04133f,5,"By assembling with PDMS/CuO/Cu electrodes, the gel generates a maximum temperature difference of approximately 14.8 K and produces an open-circuit voltage of 15.2 mV under one sun via photothermal conversion.",710,918,CO_f476f2d26905,GC_2c7dfa4f0cd9,LN_292630b99cad,PDMS/CuO/Cu electrodes,pdms/cuo/cu electrode,729,751,generates,generate,761,770,CO_e98c2c98a0a8,GC_1060ebefd2cb,LN_eaa206cddd9e,maximum temperature difference,maximum temperature difference,773,803,observed_assertion,False,False,True,False,False,False,False,False,risk_cross_clause,False,pending,False,relation_review_required
AR_b34caa285c5d,P0051,holdout,TG,2024,Thermogalvanic organohydrogel-based non-contact self-powered electronics for advancing smart agriculture,10.1039/d3tc04133f,5,"By assembling with PDMS/CuO/Cu electrodes, the gel generates a maximum temperature difference of approximately 14.8 K and produces an open-circuit voltage of 15.2 mV under one sun via photothermal conversion.",710,918,CO_e98c2c98a0a8,GC_1060ebefd2cb,LN_eaa206cddd9e,maximum temperature difference,maximum temperature difference,773,803,produces,produce,832,840,CO_5b4c2144d6cd,GC_7ef3326ecb7c,LN_29a5e25d27c5,photothermal conversion,photothermal conversion,894,917,observed_assertion,False,False,False,False,False,True,True,False,risk_coordinated_inherited_subject; risk_compound_subject_after_selected_source,False,pending,False,relation_review_required
AR_13205dcf8712,P0053,TG,TG,2024,Boosting Thermoelectric Performance of Thermogalvanic Hydrogels by Structure Engineering Induced by Liquid Nitrogen Quenching,10.1002/aenm.202303358,8,"Ultrafast cooling can greatly reduce ion diffusion and increase crystallization nucleation rates, inhibit the growth and precipitation of the produced thermosensitive crystals, increase their utilization rates, promote redox reactions, and further improve thermoelectric properties.image",1189,1476,CO_63d9d19694b4,GC_b6eb3d8cea98,LN_87c14607cafd,Ultrafast cooling,ultrafast cooling,1189,1206,reduce,reduce,1219,1225,CO_c3d6c0df79d2,GC_8ad5b453cc37,LN_ec5c94179a6e,ion diffusion,ion diffusion,1226,1239,hypothetical_or_modal,False,False,False,False,False,False,False,False,,False,pending,False,relation_review_required
AR_3fd71aa5afe5,P0053,TG,TG,2024,Boosting Thermoelectric Performance of Thermogalvanic Hydrogels by Structure Engineering Induced by Liquid Nitrogen Quenching,10.1002/aenm.202303358,8,"Ultrafast cooling can greatly reduce ion diffusion and increase crystallization nucleation rates, inhibit the growth and precipitation of the produced thermosensitive crystals, increase their utilization rates, promote redox reactions, and further improve thermoelectric properties.image",1189,1476,CO_c3d6c0df79d2,GC_8ad5b453cc37,LN_ec5c94179a6e,ion diffusion,ion diffusion,1226,1239,increase,increase,1244,1252,CO_2164f70025bb,GC_55da0e25a007,LN_4b658f8614af,crystallization,crystallization,1253,1268,hypothetical_or_modal,False,False,False,False,False,True,True,False,risk_coordinated_inherited_subject; risk_compound_subject_after_selected_source,False,pending,False,relation_review_required
AR_a161a865dbb8,P0053,TG,TG,2024,Boosting Thermoelectric Performance of Thermogalvanic Hydrogels by Structure Engineering Induced by Liquid Nitrogen Quenching,10.1002/aenm.202303358,8,"Ultrafast cooling can greatly reduce ion diffusion and increase crystallization nucleation rates, inhibit the growth and precipitation of the produced thermosensitive crystals, increase their utilization rates, promote redox reactions, and further improve thermoelectric properties.image",1189,1476,CO_2164f70025bb,GC_55da0e25a007,LN_4b658f8614af,crystallization,crystallization,1253,1268,increase,increase,1366,1374,CO_9dadc3581516,GC_dad97d797387,LN_13114a75157e,redox reactions,redox reaction,1408,1423,hypothetical_or_modal,False,False,True,True,True,True,True,False,risk_cross_clause; risk_other_predicate_between_endpoints; risk_long_endpoint_gap; risk_coordinated_inherited_subject; risk_compound_subject_after_selected_source,False,pending,False,relation_review_required
