semantic_audit_order,audit_order,candidate_id,review_adjusted_evidence_grade,review_adjusted_evidence_grade_order,review_adjusted_ite_side_level,review_adjusted_tg_side_level,review_adjusted_evidence_floor,review_adjusted_evidence_ceiling,ite_semantic_relation_review_status,tg_semantic_relation_review_status,semantic_review_scope,semantic_reviewer_type,human_confirmation_status,evidence_tier,evidence_tier_order,evidence_tier_reason,strict_syntax_supported_side,ite_side_evidence_level,tg_side_evidence_level,evidence_floor,evidence_ceiling,evidence_grade,evidence_grade_order,shared_global_concept_id,shared_label,shared_category,shared_node_focus_eligible,other_endpoints_focus_eligible,focus_eligible,shared_ite_document_frequency,shared_tg_document_frequency,shared_ite_incident_pair_degree,shared_tg_incident_pair_degree,ite_pair_id,ite_pair_key,ite_pair_label,ite_other_global_concept_id,ite_other_label,ite_other_category,ite_pair_paper_count,ite_pair_sentence_count,ite_pair_strict_syntax_relation_paper_count,ite_pair_human_confirmed_relation_paper_count,ite_strict_relation_ids,ite_human_confirmed_relation_ids,ite_authoritative_provenance_fk,tg_pair_id,tg_pair_key,tg_pair_label,tg_other_global_concept_id,tg_other_label,tg_other_category,tg_pair_paper_count,tg_pair_sentence_count,tg_pair_strict_syntax_relation_paper_count,tg_pair_human_confirmed_relation_paper_count,tg_strict_relation_ids,tg_human_confirmed_relation_ids,tg_authoritative_provenance_fk,closure_group_id,cross_endpoint_pair_key,cross_endpoint_pair,cross_endpoint_status_in_iTE,cross_endpoint_status_in_TG,human_relation_review_status,cross_paper_compatibility_status,cross_endpoint_evaluation_status,novelty_status,novelty_claim_allowed,scientific_claim_status,candidate_interpretation,minimum_relation_support,total_relation_support,minimum_human_confirmed_relation_support,total_human_confirmed_relation_support,minimum_pair_paper_count,sum_pair_paper_count,minimum_pair_sentence_count,sum_pair_sentence_count,shared_minimum_document_frequency,closure_path_count,shared_candidate_path_count,within_shared_node_support_rank,within_shared_node_tier_support_rank,focus_within_shared_node_support_rank,focus_within_shared_node_tier_support_rank,review_adjusted_within_shared_node_rank
11,138,TC_f62b7feaf99e,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_3c432d56645d,thermal gradient,mechanism_or_process,True,True,True,16,1,40,1,IP_e121590ef3d9,GC_3c432d56645d::GC_cf402379d512,thermal gradient + concentration gradient,GC_cf402379d512,concentration gradient,mechanism_or_process,1,1,1,0,AR_1e288c2fdddd,,IP_e121590ef3d9,TP_6febc60dcd6c,GC_3c432d56645d::GC_c5e29ae688a6,thermal gradient + investigate power,GC_c5e29ae688a6,investigate power,outcome_or_property,1,1,0,0,,,TP_6febc60dcd6c,CL_edf352a568c2,GC_c5e29ae688a6::GC_cf402379d512,concentration gradient + investigate power,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,40,1,1,1,1,1
12,317,TC_f6d89618735d,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_720e69b53d5a,concentration difference,mechanism_or_process,True,True,True,1,2,5,5,IP_8836d6fae355,GC_720e69b53d5a::GC_96687fd1b877,concentration difference + anion adsorption,GC_96687fd1b877,anion adsorption,mechanism_or_process,1,1,1,0,AR_d20ee0d670a0,,IP_8836d6fae355,TP_30855e8e1d19,GC_720e69b53d5a::GC_ebea89cc3918,concentration difference + kcl induced complexation,GC_ebea89cc3918,kcl induced complexation,mechanism_or_process,1,1,0,0,,,TP_30855e8e1d19,CL_4d2beaf70962,GC_96687fd1b877::GC_ebea89cc3918,anion adsorption + kcl induced complexation,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,25,2,2,1,1,1
13,318,TC_558878b2dd61,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_720e69b53d5a,concentration difference,mechanism_or_process,True,True,True,1,2,5,5,IP_8836d6fae355,GC_720e69b53d5a::GC_96687fd1b877,concentration difference + anion adsorption,GC_96687fd1b877,anion adsorption,mechanism_or_process,1,1,1,0,AR_d20ee0d670a0,,IP_8836d6fae355,TP_5bd9d19032fe,GC_41374fb28f21::GC_720e69b53d5a,redox ion + concentration difference,GC_41374fb28f21,redox ion,material_or_structure,1,1,0,0,,,TP_5bd9d19032fe,CL_8d0407b8f82f,GC_41374fb28f21::GC_96687fd1b877,anion adsorption + redox ion,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,25,3,3,2,2,2
14,320,TC_37161d1b5d0e,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_720e69b53d5a,concentration difference,mechanism_or_process,True,True,True,1,2,5,5,IP_8836d6fae355,GC_720e69b53d5a::GC_96687fd1b877,concentration difference + anion adsorption,GC_96687fd1b877,anion adsorption,mechanism_or_process,1,1,1,0,AR_d20ee0d670a0,,IP_8836d6fae355,TP_b3aa5f6c861b,GC_5f9395c3b80a::GC_720e69b53d5a,entropy + concentration difference,GC_5f9395c3b80a,entropy,mechanism_or_process,1,1,0,0,,,TP_b3aa5f6c861b,CL_078b8bf4a739,GC_5f9395c3b80a::GC_96687fd1b877,anion adsorption + entropy,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,25,5,5,3,3,3
15,354,TC_d0a0a1002ef9,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_9f138d3cd94d,diffusion,mechanism_or_process,True,True,True,11,4,23,7,IP_74c7586b48eb,GC_05203ac208f7::GC_9f138d3cd94d,host guest complexation + diffusion,GC_05203ac208f7,host guest complexation,mechanism_or_process,1,1,1,0,AR_281e7aa7d45f,,IP_74c7586b48eb,TP_13732954fa1b,GC_8335aa66a8d7::GC_9f138d3cd94d,single solvent + diffusion,GC_8335aa66a8d7,single solvent,material_or_structure,1,1,0,0,,,TP_13732954fa1b,CL_45480ab47ed5,GC_05203ac208f7::GC_8335aa66a8d7,host guest complexation + single solvent,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,4,1,160,1,1,1,1,1
16,355,TC_c8284f4476de,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_9f138d3cd94d,diffusion,mechanism_or_process,True,True,True,11,4,23,7,IP_74c7586b48eb,GC_05203ac208f7::GC_9f138d3cd94d,host guest complexation + diffusion,GC_05203ac208f7,host guest complexation,mechanism_or_process,1,1,1,0,AR_281e7aa7d45f,,IP_74c7586b48eb,TP_31cbc8263390,GC_9f138d3cd94d::GC_ca8cc375b7ff,diffusion + superior ionic conductivity,GC_ca8cc375b7ff,superior ionic conductivity,outcome_or_property,1,1,0,0,,,TP_31cbc8263390,CL_810471e710ec,GC_05203ac208f7::GC_ca8cc375b7ff,host guest complexation + superior ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,4,1,160,2,2,2,2,2
17,357,TC_05a1b53fefd1,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_9f138d3cd94d,diffusion,mechanism_or_process,True,True,True,11,4,23,7,IP_74c7586b48eb,GC_05203ac208f7::GC_9f138d3cd94d,host guest complexation + diffusion,GC_05203ac208f7,host guest complexation,mechanism_or_process,1,1,1,0,AR_281e7aa7d45f,,IP_74c7586b48eb,TP_5a7e804a371e,GC_9f138d3cd94d::GC_eac622c16e4b,diffusion + diffusion transport,GC_eac622c16e4b,diffusion transport,mechanism_or_process,1,1,0,0,,,TP_5a7e804a371e,CL_a620f7b065a1,GC_05203ac208f7::GC_eac622c16e4b,host guest complexation + diffusion transport,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,4,1,160,4,4,3,3,3
18,358,TC_c03ded8ce617,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_9f138d3cd94d,diffusion,mechanism_or_process,True,True,True,11,4,23,7,IP_74c7586b48eb,GC_05203ac208f7::GC_9f138d3cd94d,host guest complexation + diffusion,GC_05203ac208f7,host guest complexation,mechanism_or_process,1,1,1,0,AR_281e7aa7d45f,,IP_74c7586b48eb,TP_a2f3b8618ead,GC_9f138d3cd94d::GC_c5590b164e57,diffusion + migration,GC_c5590b164e57,migration,mechanism_or_process,1,1,0,0,,,TP_a2f3b8618ead,CL_8385211aff48,GC_05203ac208f7::GC_c5590b164e57,host guest complexation + migration,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,4,1,160,5,5,4,4,4
19,359,TC_e8ea0c0e2796,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_9f138d3cd94d,diffusion,mechanism_or_process,True,True,True,11,4,23,7,IP_74c7586b48eb,GC_05203ac208f7::GC_9f138d3cd94d,host guest complexation + diffusion,GC_05203ac208f7,host guest complexation,mechanism_or_process,1,1,1,0,AR_281e7aa7d45f,,IP_74c7586b48eb,TP_be289167c30d,GC_8fad6de82bba::GC_9f138d3cd94d,diffusion coefficient + diffusion,GC_8fad6de82bba,diffusion coefficient,outcome_or_property,1,1,0,0,,,TP_be289167c30d,CL_13bdfb1aedb2,GC_05203ac208f7::GC_8fad6de82bba,host guest complexation + diffusion coefficient,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,4,1,160,6,6,5,5,5
20,360,TC_f80e37bbf660,R1_single_direct_sentence_relation,2,2,1,1,2,direct_sentence_relation_accepted,cooccurrence_only,incident_relation_sentence_only,independent_AI_sentence_audit,pending,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_9f138d3cd94d,diffusion,mechanism_or_process,True,True,True,11,4,23,7,IP_74c7586b48eb,GC_05203ac208f7::GC_9f138d3cd94d,host guest complexation + diffusion,GC_05203ac208f7,host guest complexation,mechanism_or_process,1,1,1,0,AR_281e7aa7d45f,,IP_74c7586b48eb,TP_fd95ec203110,GC_574c3847115a::GC_9f138d3cd94d,different electrolyte + diffusion,GC_574c3847115a,different electrolyte,material_or_structure,1,1,0,0,,,TP_fd95ec203110,CL_8fdff63039da,GC_05203ac208f7::GC_574c3847115a,host guest complexation + different electrolyte,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,4,1,160,7,7,6,6,6
