audit_order,candidate_id,evidence_tier,evidence_tier_order,evidence_tier_reason,strict_syntax_supported_side,ite_side_evidence_level,tg_side_evidence_level,evidence_floor,evidence_ceiling,evidence_grade,evidence_grade_order,shared_global_concept_id,shared_label,shared_category,shared_node_focus_eligible,other_endpoints_focus_eligible,focus_eligible,shared_ite_document_frequency,shared_tg_document_frequency,shared_ite_incident_pair_degree,shared_tg_incident_pair_degree,ite_pair_id,ite_pair_key,ite_pair_label,ite_other_global_concept_id,ite_other_label,ite_other_category,ite_pair_paper_count,ite_pair_sentence_count,ite_pair_strict_syntax_relation_paper_count,ite_pair_human_confirmed_relation_paper_count,ite_strict_relation_ids,ite_human_confirmed_relation_ids,ite_authoritative_provenance_fk,tg_pair_id,tg_pair_key,tg_pair_label,tg_other_global_concept_id,tg_other_label,tg_other_category,tg_pair_paper_count,tg_pair_sentence_count,tg_pair_strict_syntax_relation_paper_count,tg_pair_human_confirmed_relation_paper_count,tg_strict_relation_ids,tg_human_confirmed_relation_ids,tg_authoritative_provenance_fk,closure_group_id,cross_endpoint_pair_key,cross_endpoint_pair,cross_endpoint_status_in_iTE,cross_endpoint_status_in_TG,human_relation_review_status,cross_paper_compatibility_status,cross_endpoint_evaluation_status,novelty_status,novelty_claim_allowed,scientific_claim_status,candidate_interpretation,minimum_relation_support,total_relation_support,minimum_human_confirmed_relation_support,total_human_confirmed_relation_support,minimum_pair_paper_count,sum_pair_paper_count,minimum_pair_sentence_count,sum_pair_sentence_count,shared_minimum_document_frequency,closure_path_count,shared_candidate_path_count,within_shared_node_support_rank,within_shared_node_tier_support_rank,focus_within_shared_node_support_rank,focus_within_shared_node_tier_support_rank
160,TC_4f75ee456983,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_4e46de07af2d,GC_138545480ba1::GC_4a92e5f4fe38,thermo electrochemical + hydrogel,GC_138545480ba1,thermo electrochemical,untyped_extractive_keyword,1,1,0,0,,,TP_4e46de07af2d,CL_e98a508edc26,GC_138545480ba1::GC_f2bba15c8a15,physiological temperature gradient + thermo electrochemical,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,27,27,,
161,TC_e74aa5ccfc2e,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_4e8d6a277f10,GC_4a92e5f4fe38::GC_50c64ed68beb,hydrogel + freeze tolerance,GC_50c64ed68beb,freeze tolerance,untyped_extractive_keyword,1,1,0,0,,,TP_4e8d6a277f10,CL_0e0ec482ca63,GC_50c64ed68beb::GC_f2bba15c8a15,physiological temperature gradient + freeze tolerance,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,28,28,,
164,TC_ba53f5e6a1df,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_5ec4ae573029,GC_4a92e5f4fe38::GC_d7e4ea27d643,hydrogel + quasi solid,GC_d7e4ea27d643,quasi solid,untyped_extractive_keyword,1,1,0,0,,,TP_5ec4ae573029,CL_41684e71e305,GC_d7e4ea27d643::GC_f2bba15c8a15,physiological temperature gradient + quasi solid,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,31,31,,
173,TC_d96eb9067d1f,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_7b3c19dcd149,GC_4a92e5f4fe38::GC_649527c4ec05,hydrogel + self humidifying,GC_649527c4ec05,self humidifying,untyped_extractive_keyword,1,1,0,0,,,TP_7b3c19dcd149,CL_ee7fd59c1d00,GC_649527c4ec05::GC_f2bba15c8a15,physiological temperature gradient + self humidifying,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,39,39,,
174,TC_266c12b33768,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_7c34a0e76b70,GC_4a92e5f4fe38::GC_add8780f20fe,hydrogel + molecular dynamics simulations,GC_add8780f20fe,molecular dynamics simulations,evidence_method,1,1,0,0,,,TP_7c34a0e76b70,CL_b99994556a46,GC_add8780f20fe::GC_f2bba15c8a15,physiological temperature gradient + molecular dynamics simulations,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,40,40,,
178,TC_f2da2275bf40,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_8d1baadc5b21,GC_4a92e5f4fe38::GC_d1b9a44d61c7,hydrogel + atten tion,GC_d1b9a44d61c7,atten tion,untyped_extractive_keyword,1,1,0,0,,,TP_8d1baadc5b21,CL_c3e7e5909017,GC_d1b9a44d61c7::GC_f2bba15c8a15,physiological temperature gradient + atten tion,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,43,43,,
182,TC_9762c71cbcfe,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_a113419bc98d,GC_3ea8786de366::GC_4a92e5f4fe38,thermogalvanic cell + hydrogel,GC_3ea8786de366,thermogalvanic cell,device_or_context,1,1,0,0,,,TP_a113419bc98d,CL_a540241afa84,GC_3ea8786de366::GC_f2bba15c8a15,physiological temperature gradient + thermogalvanic cell,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,47,47,,
195,TC_dc54c1e4d937,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_cb0a8e05227c,GC_02010c234a8a::GC_4a92e5f4fe38,eco friendliness + hydrogel,GC_02010c234a8a,eco friendliness,untyped_extractive_keyword,1,1,0,0,,,TP_cb0a8e05227c,CL_30b69720af93,GC_02010c234a8a::GC_f2bba15c8a15,physiological temperature gradient + eco friendliness,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,58,58,,
200,TC_1f73f51de489,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_d553d9821747,GC_4a92e5f4fe38::GC_9f7eee750593,hydrogel + millimeter level,GC_9f7eee750593,millimeter level,untyped_extractive_keyword,1,1,0,0,,,TP_d553d9821747,CL_f44dfff7e0e2,GC_9f7eee750593::GC_f2bba15c8a15,physiological temperature gradient + millimeter level,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,63,63,,
201,TC_d0fc3b599752,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_d61ca884fa21,GC_4a92e5f4fe38::GC_dda7f8bc7f7c,hydrogel + array thermogalvanic,GC_dda7f8bc7f7c,array thermogalvanic,untyped_extractive_keyword,1,1,0,0,,,TP_d61ca884fa21,CL_f05826e3964e,GC_dda7f8bc7f7c::GC_f2bba15c8a15,physiological temperature gradient + array thermogalvanic,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,64,64,,
202,TC_7f99f5784da9,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_d8ba219b2ad3,GC_27b4968fb9f4::GC_4a92e5f4fe38,quasi stable + hydrogel,GC_27b4968fb9f4,quasi stable,untyped_extractive_keyword,1,1,0,0,,,TP_d8ba219b2ad3,CL_d3638b214ad5,GC_27b4968fb9f4::GC_f2bba15c8a15,physiological temperature gradient + quasi stable,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,65,65,,
203,TC_00bf4bd1333f,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_d9048e5b9aeb,GC_2e8e201aef30::GC_4a92e5f4fe38,liquid state + hydrogel,GC_2e8e201aef30,liquid state,untyped_extractive_keyword,1,1,0,0,,,TP_d9048e5b9aeb,CL_c263b5d15528,GC_2e8e201aef30::GC_f2bba15c8a15,physiological temperature gradient + liquid state,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,66,66,,
206,TC_78019e6857a8,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,False,False,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_de4e793f2487,GC_4a92e5f4fe38::GC_6f3be58a8f19,hydrogel + real time,GC_6f3be58a8f19,real time,untyped_extractive_keyword,1,1,0,0,,,TP_de4e793f2487,CL_753876d47076,GC_6f3be58a8f19::GC_f2bba15c8a15,physiological temperature gradient + real time,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,21,1,9390,68,68,,
