review_queue_order,audit_order,candidate_id,evidence_tier,evidence_tier_order,evidence_tier_reason,strict_syntax_supported_side,ite_side_evidence_level,tg_side_evidence_level,evidence_floor,evidence_ceiling,evidence_grade,evidence_grade_order,shared_global_concept_id,shared_label,shared_category,shared_node_focus_eligible,other_endpoints_focus_eligible,focus_eligible,shared_ite_document_frequency,shared_tg_document_frequency,shared_ite_incident_pair_degree,shared_tg_incident_pair_degree,ite_pair_id,ite_pair_key,ite_pair_label,ite_other_global_concept_id,ite_other_label,ite_other_category,ite_pair_paper_count,ite_pair_sentence_count,ite_pair_strict_syntax_relation_paper_count,ite_pair_human_confirmed_relation_paper_count,ite_strict_relation_ids,ite_human_confirmed_relation_ids,ite_authoritative_provenance_fk,tg_pair_id,tg_pair_key,tg_pair_label,tg_other_global_concept_id,tg_other_label,tg_other_category,tg_pair_paper_count,tg_pair_sentence_count,tg_pair_strict_syntax_relation_paper_count,tg_pair_human_confirmed_relation_paper_count,tg_strict_relation_ids,tg_human_confirmed_relation_ids,tg_authoritative_provenance_fk,closure_group_id,cross_endpoint_pair_key,cross_endpoint_pair,cross_endpoint_status_in_iTE,cross_endpoint_status_in_TG,human_relation_review_status,cross_paper_compatibility_status,cross_endpoint_evaluation_status,novelty_status,novelty_claim_allowed,scientific_claim_status,candidate_interpretation,minimum_relation_support,total_relation_support,minimum_human_confirmed_relation_support,total_human_confirmed_relation_support,minimum_pair_paper_count,sum_pair_paper_count,minimum_pair_sentence_count,sum_pair_sentence_count,shared_minimum_document_frequency,closure_path_count,shared_candidate_path_count,within_shared_node_support_rank,within_shared_node_tier_support_rank,focus_within_shared_node_support_rank,focus_within_shared_node_tier_support_rank,round_robin_round,review_selection_reason,selection_policy_id,review_selected
11,646,TC_b0e10afeba5d,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_f22b98b878db,entropy difference,mechanism_or_process,True,True,True,1,4,3,13,IP_36210dc9d872,GC_5ce88e5ad7e0::GC_f22b98b878db,thermal migration + entropy difference,GC_5ce88e5ad7e0,thermal migration,mechanism_or_process,1,1,0,0,,,IP_36210dc9d872,TP_0df90ce39775,GC_c66d2ca12074::GC_f22b98b878db,amphiphilic network + entropy difference,GC_c66d2ca12074,amphiphilic network,material_or_structure,1,1,1,0,AR_67420f8ca50e,,TP_0df90ce39775,CL_a4eab25a5a66,GC_5ce88e5ad7e0::GC_c66d2ca12074,thermal migration + amphiphilic network,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,2,38,1,1,1,1,1,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
12,659,TC_298e035a8cab,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_f50bbe3cdc5d,temperature gradient,mechanism_or_process,True,True,True,35,18,74,32,IP_2bf8ba37b1de,GC_854d252d9a45::GC_f50bbe3cdc5d,thermodiffusion + temperature gradient,GC_854d252d9a45,thermodiffusion,mechanism_or_process,3,3,0,0,,,IP_2bf8ba37b1de,TP_3d10de20fa31,GC_71c1faf6fa71::GC_f50bbe3cdc5d,favourable electrochemical redox reaction + temperature gradient,GC_71c1faf6fa71,favourable electrochemical redox reaction,mechanism_or_process,1,1,1,0,AR_10561c52c88a,,TP_3d10de20fa31,CL_805b7db9fb1e,GC_71c1faf6fa71::GC_854d252d9a45,thermodiffusion + favourable electrochemical redox reaction,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,4,1,4,18,1,2366,1,1,1,1,1,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
13,124,TC_63292af93846,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_27998e08b8e3,hydration,mechanism_or_process,True,True,True,9,2,21,10,IP_99e18ee308b7,GC_27998e08b8e3::GC_7320e2b5d0b7,hydration + regulation,GC_7320e2b5d0b7,regulation,mechanism_or_process,1,1,1,0,AR_fed57ee4bc13,,IP_99e18ee308b7,TP_533b56f218e6,GC_27998e08b8e3::GC_6cdb23f33c74,hydration + seebeck coefficient,GC_6cdb23f33c74,seebeck coefficient,outcome_or_property,1,1,0,0,,,TP_533b56f218e6,CL_9ec87c4182ec,GC_6cdb23f33c74::GC_7320e2b5d0b7,regulation + seebeck coefficient,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,210,2,2,2,2,2,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
14,134,TC_8f23bd333802,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_3c0cb933cdf7,ion pair,material_or_structure,True,True,True,1,1,5,3,IP_71541f756f62,GC_3c0cb933cdf7::GC_aa7025094eaf,ion pair + repulsive interaction,GC_aa7025094eaf,repulsive interaction,mechanism_or_process,1,1,0,0,,,IP_71541f756f62,TP_46ec6d90fab8,GC_3c0cb933cdf7::GC_bc536166f47d,ion pair + ionic conductivity,GC_bc536166f47d,ionic conductivity,outcome_or_property,1,1,1,0,AR_e1bc1081eee2,,TP_46ec6d90fab8,CL_f7ee0ef554eb,GC_aa7025094eaf::GC_bc536166f47d,repulsive interaction + ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,15,2,2,2,2,2,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
15,152,TC_e226354c602e,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_4a92e5f4fe38,hydrogel,material_or_structure,True,True,True,41,21,122,77,IP_c4feef01a10e,GC_4a92e5f4fe38::GC_f2bba15c8a15,hydrogel + physiological temperature gradient,GC_f2bba15c8a15,physiological temperature gradient,mechanism_or_process,1,1,1,0,AR_cc07e8ae6672,,IP_c4feef01a10e,TP_2877bc740945,GC_4a92e5f4fe38::GC_4b155e3c784d,hydrogel + thermoelectric conversion,GC_4b155e3c784d,thermoelectric conversion,mechanism_or_process,2,3,0,0,,,TP_2877bc740945,CL_60516e2479e6,GC_4b155e3c784d::GC_f2bba15c8a15,physiological temperature gradient + thermoelectric conversion,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,3,1,4,21,1,9390,2,2,2,2,2,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
16,318,TC_558878b2dd61,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_720e69b53d5a,concentration difference,mechanism_or_process,True,True,True,1,2,5,5,IP_8836d6fae355,GC_720e69b53d5a::GC_96687fd1b877,concentration difference + anion adsorption,GC_96687fd1b877,anion adsorption,mechanism_or_process,1,1,1,0,AR_d20ee0d670a0,,IP_8836d6fae355,TP_5bd9d19032fe,GC_41374fb28f21::GC_720e69b53d5a,redox ion + concentration difference,GC_41374fb28f21,redox ion,material_or_structure,1,1,0,0,,,TP_5bd9d19032fe,CL_8d0407b8f82f,GC_41374fb28f21::GC_96687fd1b877,anion adsorption + redox ion,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,25,3,3,2,2,2,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
17,355,TC_c8284f4476de,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_9f138d3cd94d,diffusion,mechanism_or_process,True,True,True,11,4,23,7,IP_74c7586b48eb,GC_05203ac208f7::GC_9f138d3cd94d,host guest complexation + diffusion,GC_05203ac208f7,host guest complexation,mechanism_or_process,1,1,1,0,AR_281e7aa7d45f,,IP_74c7586b48eb,TP_31cbc8263390,GC_9f138d3cd94d::GC_ca8cc375b7ff,diffusion + superior ionic conductivity,GC_ca8cc375b7ff,superior ionic conductivity,outcome_or_property,1,1,0,0,,,TP_31cbc8263390,CL_810471e710ec,GC_05203ac208f7::GC_ca8cc375b7ff,host guest complexation + superior ionic conductivity,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,4,1,160,2,2,2,2,2,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
18,362,TC_1db38e7db76e,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,iTE,2,1,1,2,G1_single_strict_syntax_candidate,2,GC_a8e6012e4ab8,transport,mechanism_or_process,True,True,True,12,2,33,2,IP_ebba339631c0,GC_7c230545ba0f::GC_a8e6012e4ab8,zn2+-cellulose + transport,GC_7c230545ba0f,zn2+-cellulose,literal_formula,1,1,1,0,AR_08204431f286,,IP_ebba339631c0,TP_88c137bb92c3,GC_a8e6012e4ab8::GC_cb26432a333c,transport + transport property,GC_cb26432a333c,transport property,outcome_or_property,1,1,0,0,,,TP_88c137bb92c3,CL_c46950e28a00,GC_7c230545ba0f::GC_cb26432a333c,zn2+-cellulose + transport property,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,2,1,65,2,2,2,2,2,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
19,466,TC_533b87cf6592,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_cf402379d512,concentration gradient,mechanism_or_process,True,True,True,3,5,4,19,IP_0758751d080f,GC_cf402379d512::GC_fd67e6523f72,concentration gradient + bulk diffusion,GC_fd67e6523f72,bulk diffusion,mechanism_or_process,1,1,0,0,,,IP_0758751d080f,TP_671a0fd969af,GC_6624fb8cc64b::GC_cf402379d512,temperature dependent host guest interaction + concentration gradient,GC_6624fb8cc64b,temperature dependent host guest interaction,mechanism_or_process,1,1,1,0,AR_9ff4ef61c8a8,,TP_671a0fd969af,CL_df58af4c348e,GC_6624fb8cc64b::GC_fd67e6523f72,bulk diffusion + temperature dependent host guest interaction,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,3,1,76,3,2,3,2,2,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
20,580,TC_40dde738824a,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_d18c91f9affa,temperature difference,mechanism_or_process,True,True,True,27,27,71,54,IP_38dd1ddc7978,GC_d18c91f9affa::GC_f8594c410875,temperature difference + power density,GC_f8594c410875,power density,outcome_or_property,2,2,0,0,,,IP_38dd1ddc7978,TP_7512f79881c6,GC_a51be089433c::GC_d18c91f9affa,maxsorb electrode + temperature difference,GC_a51be089433c,maxsorb electrode,material_or_structure,1,1,1,0,AR_72c9bb1fbf6d,,TP_7512f79881c6,CL_d1ae20bcf75a,GC_a51be089433c::GC_f8594c410875,power density + maxsorb electrode,not_observed_in_frozen_iTE_abstract_corpus,not_observed_in_frozen_TG_abstract_corpus,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,3,1,3,27,3,3826,2,2,2,2,2,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
21,647,TC_73954f2adef3,B_single_strict_syntax_candidate,2,one_incident_pair_has_strict_syntax_relation_support,TG,1,2,1,2,G1_single_strict_syntax_candidate,2,GC_f22b98b878db,entropy difference,mechanism_or_process,True,True,True,1,4,3,13,IP_d768d544e42c,GC_5f9395c3b80a::GC_f22b98b878db,entropy + entropy difference,GC_5f9395c3b80a,entropy,mechanism_or_process,1,1,0,0,,,IP_d768d544e42c,TP_0df90ce39775,GC_c66d2ca12074::GC_f22b98b878db,amphiphilic network + entropy difference,GC_c66d2ca12074,amphiphilic network,material_or_structure,1,1,1,0,AR_67420f8ca50e,,TP_0df90ce39775,CL_f75c384406d9,GC_5f9395c3b80a::GC_c66d2ca12074,entropy + amphiphilic network,not_observed_in_frozen_iTE_abstract_corpus,already_observed_in_TG,pending,untested,not_tested,not_assessed,False,retrieval_candidate_only,two_distinct_pairs_share_one_exact_node_no_cross_paper_causality,0,1,0,0,1,2,1,2,1,1,38,2,2,2,2,2,retain_all_single_strict_syntax_paths,identity_blind_v1_all_A_B_plus_C_round_robin_3_per_shared_node,True
