paper_id,analysis_layer,source_membership,year,title,paper_concept_id,concept_occurrence_id,doi,sentence_id,sentence_text,sentence_char_start,sentence_char_end,surface_text,normalized_label,normalization_operations,lexical_category,head_token,char_start,char_end,extractor_pattern,document_frequency,paper_occurrence_count,token_count,selection_score,global_concept_id,layer_node_id,span_exact_match,semantic_addition_allowed,selection_scope,cross_paper_frequency_used_for_selection,verifier_status,occurrence_count
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_9ad246aa9f2a,CO_b65814b72a89,10.1016/j.joule.2025.101822,6,"As a result, the optimized electrolyte could potentially reach '70% improvement of cooling power, and a direct cooling of electrolyte '1.42 K was demonstrated with only 0.11 W cm-2 input, showing promise for practical electrochemical refrigeration.",889,1137,cooling power,cooling power,identity,outcome_or_property,power,972,985,head_noun_phrase,2,1,2,3.3279,GC_52c27199b958,LN_754ce830305f,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_069123609e5e,CO_cadcbbc9a098,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",411,662,decreased heat capacity,decreased heat capacity,identity,outcome_or_property,capacity,638,661,head_noun_phrase,1,1,3,3.3879,GC_33fe6970dfc4,LN_de13a1108cbf,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_ce08f128fbc5,CO_89037d7b5d96,10.1016/j.joule.2025.101822,3,Developing thermogalvanic electrolytes with high-temperature coefficients and low heat capacity is the key to efficient electrochemical refrigeration.,260,410,Developing thermogalvanic electrolytes,developing thermogalvanic electrolyte,lowercase; simple_plural_to_singular,material_or_structure,electrolyte,260,298,head_noun_phrase,1,1,3,4.1879,GC_79e64bdeeac6,LN_7905aba65a79,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_2f288dfb7a74,CO_8212c9da2115,10.1016/j.joule.2025.101822,6,"As a result, the optimized electrolyte could potentially reach '70% improvement of cooling power, and a direct cooling of electrolyte '1.42 K was demonstrated with only 0.11 W cm-2 input, showing promise for practical electrochemical refrigeration.",889,1137,direct cooling,direct cooling,identity,mechanism_or_process,cooling,993,1007,head_noun_phrase,1,1,2,4.3279,GC_f410b2cafd73,LN_9b7aad2347d8,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_82cc2b981eff,CO_1667b550ecbf,10.1016/j.joule.2025.101822,1,Emerging thermogalvanic systems can not only convert heat into electricity but also enable electrochemical refrigeration.,0,121,electrochemical refrigeration,electrochemical refrigeration,identity,device_or_context,refrigeration,91,120,head_noun_phrase,1,3,2,2.0359,GC_cfc79e26d8d5,LN_caf57c8cbe8e,True,False,single_abstract_only,False,span_valid_pending_semantic_review,3
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_f8de4936269e,CO_40ca879eaa39,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",663,888,entropy,entropy,identity,mechanism_or_process,entropy,829,836,head_noun_phrase,64,1,1,4.2679,GC_5f9395c3b80a,LN_b26f52a5bd6b,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_1675ad46156a,CO_f138cc3c47d3,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",663,888,Fe2+,fe2+,lowercase,literal_formula,fe2+,784,788,literal_formula,3,1,1,3.0679,GC_00d346cf7914,LN_f4778d336cf3,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_e416e309c0d5,CO_bed0e81f7595,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",411,662,Fe2+/3+,fe2+/3+,lowercase,literal_formula,fe2+/3+,563,570,literal_formula,9,1,1,3.0679,GC_aeb7f6435b60,LN_ab5b90be788c,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_8474488ee82e,CO_817194bb4398,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",411,662,Fe2+/3+ ions,fe2+/3+ ion,lowercase; simple_plural_to_singular,material_or_structure,ion,563,575,head_noun_phrase,2,1,2,4.1279,GC_44f79da9c162,LN_0b7469ab6547,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_071f166ac95e,CO_99b76c08c567,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",663,888,Fe2+/3+-ClO4-,fe2+/3+-clo4-,lowercase,literal_formula,fe2+/3+-clo4-,711,724,literal_formula,1,1,1,3.0679,GC_f7bf76f5e270,LN_c56646b68834,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_52467755f2d0,CO_5218d39c31b9,10.1016/j.joule.2025.101822,2,"However, their fundamental electrolytes meet challenges toward high cooling performance due to the absence of rational design principles.",122,259,fundamental electrolytes,fundamental electrolyte,simple_plural_to_singular,material_or_structure,electrolyte,137,161,head_noun_phrase,1,1,2,4.1279,GC_06d2021f6ae3,LN_4cf2010ba68b,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_15baa62b815e,CO_bcde00234ecd,10.1016/j.joule.2025.101822,3,Developing thermogalvanic electrolytes with high-temperature coefficients and low heat capacity is the key to efficient electrochemical refrigeration.,260,410,heat capacity,heat capacity,identity,outcome_or_property,capacity,342,355,head_noun_phrase,24,1,2,3.3279,GC_eea53d0b3908,LN_c69a61e2a9af,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_b678b1adaec3,CO_31ddebcd3ae1,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",663,888,nitrile solvents,nitrile solvent,simple_plural_to_singular,material_or_structure,solvent,793,809,head_noun_phrase,1,1,2,4.1279,GC_04e1c31f9190,LN_fffa69ec7cd6,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_df209027dbfc,CO_144b0b1c8444,10.1016/j.joule.2025.101822,6,"As a result, the optimized electrolyte could potentially reach '70% improvement of cooling power, and a direct cooling of electrolyte '1.42 K was demonstrated with only 0.11 W cm-2 input, showing promise for practical electrochemical refrigeration.",889,1137,practical electrochemical refrigeration,practical electrochemical refrigeration,identity,device_or_context,refrigeration,1097,1136,head_noun_phrase,1,1,3,1.8879,GC_1004290be41e,LN_d026365adce4,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_e8628630bf92,CO_848bfd3867d5,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",663,888,selective association,selective association,identity,mechanism_or_process,association,754,775,head_noun_phrase,1,1,2,4.3279,GC_0faed10bdc02,LN_bb019198023f,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_39da9e2ddb41,CO_291917396a29,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",411,662,solvation,solvation,identity,mechanism_or_process,solvation,544,553,head_noun_phrase,25,1,1,4.2679,GC_7fd8c2696d32,LN_9131c4fde17c,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_615d5c44b4da,CO_618a32a0570e,10.1016/j.joule.2025.101822,4,"Here, we report an iron- based electrolyte design strategy by synergistic binary solvent and anion engineering, which rearranges the solvation shell of Fe2+/3+ ions to achieve a high-temperature coefficient of 3.73 mV K-1 with decreased heat capacity.",411,662,synergistic binary solvent,synergistic binary solvent,identity,material_or_structure,solvent,473,499,head_noun_phrase,1,1,3,4.1879,GC_8fe38c9597eb,LN_6f0e9aa30dd6,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0002,TG,TG,2025,Solvation entropy engineering of thermogalvanic electrolytes for efficient electrochemical refrigeration,PC_9d4fab2851db,CO_df99b855aa52,10.1016/j.joule.2025.101822,5,"The comprehensive analyses reveal that the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents, fully enlarge the entropy change available for electrochemical refrigeration.",663,888,weak Fe2+/3+-ClO4- interactions,weak fe2+/3+-clo4- interaction,lowercase; simple_plural_to_singular,mechanism_or_process,interaction,706,737,head_noun_phrase,1,1,3,4.3879,GC_9acd776b32c1,LN_98da381d2de6,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_7798ae4e289e,CO_54ab7b32b7fe,10.1016/j.cej.2025.161288,3,"In this work, a n-type i-TEG with both high thermopower and energy density was achieved by balancing thermodiffusion effect and thermogalvanic effect in the hydrogel with the Fe2+/3+ redox couple.",295,491,balancing thermodiffusion,balancing thermodiffusion,identity,mechanism_or_process,thermodiffusion,386,411,head_noun_phrase,1,1,2,4.3279,GC_45761a0045cb,LN_059f9bbc2b53,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_dd9a596489a3,CO_42f9caf4dcb4,10.1016/j.cej.2025.161288,4,It's found that the thermopower generated by the hydrogels show a significant dependence on Fe2+/3+ concentration due to the complexation interaction between Fe2+/3+and Cl- species.,492,673,complexation,complexation,identity,mechanism_or_process,complexation,617,629,head_noun_phrase,6,1,1,4.2679,GC_96a5e1f0372e,LN_0df5dbecc2a4,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_9100e441a2ee,CO_2d7f12b77c36,10.1016/j.cej.2025.161288,4,It's found that the thermopower generated by the hydrogels show a significant dependence on Fe2+/3+ concentration due to the complexation interaction between Fe2+/3+and Cl- species.,492,673,complexation interaction,complexation interaction,identity,mechanism_or_process,interaction,617,641,head_noun_phrase,1,1,2,4.3279,GC_ef4247c19b0c,LN_33ac216edc22,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_105eeb7e62cd,CO_4822e8ce2e73,10.1016/j.cej.2025.161288,8,"A thermoelectric module consisting of seven thermoelectric cells in series was demonstrated to output a thermovoltage of -2.75 V and an instantaneous power of 0.278 mW, capable of continuously powering low-power electronic devices.",1188,1419,continuously powering low-power,continuously powering low power,hyphen_to_space,outcome_or_property,power,1368,1399,head_noun_phrase,1,1,4,3.4479,GC_d0a96197b678,LN_5d3e395b3aa5,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_fdca06af60ac,CO_fe22487e7636,10.1016/j.cej.2025.161288,5,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",674,846,electron transfer,electron transfer,identity,mechanism_or_process,transfer,761,778,head_noun_phrase,12,1,2,4.3279,GC_1db0c6881d49,LN_17f3cde1f207,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_bb6086a9f369,CO_cdaaccb15fe8,10.1016/j.cej.2025.161288,3,"In this work, a n-type i-TEG with both high thermopower and energy density was achieved by balancing thermodiffusion effect and thermogalvanic effect in the hydrogel with the Fe2+/3+ redox couple.",295,491,energy density,energy density,identity,outcome_or_property,density,355,369,head_noun_phrase,29,1,2,3.3279,GC_79c8cd50963f,LN_08a463bd970b,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_a5d7c23bd13c,CO_1067fc9b8ac9,10.1016/j.cej.2025.161288,3,"In this work, a n-type i-TEG with both high thermopower and energy density was achieved by balancing thermodiffusion effect and thermogalvanic effect in the hydrogel with the Fe2+/3+ redox couple.",295,491,Fe2+/3+,fe2+/3+,lowercase,literal_formula,fe2+/3+,470,477,literal_formula,9,4,1,3.3428,GC_aeb7f6435b60,LN_15831a359d1c,True,False,single_abstract_only,False,span_valid_pending_semantic_review,4
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_0cc1ab39c26c,CO_1c56493c40b8,10.1016/j.cej.2025.161288,4,It's found that the thermopower generated by the hydrogels show a significant dependence on Fe2+/3+ concentration due to the complexation interaction between Fe2+/3+and Cl- species.,492,673,Fe2+/3+and,fe2+/3+and,lowercase,literal_formula,fe2+/3+and,650,660,literal_formula,1,1,1,3.0679,GC_756f2db4bdc4,LN_0fa6eb630ce7,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_8ddd8e659ba7,CO_b93c66a0144b,10.1016/j.cej.2025.161288,6,"Consequently, the device based on gel Gel-Fe24 exhibits a balanced and high VOC and ISC, delivering a maximum Pmax/(Delta T)2 of 2.78 mW m-2 K-2 at Delta T = 10 K.",847,1010,Gel-Fe24,gel fe24,lowercase; hyphen_to_space,literal_formula,gel fe24,885,893,literal_formula,1,2,2,3.2496,GC_a029d7513d0c,LN_8e8d01deda2b,True,False,single_abstract_only,False,span_valid_pending_semantic_review,2
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_d448e3d58e4d,CO_f121b18bd952,10.1016/j.cej.2025.161288,3,"In this work, a n-type i-TEG with both high thermopower and energy density was achieved by balancing thermodiffusion effect and thermogalvanic effect in the hydrogel with the Fe2+/3+ redox couple.",295,491,hydrogel,hydrogel,identity,material_or_structure,hydrogel,452,460,head_noun_phrase,119,2,1,4.1896,GC_4a92e5f4fe38,LN_93302d23031b,True,False,single_abstract_only,False,span_valid_pending_semantic_review,2
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_61d1e8e3a8b8,CO_40c274c9556d,10.1016/j.cej.2025.161288,8,"A thermoelectric module consisting of seven thermoelectric cells in series was demonstrated to output a thermovoltage of -2.75 V and an instantaneous power of 0.278 mW, capable of continuously powering low-power electronic devices.",1188,1419,instantaneous power,instantaneous power,identity,outcome_or_property,power,1324,1343,head_noun_phrase,2,1,2,3.3279,GC_9b3f1773ddd5,LN_d1cef95603f3,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_80a8a56f0d39,CO_86b17332a9c1,10.1016/j.cej.2025.161288,1,"Ionic thermoelectric generators (i-TEGs), capable of generating several tens of millivolts per Kelvin, have emerged as a promising technology for powering mu W or mW-level electric devices by recovering low-grade heat energy.",0,225,Ionic thermoelectric generators,ionic thermoelectric generator,lowercase; simple_plural_to_singular,device_or_context,generator,0,31,head_noun_phrase,9,1,3,1.8879,GC_f4d7f27bbdc8,LN_3a7430b0f0dd,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_a850f397f00b,CO_9c7b84249ed3,10.1016/j.cej.2025.161288,7,"In i-TE generator mode, the i-TEG with gel Gel-Fe24 can output a maximum energy density of 456J m-2 within the 1-hour discharging, and exhibit relatively good cyclic stability.",1011,1187,maximum energy density,maximum energy density,identity,outcome_or_property,density,1076,1098,head_noun_phrase,2,1,3,3.3879,GC_d860b3f13b30,LN_800ea4822472,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_339c5303ac6a,CO_e5d8e053f6d4,10.1016/j.cej.2025.161288,7,"In i-TE generator mode, the i-TEG with gel Gel-Fe24 can output a maximum energy density of 456J m-2 within the 1-hour discharging, and exhibit relatively good cyclic stability.",1011,1187,relatively good cyclic stability,relatively good cyclic stability,identity,outcome_or_property,stability,1154,1186,head_noun_phrase,1,1,4,3.4479,GC_45fd6f2f7b66,LN_b2d296b0d07b,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_94c5eb90abee,CO_da8ceabce775,10.1016/j.cej.2025.161288,8,"A thermoelectric module consisting of seven thermoelectric cells in series was demonstrated to output a thermovoltage of -2.75 V and an instantaneous power of 0.278 mW, capable of continuously powering low-power electronic devices.",1188,1419,seven thermoelectric cells,seven thermoelectric cell,simple_plural_to_singular,device_or_context,cell,1226,1252,head_noun_phrase,1,1,3,1.8879,GC_dcce351c0f37,LN_2bf63179780b,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
P0003,holdout,iTE|TG,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,PC_47462c2d2fac,CO_b358d0cfdc14,10.1016/j.cej.2025.161288,3,"In this work, a n-type i-TEG with both high thermopower and energy density was achieved by balancing thermodiffusion effect and thermogalvanic effect in the hydrogel with the Fe2+/3+ redox couple.",295,491,thermopower,thermopower,identity,outcome_or_property,thermopower,339,350,head_noun_phrase,178,3,1,3.4759,GC_118af0040619,LN_328e2e60dbad,True,False,single_abstract_only,False,span_valid_pending_semantic_review,3
P0004,TG,TG,2024,Deep-Learning-Assisted Thermogalvanic Hydrogel E-Skin for Self-Powered Signature Recognition and Biometric Authentication,PC_00e7490375b1,CO_30bfc1de7159,10.1002/adfm.202314419,4,"Owing to the formation of Li+(H2O)n hydration structure, the TGH presents excellent anti-freezing and non-drying performance.",554,679,anti-freezing,anti freezing,hyphen_to_space,untyped_extractive_keyword,freezing,638,651,generic_hyphenated_keyword,14,1,2,2.9279,GC_b922063cd003,LN_3be04fdf9063,True,False,single_abstract_only,False,span_valid_pending_semantic_review,1
