domain,source_concept_id,target_concept_id,source_mention_id,target_mention_id,rank,cosine_similarity
TG,TG:P0002:initial_n2,TG:P0002:initial_n1,TG:P0002:n2,TG:P0002:n1,1,0.9743331074714661
TG,TG:P0002:initial_n2,TG:P0002:initial_n3,TG:P0002:n2,TG:P0002:n3,2,0.9582164287567139
TG,TG:P0002:initial_n2,TG:P0192:initial_n1,TG:P0002:n2,TG:P0192:n1,3,0.8739544749259949
TG,TG:P0002:initial_n2,TG:P0258:initial_n4,TG:P0002:n2,TG:P0258:n4,4,0.862646222114563
TG,TG:P0002:initial_n2,TG:P0084:initial_n3,TG:P0002:n2,TG:P0084:n3,5,0.8623712658882141
TG,TG:P0002:initial_n2,TG:P0084:initial_n2,TG:P0002:n2,TG:P0084:n2,6,0.8568695187568665
TG,TG:P0002:initial_n2,TG:P0258:initial_n5,TG:P0002:n2,TG:P0258:n5,7,0.8543282747268677
TG,TG:P0002:initial_n2,TG:P0251:initial_n6,TG:P0002:n2,TG:P0251:n6,8,0.8523772954940796
TG,TG:P0002:initial_n2,TG:P0192:initial_n4,TG:P0002:n2,TG:P0192:n4,9,0.8498146533966064
TG,TG:P0002:initial_n2,TG:P0264:initial_n3,TG:P0002:n2,TG:P0264:n3,10,0.8478974103927612
TG,TG:P0002:initial_n3,TG:P0002:initial_n1,TG:P0002:n3,TG:P0002:n1,1,0.9649759531021118
TG,TG:P0002:initial_n3,TG:P0002:initial_n2,TG:P0002:n3,TG:P0002:n2,2,0.9582164287567139
TG,TG:P0002:initial_n3,TG:P0195:initial_n4,TG:P0002:n3,TG:P0195:n4,3,0.9062869548797607
TG,TG:P0002:initial_n3,TG:P0022:initial_n2,TG:P0002:n3,TG:P0022:n2,4,0.8907374739646912
TG,TG:P0002:initial_n3,TG:P0192:initial_n3,TG:P0002:n3,TG:P0192:n3,5,0.8845816254615784
TG,TG:P0002:initial_n3,TG:P0258:initial_n4,TG:P0002:n3,TG:P0258:n4,6,0.8799479603767395
TG,TG:P0002:initial_n3,TG:P0146:initial_n2,TG:P0002:n3,TG:P0146:n2,7,0.8720490336418152
TG,TG:P0002:initial_n3,TG:P0264:initial_n3,TG:P0002:n3,TG:P0264:n3,8,0.8708867430686951
TG,TG:P0002:initial_n3,TG:P0192:initial_n1,TG:P0002:n3,TG:P0192:n1,9,0.8703296184539795
TG,TG:P0002:initial_n3,TG:P0072:initial_n2,TG:P0002:n3,TG:P0072:n2,10,0.8625265955924988
TG,TG:P0003:initial_n1,TG:P0003:initial_n3,TG:P0003:n1,TG:P0003:n3,1,0.9826535582542419
TG,TG:P0003:initial_n1,TG:P0003:initial_n2,TG:P0003:n1,TG:P0003:n2,2,0.9809030890464783
TG,TG:P0003:initial_n1,TG:P0026:initial_n2,TG:P0003:n1,TG:P0026:n2,3,0.8664162158966064
TG,TG:P0003:initial_n1,TG:P0332:initial_n1,TG:P0003:n1,TG:P0332:n1,4,0.8429892659187317
TG,TG:P0003:initial_n1,TG:P0026:initial_n1,TG:P0003:n1,TG:P0026:n1,5,0.8380894660949707
TG,TG:P0003:initial_n1,TG:P0229:initial_n1,TG:P0003:n1,TG:P0229:n1,6,0.8371944427490234
TG,TG:P0003:initial_n1,TG:P0026:initial_n4,TG:P0003:n1,TG:P0026:n4,7,0.8326525092124939
TG,TG:P0003:initial_n1,TG:P0329:initial_n1,TG:P0003:n1,TG:P0329:n1,8,0.8324123024940491
TG,TG:P0003:initial_n1,TG:P0270:initial_n3,TG:P0003:n1,TG:P0270:n3,9,0.831497311592102
TG,TG:P0003:initial_n1,TG:P0332:initial_n2,TG:P0003:n1,TG:P0332:n2,10,0.8291106820106506
TG,TG:P0003:initial_n2,TG:P0003:initial_n1,TG:P0003:n2,TG:P0003:n1,1,0.9809030890464783
TG,TG:P0003:initial_n2,TG:P0003:initial_n3,TG:P0003:n2,TG:P0003:n3,2,0.9786841869354248
TG,TG:P0003:initial_n2,TG:P0332:initial_n1,TG:P0003:n2,TG:P0332:n1,3,0.8335573673248291
TG,TG:P0003:initial_n2,TG:P0169:initial_n4,TG:P0003:n2,TG:P0169:n4,4,0.8323663473129272
TG,TG:P0003:initial_n2,TG:P0321:initial_n1,TG:P0003:n2,TG:P0321:n1,5,0.8323164582252502
TG,TG:P0003:initial_n2,TG:P0289:initial_n2,TG:P0003:n2,TG:P0289:n2,6,0.8321143388748169
TG,TG:P0003:initial_n2,TG:P0035:initial_n1,TG:P0003:n2,TG:P0035:n1,7,0.8291401267051697
TG,TG:P0003:initial_n2,TG:P0229:initial_n1,TG:P0003:n2,TG:P0229:n1,8,0.8289740085601807
TG,TG:P0003:initial_n2,TG:P0267:initial_n2,TG:P0003:n2,TG:P0267:n2,9,0.8280178904533386
TG,TG:P0003:initial_n2,TG:P0332:initial_n2,TG:P0003:n2,TG:P0332:n2,10,0.8271225690841675
TG,TG:P0003:initial_n3,TG:P0003:initial_n1,TG:P0003:n3,TG:P0003:n1,1,0.9826535582542419
TG,TG:P0003:initial_n3,TG:P0003:initial_n2,TG:P0003:n3,TG:P0003:n2,2,0.9786841869354248
TG,TG:P0003:initial_n3,TG:P0094:initial_n3,TG:P0003:n3,TG:P0094:n3,3,0.8339534401893616
TG,TG:P0003:initial_n3,TG:P0035:initial_n1,TG:P0003:n3,TG:P0035:n1,4,0.8325154185295105
TG,TG:P0003:initial_n3,TG:P0094:initial_n5,TG:P0003:n3,TG:P0094:n5,5,0.8281994462013245
TG,TG:P0003:initial_n3,TG:P0035:initial_n4,TG:P0003:n3,TG:P0035:n4,6,0.8274294137954712
TG,TG:P0003:initial_n3,TG:P0026:initial_n2,TG:P0003:n3,TG:P0026:n2,7,0.8272824287414551
TG,TG:P0003:initial_n3,TG:P0094:initial_n1,TG:P0003:n3,TG:P0094:n1,8,0.8271605372428894
TG,TG:P0003:initial_n3,TG:P0267:initial_n1,TG:P0003:n3,TG:P0267:n1,9,0.8259522318840027
TG,TG:P0003:initial_n3,TG:P0229:initial_n1,TG:P0003:n3,TG:P0229:n1,10,0.8254368901252747
TG,TG:P0004:initial_n1,TG:P0004:initial_n3,TG:P0004:n1,TG:P0004:n3,1,0.959107518196106
TG,TG:P0004:initial_n1,TG:P0004:initial_n2,TG:P0004:n1,TG:P0004:n2,2,0.9580990672111511
TG,TG:P0004:initial_n1,TG:P0048:initial_n3,TG:P0004:n1,TG:P0048:n3,3,0.873103141784668
TG,TG:P0004:initial_n1,TG:P0048:initial_n1,TG:P0004:n1,TG:P0048:n1,4,0.862480103969574
TG,TG:P0004:initial_n1,TG:P0193:initial_n1,TG:P0004:n1,TG:P0193:n1,5,0.8617631793022156
TG,TG:P0004:initial_n1,TG:P0054:initial_n2,TG:P0004:n1,TG:P0054:n2,6,0.8562051057815552
TG,TG:P0004:initial_n1,TG:P0048:initial_n2,TG:P0004:n1,TG:P0048:n2,7,0.8556631803512573
TG,TG:P0004:initial_n1,TG:P0052:initial_n1,TG:P0004:n1,TG:P0052:n1,8,0.8554061055183411
TG,TG:P0004:initial_n1,TG:P0054:initial_n3,TG:P0004:n1,TG:P0054:n3,9,0.8543449640274048
TG,TG:P0004:initial_n1,TG:P0054:initial_n1,TG:P0004:n1,TG:P0054:n1,10,0.8535363674163818
TG,TG:P0004:initial_n2,TG:P0004:initial_n3,TG:P0004:n2,TG:P0004:n3,1,0.9659035205841064
TG,TG:P0004:initial_n2,TG:P0004:initial_n1,TG:P0004:n2,TG:P0004:n1,2,0.9580990672111511
TG,TG:P0004:initial_n2,TG:P0048:initial_n3,TG:P0004:n2,TG:P0048:n3,3,0.9257971048355103
TG,TG:P0004:initial_n2,TG:P0054:initial_n2,TG:P0004:n2,TG:P0054:n2,4,0.9068254232406616
TG,TG:P0004:initial_n2,TG:P0048:initial_n2,TG:P0004:n2,TG:P0048:n2,5,0.8957407474517822
TG,TG:P0004:initial_n2,TG:P0048:initial_n1,TG:P0004:n2,TG:P0048:n1,6,0.8741220235824585
TG,TG:P0004:initial_n2,TG:P0259:initial_n2,TG:P0004:n2,TG:P0259:n2,7,0.8696077466011047
TG,TG:P0004:initial_n2,TG:P0054:initial_n3,TG:P0004:n2,TG:P0054:n3,8,0.8672163486480713
TG,TG:P0004:initial_n2,TG:P0166:initial_n5,TG:P0004:n2,TG:P0166:n5,9,0.866487979888916
TG,TG:P0004:initial_n2,TG:P0193:initial_n3,TG:P0004:n2,TG:P0193:n3,10,0.8481005430221558
TG,TG:P0004:initial_n3,TG:P0004:initial_n2,TG:P0004:n3,TG:P0004:n2,1,0.9659035205841064
TG,TG:P0004:initial_n3,TG:P0004:initial_n1,TG:P0004:n3,TG:P0004:n1,2,0.959107518196106
TG,TG:P0004:initial_n3,TG:P0054:initial_n3,TG:P0004:n3,TG:P0054:n3,3,0.902338981628418
TG,TG:P0004:initial_n3,TG:P0048:initial_n3,TG:P0004:n3,TG:P0048:n3,4,0.8857738971710205
TG,TG:P0004:initial_n3,TG:P0048:initial_n2,TG:P0004:n3,TG:P0048:n2,5,0.8829677104949951
TG,TG:P0004:initial_n3,TG:P0054:initial_n2,TG:P0004:n3,TG:P0054:n2,6,0.8790158629417419
TG,TG:P0004:initial_n3,TG:P0023:initial_n2,TG:P0004:n3,TG:P0023:n2,7,0.8610871434211731
TG,TG:P0004:initial_n3,TG:P0048:initial_n1,TG:P0004:n3,TG:P0048:n1,8,0.8600231409072876
TG,TG:P0004:initial_n3,TG:P0033:initial_n2,TG:P0004:n3,TG:P0033:n2,9,0.8593198657035828
TG,TG:P0004:initial_n3,TG:P0023:initial_n3,TG:P0004:n3,TG:P0023:n3,10,0.8566381335258484
TG,TG:P0005:initial_n2,TG:P0005:initial_n5,TG:P0005:n2,TG:P0005:n5,1,0.9786675572395325
TG,TG:P0005:initial_n2,TG:P0005:initial_n3,TG:P0005:n2,TG:P0005:n3,2,0.9786646366119385
TG,TG:P0005:initial_n2,TG:P0005:initial_n4,TG:P0005:n2,TG:P0005:n4,3,0.9748533964157104
TG,TG:P0005:initial_n2,TG:P0079:initial_n1,TG:P0005:n2,TG:P0079:n1,4,0.9087086915969849
TG,TG:P0005:initial_n2,TG:P0080:initial_n3,TG:P0005:n2,TG:P0080:n3,5,0.8928009867668152
TG,TG:P0005:initial_n2,TG:P0225:initial_n3,TG:P0005:n2,TG:P0225:n3,6,0.8882018327713013
TG,TG:P0005:initial_n2,TG:P0247:initial_n3,TG:P0005:n2,TG:P0247:n3,7,0.8784016966819763
TG,TG:P0005:initial_n2,TG:P0099:initial_n2,TG:P0005:n2,TG:P0099:n2,8,0.8734249472618103
TG,TG:P0005:initial_n2,TG:P0094:initial_n3,TG:P0005:n2,TG:P0094:n3,9,0.8683900833129883
TG,TG:P0005:initial_n2,TG:P0104:initial_n2,TG:P0005:n2,TG:P0104:n2,10,0.8669610023498535
TG,TG:P0005:initial_n3,TG:P0005:initial_n2,TG:P0005:n3,TG:P0005:n2,1,0.9786646366119385
TG,TG:P0005:initial_n3,TG:P0005:initial_n5,TG:P0005:n3,TG:P0005:n5,2,0.9769032597541809
TG,TG:P0005:initial_n3,TG:P0005:initial_n4,TG:P0005:n3,TG:P0005:n4,3,0.9715878367424011
TG,TG:P0005:initial_n3,TG:P0079:initial_n1,TG:P0005:n3,TG:P0079:n1,4,0.8717507123947144
TG,TG:P0005:initial_n3,TG:P0101:initial_n3,TG:P0005:n3,TG:P0101:n3,5,0.8551468849182129
TG,TG:P0005:initial_n3,TG:P0225:initial_n3,TG:P0005:n3,TG:P0225:n3,6,0.8513234853744507
TG,TG:P0005:initial_n3,TG:P0080:initial_n3,TG:P0005:n3,TG:P0080:n3,7,0.8509900569915771
TG,TG:P0005:initial_n3,TG:P0077:initial_n1,TG:P0005:n3,TG:P0077:n1,8,0.8471665382385254
TG,TG:P0005:initial_n3,TG:P0114:initial_n2,TG:P0005:n3,TG:P0114:n2,9,0.8462363481521606
TG,TG:P0005:initial_n3,TG:P0079:initial_n2,TG:P0005:n3,TG:P0079:n2,10,0.8454219698905945
TG,TG:P0005:initial_n4,TG:P0005:initial_n2,TG:P0005:n4,TG:P0005:n2,1,0.9748533964157104
TG,TG:P0005:initial_n4,TG:P0005:initial_n3,TG:P0005:n4,TG:P0005:n3,2,0.9715878367424011
TG,TG:P0005:initial_n4,TG:P0005:initial_n5,TG:P0005:n4,TG:P0005:n5,3,0.9710898399353027
TG,TG:P0005:initial_n4,TG:P0079:initial_n1,TG:P0005:n4,TG:P0079:n1,4,0.8660480380058289
TG,TG:P0005:initial_n4,TG:P0080:initial_n3,TG:P0005:n4,TG:P0080:n3,5,0.8556247353553772
TG,TG:P0005:initial_n4,TG:P0101:initial_n4,TG:P0005:n4,TG:P0101:n4,6,0.8512861728668213
TG,TG:P0005:initial_n4,TG:P0225:initial_n3,TG:P0005:n4,TG:P0225:n3,7,0.848892092704773
TG,TG:P0005:initial_n4,TG:P0247:initial_n3,TG:P0005:n4,TG:P0247:n3,8,0.8437880873680115
TG,TG:P0005:initial_n4,TG:P0104:initial_n2,TG:P0005:n4,TG:P0104:n2,9,0.8427844643592834
TG,TG:P0005:initial_n4,TG:P0225:initial_n1,TG:P0005:n4,TG:P0225:n1,10,0.8410226702690125
TG,TG:P0005:initial_n5,TG:P0005:initial_n2,TG:P0005:n5,TG:P0005:n2,1,0.9786675572395325
TG,TG:P0005:initial_n5,TG:P0005:initial_n3,TG:P0005:n5,TG:P0005:n3,2,0.9769032597541809
TG,TG:P0005:initial_n5,TG:P0005:initial_n4,TG:P0005:n5,TG:P0005:n4,3,0.9710898399353027
TG,TG:P0005:initial_n5,TG:P0079:initial_n1,TG:P0005:n5,TG:P0079:n1,4,0.8606488108634949
TG,TG:P0005:initial_n5,TG:P0080:initial_n3,TG:P0005:n5,TG:P0080:n3,5,0.852484405040741
TG,TG:P0005:initial_n5,TG:P0225:initial_n3,TG:P0005:n5,TG:P0225:n3,6,0.8468316197395325
TG,TG:P0005:initial_n5,TG:P0164:initial_n1,TG:P0005:n5,TG:P0164:n1,7,0.8453108668327332
TG,TG:P0005:initial_n5,TG:P0121:initial_n2,TG:P0005:n5,TG:P0121:n2,8,0.8432514667510986
TG,TG:P0005:initial_n5,TG:P0281:initial_n2,TG:P0005:n5,TG:P0281:n2,9,0.8407071232795715
TG,TG:P0005:initial_n5,TG:P0077:initial_n1,TG:P0005:n5,TG:P0077:n1,10,0.840606153011322
TG,TG:P0006:initial_n1,TG:P0006:initial_n2,TG:P0006:n1,TG:P0006:n2,1,0.9586964845657349
TG,TG:P0006:initial_n1,TG:P0006:initial_n3,TG:P0006:n1,TG:P0006:n3,2,0.9581876993179321
TG,TG:P0006:initial_n1,TG:P0006:initial_n5,TG:P0006:n1,TG:P0006:n5,3,0.9562315940856934
TG,TG:P0006:initial_n1,TG:P0006:initial_n4,TG:P0006:n1,TG:P0006:n4,4,0.9541833400726318
TG,TG:P0006:initial_n1,TG:P0053:initial_n4,TG:P0006:n1,TG:P0053:n4,5,0.8997405171394348
TG,TG:P0006:initial_n1,TG:P0053:initial_n2,TG:P0006:n1,TG:P0053:n2,6,0.8975623250007629
TG,TG:P0006:initial_n1,TG:P0053:initial_n3,TG:P0006:n1,TG:P0053:n3,7,0.895706832408905
TG,TG:P0006:initial_n1,TG:P0053:initial_n6,TG:P0006:n1,TG:P0053:n6,8,0.8854760527610779
TG,TG:P0006:initial_n1,TG:P0053:initial_n5,TG:P0006:n1,TG:P0053:n5,9,0.8798280954360962
TG,TG:P0006:initial_n1,TG:P0027:initial_n2,TG:P0006:n1,TG:P0027:n2,10,0.8748204112052917
TG,TG:P0006:initial_n2,TG:P0006:initial_n3,TG:P0006:n2,TG:P0006:n3,1,0.9589414596557617
TG,TG:P0006:initial_n2,TG:P0006:initial_n1,TG:P0006:n2,TG:P0006:n1,2,0.9586964845657349
TG,TG:P0006:initial_n2,TG:P0006:initial_n4,TG:P0006:n2,TG:P0006:n4,3,0.9516571760177612
TG,TG:P0006:initial_n2,TG:P0006:initial_n5,TG:P0006:n2,TG:P0006:n5,4,0.9464578628540039
TG,TG:P0006:initial_n2,TG:P0045:initial_n1,TG:P0006:n2,TG:P0045:n1,5,0.9111811518669128
TG,TG:P0006:initial_n2,TG:P0053:initial_n2,TG:P0006:n2,TG:P0053:n2,6,0.8643851280212402
TG,TG:P0006:initial_n2,TG:P0045:initial_n3,TG:P0006:n2,TG:P0045:n3,7,0.8640852570533752
TG,TG:P0006:initial_n2,TG:P0045:initial_n2,TG:P0006:n2,TG:P0045:n2,8,0.8597455620765686
TG,TG:P0006:initial_n2,TG:P0045:initial_n4,TG:P0006:n2,TG:P0045:n4,9,0.8579607605934143
TG,TG:P0006:initial_n2,TG:P0199:initial_n1,TG:P0006:n2,TG:P0199:n1,10,0.8511875867843628
TG,TG:P0006:initial_n3,TG:P0006:initial_n4,TG:P0006:n3,TG:P0006:n4,1,0.9639015793800354
TG,TG:P0006:initial_n3,TG:P0006:initial_n5,TG:P0006:n3,TG:P0006:n5,2,0.9622067809104919
TG,TG:P0006:initial_n3,TG:P0006:initial_n2,TG:P0006:n3,TG:P0006:n2,3,0.9589414596557617
TG,TG:P0006:initial_n3,TG:P0006:initial_n1,TG:P0006:n3,TG:P0006:n1,4,0.9581876993179321
TG,TG:P0006:initial_n3,TG:P0199:initial_n1,TG:P0006:n3,TG:P0199:n1,5,0.870078980922699
TG,TG:P0006:initial_n3,TG:P0045:initial_n2,TG:P0006:n3,TG:P0045:n2,6,0.8580449223518372
TG,TG:P0006:initial_n3,TG:P0261:initial_n5,TG:P0006:n3,TG:P0261:n5,7,0.8571636080741882
TG,TG:P0006:initial_n3,TG:P0045:initial_n3,TG:P0006:n3,TG:P0045:n3,8,0.8568762540817261
TG,TG:P0006:initial_n3,TG:P0053:initial_n2,TG:P0006:n3,TG:P0053:n2,9,0.8510068655014038
TG,TG:P0006:initial_n3,TG:P0045:initial_n1,TG:P0006:n3,TG:P0045:n1,10,0.8508654236793518
TG,TG:P0006:initial_n4,TG:P0006:initial_n3,TG:P0006:n4,TG:P0006:n3,1,0.9639015793800354
TG,TG:P0006:initial_n4,TG:P0006:initial_n1,TG:P0006:n4,TG:P0006:n1,2,0.9541833400726318
TG,TG:P0006:initial_n4,TG:P0006:initial_n5,TG:P0006:n4,TG:P0006:n5,3,0.9520978927612305
TG,TG:P0006:initial_n4,TG:P0006:initial_n2,TG:P0006:n4,TG:P0006:n2,4,0.9516571760177612
TG,TG:P0006:initial_n4,TG:P0199:initial_n1,TG:P0006:n4,TG:P0199:n1,5,0.8597891926765442
TG,TG:P0006:initial_n4,TG:P0053:initial_n2,TG:P0006:n4,TG:P0053:n2,6,0.8496413826942444
TG,TG:P0006:initial_n4,TG:P0045:initial_n1,TG:P0006:n4,TG:P0045:n1,7,0.846790075302124
TG,TG:P0006:initial_n4,TG:P0045:initial_n3,TG:P0006:n4,TG:P0045:n3,8,0.8467566967010498
TG,TG:P0006:initial_n4,TG:P0045:initial_n4,TG:P0006:n4,TG:P0045:n4,9,0.8440442681312561
TG,TG:P0006:initial_n4,TG:P0027:initial_n2,TG:P0006:n4,TG:P0027:n2,10,0.8432056903839111
TG,TG:P0006:initial_n5,TG:P0006:initial_n3,TG:P0006:n5,TG:P0006:n3,1,0.9622067809104919
TG,TG:P0006:initial_n5,TG:P0006:initial_n1,TG:P0006:n5,TG:P0006:n1,2,0.9562315940856934
TG,TG:P0006:initial_n5,TG:P0006:initial_n4,TG:P0006:n5,TG:P0006:n4,3,0.9520978927612305
TG,TG:P0006:initial_n5,TG:P0006:initial_n2,TG:P0006:n5,TG:P0006:n2,4,0.9464578628540039
TG,TG:P0006:initial_n5,TG:P0261:initial_n4,TG:P0006:n5,TG:P0261:n4,5,0.863021194934845
TG,TG:P0006:initial_n5,TG:P0015:initial_n3,TG:P0006:n5,TG:P0015:n3,6,0.8620921969413757
TG,TG:P0006:initial_n5,TG:P0199:initial_n1,TG:P0006:n5,TG:P0199:n1,7,0.861633837223053
TG,TG:P0006:initial_n5,TG:P0033:initial_n3,TG:P0006:n5,TG:P0033:n3,8,0.8568124771118164
TG,TG:P0006:initial_n5,TG:P0261:initial_n5,TG:P0006:n5,TG:P0261:n5,9,0.8541701436042786
TG,TG:P0006:initial_n5,TG:P0053:initial_n2,TG:P0006:n5,TG:P0053:n2,10,0.8459360599517822
TG,TG:P0007:initial_n1,TG:P0007:initial_n2,TG:P0007:n1,TG:P0007:n2,1,0.9681075215339661
TG,TG:P0007:initial_n1,TG:P0093:initial_n3,TG:P0007:n1,TG:P0093:n3,2,0.7830154299736023
TG,TG:P0007:initial_n1,TG:P0241:initial_n2,TG:P0007:n1,TG:P0241:n2,3,0.7797737717628479
TG,TG:P0007:initial_n1,TG:P0295:initial_n1,TG:P0007:n1,TG:P0295:n1,4,0.7764650583267212
TG,TG:P0007:initial_n1,TG:P0036:initial_n1,TG:P0007:n1,TG:P0036:n1,5,0.7714674472808838
TG,TG:P0007:initial_n1,TG:P0100:initial_n1,TG:P0007:n1,TG:P0100:n1,6,0.7701125741004944
TG,TG:P0007:initial_n1,TG:P0110:initial_n4,TG:P0007:n1,TG:P0110:n4,7,0.7698782682418823
TG,TG:P0007:initial_n1,TG:P0295:initial_n2,TG:P0007:n1,TG:P0295:n2,8,0.7657235860824585
TG,TG:P0007:initial_n1,TG:P0100:initial_n2,TG:P0007:n1,TG:P0100:n2,9,0.764845609664917
TG,TG:P0007:initial_n1,TG:P0021:initial_n3,TG:P0007:n1,TG:P0021:n3,10,0.7633935213088989
TG,TG:P0007:initial_n2,TG:P0007:initial_n1,TG:P0007:n2,TG:P0007:n1,1,0.9681075215339661
TG,TG:P0007:initial_n2,TG:P0241:initial_n2,TG:P0007:n2,TG:P0241:n2,2,0.8373695611953735
TG,TG:P0007:initial_n2,TG:P0110:initial_n4,TG:P0007:n2,TG:P0110:n4,3,0.8014039397239685
TG,TG:P0007:initial_n2,TG:P0110:initial_n2,TG:P0007:n2,TG:P0110:n2,4,0.8002127408981323
TG,TG:P0007:initial_n2,TG:P0110:initial_n1,TG:P0007:n2,TG:P0110:n1,5,0.7811106443405151
TG,TG:P0007:initial_n2,TG:P0079:initial_n1,TG:P0007:n2,TG:P0079:n1,6,0.7792922854423523
TG,TG:P0007:initial_n2,TG:P0079:initial_n3,TG:P0007:n2,TG:P0079:n3,7,0.7787628173828125
TG,TG:P0007:initial_n2,TG:P0093:initial_n3,TG:P0007:n2,TG:P0093:n3,8,0.7782712578773499
TG,TG:P0007:initial_n2,TG:P0032:initial_n3,TG:P0007:n2,TG:P0032:n3,9,0.7771123051643372
TG,TG:P0007:initial_n2,TG:P0295:initial_n1,TG:P0007:n2,TG:P0295:n1,10,0.7758800983428955
TG,TG:P0008:initial_n1,TG:P0008:initial_n2,TG:P0008:n1,TG:P0008:n2,1,0.9790805578231812
TG,TG:P0008:initial_n1,TG:P0052:initial_n2,TG:P0008:n1,TG:P0052:n2,2,0.8730145692825317
TG,TG:P0008:initial_n1,TG:P0013:initial_n3,TG:P0008:n1,TG:P0013:n3,3,0.8654405474662781
TG,TG:P0008:initial_n1,TG:P0013:initial_n1,TG:P0008:n1,TG:P0013:n1,4,0.8642193078994751
TG,TG:P0008:initial_n1,TG:P0013:initial_n2,TG:P0008:n1,TG:P0013:n2,5,0.8565680384635925
TG,TG:P0008:initial_n1,TG:P0047:initial_n6,TG:P0008:n1,TG:P0047:n6,6,0.8537983298301697
TG,TG:P0008:initial_n1,TG:P0052:initial_n1,TG:P0008:n1,TG:P0052:n1,7,0.8504091501235962
TG,TG:P0008:initial_n1,TG:P0023:initial_n2,TG:P0008:n1,TG:P0023:n2,8,0.8501898050308228
TG,TG:P0008:initial_n1,TG:P0047:initial_n2,TG:P0008:n1,TG:P0047:n2,9,0.8464677333831787
TG,TG:P0008:initial_n1,TG:P0047:initial_n1,TG:P0008:n1,TG:P0047:n1,10,0.8447726368904114
TG,TG:P0008:initial_n2,TG:P0008:initial_n1,TG:P0008:n2,TG:P0008:n1,1,0.9790805578231812
TG,TG:P0008:initial_n2,TG:P0052:initial_n2,TG:P0008:n2,TG:P0052:n2,2,0.9008387923240662
