alignment_id,edge_id,edge_type,global_concept_id,normalized_label,ite_layer_node_id,tg_layer_node_id,source_node_id,target_node_id,alignment_method,exact_label_match,category_match,ite_lexical_category,tg_lexical_category,both_pair_endpoints,path_eligible,all_nontrivial_path_count,endpoint_pass_focus_path_count,focus_eligible,release_status,directed,scientific_relation,causal_claim_allowed,graph_edge_status
AL_0432a7b26340,AL_0432a7b26340,exact_node_alignment,GC_08f3d1289864,mechanical strength,LN_4eb700532abe,LN_8cb7a4dcfe6c,LN_4eb700532abe,LN_8cb7a4dcfe6c,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,36,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_f451bf20e9d6,AL_f451bf20e9d6,exact_node_alignment,GC_0958e69b1fba,thermoelectric hydrogel,LN_7cecfae552d4,LN_eb4420c47d7c,LN_7cecfae552d4,LN_eb4420c47d7c,exact_global_concept_id,True,True,material_or_structure,material_or_structure,True,True,14,12,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_728f4837e966,AL_728f4837e966,exact_node_alignment,GC_09c84fb5d355,maximum power,LN_7f0c91c2acf7,LN_6253a6eed55f,LN_7f0c91c2acf7,LN_6253a6eed55f,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,443,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_f3780cae4e8c,AL_f3780cae4e8c,exact_node_alignment,GC_0a021ea07b1a,anionic polymer,LN_224b9bbf575b,LN_423e2671d7b6,LN_224b9bbf575b,LN_423e2671d7b6,exact_global_concept_id,True,True,material_or_structure,material_or_structure,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_7b132a05d7da,AL_7b132a05d7da,exact_node_alignment,GC_0ca6bf1bbab3,power conversion,LN_19d55d1848f6,LN_990a76f422e1,LN_19d55d1848f6,LN_990a76f422e1,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,32,13,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_2d3b2bc33100,AL_2d3b2bc33100,exact_node_alignment,GC_0ccd2355ac39,high power,LN_1f2cda569d96,LN_0ededb1ab0df,LN_1f2cda569d96,LN_0ededb1ab0df,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,21,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_dbb29bc6001a,AL_dbb29bc6001a,exact_node_alignment,GC_0f4681a9cd6b,thermal transport,LN_5ffd688b5e95,LN_dac3aa6e0d3b,LN_5ffd688b5e95,LN_dac3aa6e0d3b,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,35,29,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_600d571b3adb,AL_600d571b3adb,exact_node_alignment,GC_0fe733725a97,p n pair,LN_9bec114bf250,LN_6179ef83ab10,LN_9bec114bf250,LN_6179ef83ab10,exact_global_concept_id,True,True,material_or_structure,material_or_structure,True,True,2,2,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_0fa026fe6a8a,AL_0fa026fe6a8a,exact_node_alignment,GC_118af0040619,thermopower,LN_216afe04d2ac,LN_f53e94117152,LN_216afe04d2ac,LN_f53e94117152,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,5197,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_535fa401bfd0,AL_535fa401bfd0,exact_node_alignment,GC_14298daab4bf,kcl,LN_a6c9be383025,LN_b6c88fcb0c97,LN_a6c9be383025,LN_b6c88fcb0c97,exact_global_concept_id,True,True,literal_formula,literal_formula,True,True,120,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_7f0430c126e9,AL_7f0430c126e9,exact_node_alignment,GC_16b42e37ba7a,open circuit,LN_251be50b23c2,LN_0fc20b25b434,LN_251be50b23c2,LN_0fc20b25b434,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,517,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_85ec07a79282,AL_85ec07a79282,exact_node_alignment,GC_1adb8486dade,temperature dependence,LN_b4db27d05c77,LN_8891f7f3ca84,LN_b4db27d05c77,LN_8891f7f3ca84,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,8,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_18869cac454e,AL_18869cac454e,exact_node_alignment,GC_1e4633c244ec,coupling,LN_d49b1633f56e,LN_908201705a51,LN_d49b1633f56e,LN_908201705a51,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,225,161,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_86f7f276a9d8,AL_86f7f276a9d8,exact_node_alignment,GC_1ebccd90c2bc,kbr,LN_d86eae7a7a46,LN_59c67c115388,LN_d86eae7a7a46,LN_59c67c115388,exact_global_concept_id,True,True,literal_formula,literal_formula,True,True,25,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_44ec9fca443b,AL_44ec9fca443b,exact_node_alignment,GC_2087c0b71e9e,external power,LN_9339ea1f327b,LN_cdd5a19e1655,LN_9339ea1f327b,LN_cdd5a19e1655,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,15,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_9ebc035ec0f1,AL_9ebc035ec0f1,exact_node_alignment,GC_21272088b98f,maximum output power,LN_a720345bf6db,LN_7fb332525cee,LN_a720345bf6db,LN_7fb332525cee,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,17,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_f43c78f72952,AL_f43c78f72952,exact_node_alignment,GC_21faa67da1fd,conversion,LN_5c34d205f4c3,LN_42f3c16c1ea5,LN_5c34d205f4c3,LN_42f3c16c1ea5,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,1267,596,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_0a49ce63736b,AL_0a49ce63736b,exact_node_alignment,GC_234b2810632d,open circuit voltage,LN_cd598e1e949a,LN_e6367d223636,LN_cd598e1e949a,LN_e6367d223636,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,624,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_bc4df7fd8fc7,AL_bc4df7fd8fc7,exact_node_alignment,GC_257cabaa88ef,human computer,LN_43453d4aae76,LN_a5dee342f9d8,LN_43453d4aae76,LN_a5dee342f9d8,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,1,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_36003c1694f8,AL_36003c1694f8,exact_node_alignment,GC_25ae3aaffe60,maximum seebeck coefficient,LN_41e38f46d183,LN_4bfc9edec32f,LN_41e38f46d183,LN_4bfc9edec32f,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_52a83f5558f0,AL_52a83f5558f0,exact_node_alignment,GC_27998e08b8e3,hydration,LN_7cda85ecc3b3,LN_0d8c4143b2d7,LN_7cda85ecc3b3,LN_0d8c4143b2d7,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,210,96,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_9240f5c29641,AL_9240f5c29641,exact_node_alignment,GC_2b1ad84ea1c7,synergistic ion,LN_cf0203e48c99,LN_202fcaa8a0df,LN_cf0203e48c99,LN_202fcaa8a0df,exact_global_concept_id,True,True,material_or_structure,material_or_structure,True,True,4,4,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_bd9ec55d76ad,AL_bd9ec55d76ad,exact_node_alignment,GC_2c6e45217a6c,high thermopower,LN_41faded606bc,LN_3893fb047151,LN_41faded606bc,LN_3893fb047151,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,10,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_dbc11ebeaf64,AL_dbc11ebeaf64,exact_node_alignment,GC_2d3c6fbbefea,electricity conversion,LN_fa11ee41c87f,LN_6e37bd7158f9,LN_fa11ee41c87f,LN_6e37bd7158f9,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_ebcba3eb83c8,AL_ebcba3eb83c8,exact_node_alignment,GC_2fdd892a6385,leak free,LN_2b52d43f1781,LN_2e1b94ced21d,LN_2b52d43f1781,LN_2e1b94ced21d,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,3,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_d6de5933261e,AL_d6de5933261e,exact_node_alignment,GC_3014bd537b0f,cnt electrode,LN_ee1a5f0eb9d0,LN_71b1ebc4ca92,LN_ee1a5f0eb9d0,LN_71b1ebc4ca92,exact_global_concept_id,True,True,material_or_structure,material_or_structure,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_bb39837e2275,AL_bb39837e2275,exact_node_alignment,GC_30808d38707c,thermoelectrochemical cell,LN_80f2d771683a,LN_62ec7a77567a,LN_80f2d771683a,LN_62ec7a77567a,exact_global_concept_id,True,True,device_or_context,device_or_context,True,True,13,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_124eb40c5d32,AL_124eb40c5d32,exact_node_alignment,GC_3164d0554e62,solar driven,LN_98e76ec35b75,LN_26b85cf4e1b4,LN_98e76ec35b75,LN_26b85cf4e1b4,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,6,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_9f575e536263,AL_9f575e536263,exact_node_alignment,GC_325c4869db3f,large area,LN_eefc00e31049,LN_f46d4826e476,LN_eefc00e31049,LN_f46d4826e476,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,10,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_26b562b4073e,AL_26b562b4073e,exact_node_alignment,GC_3286395881b3,long term,LN_c96f6744098e,LN_31e981ec83b5,LN_c96f6744098e,LN_31e981ec83b5,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,400,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_91dcc138c6e6,AL_91dcc138c6e6,exact_node_alignment,GC_3452de45b658,good ionic conductivity,LN_ced93bd4eb98,LN_b814b47156b2,LN_ced93bd4eb98,LN_b814b47156b2,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,12,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_f4e44727aace,AL_f4e44727aace,exact_node_alignment,GC_34a46d75ae27,physical chemical,LN_a33a5964fb6d,LN_1db810d2478f,LN_a33a5964fb6d,LN_1db810d2478f,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,15,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_d89a0dd27072,AL_d89a0dd27072,exact_node_alignment,GC_3704e2ff083c,natural polymer,LN_0c0eac85879d,LN_d7651666b77d,LN_0c0eac85879d,LN_d7651666b77d,exact_global_concept_id,True,True,material_or_structure,material_or_structure,True,True,12,3,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_ca1986e65b75,AL_ca1986e65b75,exact_node_alignment,GC_375e1f267ad5,sustainable energy conversion,LN_d50ac0f588f7,LN_392f89f0ad4d,LN_d50ac0f588f7,LN_392f89f0ad4d,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_5143d1b4163c,AL_5143d1b4163c,exact_node_alignment,GC_37ba1cde2902,excellent property,LN_a39730528576,LN_62284b249d70,LN_a39730528576,LN_62284b249d70,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_2aecfeac0684,AL_2aecfeac0684,exact_node_alignment,GC_37ed05d8d43e,cooling,LN_3fa61af8c129,LN_a71320e3bce0,LN_3fa61af8c129,LN_a71320e3bce0,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,35,15,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_ade0dc53f621,AL_ade0dc53f621,exact_node_alignment,GC_38c7e198d985,raman spectroscopy,LN_53de4abe385b,LN_bc0b2068964c,LN_53de4abe385b,LN_bc0b2068964c,exact_global_concept_id,True,True,evidence_method,evidence_method,True,True,16,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_8d053e4f54f8,AL_8d053e4f54f8,exact_node_alignment,GC_39ffcb09e573,high efficiency,LN_29244ada59e3,LN_1cec33411cda,LN_29244ada59e3,LN_1cec33411cda,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,21,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_1fd9c1afcd9a,AL_1fd9c1afcd9a,exact_node_alignment,GC_3be2e7216e42,self powered,LN_2f2bba685a43,LN_5f312e845fe1,LN_2f2bba685a43,LN_5f312e845fe1,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,1762,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_8c7553b41d6f,AL_8c7553b41d6f,exact_node_alignment,GC_3c0cb933cdf7,ion pair,LN_bf4e9da77575,LN_439da2bda163,LN_bf4e9da77575,LN_439da2bda163,exact_global_concept_id,True,True,material_or_structure,material_or_structure,True,True,15,6,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_d89165662d4d,AL_d89165662d4d,exact_node_alignment,GC_3c432d56645d,thermal gradient,LN_44bf675ae30c,LN_9a30ad89af86,LN_44bf675ae30c,LN_9a30ad89af86,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,40,34,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_062395d0567a,AL_062395d0567a,exact_node_alignment,GC_3cb102b9bb3d,normalized power density,LN_22b9ebeace44,LN_41f6d6698a57,LN_22b9ebeace44,LN_41f6d6698a57,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,19,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_80004f15fe7b,AL_80004f15fe7b,exact_node_alignment,GC_3cd3564912b1,short circuit,LN_550d0a918f41,LN_3509f7af5761,LN_550d0a918f41,LN_3509f7af5761,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,52,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_485aa85bec69,AL_485aa85bec69,exact_node_alignment,GC_3da2c4151e1c,aqueous electrolyte,LN_29ee39686b4c,LN_8606c15dbea0,LN_29ee39686b4c,LN_8606c15dbea0,exact_global_concept_id,True,True,material_or_structure,material_or_structure,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_83822ed2dcaf,AL_83822ed2dcaf,exact_node_alignment,GC_3db5a8643c82,direct conversion,LN_c584f4b57ba6,LN_92864162bbe4,LN_c584f4b57ba6,LN_92864162bbe4,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_cf8f5b614253,AL_cf8f5b614253,exact_node_alignment,GC_41eb1feb5d89,cyclic voltammetry,LN_8e9155659b6d,LN_092ca89c2261,LN_8e9155659b6d,LN_092ca89c2261,exact_global_concept_id,True,True,evidence_method,evidence_method,True,True,6,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_cf3dc1635742,AL_cf3dc1635742,exact_node_alignment,GC_42929742db13,anti drying,LN_d7de30cb5d9f,LN_5ab98023672c,LN_d7de30cb5d9f,LN_5ab98023672c,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,9,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_c232785e15bb,AL_c232785e15bb,exact_node_alignment,GC_43f57e1fc005,ils,LN_dcc5816671c4,LN_eca3a0efb298,LN_dcc5816671c4,LN_eca3a0efb298,exact_global_concept_id,True,True,literal_formula,literal_formula,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_2261b97fad79,AL_2261b97fad79,exact_node_alignment,GC_4480e95a9620,non isothermal,LN_302d0e432a1d,LN_24ad23e28cb2,LN_302d0e432a1d,LN_24ad23e28cb2,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,28,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_46cf72116b9b,AL_46cf72116b9b,exact_node_alignment,GC_45caa0829f4c,alpha cyclodextrin,LN_2361f33db1cf,LN_1e86d25ec7df,LN_2361f33db1cf,LN_1e86d25ec7df,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,9,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_37e332432d83,AL_37e332432d83,exact_node_alignment,GC_47c6a6e3a833,hydrophobic interaction,LN_c3c50e3f4f3f,LN_8d8843db714f,LN_c3c50e3f4f3f,LN_8d8843db714f,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,12,8,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_2a5bad97ff11,AL_2a5bad97ff11,exact_node_alignment,GC_4937afb10b20,conversion efficiency,LN_477cbcabeece,LN_464fda9afea4,LN_477cbcabeece,LN_464fda9afea4,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,8,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_6447a9ab0a62,AL_6447a9ab0a62,exact_node_alignment,GC_49990adc781e,energy conversion,LN_9ecdd2aa2353,LN_8dec66ff92cd,LN_9ecdd2aa2353,LN_8dec66ff92cd,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,277,118,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_c9e8a8b9c210,AL_c9e8a8b9c210,exact_node_alignment,GC_4a92e5f4fe38,hydrogel,LN_6b8cc44fec86,LN_ce78e7c63303,LN_6b8cc44fec86,LN_ce78e7c63303,exact_global_concept_id,True,True,material_or_structure,material_or_structure,True,True,9390,5925,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_a215ba54f258,AL_a215ba54f258,exact_node_alignment,GC_4b155e3c784d,thermoelectric conversion,LN_f79e1545185e,LN_5f68d5e6a98a,LN_f79e1545185e,LN_5f68d5e6a98a,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,251,167,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_a1e888f936b8,AL_a1e888f936b8,exact_node_alignment,GC_4ee8ca676793,dual network,LN_bc914ad2a60c,LN_dd5d0adfbd9d,LN_bc914ad2a60c,LN_dd5d0adfbd9d,exact_global_concept_id,True,True,material_or_structure,material_or_structure,True,True,20,20,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_f974f635446d,AL_f974f635446d,exact_node_alignment,GC_5102e2dbc29f,multi physical,LN_a980acf04102,LN_9f023717e358,LN_a980acf04102,LN_9f023717e358,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,4,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_83c423e7c66e,AL_83c423e7c66e,exact_node_alignment,GC_5239770eaa10,leds,LN_0df93c779edc,LN_d73572e64ad3,LN_0df93c779edc,LN_d73572e64ad3,exact_global_concept_id,True,True,literal_formula,literal_formula,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_1314da5cf9cb,AL_1314da5cf9cb,exact_node_alignment,GC_52a16a12d7fb,energy efficiency,LN_dda1b4d9c8d5,LN_5bdb7033b18d,LN_dda1b4d9c8d5,LN_5bdb7033b18d,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,3,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_be0e4826c882,AL_be0e4826c882,exact_node_alignment,GC_52c27199b958,cooling power,LN_e32888cefb82,LN_754ce830305f,LN_e32888cefb82,LN_754ce830305f,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,5,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_58bb75302da4,AL_58bb75302da4,exact_node_alignment,GC_539699fb8a34,polymer network,LN_db28df4f5486,LN_3a1d5d8e1ec2,LN_db28df4f5486,LN_3a1d5d8e1ec2,exact_global_concept_id,True,True,material_or_structure,material_or_structure,True,True,50,36,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_7e5aac15726a,AL_7e5aac15726a,exact_node_alignment,GC_54c6b38f597c,p type seebeck coefficient,LN_4e456492f149,LN_07444528772d,LN_4e456492f149,LN_07444528772d,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,False,False,0,0,False,not_in_pair_path_inventory,False,False,False,alignment_identity_not_scientific_relation
AL_12eb49bd3235,AL_12eb49bd3235,exact_node_alignment,GC_5577e4e6cadd,confined ion,LN_828097bc591c,LN_c640483f5182,LN_828097bc591c,LN_c640483f5182,exact_global_concept_id,True,True,material_or_structure,material_or_structure,True,True,4,4,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_566aa4e01507,AL_566aa4e01507,exact_node_alignment,GC_55da0e25a007,crystallization,LN_287b6a2aeae9,LN_4b658f8614af,LN_287b6a2aeae9,LN_4b658f8614af,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,30,30,True,eligible,False,False,False,alignment_identity_not_scientific_relation
AL_4e491b275182,AL_4e491b275182,exact_node_alignment,GC_560009ffc2e4,electrode dependent,LN_311161c573e3,LN_49e978fee04c,LN_311161c573e3,LN_49e978fee04c,exact_global_concept_id,True,True,untyped_extractive_keyword,untyped_extractive_keyword,True,True,3,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_e0c2e32592ea,AL_e0c2e32592ea,exact_node_alignment,GC_56bf8ae82a10,transition,LN_0375082149e0,LN_a1f1a6e69365,LN_0375082149e0,LN_a1f1a6e69365,exact_global_concept_id,True,True,mechanism_or_process,mechanism_or_process,True,True,99,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_1b3151c6619c,AL_1b3151c6619c,exact_node_alignment,GC_583fd7c565e9,ti3c2tx,LN_d5f194a1e6f1,LN_267ae5786e2d,LN_d5f194a1e6f1,LN_267ae5786e2d,exact_global_concept_id,True,True,literal_formula,literal_formula,True,True,77,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
AL_194c7cc1a14f,AL_194c7cc1a14f,exact_node_alignment,GC_5a4b62ab7660,transport coefficient,LN_bec76a61ff13,LN_894ee327588d,LN_bec76a61ff13,LN_894ee327588d,exact_global_concept_id,True,True,outcome_or_property,outcome_or_property,True,True,4,0,False,outside_material_mechanism_focus,False,False,False,alignment_identity_not_scientific_relation
