relation_id,edge_id,edge_type,analysis_layer,paper_id,doi,title,sentence_id,evidence_sentence,source_global_concept_id,source_label,source_node_id,predicate_surface,predicate_normalized,target_global_concept_id,target_label,target_node_id,pair_id,pair_key,assertion_status,risk_reasons,strict_syntax_eligible,semantic_verdict,direct_sentence_entailment,claim_context,human_confirmation_status,review_basis,decision_rationale,edge_state,directed,graph_eligible,production_graph_eligible,graph_edge_status
AR_7435924ae103,AR_7435924ae103,direct_relation_candidate_audit,TG,P0027,10.1016/j.mtener.2024.101546,Extremely large Seebeck coef fi cient of gelatin methacryloyl (GelMA) based thermogalvanic cells by the dual effect of ioninduced crystallization and nanochannel control-,8,"In brief, the dual effect of ion-induced crystallization and nanochannel control substantially enhances the Seebeck coefficient of the TGC, thereby offering a promising strategy for enhancing the performance of low-grade thermal energy harvesting wearable TEGs.",GC_ab50f164306f,ion induced crystallization,LN_cbeaabccfdb7,control,control,GC_6cdb23f33c74,seebeck coefficient,LN_ccd3eb53d5e7,TP_5f6ca72d013d,GC_6cdb23f33c74::GC_ab50f164306f,observed_assertion,risk_other_predicate_between_endpoints; risk_compound_subject_after_selected_source,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_a069616d3d05,AR_a069616d3d05,direct_relation_candidate_audit,TG,P0039,10.1039/d2ee00738j,Stretchable thermogalvanic hydrogel thermocell with record-high specific output power density enabled by ion-induced crystallization,3,The guanidine ion induces [Fe(CN)(6)](4-) ion crystallization and significantly enhances the thermogalvanic effect.,GC_eb1ae6ca699a,guanidine ion,LN_8ac649c27002,induces,induce,GC_345d9b2416ca,ion crystallization,LN_1d3617cde319,TP_c03006feebb9,GC_345d9b2416ca::GC_eb1ae6ca699a,observed_assertion,,True,pending,False,not_reviewed,pending,not_reviewed,,strict_unreviewed_candidate,True,False,False,audit_only
AR_3a18a894d373,AR_3a18a894d373,direct_relation_candidate_audit,TG,P0044,10.1039/d4ee01642d,Boosted thermogalvanic thermopower upon solid-to-liquid phase transition,7,Exploiting the entropy of fusion among thermogalvanic devices and the associated configurational entropy change of bulk alkali metal alloys enables significant boosting of the thermopower from 1.5 mV K-1 to 26.1 mV K-1 for Na2+xK alloys.,GC_abd31bd36d27,associated configurational entropy,LN_6183dc10274e,enables,enable,GC_118af0040619,thermopower,LN_f53e94117152,TP_ac8554d63a3a,GC_118af0040619::GC_abd31bd36d27,observed_assertion,,True,pending,False,not_reviewed,pending,not_reviewed,,strict_unreviewed_candidate,True,False,False,audit_only
AR_129fc61c9483,AR_129fc61c9483,direct_relation_candidate_audit,TG,P0046,10.1002/aenm.202404151,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,4,"The electrodes are oxidized to create Ni and Ni oxide heterostructures, forming numerous O vacancy defects that enhance redox reactions.",GC_51a392b35849,ni oxide,LN_f9c07b7a3073,enhance,enhance,GC_dad97d797387,redox reaction,LN_13114a75157e,TP_511117673400,GC_51a392b35849::GC_dad97d797387,observed_assertion,risk_cross_clause; risk_coordinated_inherited_subject,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_81b98005631a,AR_81b98005631a,direct_relation_candidate_audit,TG,P0046,10.1002/aenm.202404151,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,5,"Meanwhile, the structure-breaking salts facilitate redox reactions and improve ion diffusion by disrupting water structures in the hydrogel electrolyte.",GC_dad97d797387,redox reaction,LN_13114a75157e,improve,improve,GC_8ad5b453cc37,ion diffusion,LN_ec5c94179a6e,TP_4101b9a6ceed,GC_8ad5b453cc37::GC_dad97d797387,observed_assertion,risk_coordinated_inherited_subject; risk_compound_subject_after_selected_source,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_92fbe33272b2,AR_92fbe33272b2,direct_relation_candidate_audit,TG,P0046,10.1002/aenm.202404151,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,5,"Meanwhile, the structure-breaking salts facilitate redox reactions and improve ion diffusion by disrupting water structures in the hydrogel electrolyte.",GC_e9d78ff58518,structure breaking salt,LN_5438934e1799,facilitate,facilitate,GC_dad97d797387,redox reaction,LN_13114a75157e,TP_7e1c606d81a3,GC_dad97d797387::GC_e9d78ff58518,observed_assertion,,True,pending,False,not_reviewed,pending,not_reviewed,,strict_unreviewed_candidate,True,False,False,audit_only
AR_dfbf066d48ef,AR_dfbf066d48ef,direct_relation_candidate_audit,TG,P0046,10.1002/aenm.202404151,High-Performance Quasi-Solid-State Thermogalvanic Cells with Metallized Fibril-Based Textile Electrodes and Structure-Breaking Salts,7,"Finally, the proposed QTCs can generate a stable open-circuit voltage and output power for wearable applications owing to the flexibility of the electrodes and electrolyte, achieving successful electronic device operation using body heat from the forearm (Delta T approximate to 2 K).",GC_946d2b458f1f,qtcs,LN_3acfb4f26262,generate,generate,GC_5b704f82a7d4,stable open circuit voltage,LN_cbc77b54d46d,TP_1a877209a938,GC_5b704f82a7d4::GC_946d2b458f1f,hypothetical_or_modal,,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_02f9aa67b4d3,AR_02f9aa67b4d3,direct_relation_candidate_audit,TG,P0050,10.1016/j.solener.2024.112939,A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,6,"Compared to traditional thermal chemical cells, the new heat storage electrode materials significantly enhance the stability and energy output efficiency.",GC_c65ae68fc356,heat storage electrode,LN_4fb367752119,enhance,enhance,GC_b30eeda47966,energy output efficiency,LN_fd1621713a5e,TP_338b0eb184ff,GC_b30eeda47966::GC_c65ae68fc356,observed_assertion,,True,pending,False,not_reviewed,pending,not_reviewed,,strict_unreviewed_candidate,True,False,False,audit_only
AR_1ae5fd5cd2bb,AR_1ae5fd5cd2bb,direct_relation_candidate_audit,TG,P0050,10.1016/j.solener.2024.112939,A novel solar-driven thermogalvanic cell with integrated heat storage capabilities,2,"However, their low utilization rate limits energy recovery and conversion efficiency.",GC_b9685da817f9,utilization rate,LN_ab418428dcb5,limits,limit,GC_21faa67da1fd,conversion,LN_42f3c16c1ea5,TP_e21c619588a6,GC_21faa67da1fd::GC_b9685da817f9,observed_assertion,risk_nominal_predicate,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_13205dcf8712,AR_13205dcf8712,direct_relation_candidate_audit,TG,P0053,10.1002/aenm.202303358,Boosting Thermoelectric Performance of Thermogalvanic Hydrogels by Structure Engineering Induced by Liquid Nitrogen Quenching,8,"Ultrafast cooling can greatly reduce ion diffusion and increase crystallization nucleation rates, inhibit the growth and precipitation of the produced thermosensitive crystals, increase their utilization rates, promote redox reactions, and further improve thermoelectric properties.image",GC_b6eb3d8cea98,ultrafast cooling,LN_87c14607cafd,reduce,reduce,GC_8ad5b453cc37,ion diffusion,LN_ec5c94179a6e,TP_265164e95c5c,GC_8ad5b453cc37::GC_b6eb3d8cea98,hypothetical_or_modal,,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_13d891375b7b,AR_13d891375b7b,direct_relation_candidate_audit,TG,P0053,10.1002/aenm.202303358,Boosting Thermoelectric Performance of Thermogalvanic Hydrogels by Structure Engineering Induced by Liquid Nitrogen Quenching,8,"Ultrafast cooling can greatly reduce ion diffusion and increase crystallization nucleation rates, inhibit the growth and precipitation of the produced thermosensitive crystals, increase their utilization rates, promote redox reactions, and further improve thermoelectric properties.image",GC_55da0e25a007,crystallization,LN_4b658f8614af,promote,promote,GC_dad97d797387,redox reaction,LN_13114a75157e,TP_97a451d7a1d8,GC_55da0e25a007::GC_dad97d797387,hypothetical_or_modal,risk_cross_clause; risk_other_predicate_between_endpoints; risk_long_endpoint_gap; risk_coordinated_inherited_subject; risk_compound_subject_after_selected_source,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_3fd71aa5afe5,AR_3fd71aa5afe5,direct_relation_candidate_audit,TG,P0053,10.1002/aenm.202303358,Boosting Thermoelectric Performance of Thermogalvanic Hydrogels by Structure Engineering Induced by Liquid Nitrogen Quenching,8,"Ultrafast cooling can greatly reduce ion diffusion and increase crystallization nucleation rates, inhibit the growth and precipitation of the produced thermosensitive crystals, increase their utilization rates, promote redox reactions, and further improve thermoelectric properties.image",GC_8ad5b453cc37,ion diffusion,LN_ec5c94179a6e,increase,increase,GC_55da0e25a007,crystallization,LN_4b658f8614af,TP_edcfff05e33c,GC_55da0e25a007::GC_8ad5b453cc37,hypothetical_or_modal,risk_coordinated_inherited_subject; risk_compound_subject_after_selected_source,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_a161a865dbb8,AR_a161a865dbb8,direct_relation_candidate_audit,TG,P0053,10.1002/aenm.202303358,Boosting Thermoelectric Performance of Thermogalvanic Hydrogels by Structure Engineering Induced by Liquid Nitrogen Quenching,8,"Ultrafast cooling can greatly reduce ion diffusion and increase crystallization nucleation rates, inhibit the growth and precipitation of the produced thermosensitive crystals, increase their utilization rates, promote redox reactions, and further improve thermoelectric properties.image",GC_55da0e25a007,crystallization,LN_4b658f8614af,increase,increase,GC_dad97d797387,redox reaction,LN_13114a75157e,TP_97a451d7a1d8,GC_55da0e25a007::GC_dad97d797387,hypothetical_or_modal,risk_cross_clause; risk_other_predicate_between_endpoints; risk_long_endpoint_gap; risk_coordinated_inherited_subject; risk_compound_subject_after_selected_source,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_e77fd4874506,AR_e77fd4874506,direct_relation_candidate_audit,TG,P0053,10.1002/aenm.202303358,Boosting Thermoelectric Performance of Thermogalvanic Hydrogels by Structure Engineering Induced by Liquid Nitrogen Quenching,8,"Ultrafast cooling can greatly reduce ion diffusion and increase crystallization nucleation rates, inhibit the growth and precipitation of the produced thermosensitive crystals, increase their utilization rates, promote redox reactions, and further improve thermoelectric properties.image",GC_dad97d797387,redox reaction,LN_13114a75157e,improve,improve,GC_82f863b160b5,thermoelectric property,LN_206614f88ac4,TP_361bb99c9a9b,GC_82f863b160b5::GC_dad97d797387,hypothetical_or_modal,risk_cross_clause; risk_coordinated_inherited_subject; risk_compound_subject_after_selected_source,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_10561c52c88a,AR_10561c52c88a,direct_relation_candidate_audit,TG,P0065,10.1039/d2cc05413b,"High Seebeck coefficient thermogalvanic cells via the solvent-sensitive charge additivity of cobalt 1,8-diaminosarcophagine",2,"A temperature gradient across the device drives an entropically favourable electrochemical redox reaction, resulting in continuous current production.",GC_f50bbe3cdc5d,temperature gradient,LN_4e04cb640a89,drives,drive,GC_71c1faf6fa71,favourable electrochemical redox reaction,LN_8eadb5699f95,TP_3d10de20fa31,GC_71c1faf6fa71::GC_f50bbe3cdc5d,observed_assertion,,True,accepted,True,background_general_statement,pending,two_independent_AI_original_sentence_reviews,temperature gradient directly drives the electrochemical redox reaction; the sentence is background rather than a new result of this paper,semantic_accepted_human_pending,True,False,False,audit_only
AR_d23675f3335c,AR_d23675f3335c,direct_relation_candidate_audit,TG,P0066,10.1039/d2tc00889k,Thermogalvanic hydrogels for self-powered temperature monitoring in extreme environments,3,"Herein, a gel electrolyte-based thermogalvanic device with I-/I-3(-) as a redox pair is fabricated, which shows a preferred temperature tolerance (-20 to 80 degrees C) and superior anti-drying capacity at reduced vapor pressure.",GC_753211f34d40,redox pair,LN_00578e6ba7b4,shows,show,GC_8dfbf49f3485,superior anti drying capacity,LN_5daf096f4974,TP_1aae15c8465a,GC_753211f34d40::GC_8dfbf49f3485,observed_assertion,risk_cross_clause; risk_long_endpoint_gap,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_bb3998247c13,AR_bb3998247c13,direct_relation_candidate_audit,TG,P0068,10.3390/mi14071327,"Self-Powered, Non-Toxic, Recyclable Thermogalvanic Hydrogel Sensor for Temperature Monitoring of Edibles",1,"Thermogalvanic hydrogel, an environmentally friendly power source, enable the conversion of low-grade thermal energy to electrical energy and powers microelectronic devices in a variety of scenarios without the need for additional batteries.",GC_898118d18a47,environmentally friendly power,LN_46b274f46c1e,enable,enable,GC_21faa67da1fd,conversion,LN_42f3c16c1ea5,TP_c79bd258761a,GC_21faa67da1fd::GC_898118d18a47,observed_assertion,risk_cross_clause,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_f309bf0c4f60,AR_f309bf0c4f60,direct_relation_candidate_audit,TG,P0073,10.1039/d5ta08892e,A machine learning-enabled planar interdigitated thermogalvanic hydrogel for synergistic thermal and strain sensing,5,"Distinct from resistive strain-based designs, the PITH employs a strain-thermal coupling mechanism, where mechanical strain modulates the hydrogel's redox kinetics, thereby influencing thermoelectric voltage output and establishing a direct strain-voltage correlation.",GC_05cb188847a7,strain thermal coupling,LN_bc49b687bcfe,modulates,modulate,GC_3430a50e63de,redox kinetics,LN_2eae47ed08b2,TP_22f22cdbaca0,GC_05cb188847a7::GC_3430a50e63de,observed_assertion,risk_cross_clause,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_a7f516b87b13,AR_a7f516b87b13,direct_relation_candidate_audit,TG,P0076,10.1002/eom2.12302,Regenerable aerogel-based thermogalvanic cells for efficient low-grade heat harvesting from solar radiation and interfacial solar evaporation systems,4,"The low thermal conductivity of the porous cellulose aerogel enables limited heat transfer from the hot side to the cold side, and thermal energy management effectively reduces heat loss from the hot side to the environment.",GC_cf542d621742,thermal conductivity,LN_e6a3600e3b14,enables,enable,GC_81050fa131f1,limited heat transfer,LN_b6127df21054,TP_55487e46c75c,GC_81050fa131f1::GC_cf542d621742,observed_assertion,,True,pending,False,not_reviewed,pending,not_reviewed,,strict_unreviewed_candidate,True,False,False,audit_only
AR_5a9ac2dc187d,AR_5a9ac2dc187d,direct_relation_candidate_audit,TG,P0081,10.1039/d5ta09239f,Thermally-driven chemical heterogeneity produces large thermopower and multiday operability in a thermogalvanic cell,2,"Here, we introduce a redox-split thermogalvanic cell in which a temperature gradient drives localized oxidation of a nickel-bipyridine complex at the hot electrode only, creating chemical heterogeneity that augments thermopower via additional concentration gradient effects.",GC_f50bbe3cdc5d,temperature gradient,LN_4e04cb640a89,drives,drive,GC_d3a504edb0cc,additional concentration gradient,LN_7dfb90567fef,TP_58203e692ae6,GC_d3a504edb0cc::GC_f50bbe3cdc5d,observed_assertion,risk_cross_clause; risk_long_endpoint_gap,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_64b15bc3ffa4,AR_64b15bc3ffa4,direct_relation_candidate_audit,TG,P0081,10.1039/d5ta09239f,Thermally-driven chemical heterogeneity produces large thermopower and multiday operability in a thermogalvanic cell,3,"We add weakly coordinating anions to stabilize the oxidized species, increase redox entropy change, and balance electrical and thermal transport, and the optimized cell delivers a Seebeck coefficient of 6.44 mV K-1; a maximum power density similar to 8 W m(-2); and similar to 0.5 V (open circuit) at a 75 K gradient.",GC_a490b74f6879,add weakly coordinating anion,LN_5a4f83f3f0a7,increase,increase,GC_fa33573849df,redox entropy,LN_95c46050b32b,TP_a01e1ad52e57,GC_a490b74f6879::GC_fa33573849df,observed_assertion,risk_cross_clause,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_b2e711e2c710,AR_b2e711e2c710,direct_relation_candidate_audit,TG,P0081,10.1039/d5ta09239f,Thermally-driven chemical heterogeneity produces large thermopower and multiday operability in a thermogalvanic cell,1,"Thermogalvanic cells, which convert low-grade heat into electricity, usually employ chemically-homogeneous electrolytes that limit the Seebeck response to redox entropy alone.",GC_c9aa6483bb2b,usually employ chemically homogeneous electrolyte,LN_00e44323908c,limit,limit,GC_fa33573849df,redox entropy,LN_95c46050b32b,TP_8776135249a1,GC_c9aa6483bb2b::GC_fa33573849df,observed_assertion,risk_nominal_predicate,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_9626ea4ca667,AR_9626ea4ca667,direct_relation_candidate_audit,TG,P0083,10.1002/smll.202514359,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes,5,"In particular, the CC/TiO2 electrode delivers the best performance due to unique coordination interactions between TiO2 and Fe(CN)6 4-, which facilitate interfacial charge transfer, as confirmed by spectroscopic and electrochemical analyses.",GC_930f9a0bd861,unique coordination interaction,LN_5ffc72b55040,facilitate,facilitate,GC_e4b0e242e74f,interfacial charge transfer,LN_32d0e1ff156b,TP_318b851c6448,GC_930f9a0bd861::GC_e4b0e242e74f,observed_assertion,risk_cross_clause,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_ac655d995d0a,AR_ac655d995d0a,direct_relation_candidate_audit,TG,P0085,10.1002/adfm.76685,Polymer-Redox Interactions Enhance Ferro/Ferricyanide Thermogalvanic Cells,3,"Unlike previous polymer systems that typically form gel or quasi-solid electrolytes, our liquid electrolyte preserves freely solvated PAA- and K+ ions, enabling direct and tunable interactions between the polyanion and redox species.",GC_a83044c9e8ae,unlike previous polymer,LN_b61408438b1e,form,form,GC_feb5074b6740,tunable interaction,LN_745aab1e3b3a,TP_c3bae75383db,GC_a83044c9e8ae::GC_feb5074b6740,observed_assertion,risk_cross_clause; risk_long_endpoint_gap,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_16ad64b4c75a,AR_16ad64b4c75a,direct_relation_candidate_audit,TG,P0086,10.1016/j.applthermaleng.2026.130371,Enhanced long-term discharge stability of aqueous thermogalvanic cells through thermal resistance network,6,"The presence of natural convection can effectively enhance the heat transfer and mass transport in LTCs, but to some extent induce a significant decrease in Delta T from 10.9 K to 5.9 K due to the increase in effective thermal conductivity from 0.59 to 2.17 W/(m & sdot;K).",GC_a1699d56d371,mass transport,LN_52dd9b2911b7,increase,increase,GC_0104c59ddc4e,effective thermal conductivity,LN_54ec3d76c5ad,TP_a248f7a29467,GC_0104c59ddc4e::GC_a1699d56d371,purpose_or_design,risk_nominal_predicate; risk_cross_clause; risk_other_predicate_between_endpoints; risk_long_endpoint_gap; risk_coordinated_inherited_subject,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_4042ef5fd803,AR_4042ef5fd803,direct_relation_candidate_audit,TG,P0086,10.1016/j.applthermaleng.2026.130371,Enhanced long-term discharge stability of aqueous thermogalvanic cells through thermal resistance network,6,"The presence of natural convection can effectively enhance the heat transfer and mass transport in LTCs, but to some extent induce a significant decrease in Delta T from 10.9 K to 5.9 K due to the increase in effective thermal conductivity from 0.59 to 2.17 W/(m & sdot;K).",GC_a1699d56d371,mass transport,LN_52dd9b2911b7,induce,induce,GC_0104c59ddc4e,effective thermal conductivity,LN_54ec3d76c5ad,TP_a248f7a29467,GC_0104c59ddc4e::GC_a1699d56d371,purpose_or_design,risk_cross_clause; risk_other_predicate_between_endpoints; risk_long_endpoint_gap; risk_coordinated_inherited_subject,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
AR_c99274d649c1,AR_c99274d649c1,direct_relation_candidate_audit,TG,P0086,10.1016/j.applthermaleng.2026.130371,Enhanced long-term discharge stability of aqueous thermogalvanic cells through thermal resistance network,6,"The presence of natural convection can effectively enhance the heat transfer and mass transport in LTCs, but to some extent induce a significant decrease in Delta T from 10.9 K to 5.9 K due to the increase in effective thermal conductivity from 0.59 to 2.17 W/(m & sdot;K).",GC_a1699d56d371,mass transport,LN_52dd9b2911b7,decrease,decrease,GC_0104c59ddc4e,effective thermal conductivity,LN_54ec3d76c5ad,TP_a248f7a29467,GC_0104c59ddc4e::GC_a1699d56d371,observed_assertion,risk_nominal_predicate; risk_cross_clause; risk_other_predicate_between_endpoints; risk_coordinated_inherited_subject,False,pending,False,not_reviewed,pending,not_reviewed,,audit_non_strict,True,False,False,audit_only
