issue_id,relation_id,paper_id,issue_type,reason,proposed_action,subject,predicate,object,quote,status,source_edit_applied
issue_v2_009,iTE:P0384:r001,P0384,role_assertion_not_causal_edge,IL acts as a nucleating agent 是材料功能角色陈述，客体回指同一实体，不能计作两个材料间因果机制。,登记角色断言/回指类型，保留证据，待规范化时单独处理。,IL,acts as,nucleating agent for polymer crystallization,"This work reports on the development of ionic TE materials based on the poly(vinylidene fluoride-trifluoroethylene), Poly(VDF-co-TrFE), as host polymer blended with different contents of the ionic liquid, IL, 1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, [EMIM][TFSI]. The morphology, physico-chemical, thermal, mechanical, and electrical properties of the samples are evaluated together with the TE response. It is demonstrated that the IL acts as a nucleating agent for polymer crystallization.",model_issue_pending_review,False
issue_v2_010,iTE:P0392:r001,P0392,overlapping_process_granularity,proton transport 与 hot-to-cold unidirectional migration 可能是泛称与具体描述，当前平行边可能重复计数同一过程主张。,记录上下位/回指待判定，避免将两条边当成两个独立机制支持。,thermo-diffusion of water,boosts,proton transport,"It is found that the thermo-diffusion of water boosts proton transport, playing a key role in obtaining large ionic thermopower by promoting unidirectional migration of protons from a hotter to colder side.",model_issue_pending_review,False
issue_v2_010,iTE:P0392:r002,P0392,overlapping_process_granularity,proton transport 与 hot-to-cold unidirectional migration 可能是泛称与具体描述，当前平行边可能重复计数同一过程主张。,记录上下位/回指待判定，避免将两条边当成两个独立机制支持。,thermo-diffusion of water,promotes,unidirectional migration of protons from a hotter to colder side,"It is found that the thermo-diffusion of water boosts proton transport, playing a key role in obtaining large ionic thermopower by promoting unidirectional migration of protons from a hotter to colder side.",model_issue_pending_review,False
issue_v2_011,iTE:P0364:r001,P0364,alternative_systems_not_joint_factors,两条作用分别来自阳离子选择性与阴离子选择性水凝胶，不能合成同一个体系中的联合因素。,保留各自体系范围；与真正共同因素分组严格区分。,anionic polymer in the cation-selective hydrogel is attractive to sodium ions,regulates in cation-selective system,thermal mobility of ions,"The anionic polymer in the cation-selective hydrogel is attractive to sodium ions, while the cationic polymer in the anion-selective hydrogel is attractive to chloride ions. This regulates the thermal mobility of ions in the hydrogel without polymer modification or the addition of some additives, thus enhancing or changing the Seebeck coefficient (S).",model_issue_pending_review,False
issue_v2_011,iTE:P0364:r002,P0364,alternative_systems_not_joint_factors,两条作用分别来自阳离子选择性与阴离子选择性水凝胶，不能合成同一个体系中的联合因素。,保留各自体系范围；与真正共同因素分组严格区分。,cationic polymer in the anion-selective hydrogel is attractive to chloride ions,regulates in anion-selective system,thermal mobility of ions,"The anionic polymer in the cation-selective hydrogel is attractive to sodium ions, while the cationic polymer in the anion-selective hydrogel is attractive to chloride ions. This regulates the thermal mobility of ions in the hydrogel without polymer modification or the addition of some additives, thus enhancing or changing the Seebeck coefficient (S).",model_issue_pending_review,False
issue_v2_012,iTE:P0360:r003,P0360,invariance_not_generic_negation,approximately unchanged 表示在给定范围内系数近似稳定，并非证明 pH 对全部热电效应无作用。,将断言细类登记为 reported_invariance，保留 pH 和热流范围，原 negated 字段仍保留。,pH value of aqueous solution is increased from 3 to 11,approximately unchanged in reported range,ionic thermoelectric coefficient,"As the pH value of aqueous solution is increased from 3 to 11 under an electronic heat flux of 3000 W/m2, the output power density is enhanced from 46.91 mW/m2 to 83.01 mW/m2 with a stable ionic thermoelectric coefficient about 0.47 mV/K due to strengthened nanopore surface charge density.",model_issue_pending_review,False
issue_v2_013,TG:P0036:r001,P0036,analysis_method_outside_role_schema,器件识别用户依赖温度特征提取，相关分析方法节点超出现有十类材料角色。,保留节点，主角色留空并记录 analysis_method 候选；不映射为微观机制。,concave-arranged TGH array,enables via temperature features,characteristics of users can be distinguished,"Using a concave-arranged TGH array, the characteristics of users can be distinguished adequately even under an open environment by extracting self-existent intrinsic temperature features from five typical sites of fingers.",model_issue_pending_review,False
issue_v2_014,TG:P0037:r001,P0037,device_entity_outside_role_schema,完整热电池器件名称不是材料配方，也不直接描述结构；十类本体缺少明确的 device_entity。,保留器件节点和模型证据，主角色留空，等待本体边界裁定。,thermogalvanic cells (TGCs),proposed to implement,harvesting low-grade exhaust heat produced in AFCs,"To improve energy efficiency, cost savings, environmental sustainability, and industrial practices, an effective approach is proposed to employ thermogalvanic cells (TGCs) for electric power generation by harvesting low-grade exhaust heat produced in AFCs.",model_issue_pending_review,False
issue_v2_015,iTE:P0373:r001,P0373,proposal_modality_scope,全句是 proposed ... can，当前 author_claim 不能单独体现提出性设计的证据强度。,加 proposed/can 模态限定；不自动把 author_claim 当实验验证。,switching the external electrodes,can realize,alternating dominated thermodiffusion of cations and anions,"Meanwhile, a promising ionic thermoelectric generator was proposed to achieve cyclic power generation under a constant heat course only by switching the external electrodes that can effectively realize the alternating dominated thermodiffusion of cations and anions.",model_issue_pending_review,False
issue_v2_016,iTE:P0363:r001,P0363,intervention_vs_interaction_scope,原句效果来自 tailoring the interplay through controlled synthetic approaches，节点只保留 interplay；不能解释为任何离子-聚合物作用都产生相同性能。,保留调控操作限定，并记录 p/n 体系的数值对应尚未结构化。,interplay between ions and polymer matrices,tailoring achieves reported values,ionic figures of merit,"By tailoring the interplay between ions and polymer matrices through controlled synthetic approaches, record-high ionic figures of merit (ZT i) of 49.5 and 32.2 are achieved, and outstanding normalized power densities of 46.7 and 79.0 mWm-2K-2.",model_issue_pending_review,False
issue_v2_016,iTE:P0363:r002,P0363,intervention_vs_interaction_scope,原句效果来自 tailoring the interplay through controlled synthetic approaches，节点只保留 interplay；不能解释为任何离子-聚合物作用都产生相同性能。,保留调控操作限定，并记录 p/n 体系的数值对应尚未结构化。,interplay between ions and polymer matrices,tailoring achieves reported values,normalized power densities,"By tailoring the interplay between ions and polymer matrices through controlled synthetic approaches, record-high ionic figures of merit (ZT i) of 49.5 and 32.2 are achieved, and outstanding normalized power densities of 46.7 and 79.0 mWm-2K-2.",model_issue_pending_review,False
