qualifier_id,relation_id,paper_id,kind,mention_ids,exact_evidence,evidence_start_in_quote,interpretation,status
qualifier_v2_012,iTE:P0375:r003,P0375,joint_factors,iTE:P0375:n1;iTE:P0375:n2;iTE:P0375:n3,"controlling the ion carrier concentration, ion diffusion coefficient, and Eastman entropy",56,三个参数的联合控制，不分别归因全部性能。,model_proposed_pending_human
qualifier_v2_013,iTE:P0377:r001,P0377,threshold,iTE:P0377:n1,Beyond a critical temperature,0,原文没有给出阈值数值，不补写。,model_proposed_pending_human
qualifier_v2_013,iTE:P0377:r002,P0377,threshold,iTE:P0377:n1,Beyond a critical temperature,0,原文没有给出阈值数值，不补写。,model_proposed_pending_human
qualifier_v2_014,iTE:P0387:r001,P0387,system_scope,iTE:P0387:n1,when doped with mobile anion-generating species,103,阴离子来源掺杂条件，对应负响应。,model_proposed_pending_human
qualifier_v2_015,iTE:P0387:r002,P0387,system_scope,iTE:P0387:n3,upon doping with cation-generating species,329,阳离子来源掺杂条件，对应正响应。,model_proposed_pending_human
qualifier_v2_016,iTE:P0389:r001,P0389,purpose,iTE:P0389:n1,aiming to improve the electric conductivity,110,设计目的，不作为该句独立实验因果证明。,model_proposed_pending_human
qualifier_v2_017,TG:P0002:r001,P0002,joint_factors,TG:P0002:n1;TG:P0002:n2,"the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents",39,相互作用与缔合共同解释熵变化。,model_proposed_pending_human
qualifier_v2_017,TG:P0002:r002,P0002,joint_factors,TG:P0002:n1;TG:P0002:n2,"the weak Fe2+/3+-ClO4- interactions, accompanied by selective association between Fe2+ and nitrile solvents",39,相互作用与缔合共同解释熵变化。,model_proposed_pending_human
qualifier_v2_018,TG:P0006:r001,P0006,joint_factors,TG:P0006:n1;TG:P0006:n2;TG:P0006:n3,simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway,30,联合因素集合，不能确定各自独立效应。,model_proposed_pending_human
qualifier_v2_018,TG:P0006:r002,P0006,joint_factors,TG:P0006:n1;TG:P0006:n2;TG:P0006:n3,simultaneously realizing the thermosensitive-crystallization and salting-out effect in the elaborately designed ion-transport highway,30,联合因素集合，不能确定各自独立效应。,model_proposed_pending_human
qualifier_v2_019,TG:P0017:r001,P0017,duration_and_value,TG:P0017:n2,retains over 90 % of its moisture after 14 days,69,性能数值与持续时间同时保留。,model_proposed_pending_human
qualifier_v2_020,TG:P0018:r003,P0018,signed_magnitude_change,TG:P0018:n4,enhanced from- 1.39 to- 4.32 mV K- 1,136,负数绝对值增大；不能解释为代数值增加。,model_proposed_pending_human
qualifier_v2_020,TG:P0018:r004,P0018,signed_magnitude_change,TG:P0018:n4,enhanced from- 1.39 to- 4.32 mV K- 1,136,负数绝对值增大；不能解释为代数值增加。,model_proposed_pending_human
qualifier_v2_021,TG:P0020:r001,P0020,simulation_suggestion,TG:P0020:n1,Molecular dynamics simulations suggest,0,模拟提出的解释，不升格成独立实验证明。,model_proposed_pending_human
qualifier_v2_021,TG:P0020:r002,P0020,simulation_suggestion,TG:P0020:n1,Molecular dynamics simulations suggest,0,模拟提出的解释，不升格成独立实验证明。,model_proposed_pending_human
qualifier_v2_022,TG:P0025:r001,P0025,condition,TG:P0025:n1,low FA concentrations,26,仅低 FA 浓度范围。,model_proposed_pending_human
qualifier_v2_022,TG:P0025:r002,P0025,condition,TG:P0025:n1,low FA concentrations,26,仅低 FA 浓度范围。,model_proposed_pending_human
qualifier_v2_022,TG:P0025:r003,P0025,condition,TG:P0025:n1,low FA concentrations,26,仅低 FA 浓度范围。,model_proposed_pending_human
qualifier_v2_023,TG:P0025:r004,P0025,quantity_change_direction,TG:P0025:n6,lowering the activation energy of the redox reaction,236,明确是活化能降低，不是增加。,model_proposed_pending_human
qualifier_v2_023,TG:P0025:r005,P0025,quantity_change_direction,TG:P0025:n6,lowering the activation energy of the redox reaction,236,明确是活化能降低，不是增加。,model_proposed_pending_human
qualifier_v2_024,TG:P0026:r001,P0026,joint_conditions,TG:P0026:n1,temperature and pH coregulating,7,温度与 pH 共同调控，不分别估计效应。,model_proposed_pending_human
qualifier_v2_024,TG:P0026:r002,P0026,joint_conditions,TG:P0026:n1,temperature and pH coregulating,7,温度与 pH 共同调控，不分别估计效应。,model_proposed_pending_human
qualifier_v2_024,TG:P0026:r003,P0026,joint_conditions,TG:P0026:n1,temperature and pH coregulating,7,温度与 pH 共同调控，不分别估计效应。,model_proposed_pending_human
qualifier_v2_024,TG:P0026:r004,P0026,joint_conditions,TG:P0026:n1,temperature and pH coregulating,7,温度与 pH 共同调控，不分别估计效应。,model_proposed_pending_human
qualifier_v2_025,TG:P0030:r001,P0030,proposal,TG:P0030:n1,we proposed that,8,保留提出性机制的模态。,model_proposed_pending_human
qualifier_v2_025,TG:P0030:r002,P0030,proposal,TG:P0030:n1,we proposed that,8,保留提出性机制的模态。,model_proposed_pending_human
qualifier_v2_026,TG:P0040:r001,P0040,joint_factors,TG:P0040:n1,decomplexation and re-entanglement of gelatin chains,286,两个过程在同一节点中，不声称各自独立验证。,model_proposed_pending_human
qualifier_v2_026,TG:P0040:r002,P0040,joint_factors,TG:P0040:n1,decomplexation and re-entanglement of gelatin chains,286,两个过程在同一节点中，不声称各自独立验证。,model_proposed_pending_human
qualifier_v2_027,TG:P0041:r001,P0041,comparator,TG:P0041:n1,relative to bare gold,294,比较对象为裸金，不能外推所有电极。,model_proposed_pending_human
qualifier_v2_027,TG:P0041:r002,P0041,comparator,TG:P0041:n1,relative to bare gold,294,比较对象为裸金，不能外推所有电极。,model_proposed_pending_human
