paper_id,year,source_membership,canonical_concept,evidence_field,evidence_text,decision,rationale,mapping_status
P0133,1991,TG,ferri/ferrocyanide redox chemistry,abstract, maintained at different temperatures between platinum electrodes is described. Measurements on the Fe(CN)6(3-)/Fe(CN)6(4-) redox system in NaOH medium yield a thermoelectric effect between -1.1 and -1.4 mV/degree depending on the composition of the electrolytes. The i,core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,already_mapped_core
P0160,2025,TG,ferri/ferrocyanide family,abstract,"5 mW m-2 K-2. Notably, this figure of merit is similar to 70 times higher than the state-of-the-art ferrocyanide-ferricyanide-based thermogalvanic devices, thereby extending the scope of electrochemical heat harvesting beyond conventional redox process",background_comparison,"Ferrocyanide is cited as a state-of-the-art comparator, not the cell chemistry.",not_added
P0191,2024,TG,ferri/ferrocyanide redox chemistry,abstract,"nstructed by the synthesis of a photothermal layer on a thermoelectric hydrogel with the redox pair Fe(CN)63-/Fe(CN)64-. The smart design of using the oxidation of pyrogallic acid by Fe(CN)63- to construct the photothermal layer for photo-to-heat conversion protected the redox couple of the thermogalvanic ion pair from ultraviolet damage, as well as triggered the formation of an interlocking structure at the interface of the photothermal layer and the thermoelectric hydrogel. The as-prepared PTEH-Interlocking has shown a high Seebeck coefficient and rapid heat transfer, boosting the photo-thermo-electric conversion. As a demonstration of a practical application, the PTEH-Interlocking cells are successfully used as the energy supply for a mechanical sensor.image Photo-thermo-electric hydrogel with an interlocking structure at the interface (PTEH-Interlocking) was developed by assembling polyphenol photothermal film on the surface of redox thermoelectric hydrogels. This smart design improved the stability through protecting the internal redox couple from UV damage, as well as improve the photo-thermal-electric conversion efficiency, which realizes the use of solar energy to power",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,already_mapped_core
P0195,2023,TG,ferri/ferrocyanide family,abstract,"s a molar entropy change of 4 times that of the state-of-the-art aqueous TREC electrolyte potassium ferricyanide. Upon encapsulation of a guest, water molecules that structurally resemble amorphous ice are displaced from the host cavity, leveraging a c",background_comparison,Ferricyanide is a performance reference for the host-guest redox system.,not_added
P0212,2023,TG,ionic thermodiffusion (Soret effect),abstract," magnitude than the net reversible heat effect. The time-dependence of the Seebeck coefficient, the Soret effect, was found to differ between the cells with planar Li-metal electrodes to porous LFP.",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0219,2022,TG,ferri/ferrocyanide redox chemistry,abstract,"esulted in significant improvement in thermocapacitance, but only when high concentrations (1 M) of ferricyanide/ferrocyanide electrolyte are available. This study indicates how two different aspects of the system can be nanostructured to enhance device performance",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,already_mapped_core
P0220,2022,iTE|TG,ionic thermodiffusion (Soret effect),abstract," traditional thermoelectric systems based on the Seebeck effect, the thermogalvanic effect, and the Soret effect due to fixed temperature gradient and low voltage output. In this study, we report an ionic thermoelectric system, essentially a su-",background_comparison,The proposed homogeneous-temperature mechanism is contrasted with Soret operation.,not_added
P0231,2015,TG,ferri/ferrocyanide redox chemistry,abstract, can efficiently harvest low-grade waste heat. The thermobattery utilizes temperature dependence of ferri/ferrocyanide (Fe(CN)(6)(3-)/Fe(CN)(6)(4-)) redox potential and employs the porous carbon textile electrode that is coated with single-walled carbon nano,core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,already_mapped_core
P0245,2006,TG,ionic thermodiffusion (Soret effect),abstract,"ectrodes in the systems HCl-H2O-C2H5OH and KCI-H2O-CH5OH are determined. Standard thermal diffusion Soret coefficients, the entropy of thermal diffusion transport of electrolytes, and the entropy of mobile ions H+, K+, and Cl- are calculated for",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0278,2023,TG,ferri/ferrocyanide redox chemistry,abstract,"l convection, hence result in improved Se and reduced x. With the aqueous biphasic electrolyte of K3Fe(CN)6/K4Fe(CN)6 as the redox couple, the Se of the LTC was doubled and the output power was improved over 5 times. Furthermore, with the help of porous graphite felt as",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,already_mapped_core
P0310,2022,TG,ionic thermodiffusion (Soret effect),abstract,ersion of thermal energy into electric charge showed that the heat-controlled proton diffusion (the Soret effect) produces thermogalvanic redox reactions of hydrogen ions on the anode. The charge can be stored in an external capacitor for heat e,core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0320,2017,TG,carbon nanotube family,abstract,"or thermocells with different electrode materials (platinum, copper, charcoal, acetylene black, and carbon nanotube), electrode spacing, and temperature differentials. The power dependence of the thermocell on concentration and electrode spacing, with res",core,Carbon nanotubes are an experimentally used electrode/material component.,already_mapped_core
P0332,1994,TG,ferri/ferrocyanide redox chemistry,abstract,"died. The high-temperature and low-temperature electrodes of a cell containing the redox couple of [Fe (CN)6]3-/[Fe (CN)6]4- as the electroactive species were separated by the ion-exchange membrane that did not passage of the redox couple. When the two electrodes were connected, [Fe(CN)6]4- was reduced to [Fe(CN)6]3- at the high-temperature electrode and the opposite r",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,added_core
P0347,2025,iTE,ionic thermodiffusion (Soret effect),abstract,"symmetry between cations and anions. However, sustainable strategies for directing cation-selective thermodiffusion through structural engineering remain largely underexplored. Here, we report an all-wood ionic gel (RW i-TE) that achieves superior thermop",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0353,2024,iTE,ionic thermodiffusion (Soret effect),abstract,"The huge thermopower observed in the thermodiffusion mechanism of ionic thermoelectric (i-TE) materials has led researchers to conceive of the upgrading of thermoelectric technology. However, ",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0367,2025,iTE,ionic thermodiffusion (Soret effect),abstract,"Ionic thermoelectric (i-TE) materials based on the thermodiffusion effect have shown great potential in low-grade heat conversion due to their exceptional heat-to-electricity properties, low cost, and flexi",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0379,2023,iTE,ionic thermodiffusion (Soret effect),abstract,"rmoelectric hydrogel with lithium bis(trifluoromethane) sulfonimide (LiTFSI) as an ion provider for thermodiffusion, as LiTFSI exhibits excellent thermoelectric properties with a maximum power output of up to 538 nW at a temperature difference of 20 K. Th",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0398,2022,iTE,carbon nanotube family,abstract,"s of cutting/healing) without degradation of their TE properties. Using the OITCs with multi-walled carbon nanotube electrodes, an ionic TE supercapacitor (ITESC) with a maximum energy density of 19.4 mJ m(-2) is demonstrated upon a temperature difference",core,Carbon nanotubes are an experimentally used electrode/material component.,already_mapped_core
P0401,2025,iTE,ionic thermodiffusion (Soret effect),abstract,"his process immobilizes cations, thereby amplifying the ion-thermal migration rate disparity in the Soret effect and enhancing the thermopower. Furthermore, the thermoelectric performance was optimized by adjusting the dosage of the initiator am",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0423,2026,iTE,Hofmeister/chaotropic effect,abstract,"Hofmeister effect has been utilized to prepare ionic thermoelectric gels for the integration of thermoelectric and sensing functions. However, the cur",core,Specific-ion salting-in/salting-out behavior is part of the studied mechanism.,already_mapped_core
P0463,2026,iTE,ionic thermodiffusion (Soret effect),abstract,"hermal gradients. Conventional ionic thermoelectric (i-TE) hydrogels rely on the global, continuous thermodiffusion of ions (i.e. the Soret effect) across the entire material, which typically yields limited voltages at small temperature differences (Delta",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0497,2025,iTE,ionic thermodiffusion (Soret effect),abstract,"g a feasible way to sustainable development. Herein, a p-type i-TE cellulose ionogel (CIG) based on Soret effect is prepared by dissolving cellulose in an ionic liquid (IL) and subsequent water-absorbing induced gelation. Its morphological struc",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0524,2025,iTE,ionic thermodiffusion (Soret effect),abstract,"Ionic thermoelectric conversion based on Soret effect, a phenomenon of converting heat into electricity, has been popularized in establishing self-powering systems where thermal exchange",background_comparison,Soret conversion is introductory context for a gradient-independent mechanism.,not_added
P0530,2025,iTE,ionic thermodiffusion (Soret effect),abstract,"ort. The thermoelectric field arises due to the interplay between the thermophoresis created by the Soret effect, thermoosmosis of ions and the induced electric field governed electrophoretic transport of ions along with the EOF. In addition, th",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0578,2022,iTE,ionic thermodiffusion (Soret effect),abstract,ates the influence of ions on polymer configuration and provides an avenue for ion selection in the Soret effect in ionic thermoelectrics.,core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0589,2026,iTE,ionic thermodiffusion (Soret effect),abstract,"Ionic thermoelectric materials based on the Soret effect are promising for harvesting low-grade thermal energy owing to their high thermopower, mechanical flexibility, and low thermal condu",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0645,2021,iTE,ionic thermodiffusion (Soret effect),abstract,osite to the DC current establish that the ion migration is an electrochemical effect rather than a thermodiffusion. Consideration of only the applied critical voltage or current density is insufficient for deducing the stability limits and structural int,mechanism_rejected,"Operando measurements conclude that Zn migration is electrochemical, not thermodiffusive.",not_added
P0681,2025,iTE,ionic thermodiffusion (Soret effect),abstract,attributed to the synergistic effects of the charge tunneling across the SiO2 nanoparticles and the Soret effect of the ions under temperature gradient.,core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0684,2026,iTE,ionic thermodiffusion (Soret effect),abstract,"Ionic thermoelectric gels based on the Soret effect play an important role in realizing the efficient conversion of thermal and electrical energy, which is crucial for renewable energy",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0713,2024,iTE,ionic thermodiffusion (Soret effect),abstract,"age in ionic thermoelectric devices can be one order of magnitude larger than the contribution from thermodiffusion-induced potentials, and becomes the main contributor to energy harvesting when implemented into ionic thermoelectric supercapacitors. Toget",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0821,2026,iTE,ionic thermodiffusion (Soret effect),abstract, moisture-enabled electrolyte continuity and pore-hierarchy effects that control ionic mobility and thermodiffusion-driven voltage generation. Copper slag sand additionally lowers thermal conductivity to sustain temperature gradients and introduces Fe-ric,core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0878,2025,iTE,ionic thermodiffusion (Soret effect),abstract,"a T = 0.3 K). This work reveals the significant influence of the polymer aggregate structure on the thermal diffusion of ions, providing an innovative strategy in designating thermoelectric materials with high-performance, high-efficiency and environmentally friend",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P0972,2025,iTE,ionic thermodiffusion (Soret effect),abstract,"eviously been proposed. As another source, the Eastman entropy of transfer, which is related to the Soret coefficient, has been considered. Herein, we theoretically estimated the open circuit voltages generated in the Stern layer, the diffuse la",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P1316,2025,iTE,ionic thermodiffusion (Soret effect),abstract,Ionic thermoelectric materials based on the Soret effect exhibit sensitive temperature perception and memory behavior due to the differential ion thermodiffusion under temperature gradient ,core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P1404,2026,iTE,ionic thermodiffusion (Soret effect),abstract,"lf-powered human-machine interfaces. In these systems, the electrical potential originates from the Soret-effect-driven asymmetric thermo-diffusion of ions. However, conventional strategies typically rely on bulk polymer modifications to regulat",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P1542,2022,iTE,ionic thermodiffusion (Soret effect),abstract,"Low-grade heat recovery through ion redistribution ( i.e., Soret effect) in electric double-layer capacitors is a recent emergence for the conversion of thermal energy into electrical energy. A popular ap",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P1553,2020,iTE,carbon nanotube family,abstract,ntegrated with a p-type CP film as a flexible module-type TE harvester with 10 pairs of p-n legs on CNT electrodes. This TE harvester showed a thermovoltage of 1.55 V for a low temperature gradient of 4.5 K. This high anion transport in a TE C,core,Carbon nanotubes are an experimentally used electrode/material component.,already_mapped_core
P1614,2026,iTE,ferri/ferrocyanide redox chemistry,abstract,"e & horbar;SO3 - and phenyl moieties of amphiphilic networks enhance the entropy difference of the [Fe(CN)6 4-/Fe(CN)6 3-] redox couple via electrostatic and ion-pi interactions, boosting thermopower. The resulting IH-QS thermocell achieves high thermopower and normal",core,Fe(CN)6 redox chemistry is part of the studied thermogalvanic system.,added_core
P1700,2010,iTE,ionic thermodiffusion (Soret effect),abstract,"oid thermophoresis. Specifically, by contrasting the effects of the addition of NaCI or NaOH on the Soret effect of micellar solutions of sodium dodecyl sulfate, we show that the presence of highly thermally responsive ions such as OH- may easil",core,Ion thermodiffusion is an operative or directly investigated mechanism.,already_mapped_core
P1938,2022,iTE,carbon nanotube family,abstract,"oil and an ionic liquid ([Bmim][BF4])), and four carbon-based nanomaterials (graphene, multi-walled carbon nanotubes, amino-functionalized MWCNTs, and carboxyl-functionalized MWCNTs) were compared in the Bi(III) ion determination. Four CPE components, inc",excluded_out_of_scope,MWCNT is one tested modifier in a non-iTE analytical sensor paper.,not_added
