review_id,pair_id,iTE_claim,TG_claim,iTE_paper,TG_paper,score,endpoint_similarity,relation_lexical_similarity,selection,left_support,right_support,left_physics,right_physics,match,level,explanation,conditions,physical_boundary,neighbor_claim_ids,local_structure_assessment,transfer,insight_question,limitations,query
B11,X8f7a6434474e,iTE:P1251:r003,TG:P0234:r005,P1251,P0234,0.5843766331672668,0.7986677885055542,0.08436397463083267,fixed_query_TG,supported,supported,other_unclear,other_unclear,0,surface_similarity,左侧支持KCl在复合物中充当离子源，右侧支持熔盐中N2经阴极还原形成原文记作N3(-)的离子。供盐与电极反应生成物不是可对应的定向关系。,conflict,明胶柔性传感复合物与熔融LiCl–KCl电解环境存在明显材料和工作状态差异。左侧未明确热扩散或电极氧化还原，右侧目标是阴极还原而非已证实的热驱动发电过程。,"[""TG:P0234:r007""]",右侧r007仅表示该还原过程启发热电池应用，与离子生成边共享起点；不能拼成离子生成→热电池性能的路径。左侧无邻居路径。,not_supported,,保留N3(-)的原始歧义，不修正离子身份；右侧热电池应用为提议，左侧离子源角色不足以确定热电机制。,TG:P0234:r005
B12,X33a289c08700,iTE:P1112:r005,TG:P0302:r005,P1112,P0302,0.7373827695846558,0.8598189353942871,0.45169854164123535,high_score_diverse,supported,supported,electronic_thermoelectric,thermogalvanic_redox,0,surface_similarity,左侧支持传统热电优值影响BiCuSeO转换效率，且未指定变化方向；右侧明确否定双电池系统效率依赖传统热电优值。保留assertion=negated后，两条关系并不对应。,conflict,左侧是载流子输运相关的固体电子热电材料；右侧是热与电传导解耦、流量须响应电流的双电化学流动电池。其理论效率边界不能套用左侧材料优值关系。,"[""TG:P0302:r003""]",右侧r003说明独立优化传热与导电以提高效率的架构背景；接续目标时必须保留否定，不能构造正向的优值→效率链。左侧无两边路径。,not_supported,,关系冲突来自不同系统条件，并非两篇论文互相证伪；右侧是理论分析，所报效率不能当作已实测性能。,
B13,Xd52d0c08876f,iTE:P0334:r004,TG:P0005:r001,P0334,P0005,0.7245926856994629,0.9199509620666504,0.268756628036499,high_score_diverse,supported,supported,other_unclear,thermogalvanic_redox,1,shared_outcome_only,两条材料→Seebeck系数关系及数值均获摘要支持；仅有材料性能表征层面的有限对应，不能据相同单位认定同一机制。左侧摘要未明确电压产生机制。,insufficient,右侧明确为热电化学体系，并由辐射冷却维持温差；左侧未说明电极反应、热扩散贡献或持续供电方式，高热电势不能直接对应连续功率。,[],仅有单边材料属性对应，无提供的邻接边可支持机制路径。,not_supported,,缺少共同测试温度、温差、时间尺度和电极条件，不能直接比较性能优劣。,
B14,X9afdc5c6f88f,iTE:P0445:r004,TG:P0271:r007,P0445,P0271,0.6780005097389221,0.9095925092697144,0.13761916756629944,fixed_query_iTE,supported,supported,other_unclear,thermogalvanic_redox,1,shared_outcome_only,两侧水凝胶→Seebeck系数关系均忠实保留数值，右侧也保留0.8 M配方限定。仅共享性能指标；左侧未明确热扩散机制，右侧由Fe(II/III)热电池语境支持氧化还原机制判断。,insufficient,正负热电势及不同配方不能直接互换；左侧火警瞬态电压不证明持续发电，右侧热电池性能涉及氧化还原过程，不能由离子导电一词统一解释。,"[""iTE:P0445:r002"", ""iTE:P0445:r007"", ""TG:P0271:r008""]",左侧网络结构与火警响应、右侧功率均为同一材料的分支属性；没有Seebeck系数→输出性能的已提取有向因果链，仅支持单边对应。,not_supported,,摘要未给出统一符号约定及测试条件；氢键网络存在不等于已证明其提升热电势。,iTE:P0445:r004
B15,Xfd68a8b8d1a4,iTE:P0940:r007,TG:P0014:r001,P0940,P0014,0.6365188360214233,0.8463369011878967,0.14694339036941528,fixed_query_iTE,supported,supported,electronic_thermoelectric,ionic_thermodiffusion,0,surface_similarity,左侧在保留SiO2+共同添加及先后步骤后得到支持，不能归因于离子液体单独作用。右侧聚合物络合物→静电相互作用亦受支持，但与降低热导率的关系端点和作用不同。,insufficient,左侧为电子热电材料中的复合改性与隔热；右侧所选相互作用通过释放ClO4−促进离子热扩散，所在器件同时含热电化学机制。体相热导率降低不等于离子热扩散增强或器件温差增加。,"[""iTE:P0940:r001"", ""iTE:P0940:r005"", ""TG:P0014:r002""]",左侧邻边区分离子交换增电导和SiO2+降热导；右侧存在络合物→静电相互作用→ClO4−释放的同论文路径，两侧路径不对应。,not_supported,,共同使用PEDOT:PSS不足以支持迁移；右侧未报告对应的隔热改性，左侧未报告氧化还原或离子热扩散输出。,iTE:P0940:r007
B16,Xf9e42ac4bf9a,iTE:P1614:r006,TG:P0332:r003,P1614,P0332,0.7410972118377686,0.8514665365219116,0.48356884717941284,high_score_diverse,supported,supported,thermogalvanic_redox,thermogalvanic_redox,0,surface_similarity,左侧相互作用→氧化还原熵差增大受支持。右侧须连同assertion=negated读取，即膜不允许该氧化还原对通过，与摘要一致；不能将其读成允许通过。熵调控与阻隔传质没有目标关系对应。,insufficient,两侧虽用同一氧化还原对，左侧调节反应熵与热电势，右侧依赖膜阻隔保存浓差并在撤去温差后放电；相同化学物种不保证操作方式兼容。,"[""iTE:P1614:r005"", ""iTE:P1614:r007"", ""TG:P0332:r002""]",左侧有相互作用→熵差→热电势的同论文两边路径；右侧膜分隔与禁止通过是并列关系，未提供可匹配的两边链。,not_supported,,右侧摘要将4−变为3−称为还原，存在化学表述问题，不据此修正冻结关系；否定标记若在图中丢失将反转含义。,
B17,Xcc8ebc481b57,iTE:P0767:r007,TG:P0044:r006,P0767,P0044,0.630826473236084,0.8741514682769775,0.06306818872690201,fixed_query_TG,supported,supported,electronic_thermoelectric,thermogalvanic_redox,1,analogous_different_mechanisms,两侧均支持利用相变相关熵提升热电势的方向性对应；左侧为结构熵工程的提议并有连续相变载流子输运结果，右侧为熔化熵与构型熵共同作用，证据层级及物理过程不同。,insufficient,左侧涉及360–410 K附近连续相变与电子输运耦合；右侧跨越合金熔点，以电极相变影响热电化学电势且要求稳定液态金属界面。不能将电子输运熵直接等同于电极反应熵。,[],仅支持熵相关设计→热电势增强的单边类比；无提供的邻接边可建立对应两边路径。,plausible_question,借鉴Cu2Se连续相变与载流子输运耦合的结果，热电化学电极若采用连续结构相变，能否在稳定界面条件下测得反应熵及热电势的变化？,此为跨机制探索问题，非已验证迁移；右侧具体熔点及两体系共同工作窗口未给出，不作新颖性判断。,TG:P0044:r006
B18,X051d7b01759d,iTE:P1547:r001,TG:P0045:r004,P1547,P0045,0.6455379128456116,0.9002681970596313,0.05116724222898483,fixed_query_iTE,supported,supported,hybrid,thermogalvanic_redox,0,surface_similarity,左侧纤维→双向离子选择性与右侧受限输运→性能浓度依赖均受支持，但属性关系与机制解释的方向、端点不对应。通道和离子输运词汇相近不足以建立目标关系匹配。,insufficient,左侧明确结合离子通道与电子输运介质，并通过更换离子源调节p/n；右侧由盐析造成受限输运，作用于含氧化还原离子的热电池。受限运动不必然增强选择性，也可能限制反应物传质，此为待检验推断。,"[""iTE:P1547:r002"", ""iTE:P1547:r003"", ""TG:P0045:r002"", ""TG:P0045:r003""]",左侧通道、选择性与热电势为材料节点的分支，不能拼成通道→选择性→热电势链；右侧有盐析→受限输运→性能浓度依赖路径，未形成跨论文对应路径。,not_supported,,右侧未指定浓度效应正负或双向选择性，左侧未报告盐析和氧化还原过程；不能推定相同通道调控策略。,iTE:P1547:r001
B19,Xdbf2dee43f7f,iTE:P1244:r003,TG:P0240:r001,P1244,P0240,0.6185644865036011,0.835620641708374,0.11210024356842041,fixed_query_TG,supported,supported,other_unclear,other_unclear,0,surface_similarity,左侧为单晶材料的结构品质，右侧为特定几何与超结构取向下的金属化现象；两项均获摘要支持，但关系终点不对应。,insufficient,单晶品质不能等同于金属化机制。右侧仅提出类热电化学体过程或近表面载流子重分布两种备选解释，不能确定为氧化还原热电池。,"[""TG:P0240:r002"", ""TG:P0240:r003""]",右侧可接至两条假说解释边，但左侧没有对应路径；不存在可匹配的单边或双边机制关系。,not_supported,,几何、取向及金属化机制均未具体确定；左侧目标本身不涉及热电转换机制。,TG:P0240:r001
B20,X6b9d88f4add0,iTE:P0659:r008,TG:P0295:r005,P0659,P0295,0.728675365447998,0.8743680715560913,0.38872575759887695,high_score_diverse,supported,supported,ionic_thermodiffusion,ionic_thermodiffusion,2,same_mechanism,两侧均明确支持“Soret热扩散产生浓度梯度”，方向及端点对应；这是已有同机制关系，右侧的TG标签不代表氧化还原过程。,insufficient,左侧限定稀溶液、弱温度梯度、阻挡且电隔离的电极及两离子相同扩散系数；右侧为黏弹性聚合物电解质，温差10–20°C，不能直接套用左侧电压或扩散时标。,"[""iTE:P0659:r009"", ""TG:P0295:r004""]",仅单边对应成立。左侧可延伸至浓度梯度形成时标；右侧邻边是温度梯度指向同一浓度梯度，不能拼成对应的第二步。,already_similar_mechanism,,右侧未验证弱梯度及稀溶液假设，也未测量热电压动力学；左侧时标原文L-2/D的指数格式仍有歧义。,
B21,Xb7def2427224,iTE:P1263:r003,TG:P0270:r003,P1263,P0270,0.7215332984924316,0.8677719831466675,0.3803097605705261,high_score_diverse,supported,supported,thermogalvanic_redox,thermogalvanic_redox,2,same_mechanism,两侧均为添加剂调控同一K4Fe(CN)6的温敏相行为：左侧诱导结晶，右侧改变温敏溶解度并报告沉淀。该层面的定向关系明确对应。,insufficient,共同点是热电化学体系中的温敏相行为；左侧归因为氧化还原对熵差，右侧强调归一化浓度梯度且溶剂化贡献弱，二者不能直接等同。凝胶与液体的传质、对流条件也不同。,"[""iTE:P1263:r004"", ""TG:P0270:r004"", ""TG:P0270:r005""]",左侧为添加剂→结晶→熵差；右侧为添加剂→温敏溶解度→浓度梯度，第二步还需冷端最低浓度共同参与。仅第一步具有清晰对应，不能宣称双边路径同构。,already_similar_mechanism,,未提供相平衡曲线或贡献分解，不能认定两种添加剂可互换；共同方法判断仅限所给论文。,
B22,X826e4dfc0956,iTE:P1048:r010,TG:P0111:r005,P1048,P0111,0.5983836650848389,0.8239070177078247,0.07216256856918335,fixed_query_TG,supported,supported,other_unclear,other_unclear,0,surface_similarity,左侧是介孔结构增加表面积，右侧是复合材料在未详述条件下介电常数低于1；介孔一词不足以建立关系对应。,insufficient,结构表面积、电子导电性能与频率相关介电响应是不同物理量。右侧热刺激去极化的描述不足以证明电极氧化还原机制；左侧目标也只是几何结构效应。,"[""iTE:P1048:r011"", ""TG:P0111:r006""]",左侧有介孔结构→表面积→电导率的同文路径；右侧没有表面积→介电常数的边，不能用共享材料节点补链。,not_supported,,缺少右侧介电测量频率和具体条件，以及孔结构对该响应的因果证据。,TG:P0111:r005
B23,X9c4a2fe2ec7f,iTE:P0440:r004,TG:P0075:r005,P0440,P0075,0.7231435179710388,0.8972216844558716,0.3169611096382141,high_score_diverse,supported,supported,other_unclear,thermogalvanic_redox,1,shared_outcome_only,两侧均支持水凝胶器件具有所报热电系数，可作有限的材料→性能关系对应；共同指标不能证明共同机制。左侧摘要未交代热电压的微观来源。,insufficient,左侧给出10 K、55%相对湿度，右侧未给对应测试条件且使用等效Seebeck系数。右侧明确依赖热电化学效应，但未列出氧化还原对；不能据系数或符号判断左侧机制及持续供电能力。,[],仅单边性能对应；所给邻边均为同一材料的并列性能，不能构成热电系数形成机制的双边路径。,not_supported,,电极、温差标定、符号约定及输出随时间的行为不明，不能直接比较本征热电性能或迁移机制。,
B24,X7fbb01ea0896,iTE:P0558:r001,TG:P0013:r002,P0558,P0013,0.795656681060791,0.8697361946105957,0.6228046417236328,high_score_diverse,supported,supported,other_unclear,other_unclear,2,same_mechanism,两侧均明确支持“水凝胶具有双网络结构”，材料和结构端点直接对应。共同点限于已采用的结构方案，不能据此认定热电转换机制相同。,insufficient,双网络是结构设计，不决定热电压来自热扩散还是氧化还原。右侧力电性能由双网络与富氢离子的植酸共同实现，不能归因于双网络单一因素。,"[""iTE:P0558:r004"", ""iTE:P0558:r006"", ""TG:P0013:r003"", ""TG:P0013:r004""]",仅结构单边匹配。右侧有水凝胶→双网络→力学或导电性能的条件路径；左侧只给水凝胶的并列性能，没有双网络→性能边。,already_similar_mechanism,,same_mechanism仅指共同结构方案；网络组成、交联细节及性能因果贡献不全，不能推出相同发电机制或双网络的独立收益。,
