relation_id,domain,paper_id,title,year,subject,predicate,object,assertion_type,quote,full_abstract,stratum,stratum_population,stratum_sample,inclusion_probability,inverse_probability_weight,human_evidence_valid,human_direction_valid,human_assertion_valid,human_conditions_preserved,human_overall_label,human_error_type,human_reason,reviewer_id,reviewed_at,review_status
iTE:P0510:r002,iTE,P0510,A double network facilitated ion-electron conductor for thermoelectric harvesting with high energy density,2024,thermodiffusion and Seebeck effects,facilitates,continuous electricity generation,author_claim,"The innovative structural design effectively amalgamates thermodiffusion and Seebeck effects, facilitating continuous electricity generation.","As a young member of the thermoelectric (TE) family, ionic thermoelectric (i-TE) technology stands out due to its exceptionally high thermopower. However, the intermittent nature of its heat utilization results in a weak power output, thus limiting its practical application. To tackle this issue, combining i-TE with electronic thermoelectric (e-TE) materials that exhibit stable heat -to -electricity conversion capabilities presents itself as a promising solution. With this aim, we introduced interpenetrating network (IPN) structure in the fabrication process of mixed ionic -electronic TE (MIETE) materials. Specifically, we created a double network MIETE converter through the in -situ polymerization of ionic poly(2-acrylamido-2-methyl-1-propanesulfonic acid) (PAMPS) on a loosely structured poly(3,4-ethylenedioxythiophene):poly(styrene sulfonate) (PEDOT:PSS)/lithium bis(trifluoromethane)sulfonimide (LiTFSI) electronic conductive framework. This subsequent construction of the inert network ensures uninterrupted electronic conductivity and boosts density for improved conductivity (a). The innovative structural design effectively amalgamates thermodiffusion and Seebeck effects, facilitating continuous electricity generation. The resulting hybrid PEDOT:PSS/LiTFSI/PAMPS-LiCl (PLiP) hydrogels exhibit exceptional TE performance, showing a thermopower of 7.86 mV K -1 and a of 33.3 mS cm (- 1) . It is worth noting that the PLiP hydrogel illustrates a power generation time of over 4 h and an ultra -high energy density of 93.7 J m( - 2) , which exceeds other TE hydrogels based on the thermodiffusion principle.",author_claim|2022_onward|complex_3plus_nodes,546,27,0.04945054945054945,20.22222222222222,,,,,,,,,,pending_human
iTE:P1526:r001,iTE,P1526,"High Power Factors of Thermoelectric Colusites Cu26T2Ge6S32 (T = Cr, Mo, W): Toward Functionalization of the Conductive Cu-S Network",2019,interactions between these complexes,accounts for,electronic transport properties,author_claim,"The interactions between these complexes are responsible for the outstanding electronic transport properties. By contrast, the thermal conductivity is not significantly affected.","The introduction of hexavalent T6+ cations in p-type thermoelectric colusites Cu26T2Ge6S32 (T = Cr, Mo, W) leads to the highest power factors among iono-covalent sulfides, ranging from 1.17 mW m(-1) K-2 at 700 K for W to a value of 1.94 mW m(-1) K-2 for Cr. In Cu26Cr2Ge6S32, ZT reaches values close to unity at 700 K. The improvement of the transport properties in these new sulfides is explained on the basis of electronic structure and transport calculations keeping in mind that the relaxation time is significantly influenced by the size and the electronegativity of the interstitial T cation. The rationale is based on the concept of a conductive Cu-S network, which in colusites corresponds to the more symmetric parent structure sphalerite. A detailed structural analysis of these colusites shows that the distortion of the conductive network is influenced by the presence in the structure of mixed octahedral-tetrahedral [TS4]Cu-6 complexes where the T cations are underbonded to sulfur and form metal-metal interactions with copper, Cu-T distances decreasing from 2.76 angstrom for W to 2.71 angstrom for Cr. The interactions between these complexes are responsible for the outstanding electronic transport properties. By contrast, the thermal conductivity is not significantly affected.",author_claim|2016_2021|complex_3plus_nodes,194,9,0.04639175257731959,21.555555555555554,,,,,,,,,,pending_human
iTE:P1763:r001,iTE,P1763,MAGNETIC AFTER-EFFECTS IN NICKEL FERRITES AND THEIR INTERRELATION WITH ELECTRICAL-CONDUCTIVITY,1995,Ni contents,suppresses across studied contents,electron tunnelling,author_claim,"electron tunnelling (4 K < T < 35 K) is suppressed for all Ni contents, x","The magnetic after-effect (MAE) spectra of vacancy-doped (Delta) nickel ferrites, Fe3-x-DeltaNixO4, of compositions 0.1 less than or equal to x less than or equal to 0.8 and Delta similar or equal to 5 x 10(-3) are studied in the temperature range 4.4 K < T < 460 K. Ni2+ ions, located preferentially on B-sites of the inverse spinel lattice, influence severely the magnetite-specific electron transport mechanisms: (i) electron tunnelling (4 K < T < 35 K) is suppressed for all Ni contents, x; (ii) wide-range electron hopping (50 K < T < 125 K) only occurs, in mutilated form, for 0.1 less than or equal to x < 0.4; (iii) the characteristic Verwey transition (T-V similar or equal to 125 K), too, is suppressed for all x; (iv) the vacancy-mediated ionic relaxations, near 300 K, are deteriorated for x < 0.4 but regain Debye-type character for x greater than or equal to 0.4. The interrelations between the MAE and the electric conductivity in Ni ferrites are discussed.",author_claim|through_2015|simple_1or2_nodes,180,9,0.05,20.0,,,,,,,,,,pending_human
iTE:P0366:r002,iTE,P0366,Harvesting body heat through clay-based ionic thermoelectric devices,2026,humidity levels in the atmosphere,positively associated with,ionic conductivity,association,"As the hydration of molecularly thin 2D channels relies on atmospheric water molecules, the ionic conductivity and Si of MMT increase with increasing humidity levels in the atmosphere.","Direct conversion of body heat into electricity through thermoelectric (TE) devices is emerging as an attractive option to power wearable electronics. As semiconducting TE devices suffer from the trade-off between electronic and thermal conductivity and high operating temperature, ionic thermoelectric devices relying on atmospheric humidity perfectly fit this low-temperature operating condition. Here, atomically thin 2D channels of reconstructed clay membranes were applied to demonstrate the possibility of harvesting electricity from body heat through the ionic thermoelectric (i-TE) effect. Nanofluidic membranes prepared by reconstructing layers of montmorillonite clay (MMT) displayed outstanding i-TE characteristics. Thermal transport of intercalating cations through an interconnected network of 2D channels yielded a Seebeck coefficient (Si) of up to 13.63 +/- 1.13 mV K-1. As the hydration of molecularly thin 2D channels relies on atmospheric water molecules, the ionic conductivity and Si of MMT increase with increasing humidity levels in the atmosphere. In contrast to polymer-based i-TE devices, clay membranes sustain exposure to high temperatures (similar to 200 degrees C, 5 min) and self-repair physical damages with the help of water droplets. The MMT membrane deposited on a PET film generated voltages of up to 63 mV (Delta T = 1.8 K) at 85% RH upon being pasted on human skin.",association|2022_onward|complex_3plus_nodes,14,1,0.07142857142857142,14.0,,,,,,,,,,pending_human
iTE:P0931:r001,iTE,P0931,Liquid thermoelectric conversion devices composed of several organic solvents,2023,OH- and/or H2O coordination to Fe3+,author interprets enhancement through,alpha,author_claim,"Based on the ultraviolet-visible absorption spectroscopy, we interpreted the enhancement of alpha in terms of the OH- and/or H2O coordination to Fe3+, which was introduced by the crystal water of the solute.","We evaluated the performances of liquid thermoelectric conversion devices (LTEs) composed of nine organic solvents containing an Fe2+/Fe3+ redox pair against the electrolyte concentration (m). In protic solvents, i.e. methanol (Me), ethanol (Et), 1-propanol (Pr), and ethylene glycol (EG), the electrochemical Seebeck coefficient (alpha = d V/d T, where V and T are the electrode potential and temperature, respectively) increases with m in the small m region. Based on the ultraviolet-visible absorption spectroscopy, we interpreted the enhancement of alpha in terms of the OH- and/or H2O coordination to Fe3+, which was introduced by the crystal water of the solute. At a temperature difference (Delta T) of 30 K, the maximum value of the power factor of the Me LTE reaches 11.5 mu W K(-2)m.",author_claim|2022_onward|simple_1or2_nodes,428,21,0.04906542056074766,20.380952380952383,,,,,,,,,,pending_human
iTE:P0884:r001,iTE,P0884,Flexible Thermopiles Based on Hydrogels with Carriers Moving in Opposite Directions,2023,movement of cations from the cold to hot region,accounts for as reported,positive Seebeck coefficient,author_claim,"One of them shows a positive Seebeck coefficient of 3.81 mV/K due to the movement of cations from the cold to hot region, while the other displays a negative Seebeck coefficient of -2.33 mV/K due to the movement of cations in the opposite direction.","Thermoelectric generators based on body heat are green, sustainable, and flexible power sources, and their efficiency could be greatly improved by thermopiles. Herein, a unique concept of thermopiles is proposed in which two types of hydrogels with positively charged carriers moving in different directions are fabricated. One of them shows a positive Seebeck coefficient of 3.81 mV/K due to the movement of cations from the cold to hot region, while the other displays a negative Seebeck coefficient of -2.33 mV/K due to the movement of cations in the opposite direction. Notably, the Seebeck coefficient of the latter is increased by 50 times in comparison to that of the original component due to the conversion from an electronic to an ionic thermoelectric conductor. Also, the thermopile with a Seebeck coefficient of 6.18 mV/K shows excellent flexibility and stability when applied in wearable textiles. Compared to traditional wearable thermopiles, the thermopiles based on hydrogels containing carriers with opposite thermal motion directions exhibit a much more outstanding thermoelectric performance. This work contributes to addressing the lack of n-type thermoelectric materials and extending the field of thermoelectric devices.",author_claim|2022_onward|complex_3plus_nodes,546,27,0.04945054945054945,20.22222222222222,,,,,,,,,,pending_human
iTE:P1721:r001,iTE,P1721,Enhanced electrochemical and thermoelectric performance of bacterial cellulose-based composite aerogels via multi-component reinforcement,2026,Ca2+-mediated ionic cross-linking,enhances,mechanical robustness,author_claim,"The Ca2+-mediated ionic cross-linking significantly enhances mechanical robustness compared to pristine BC aerogels, while the synergistic combination of PEDOT and PANI creates continuous electron-transport pathways.","Flexible wearable electronics demand multifunctional materials with robust mechanical properties, high conductivity, and sensing capabilities. However, existing bacterial cellulose (BC)-based aerogels suffer from poor mechanical stability and limited electrical performance. Here, we report a synergistic, multi-component reinforcement strategy for fabricating high-performance BC-based composite aerogels. By incorporating sodium alginate (SA) as a toughening modifier and integrating dual conductive polymers (poly(3,4-ethylenedioxythiophene) (PEDOT) and polyaniline (PANI)), we construct an ionically cross-linked network via Ca2+ chelation. The optimized aerogel (BC : PEDOT = 2 : 1, 30% SA, 4% PANI) demonstrates remarkable multifunctional performance: a specific capacitance of 37.09 F g-1 with 98.3% retention after 10 000 cycles, superior thermoelectric properties (Seebeck coefficient: 0.7 mV K-1, electrical conductivity: 4.5 S cm-1, power factor: 220.5 & micro;W m-1 K-2), and stable pressure-responsive behavior (18.5 mV and 6.8 & micro;A at 5 kPa). The composite aerogel exhibits good mechanical properties, with a stress of up to 9.6 kPa at 100% compressive deformation after 100 cycles. The Ca2+-mediated ionic cross-linking significantly enhances mechanical robustness compared to pristine BC aerogels, while the synergistic combination of PEDOT and PANI creates continuous electron-transport pathways. This work demonstrates that rational design of multi-component systems can overcome the traditional trade-off between mechanical and electrical properties in BC-based materials, offering a promising approach for next-generation flexible electronics, including self-powered sensors and wearable energy storage devices.",author_claim|2022_onward|complex_3plus_nodes,546,27,0.04945054945054945,20.22222222222222,,,,,,,,,,pending_human
iTE:P1846:r001,iTE,P1846,"STRUCTURAL, ELECTRICAL AND OPTICAL-PROPERTIES OF SOLUTION GROWN POLYCRYSTALLINE CU1-XAGXSE THIN-FILMS",1992,annealed at different temperatures up to 500 K,associated with,appearance of electrical conductivity,association,"Polycrystalline thin films of Cu1-xAgxSe (0 less-than-or-equal-to x less-than-or-equal-to 1) have been deposited by a 'solution growth' technique. As-deposited films have been annealed at different temperatures up to 500 K and the appearance of electrical conductivity has been observed. The electrical conductivity of annealed films shows an exponential dependence on temperature, and two thermal activation energies have been calculated. Excluding x = 0, all the films displayed n-type conductivity. Carrier concentration, mobility and thermoelectric power measurements of these films have been carried out as a function of composition. X-ray analysis indicates that CuSe and AgSe films have a cubic crystal structure while films with 0.1 less-than-or-equal-to x less-than-or-equal-to 0.9 possess a tetragonal structure with axial ratio approximately 1.25. Films of stoichiometry 0.1 less-than-or-equal-to x less-than-or-equal-to 1 show both a direct and an indirect optical bandgap E(g) from 1.4 to 1.37 eV and from 1.19 to 0.99 eV respectively. Other parameters such as absorption coefficient-alpha, refractive index n, dielectric constant-epsilon, and extinction coefficient k have also been computed from reflectance and transmittance spectra.","Polycrystalline thin films of Cu1-xAgxSe (0 less-than-or-equal-to x less-than-or-equal-to 1) have been deposited by a 'solution growth' technique. As-deposited films have been annealed at different temperatures up to 500 K and the appearance of electrical conductivity has been observed. The electrical conductivity of annealed films shows an exponential dependence on temperature, and two thermal activation energies have been calculated. Excluding x = 0, all the films displayed n-type conductivity. Carrier concentration, mobility and thermoelectric power measurements of these films have been carried out as a function of composition. X-ray analysis indicates that CuSe and AgSe films have a cubic crystal structure while films with 0.1 less-than-or-equal-to x less-than-or-equal-to 0.9 possess a tetragonal structure with axial ratio approximately 1.25. Films of stoichiometry 0.1 less-than-or-equal-to x less-than-or-equal-to 1 show both a direct and an indirect optical bandgap E(g) from 1.4 to 1.37 eV and from 1.19 to 0.99 eV respectively. Other parameters such as absorption coefficient-alpha, refractive index n, dielectric constant-epsilon, and extinction coefficient k have also been computed from reflectance and transmittance spectra.",association|through_2015|simple_1or2_nodes,47,2,0.0425531914893617,23.5,,,,,,,,,,pending_human
iTE:P0403:r001,iTE,P0403,Quasi-solid state nanoparticle/(ionic liquid) gels with significantly high ionic thermoelectric properties,2020,ionogels made of ionic liquids and SiO2 nanoparticles,can exhibit,high thermovoltage,author_claim,"Here, we demonstrate quasi-solid state ionogels made of ionic liquids and SiO2 nanoparticles. They can have high thermovoltage and ionic conductivity.","Ionic conducting materials such as polymer electrolytes and ionic liquids can have a thermovoltage higher than those of electronic thermoelectric materials by several orders of magnitude, while their conductivity is much lower than those of the latter. Hence, their heat-to-electricity conversion efficiency is not high enough for practical application. The heat conversion efficiency of ionic conducting materials depends on the ionic figure of merit (ZT(i)). Here, we demonstrate quasi-solid state ionogels made of ionic liquids and SiO2 nanoparticles. They can have high thermovoltage and ionic conductivity. The optimal ionic ZT(i) value can be up to 1.47 with an ionic Seebeck coefficient of 14.8 mV K-1, ionic conductivity of 4.75 x 10(-2) S cm(-1), thermal conductivity of 0.21 W m(-1) K-1 and ionic power factor of 1040.4 mu W m(-1) K-2 at room temperature. This ZT(i) value is almost twice the previous highest ZT(i) value for ionic conductors used for heat-to-electricity conversion in the literature.",author_claim|2016_2021|complex_3plus_nodes,194,9,0.04639175257731959,21.555555555555554,,,,,,,,,,pending_human
iTE:P1658:r002,iTE,P1658,Tunable bandgap and ultra-low thermal conductivity of the Sr/Zn co-substituted Ca3AlAs3-type Zintl phase,2025,Atomic disordering,suppresses,total thermal conductivity,author_claim,Atomic disordering through the Sr and Zn substitutions strongly suppressed total thermal conductivity,"Nine new Zintl phase thermoelectric (TE) materials in the Ca3-xSrxAl1-YZnYSb3 (0 <= x <= 1.55(4); 0 <= Y <= 0.06(1)) system were successfully synthesized by arc-melting and the Pb-flux methods. All the title compounds adopted the orthorhombic Ca3AlAs3-type phase (space group Pnma, Pearson code oP28), where three distinct cationic sites and one tetrahedral anionic site exhibited the mixed occupancies of Ca/Sr and Al/Zn. Interestingly, the Sr-substituent preferred to fill the largest M2 site, then the M3 site, reaching the M1 site only at higher overall loading, which was consistent with the ionic size-factor criterion. A series of DFT calculations by the TB-LMTOASA method on the three model structures: Ca3AlSb3, Ca1.5Sr1.5AlSb3, and Ca1.5Sr1.5Al0.75Zn0.25Sb3, indicated (1) the Sr substitution widened the small bandgap, (2) the Zn substitution pushed E-F through the valence-band region yielding p-type character while maintaining a narrow direct gap at Gamma, and (3) the valence-band flattening between Gamma and Z, and T and Y increased effective mass. Optical reflectance study using the Kubelka-Munk function gave the bandgap of 0.28 and 0.30 eV for Ca3AlSb3 and Ca2.00(3)Sr1.00AlSb3, respectively, which corroborated the calculated results. TE property measurements showed an increase of electrical conductivity sigma with temperature and the positive Seebeck coefficients S between 303 and 850 K. Atomic disordering through the Sr and Zn substitutions strongly suppressed total thermal conductivity kappa(tot) down to 0.46 W/mK at 873 K for Ca2.48(2)Sr0.52AlSb3. The maximum ZT value was obtained for the Zn-doped Ca3Al0.96(1)Zn0.04Sb3, and this enhanced result should be attributed to the synergy of enhanced sigma, moderated S, and reduced kappa(tot).",author_claim|2022_onward|complex_3plus_nodes,546,27,0.04945054945054945,20.22222222222222,,,,,,,,,,pending_human
iTE:P1859:r001,iTE,P1859,Physical properties of CVD-grown Se-carbon films,1997,CVD-grown Se-carbon films,reported to exhibit,largest thermoelectric power reported in the open literature among carbon-based compounds,author_claim,"A novel chemical vapor deposition (CVD) approach based on the thermal decomposition of an aromatic hydrocarbon in the presence of Se vapor is used to grow films of layered Se-carbon compounds. In principle, this technique can produce a wide variety of new carbon-based materials, for example, graphite intercalation compounds (GICs) which, for kinetic reasons, cannot be made if the intercalant vapor has to diffuse large distances into a pre-existing graphitic host. In particular, homogeneous oriented submicron films of either pure stage-3 (Se24C) or mixed-stage Se-carbon layer compounds have been successfully grown on Ni substrates in evacuated sealed quartz tubes. X-ray diffraction, X-ray photoelectron spectroscopy, Raman scattering and the c-axis electrical transport measurements are discussed in terms of both covalent Se-carbon bonding and an ionic model assuming the formation of an acceptor-type Se-GIG with electron transfer from carbon to Se. Our CVD-grown Se-carbon films exhibit the largest thermoelectric power reported in the open literature among carbon-based compounds. However, the value is at least a factor of 10 less than reported for these materials in patents by Sharp Corp.","A novel chemical vapor deposition (CVD) approach based on the thermal decomposition of an aromatic hydrocarbon in the presence of Se vapor is used to grow films of layered Se-carbon compounds. In principle, this technique can produce a wide variety of new carbon-based materials, for example, graphite intercalation compounds (GICs) which, for kinetic reasons, cannot be made if the intercalant vapor has to diffuse large distances into a pre-existing graphitic host. In particular, homogeneous oriented submicron films of either pure stage-3 (Se24C) or mixed-stage Se-carbon layer compounds have been successfully grown on Ni substrates in evacuated sealed quartz tubes. X-ray diffraction, X-ray photoelectron spectroscopy, Raman scattering and the c-axis electrical transport measurements are discussed in terms of both covalent Se-carbon bonding and an ionic model assuming the formation of an acceptor-type Se-GIG with electron transfer from carbon to Se. Our CVD-grown Se-carbon films exhibit the largest thermoelectric power reported in the open literature among carbon-based compounds. However, the value is at least a factor of 10 less than reported for these materials in patents by Sharp Corp.",author_claim|through_2015|simple_1or2_nodes,180,9,0.05,20.0,,,,,,,,,,pending_human
iTE:P0411:r002,iTE,P0411,Annealing Temperature Tuning of Thermoelectric Properties in Conductive Polymers: Transition from Ionic to Electronic Thermoelectrics,2025,construction of conductive networks,causes on annealing above 140 degrees C,transition from ionic to electronic TEMs,author_claim,"For the PEDOT:PSS/EMIM:DCA composites, a distinct transition from ionic to electronic TEMs was observed for the first time upon annealing above 140 degrees C. Through comprehensive characterization techniques, we demonstrated that this transition originates from the construction of conductive networks induced by phase separation.","Thermoelectric materials (TEMs) have attracted considerable interest for applications in low-grade energy harvesting, refrigeration, and sensing. Conductive polymers (CPs) represent an important class of TEMs, as they have garnered considerable attention for their dual functionality in facilitating ion transport through channel formation, while simultaneously enabling hole-electron conduction via conjugated networks. However, researchers have overlooked the connection between CP-based ionic thermoelectrics and electronic thermoelectrics. Here, we demonstrate tunable thermoelectric properties achieved exclusively through polymer annealing without any additional substance incorporation. For the PEDOT:PSS/EMIM:DCA composites, a distinct transition from ionic to electronic TEMs was observed for the first time upon annealing above 140 degrees C. Through comprehensive characterization techniques, we demonstrated that this transition originates from the construction of conductive networks induced by phase separation. Furthermore, by utilizing materials annealed at different temperatures, we constructed a hybrid ionic-electronic thermoelectric converter achieving energy density of 13.99 J m-2, more than 17-fold enhancement compared to a pure ionic thermoelectric converter. This work not only provides fundamental insights into charge transport in CPs but also provides insights into the design of high-performance TEMs.",author_claim|2022_onward|complex_3plus_nodes,546,27,0.04945054945054945,20.22222222222222,,,,,,,,,,pending_human
iTE:P0523:r001,iTE,P0523,Electron-ion coupling enables ionic hydrogel with high thermopower for low-grade heat harvest and sensitive fire warning,2025,SA-Ca2+ crosslinking,enhances,flame retardancy and mechanical strength,author_claim,"Subsequent immersion in calcium chloride (CaCl2) solution enabled strong SA-Ca2+ crosslinking, enhancing the flame retardancy and mechanical strength to yield a high-performance ionic thermoelectric hydrogel (APSG).","Conventional ionic thermoelectric materials suffer from inherent intermittent power generation due to their reliance on ionic thermal diffusion. To overcome this limitation, we developed a flame-retardant thermoelectric hydrogel leveraging electron-ion thermoelectric synergy. The hydrogel was prepared through thermal polymerization using sodium alginate (SA), poly(3,4-ethylenedioxythiophene):polystyrene sulfonate (PEDOT:PSS), polyacrylamide (PAAm), and sodium chloride (NaCl). Subsequent immersion in calcium chloride (CaCl2) solution enabled strong SA-Ca2+ crosslinking, enhancing the flame retardancy and mechanical strength to yield a high-performance ionic thermoelectric hydrogel (APSG). The synergy between the electronic Seebeck effect (PEDOT:PSS) and ionic thermal diffusion (NaCl) achieved a high Seebeck coefficient of 4.25 mV K-1. Under a 20 K temperature difference with voltage amplification, APSG generated a sustained output voltage of 2.5 V for over 10 min, demonstrating robust continuous power generation. APSG also exhibited sensitive fire-warning capability and outstanding flame retardancy. When exposed to a flame, it triggered the fire alarm within 1.7 s. Its limiting oxygen index (LOI) was as high as 42.3%, and achieved a UL-94 V-0 rating. This work presents an effective strategy for developing next-generation safe and efficient thermoelectric materials for energy harvesting.",author_claim|2022_onward|simple_1or2_nodes,428,21,0.04906542056074766,20.380952380952383,,,,,,,,,,pending_human
iTE:P0958:r001,iTE,P0958,C-AXIS ELECTRICAL-CONDUCTIVITY AND THERMOELECTRIC-POWER OF SODIUM HYDRIDE GRAPHITE TERNARY INTERCALATION COMPOUNDS,1993,domain-scattering mechanism of phonons,influences,phonon-drag effects,author_claim,"This behavior is explained by the important role played by the domain-scattering mechanism of phonons in phonon-drag effects, and proves that the Fermi surface of graphitic pi electrons is small.","The electronic structures of sodium hydride intercalated graphite (NaH-GIC's) C(an) NaH (a = 2.5-4.5, n = stage index), which have ionic triple atomic layers Na+-H--Na+ in their graphitic galleries, are investigated using c-axis resistivity and thermoelectric power measurements. The introduction of NaH in the graphitic galleries depresses the c-axis resistivity, in contrast to the case of the isostructural compounds KH-GIC's or KHg-GIC's. This suggests that the NaH intercalate does not contribute to the transport properties. The thermoelectric power, which is explained mainly in terms of phonon-drag effects, anomalously decreases as the stage index increases. This behavior is explained by the important role played by the domain-scattering mechanism of phonons in phonon-drag effects, and proves that the Fermi surface of graphitic pi electrons is small. The results of thermoelectric power measurements give the Fermi energy at E(F) = 0.45 eV for a stage-3 compound, which is considerably smaller than that for KHg-GIC's and KH-GIC's. From these experimental results, it is suggested that the ionic NaH intercalate with a stoichiometric composition of [Na]/[H] = 1 makes a complete charge transfer within the intercalate layer, resulting in the presence of a small concentration of graphitic pi-electron carriers and the absence of conduction carriers in the intercalate regions.",author_claim|through_2015|simple_1or2_nodes,180,9,0.05,20.0,,,,,,,,,,pending_human
iTE:P0670:r001,iTE,P0670,Cation-Anchoring-Induced Efficient n-Type Thermo-Electric Ionogel with Ultra-High Thermopower,2025,photo-polymerization,jointly enables,immobilizes imidazolium cations,author_claim,"The synergistic combination of photo-polymerization and hydrogen-bonding networks effectively immobilizes imidazolium cations while enabling rapid chloride ion transport, creating a pronounced cation-anion mobility disparity that yields a substantial negative ionic Seebeck coefficient of -7.16 mV K-1.","Ionogels have emerged as promising candidates for low-grade thermal energy harvesting due to their leak-free electrolytes, exceptional flexibility, thermal stability, and high thermopower. While substantial progress in the thermoelectric performance of p-type ionogels, research on n-type ionic materials lags behind. Striking a harmonious balance between high mechanical performance and thermoelectric properties remains a formidable challenge. This work presents an advanced n-type ionogel system integrating polyethylene glycol diacrylate (PEGDA), hydroxyethyl methacrylate (HEMA), 1-allyl-3-methylimidazolium chloride ([AMIM]Cl), and bacterial cellulose (BC) through a rational design strategy. The synergistic combination of photo-polymerization and hydrogen-bonding networks effectively immobilizes imidazolium cations while enabling rapid chloride ion transport, creating a pronounced cation-anion mobility disparity that yields a substantial negative ionic Seebeck coefficient of -7.16 mV K-1. Furthermore, BC's abundant hydroxyl groups establish multivalent hydrogen bonds within the ternary polymer matrix, endowing the composite with exceptional mechanical properties-notably a tensile strength of 3.2 MPa and toughness of 4.1 MJ m-3. Moreover, the ionogel exhibits sensitive responses to stimuli such as pressure, strain, and temperature. The thermoelectric modules fabricated can harness body heat to illuminate a bulb, showcasing great potential for low-grade energy harvesting and ultra-sensitive sensing.",author_claim|2022_onward|complex_3plus_nodes,546,27,0.04945054945054945,20.22222222222222,,,,,,,,,,pending_human
iTE:P0359:r002,iTE,P0359,Polyvinyl alcohol/sodium alginate double network hydrogels design for high-performance p-type ionic thermoelectric cement-based composites,2026,integrated hydrogel structure,provides accelerated pathways,ion transport,author_claim,"The hydroxyl groups within the hydrogels interact with both cations and anions, thereby increasing the entropy difference in thermal migration between them. Meanwhile, the integrated hydrogel structure provides accelerated pathways for ion transport, synergistically enhancing the overall ionic thermoelectric effect.","Ionic thermoelectric cement-based composites show promise due to their high Seebeck coefficients. However, their internal ionic complexity and the coupled thermal migration behavior between cations and anions often lead to insufficient thermoelectric performance and unstable thermoelectric voltage, hindering their further development. To address these limitations and achieve stable and high ionic thermoelectric output, a novel cement-based composite material was developed by incorporating poly(vinyl alcohol) (PVA) and sodium alginate (SA) hydrogels. The hydroxyl groups within the hydrogels interact with both cations and anions, thereby increasing the entropy difference in thermal migration between them. Meanwhile, the integrated hydrogel structure provides accelerated pathways for ion transport, synergistically enhancing the overall ionic thermoelectric effect. Furthermore, a calcium nitrate (Ca(NO3)2) immersion treatment was applied to modify the ionic composition within the cement matrix, further optimizing the differential thermal migration entropy of cations and anions and resulting in additional improvements in thermoelectric performance. At PVA and SA contents of 2.0 wt% and 0.5 wt%,the prepared cement-based composite exhibits exceptional ionic thermoelectric properties, with the maximum thermoelectric voltage increasing from -16.3 mV to +109.6 mV under the 45 degrees C temperature difference, achieving a transition from N-type to P-type behavior.Upon treatment with calcium nitrate (Ca(NO3)2) immersion, a thermoelectric voltage of 133.4 mV was achieved, along with a power factor (PF) of 0.62 mu Wm- 1K- 2. To the best of our knowledge, the highest Ptype ionic thermoelectric performance reported to date for cement-based composites was achieved in this work. This study presents a promising strategy for developing high-performance and stable cement-based ionic thermoelectric materials.",author_claim|2022_onward|complex_3plus_nodes,546,27,0.04945054945054945,20.22222222222222,,,,,,,,,,pending_human
