mention_id,paper_id,domain,raw_phrase,legacy_role,proposed_semantic_role,role_detail,role_flags,model_reason,quote,claim_id,annotation_author,proposal_status,human_decision,human_role,human_reason
iTE:P0338:n2,P0338,iTE,constructing oriented ionic transport nanochannels,material_strategy,design_strategy,oriented_channel_construction,joint_factor,构造取向离子通道是操作策略，不能单独归因全部耐久性。,"In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties.",iTE:P0338:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0338:n3,P0338,iTE,long-term service and reusability,performance,performance_function,serviceability_and_reusability,compound_phrase,长期使用与重复使用属于稳定性功能。,"In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties.",iTE:P0338:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0339:n1,P0339,iTE,volume phase transition (VPT),mechanism,mechanism_process,volume_phase_transition,modality_in_context,水凝胶体积相变过程；不能与任意固液相变合并。,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",iTE:P0339:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0339:n2,P0339,iTE,ion entropy difference,physical_consequence,quantity,ion_entropy_difference,definition_unresolved,熵差是物理量，原句未定义为反应熵或 Eastman 熵。,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",iTE:P0339:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0339:n3,P0339,iTE,redox reaction efficiency,physical_consequence,quantity,redox_reaction_efficiency,definition_unresolved,氧化还原反应效率，不能替代整体热电转换效率。,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",iTE:P0339:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0339:n4,P0339,iTE,ionic thermodiffusion rate,physical_consequence,quantity,ionic_thermodiffusion_rate,,热扩散速率属于过程量。,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.",iTE:P0339:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0340:n1,P0340,iTE,hollow-heterostructure,material_strategy,state_structure,hollow_heterostructure,,原节点为已有空心异质结构，不是实施结构设计的操作。,"Owing to the hollow-heterostructure for the strong light absorption, MoS2/Carbon hollow nanoflower-based fabrics demonstrated a photothermal conversion efficiency of 39.6%.",iTE:P0340:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0340:n2,P0340,iTE,light absorption,mechanism,mechanism_process,light_absorption,photothermal_scope,光吸收过程，不补出离子微观机制。,"Owing to the hollow-heterostructure for the strong light absorption, MoS2/Carbon hollow nanoflower-based fabrics demonstrated a photothermal conversion efficiency of 39.6%.",iTE:P0340:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0340:n3,P0340,iTE,photothermal conversion efficiency,performance,performance_function,photothermal_conversion_efficiency,photothermal_scope,明确测量的光热转换效率。,"Owing to the hollow-heterostructure for the strong light absorption, MoS2/Carbon hollow nanoflower-based fabrics demonstrated a photothermal conversion efficiency of 39.6%.",iTE:P0340:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0341:n1,P0341,iTE,hydrogen bonding,interaction,interaction,hydrogen_bonding,joint_factor,非共价作用之一，支持机械与自愈性质。,"Furthermore, the ionogels exhibit excellent elastic tensile and self-healing properties, even after multiple cut/heal and stretch/release cycles, due to abundant noncovalent interactions, including hydrogen bonding and ion-dipole interactions.",iTE:P0341:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0341:n2,P0341,iTE,ion-dipole interactions,interaction,interaction,ion_dipole_interaction,joint_factor,另一种非共价作用，不能仅凭本句连接到 Seebeck。,"Furthermore, the ionogels exhibit excellent elastic tensile and self-healing properties, even after multiple cut/heal and stretch/release cycles, due to abundant noncovalent interactions, including hydrogen bonding and ion-dipole interactions.",iTE:P0341:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0341:n3,P0341,iTE,elastic tensile and self-healing properties,performance,performance_function,elasticity_and_self_healing,compound_phrase,机械拉伸及自愈功能。,"Furthermore, the ionogels exhibit excellent elastic tensile and self-healing properties, even after multiple cut/heal and stretch/release cycles, due to abundant noncovalent interactions, including hydrogen bonding and ion-dipole interactions.",iTE:P0341:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0342:n1,P0342,iTE,incorporating crown ether,material_strategy,design_strategy,crown_ether_incorporation,,引入冠醚是材料操作。,"Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation.",iTE:P0342:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0342:n2,P0342,iTE,complexation,interaction,interaction,complexation,object_unresolved,络合作用对象未在证据句指定，不补成固定某一阳离子。,"Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation.",iTE:P0342:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0342:n3,P0342,iTE,thermal diffusion,mechanism,mechanism_process,thermal_diffusion,,离子凝胶语境中的热扩散过程。,"Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation.",iTE:P0342:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0343:n1,P0343,iTE,high concentrations of OH- ions,material_strategy,condition,high_hydroxide_concentration,object_specific,When 引导的孔液 OH- 高浓度条件，而非材料实体或操作。,"When the pore solution contains high concentrations of OH- ions, these ions migrate toward the colder region under temperature gradients, imparting the cement-based material n-type thermoelectric behavior.",iTE:P0343:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0343:n2,P0343,iTE,these ions migrate toward the colder region under temperature gradients,mechanism,mechanism_process,coldward_hydroxide_migration,compound_phrase;direction_in_label,节点包含温度梯度下朝冷端迁移的方向与条件。,"When the pore solution contains high concentrations of OH- ions, these ions migrate toward the colder region under temperature gradients, imparting the cement-based material n-type thermoelectric behavior.",iTE:P0343:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0343:n3,P0343,iTE,n-type thermoelectric behavior,performance,performance_function,n_type_thermoelectric_behavior,polarity_specific,材料表现出的 n 型热电响应。,"When the pore solution contains high concentrations of OH- ions, these ions migrate toward the colder region under temperature gradients, imparting the cement-based material n-type thermoelectric behavior.",iTE:P0343:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0344:n1,P0344,iTE,ordered ions,material_strategy,state_structure,ion_ordering,joint_factor,有序离子是排列状态，不是实施操作。,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",iTE:P0344:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0344:n2,P0344,iTE,Manning counterion condensation effect,mechanism,mechanism_process,manning_counterion_condensation,joint_factor,反离子凝聚过程，与离子有序共同归因。,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",iTE:P0344:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0344:n3,P0344,iTE,selective ion migration,mechanism,mechanism_process,selective_ion_migration,,被增强的选择性迁移过程；不与反离子凝聚合并。,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",iTE:P0344:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0344:n4,P0344,iTE,Seebeck coefficient,performance,performance_function,seebeck_coefficient,conditions_in_quote,热电性能指标，原文给出参考温度和温差。,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",iTE:P0344:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0345:n1,P0345,iTE,modifying the cement with PVA hydrogel,material_strategy,design_strategy,pva_hydrogel_cement_modification,,用 PVA 水凝胶改性水泥的操作。,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.",iTE:P0345:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0345:n2,P0345,iTE,capillary porosity,physical_consequence,quantity,capillary_porosity,,孔隙率是结构的量化属性，而非孔道实体。,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.",iTE:P0345:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0345:n3,P0345,iTE,Seebeck coefficient,performance,performance_function,seebeck_coefficient,negative_effect_in_relation,原文报告降低该指标，不能当作增强策略。,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.",iTE:P0345:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0345:n4,P0345,iTE,overall strength,performance,performance_function,overall_mechanical_strength,negative_effect_in_relation,整体强度是机械性能。,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.",iTE:P0345:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0345:n5,P0345,iTE,capacitance,performance,quantity,capacitance,device_storage_metric,电容是储能相关物理量，不能与 Seebeck 合并。,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.",iTE:P0345:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0346:n1,P0346,iTE,Fmoc-FF,material_strategy,material_entity,fmoc_ff,,Fmoc-FF 为参与组装的实体，不是操作本身。,"Spectroscopic analyses revealed that Fmoc-FF formed eutectogels through pi-pi interactions between Fmoc groups, resulting in a highly porous colloidal network.",iTE:P0346:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0346:n2,P0346,iTE,pi-pi interactions between Fmoc groups,interaction,interaction,fmoc_pi_pi_interaction,object_specific,Fmoc 基团之间的 pi-pi 相互作用。,"Spectroscopic analyses revealed that Fmoc-FF formed eutectogels through pi-pi interactions between Fmoc groups, resulting in a highly porous colloidal network.",iTE:P0346:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0346:n3,P0346,iTE,highly porous colloidal network,physical_consequence,state_structure,porous_colloidal_network,,生成的多孔胶体网络结构。,"Spectroscopic analyses revealed that Fmoc-FF formed eutectogels through pi-pi interactions between Fmoc groups, resulting in a highly porous colloidal network.",iTE:P0346:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0347:n1,P0347,iTE,reconstructed lignocellulose ion channels,material_strategy,state_structure,reconstructed_lignocellulose_channels,,重构后的木质纤维素离子通道结构。,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.",iTE:P0347:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0347:n2,P0347,iTE,surface negative charges,physical_consequence,state_structure,negative_surface_charge_state,quantity_alternative,原文表面负电荷描述通道状态，未量化为表面电荷密度。,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.",iTE:P0347:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0347:n3,P0347,iTE,spatially confined fixed anions,physical_consequence,state_structure,confined_fixed_anions,object_specific,空间受限且固定的阴离子状态；不能自动等同扩散受限。,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.",iTE:P0347:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0347:n4,P0347,iTE,selective cation migration driven by a temperature gradient,mechanism,mechanism_process,gradient_driven_selective_cation_migration,compound_phrase;conditions_in_label,温度梯度驱动的选择性阳离子迁移。,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.",iTE:P0347:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0348:n1,P0348,iTE,cross-linking and amine functionalization,material_strategy,design_strategy,crosslinking_and_amine_functionalization,compound_phrase;joint_factor,交联和胺功能化为联合操作，不虚构其分别贡献。,This research demonstrates the transformation of lignin-based hydrogels from p-type to n-type materials through a green synthesis approach involving cross-linking and amine functionalization.,iTE:P0348:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0348:n2,P0348,iTE,transformation of lignin-based hydrogels from p-type to n-type materials,performance,performance_function,p_to_n_thermoelectric_polarity_change,direction_in_label,报告的是热电响应极性改变，并非已经解释的微观机制。,This research demonstrates the transformation of lignin-based hydrogels from p-type to n-type materials through a green synthesis approach involving cross-linking and amine functionalization.,iTE:P0348:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0349:n1,P0349,iTE,Formamide,material_strategy,material_entity,formamide,,甲酰胺为所使用的溶剂实体。,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).",iTE:P0349:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0349:n2,P0349,iTE,hydrogen bond network between water molecules,interaction,state_structure,water_hydrogen_bond_network,interaction_alternative,被破坏的对象是水分子氢键网络，结构标签保留水的对象限定。,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).",iTE:P0349:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0349:n3,P0349,iTE,forming a deep eutectic solvent,physical_consequence,mechanism_process,deep_eutectic_solvent_formation,predicate_in_label,forming 表示形成过程；不能作为电导率等物理量。,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).",iTE:P0349:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0349:n4,P0349,iTE,operate near cryo temperatures,performance,performance_function,cryo_temperature_operability,condition_embedded,低温运行能力，具体温度保留在原文。,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).",iTE:P0349:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0350:n1,P0350,iTE,ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI),material_strategy,material_entity,ethanol_and_natfsi_additives,compound_phrase;joint_factor,节点是两种添加组分的组合，添加动作位于上下文。,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",iTE:P0350:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0350:n2,P0350,iTE,ionic mobility,physical_consequence,quantity,ionic_mobility,purpose_statement,迁移率为物理量，本句是改善目的性表述。,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",iTE:P0350:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0350:n3,P0350,iTE,diffusion difference between cations and anions,mechanism,quantity,cation_anion_diffusion_contrast,ambiguous_quantity;purpose_statement,扩散差异未明确为热扩散系数差，不能自动更名。,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",iTE:P0350:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0350:n4,P0350,iTE,ionic conductivity,physical_consequence,quantity,ionic_conductivity,,离子输运物理量；原抽取未给它建立关系，仍保留节点。,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",iTE:P0350:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0350:n5,P0350,iTE,ionic Seebeck coefficient,performance,performance_function,ionic_seebeck_coefficient,,热电目标指标；不补出原抽取没有的边。,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",iTE:P0350:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0351:n1,P0351,iTE,combining two asymmetric gels into a double sandwich structure,material_strategy,design_strategy,double_sandwich_gel_assembly,compound_phrase;device_design,组合两个非对称凝胶形成器件结构的设计操作。,"Herein, we originally designed an ionic thermoelectric-electrochemical (i-TE-EC) cell by combining two asymmetric gels into a double sandwich structure, resulting in high thermoelectric performance.",iTE:P0351:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0351:n2,P0351,iTE,high thermoelectric performance,performance,performance_function,generic_thermoelectric_performance,underspecified,未指定单一性能指标，不能填成 Seebeck 或功率。,"Herein, we originally designed an ionic thermoelectric-electrochemical (i-TE-EC) cell by combining two asymmetric gels into a double sandwich structure, resulting in high thermoelectric performance.",iTE:P0351:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0352:n1,P0352,iTE,"lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte",material_strategy,material_entity,lignin_hydrogel_koh_system,compound_phrase;condition_embedded,节点为含 6 M KOH 的完整材料体系，保留浓度条件。,"The optimized lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte, demonstrates high ionic conductivity (226.5 mS/cm) and a superior Seebeck coefficient of 13 mV/K.",iTE:P0352:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0352:n2,P0352,iTE,ionic conductivity,physical_consequence,quantity,ionic_conductivity,,该材料表现的电导率，不是微观机制。,"The optimized lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte, demonstrates high ionic conductivity (226.5 mS/cm) and a superior Seebeck coefficient of 13 mV/K.",iTE:P0352:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0352:n3,P0352,iTE,Seebeck coefficient,performance,performance_function,seebeck_coefficient,,该材料表现的热电性能指标。,"The optimized lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte, demonstrates high ionic conductivity (226.5 mS/cm) and a superior Seebeck coefficient of 13 mV/K.",iTE:P0352:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0353:n1,P0353,iTE,ion-electronic friction,interaction,interaction,ion_electron_friction,,作者用离子电子摩擦描述两类载流子耦合作用。,"In this conveyor mode, ion-electronic friction serves as the link between ions and electrons, enabling the thermally diffused ions to convey electrons to power the load, and persistent ionic transport, owing to the ionic circuit, ensures continuous power generation.",iTE:P0353:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0353:n2,P0353,iTE,thermally diffused ions to convey electrons,mechanism,mechanism_process,ion_driven_electron_conveyance,compound_phrase,热扩散离子输运电子的过程表述。,"In this conveyor mode, ion-electronic friction serves as the link between ions and electrons, enabling the thermally diffused ions to convey electrons to power the load, and persistent ionic transport, owing to the ionic circuit, ensures continuous power generation.",iTE:P0353:claim_block,Codex current session,model_proposed_pending_human,,,
iTE:P0353:n3,P0353,iTE,ionic circuit,material_strategy,state_structure,ionic_circuit_architecture,device_structure,离子回路是器件结构角色，不能混成材料配方。,"In this conveyor mode, ion-electronic friction serves as the link between ions and electrons, enabling the thermally diffused ions to convey electrons to power the load, and persistent ionic transport, owing to the ionic circuit, ensures continuous power generation.",iTE:P0353:claim_block,Codex current session,model_proposed_pending_human,,,
