doi,tg_year,ite_year,tg_title,ite_title,ite_source
10.1002/smll.202407529,2025,2025,A Multifunctional MXene/PVA Hydrogel as a Continuous Ionic Thermoelectric Generator and a Strain/Temperature Sensor,A Multifunctional MXene/PVA Hydrogel as a Continuous Ionic Thermoelectric Generator and a Strain/Temperature Sensor,iTE1
10.1002/smll.202407622,2025,2025,Exploring Pyrazine-Based Organic Redox Couples for Enhanced Thermoelectric Performance in Wearable Energy Harvesters,Exploring Pyrazine-Based Organic Redox Couples for Enhanced Thermoelectric Performance in Wearable Energy Harvesters,iTE1
10.1007/s40820-022-00824-6,2022,2022,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,iTE2
10.1016/j.apenergy.2024.123033,2024,2024,A novel concentrated photovoltaic and ionic thermocells hybrid system for full-spectrum solar cascade utilization,A novel concentrated photovoltaic and ionic thermocells hybrid system for full-spectrum solar cascade utilization,iTE1
10.1016/j.cej.2024.150816,2024,2024,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,iTE1
10.1016/j.cej.2024.152734,2024,2024,Synergy between gelatin hydrogels and electrodes for adjustable and thermally stable ionic thermoelectric supercapacitors,Synergy between gelatin hydrogels and electrodes for adjustable and thermally stable ionic thermoelectric supercapacitors,iTE1
10.1016/j.cej.2025.159714,2025,2025,High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy,High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy,iTE2
10.1016/j.cej.2025.161288,2025,2025,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,A n-Type ionic thermoelectric generator with high thermopower and energy density enabled by modulation of thermodiffusion and thermogalvanic effect,iTE1
10.1016/j.cej.2025.168815,2025,2025,Cost-effective n-type liquid flow thermocells with giant ionic thermopower and power density through solvation entropy engineering for low-grade heat harvesting,Cost-effective n-type liquid flow thermocells with giant ionic thermopower and power density through solvation entropy engineering for low-grade heat harvesting,iTE2
10.1016/j.cej.2026.175294,2026,2026,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting,iTE1
10.1016/j.cej.2026.178230,2026,2026,Ultra-sensitive self-powered thermogalvanic hydrogel wristband enabled by resistance-gated strategy,Ultra-sensitive self-powered thermogalvanic hydrogel wristband enabled by resistance-gated strategy,iTE2
10.1016/j.elecom.2016.10.001,2016,2016,Achieving pseudo-'n-type p-type' in-series and parallel liquid thermoelectrics using all-iron thermoelectrochemical cells with opposite Seebeck coefficients,Achieving pseudo-'n-type p-type' in-series and parallel liquid thermoelectrics using all-iron thermoelectrochemical cells with opposite Seebeck coefficients,iTE2
10.1016/j.electacta.2021.139640,2022,2022,Exploiting low-grade waste heat to produce electricity through supercapacitor containing carbon electrodes and ionic liquid electrolytes,Exploiting low-grade waste heat to produce electricity through supercapacitor containing carbon electrodes and ionic liquid electrolytes,iTE1
10.1016/j.est.2024.110437,2024,2024,Enhancing thermoelectric conversion efficiency of hydrogel-based supercapacitors by the three-dimensional ion channels hydration,Enhancing thermoelectric conversion efficiency of hydrogel-based supercapacitors by the three-dimensional ion channels hydration,iTE1
10.1016/j.icheatmasstransfer.2026.111281,2026,2026,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,iTE1
10.1016/j.jechem.2026.05.024,2026,2026,Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting,Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting,iTE2
10.1016/j.jpowsour.2018.07.080,2018,2018,Multi-cell thermogalvanic systems for harvesting energy from cyclic temperature changes,Multi-cell thermogalvanic systems for harvesting energy from cyclic temperature changes,iTE2
10.1016/j.jpowsour.2024.234325,2024,2024,Zinc-iodine thermal charging cell engineered by cost-efficient electrolytes for low-grade heat harvesting,Zinc-iodine thermal charging cell engineered by cost-efficient electrolytes for low-grade heat harvesting,iTE1
10.1016/j.jpowsour.2024.234647,2024,2024,Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,iTE1
10.1016/j.jpowsour.2025.239060,2026,2026,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,iTE2
10.1016/j.mtener.2023.101342,2023,2023,High-performance ionic thermoelectric materials and emerging applications of ionic thermoelectric devices,High-performance ionic thermoelectric materials and emerging applications of ionic thermoelectric devices,iTE1
10.1016/j.mtphys.2021.100433,2021,2021,Ionic transport properties and their empirical correlations for thermal-to-electrical energy conversion,Ionic transport properties and their empirical correlations for thermal-to-electrical energy conversion,iTE1
10.1016/j.mtphys.2024.101375,2024,2024,Ionic thermoelectric materials: Innovations and challenges,Ionic thermoelectric materials: Innovations and challenges,iTE1
10.1016/j.mtsust.2022.100293,2023,2023,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,iTE1
10.1016/j.nanoen.2022.108077,2023,2023,Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,iTE1
10.1016/j.nanoen.2024.109992,2024,2024,Liquid-flow thermocells with high hybrid entropy for low-grade heat harvesting,Liquid-flow thermocells with high hybrid entropy for low-grade heat harvesting,iTE1
10.1016/j.nanoen.2025.111156,2025,2025,Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities,Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities,iTE1
10.1016/j.nanoen.2025.111189,2025,2025,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,Bioinspired double-layer thermogalvanic cells with engineered ionic gradients for high-efficiency waste heat recovery,iTE1
10.1016/j.nanoen.2025.111648,2026,2026,Thermal potential induced redox reaction enabled ionic thermoelectric generator,Thermal potential induced redox reaction enabled ionic thermoelectric generator,iTE1
10.1016/j.nanoen.2025.111686,2026,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,iTE2
10.1016/j.synthmet.2026.118182,2026,2026,"Ionic thermoelectrics based on Poly(3,4-ethylenedioxythiophene):Poly(styrenesulfonate): A mini-review","Ionic thermoelectrics based on Poly(3,4-ethylenedioxythiophene):Poly(styrenesulfonate): A mini-review",iTE1
10.1021/acs.nanolett.5c02774,2025,2025,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,iTE1
10.1021/acsaem.6c01130,2026,2026,Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing,Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing,iTE1
10.1021/acsami.5c04042,2025,2025,Phase-Transitional Ionic Thermocells for the Enhanced Thermoelectric Efficiency,Phase-Transitional Ionic Thermocells for the Enhanced Thermoelectric Efficiency,iTE1
10.1021/acsapm.5c02573,2025,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,iTE1
10.1021/acsmaterialslett.4c02193,2025,2025,Simultaneously Modulating Solvation and Water Structure for High-Performance Antifreezing n-Type Liquid Thermocells,Simultaneously Modulating Solvation and Water Structure for High-Performance Antifreezing n-Type Liquid Thermocells,iTE2
10.1021/acssuschemeng.4c10855,2025,2025,A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation,A Dual-Function Poly(vinyl alcohol) Hydrogel for Solar Water Production and Thermoelectric Energy Generation,iTE1
10.1038/s41467-018-07625-9,2018,2018,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,Aqueous thermogalvanic cells with a high Seebeck coefficient for low-grade heat harvest,iTE2
10.1038/s41467-026-68721-9,2026,2026,Modulating thermo-diffusion/galvanic coupling via ion speciation engineering enables high-performance ionic thermoelectric cells,Modulating thermo-diffusion/galvanic coupling via ion speciation engineering enables high-performance ionic thermoelectric cells,iTE1
10.1039/c1cc11501d,2011,2011,Seebeck coefficients in ionic liquids -prospects for thermo-electrochemical cells,Seebeck coefficients in ionic liquids -prospects for thermo-electrochemical cells,iTE1
10.1039/c7cp01023k,2017,2017,Can charged colloidal particles increase the thermoelectric energy conversion efficiency?,Can charged colloidal particles increase the thermoelectric energy conversion efficiency?,iTE1
10.1039/c7ta04891b,2017,2017,"Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells","Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells",iTE2
10.1039/d1se01264a,2021,2021,Thermogalvanic energy harvesting from forced convection cooling of 100-200 °C surfaces generating high power density,Thermogalvanic energy harvesting from forced convection cooling of 100-200 °C surfaces generating high power density,iTE2
10.1039/d3ee03759b,2024,2024,Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting,Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting,iTE1
10.1039/d4ta03996c,2024,2024,Significantly enhanced properties of micro-ionic thermocells through the microstructure interfacial effect,Significantly enhanced properties of micro-ionic thermocells through the microstructure interfacial effect,iTE1
10.1039/d5ee04880j,2026,2026,Antisolvent engineering enhanced high-entropy liquid flow thermocells with giant power densities for low-grade heat harvesting,Antisolvent engineering enhanced high-entropy liquid flow thermocells with giant power densities for low-grade heat harvesting,iTE1
10.1063/1.4923199,2015,2015,Thermoelectric energy recovery at ionic-liquid/electrode interface,Thermoelectric energy recovery at ionic-liquid/electrode interface,iTE1
10.1063/5.0032119,2021,2021,Ionic thermoelectric materials for near ambient temperature energy harvesting,Ionic thermoelectric materials for near ambient temperature energy harvesting,iTE1
10.1063/5.0120728,2022,2022,Quasi-solid n-type thermogalvanic thermocells with enhanced ionic conductivity for continuous low-grade heat harvesting,Quasi-solid n-type thermogalvanic thermocells with enhanced ionic conductivity for continuous low-grade heat harvesting,iTE1
10.1063/5.0131731,2023,2023,"Seebeck, Peltier, and Soret effects: On different formalisms for transport equations in thermogalvanic cells","Seebeck, Peltier, and Soret effects: On different formalisms for transport equations in thermogalvanic cells",iTE2
10.1073/pnas.2532302123,2026,2026,Ion transport control in electrolytes via electrochemical doping,Ion transport control in electrolytes via electrochemical doping,iTE2
10.1080/17452759.2026.2638660,2026,2026,Multi-material 3D printing of self-powered sensors based on ionic thermoelectric hydrogels,Multi-material 3D printing of self-powered sensors based on ionic thermoelectric hydrogels,iTE1
10.1126/science.aaz5045,2020,2020,Giant thermopower of ionic gelatin near room temperature,Giant thermopower of ionic gelatin near room temperature,iTE1
10.3390/e20060405,2018,2018,Thermoelectricity and Thermodiffusion in Magnetic Nanofluids: Entropic Analysis,Thermoelectricity and Thermodiffusion in Magnetic Nanofluids: Entropic Analysis,iTE1
10.35848/1347-4065/ae2ec1,2026,2026,Role of strong electrolytes on resistivity components in a liquid themoelectronic converter,Role of strong electrolytes on resistivity components in a liquid themoelectronic converter,iTE1
10.7566/jpsj.95.044601,2026,2026,Convection Effect on Resistance Components in Liquid Thermoelectric Converter,Convection Effect on Resistance Components in Liquid Thermoelectric Converter,iTE1
