title_norm,tg_year,ite_year,tg_title,ite_title,ite_source,tg_doi,ite_doi
configurational entropy change driven enhancement of thermoelectric performance in pva based hydrogel thermogalvanic cells,2026,2026,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,Configurational entropy change-driven enhancement of thermoelectric performance in PVA-based hydrogel thermogalvanic cells,iTE2,10.1016/j.jpowsour.2025.239060,10.1016/j.jpowsour.2025.239060
convection effect on resistance components in liquid thermoelectric converter,2026,2026,Convection Effect on Resistance Components in Liquid Thermoelectric Converter,Convection Effect on Resistance Components in Liquid Thermoelectric Converter,iTE1,10.7566/JPSJ.95.044601,10.7566/JPSJ.95.044601
cost effective n type liquid flow thermocells with giant ionic thermopower and power density through solvation entropy engineering for low grade heat harvesting,2025,2025,Cost-effective n-type liquid flow thermocells with giant ionic thermopower and power density through solvation entropy engineering for low-grade heat harvesting,Cost-effective n-type liquid flow thermocells with giant ionic thermopower and power density through solvation entropy engineering for low-grade heat harvesting,iTE2,10.1016/j.cej.2025.168815,10.1016/j.cej.2025.168815
coupling thermogalvanic and piezoresistive effects in a robust hydrogel for deep learning assisted self powered sign language and object recognition,2024,2024,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,Coupling thermogalvanic and piezoresistive effects in a robust hydrogel for Deep-Learning-Assisted Self-Powered sign language and object recognition,iTE1,10.1016/j.cej.2024.150816,10.1016/j.cej.2024.150816
double selective ionic gel with excellent thermopower and ultra high energy density for low quality thermal energy harvesting,2024,2024,Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting,Double selective ionic gel with excellent thermopower and ultra-high energy density for low-quality thermal energy harvesting,iTE1,10.1039/d3ee03759b,10.1039/d3ee03759b
efficient photo thermo electric conversion using polyoxovanadate in ionic liquid for low grade heat utilization,2021,2021,Efficient Photo-Thermo-Electric Conversion Using Polyoxovanadate in Ionic Liquid for Low-Grade Heat Utilization,Efficient Photo-Thermo-Electric Conversion Using Polyoxovanadate in Ionic Liquid for Low-Grade Heat Utilization,iTE1,10.1002/cssc.202101532,10.1002/cssc.202101532
enhanced thermoelectric power in ionic liquids,2014,2014,Enhanced Thermoelectric Power in Ionic Liquids,Enhanced Thermoelectric Power in Ionic Liquids,iTE1,10.1002/celc.201300074,10.1002/celc.201300074
enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,2026,2026,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,Enhanced thermoelectric response of liquid electrolytes confined in graphene oxide nanochannel membranes,iTE1,10.1016/j.icheatmasstransfer.2026.111281,10.1016/j.icheatmasstransfer.2026.111281
enhancing thermoelectric conversion efficiency of hydrogel based supercapacitors by the three dimensional ion channels hydration,2024,2024,Enhancing thermoelectric conversion efficiency of hydrogel-based supercapacitors by the three-dimensional ion channels hydration,Enhancing thermoelectric conversion efficiency of hydrogel-based supercapacitors by the three-dimensional ion channels hydration,iTE1,10.1016/j.est.2024.110437,10.1016/j.est.2024.110437
exploiting low grade waste heat to produce electricity through supercapacitor containing carbon electrodes and ionic liquid electrolytes,2022,2022,Exploiting low-grade waste heat to produce electricity through supercapacitor containing carbon electrodes and ionic liquid electrolytes,Exploiting low-grade waste heat to produce electricity through supercapacitor containing carbon electrodes and ionic liquid electrolytes,iTE1,10.1016/j.electacta.2021.139640,10.1016/j.electacta.2021.139640
exploring pyrazine based organic redox couples for enhanced thermoelectric performance in wearable energy harvesters,2025,2025,Exploring Pyrazine-Based Organic Redox Couples for Enhanced Thermoelectric Performance in Wearable Energy Harvesters,Exploring Pyrazine-Based Organic Redox Couples for Enhanced Thermoelectric Performance in Wearable Energy Harvesters,iTE1,10.1002/smll.202407622,10.1002/smll.202407622
flexible hydrogel with a coupling enhanced thermoelectric effect for low grade heat harvest,2023,2023,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,Flexible hydrogel with a coupling enhanced thermoelectric effect for low-grade heat harvest,iTE1,10.1016/j.mtsust.2022.100293,10.1016/j.mtsust.2022.100293
giant thermopower of ionic gelatin near room temperature,2020,2020,Giant thermopower of ionic gelatin near room temperature,Giant thermopower of ionic gelatin near room temperature,iTE1,10.1126/science.aaz5045,10.1126/science.aaz5045
gutmann donor theory guided design of mononuclear ionic cluster for exceptional n type thermoelectric ionogel,2026,2026,Gutmann Donor Theory-Guided Design of Mononuclear Ionic Cluster for Exceptional N-Type Thermoelectric Ionogel,Gutmann Donor Theory-Guided Design of Mononuclear Ionic Cluster for Exceptional N-Type Thermoelectric Ionogel,iTE1,10.1002/advs.202520143,10.1002/advs.202520143
high performance eutectogel based thermocell with a wide operating temperature range through a water containing deep eutectic solvent strategy,2025,2025,High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy,High performance eutectogel-based thermocell with a wide operating temperature range through a water-containing deep eutectic solvent strategy,iTE2,10.1016/j.cej.2025.159714,10.1016/j.cej.2025.159714
high performance ionic thermoelectric materials and emerging applications of ionic thermoelectric devices,2023,2023,High-performance ionic thermoelectric materials and emerging applications of ionic thermoelectric devices,High-performance ionic thermoelectric materials and emerging applications of ionic thermoelectric devices,iTE1,10.1016/j.mtener.2023.101342,10.1016/j.mtener.2023.101342
high performance p n thermocells by interface optimization based on liquid metal for powering wearable devices,2025,2025,High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices,High-performance p-n Thermocells by Interface Optimization Based on Liquid Metal for Powering Wearable Devices,iTE2,10.1002/adfm.202417740,10.1002/adfm.202417740
high thermopower thermogalvanic ionic hydrogel for efficient low grade heat energy harvesting in electronic devices,2025,2025,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,High-Thermopower Thermogalvanic Ionic Hydrogel for Efficient Low-Grade Heat Energy Harvesting in Electronic Devices,iTE1,10.1021/acsapm.5c02573,10.1021/acsapm.5c02573
highly conductive triple network hydrogel thermoelectrochemical cells with low grade heat harvesting,2024,2024,Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,Highly conductive triple network hydrogel thermoelectrochemical cells with low-grade heat harvesting,iTE1,10.1016/j.jpowsour.2024.234647,10.1016/j.jpowsour.2024.234647
improved ionic thermoelectric performance of adhesive and self healing cationic high entropy gel thermocell,2025,2025,Improved Ionic Thermoelectric Performance of Adhesive and Self-Healing Cationic High-Entropy Gel Thermocell,Improved Ionic Thermoelectric Performance of Adhesive and Self-Healing Cationic High-Entropy Gel Thermocell,iTE1,10.1002/anie.202511293,10.1002/anie.202511293
ion transport control in electrolytes via electrochemical doping,2026,2026,Ion transport control in electrolytes via electrochemical doping,Ion transport control in electrolytes via electrochemical doping,iTE2,10.1073/pnas.2532302123,10.1073/pnas.2532302123
ionic thermoelectric materials for near ambient temperature energy harvesting,2021,2021,Ionic thermoelectric materials for near ambient temperature energy harvesting,Ionic thermoelectric materials for near ambient temperature energy harvesting,iTE1,10.1063/5.0032119,10.1063/5.0032119
ionic thermoelectric materials innovations and challenges,2024,2024,Ionic thermoelectric materials: Innovations and challenges,Ionic thermoelectric materials: Innovations and challenges,iTE1,10.1016/j.mtphys.2024.101375,10.1016/j.mtphys.2024.101375
ionic thermoelectrics based on poly 3 4 ethylenedioxythiophene poly styrenesulfonate a mini review,2026,2026,"Ionic thermoelectrics based on Poly(3,4-ethylenedioxythiophene):Poly(styrenesulfonate): A mini-review","Ionic thermoelectrics based on Poly(3,4-ethylenedioxythiophene):Poly(styrenesulfonate): A mini-review",iTE1,10.1016/j.synthmet.2026.118182,10.1016/j.synthmet.2026.118182
ionic transport properties and their empirical correlations for thermal to electrical energy conversion,2021,2021,Ionic transport properties and their empirical correlations for thermal-to-electrical energy conversion,Ionic transport properties and their empirical correlations for thermal-to-electrical energy conversion,iTE1,10.1016/j.mtphys.2021.100433,10.1016/j.mtphys.2021.100433
liquid flow thermocells with high hybrid entropy for low grade heat harvesting,2024,2024,Liquid-flow thermocells with high hybrid entropy for low-grade heat harvesting,Liquid-flow thermocells with high hybrid entropy for low-grade heat harvesting,iTE1,10.1016/j.nanoen.2024.109992,10.1016/j.nanoen.2024.109992
material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,2026,2026,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,Material recognition and spatial thermal sensation enabled by organic thermogalvanic hydrogels,iTE2,10.1016/j.nanoen.2025.111686,10.1016/j.nanoen.2025.111686
modulating thermo diffusion galvanic coupling via ion speciation engineering enables high performance ionic thermoelectric cells,2026,2026,Modulating thermo-diffusion/galvanic coupling via ion speciation engineering enables high-performance ionic thermoelectric cells,Modulating thermo-diffusion/galvanic coupling via ion speciation engineering enables high-performance ionic thermoelectric cells,iTE1,10.1038/s41467-026-68721-9,10.1038/s41467-026-68721-9
multi cell thermogalvanic systems for harvesting energy from cyclic temperature changes,2018,2018,Multi-cell thermogalvanic systems for harvesting energy from cyclic temperature changes,Multi-cell thermogalvanic systems for harvesting energy from cyclic temperature changes,iTE2,10.1016/j.jpowsour.2018.07.080,10.1016/j.jpowsour.2018.07.080
multi material 3d printing of self powered sensors based on ionic thermoelectric hydrogels,2026,2026,Multi-material 3D printing of self-powered sensors based on ionic thermoelectric hydrogels,Multi-material 3D printing of self-powered sensors based on ionic thermoelectric hydrogels,iTE1,10.1080/17452759.2026.2638660,10.1080/17452759.2026.2638660
on a continuous aqueous thermogalvanic redox agent with anomalous thermopower,2025,2025,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,On a Continuous Aqueous Thermogalvanic Redox Agent with Anomalous Thermopower,iTE1,10.1021/acs.nanolett.5c02774,10.1021/acs.nanolett.5c02774
phase transitional ionic thermocells for the enhanced thermoelectric efficiency,2025,2025,Phase-Transitional Ionic Thermocells for the Enhanced Thermoelectric Efficiency,Phase-Transitional Ionic Thermocells for the Enhanced Thermoelectric Efficiency,iTE1,10.1021/acsami.5c04042,10.1021/acsami.5c04042
poly 3 4 ethylenedioxythiophene tosylate pedot tos electrodes in thermogalvanic cells,2017,2017,"Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells","Poly(3,4-ethylenedioxythiophene)-tosylate (PEDOT-Tos) electrodes in thermogalvanic cells",iTE2,10.1039/c7ta04891b,10.1039/c7ta04891b
pressure enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities,2025,2025,Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities,Pressure-enhanced thermopower of ionic thermoelectric gelatin for identifying materials with different thermal conductivities,iTE1,10.1016/j.nanoen.2025.111156,10.1016/j.nanoen.2025.111156
quasi solid n type thermogalvanic thermocells with enhanced ionic conductivity for continuous low grade heat harvesting,2022,2022,Quasi-solid n-type thermogalvanic thermocells with enhanced ionic conductivity for continuous low-grade heat harvesting,Quasi-solid n-type thermogalvanic thermocells with enhanced ionic conductivity for continuous low-grade heat harvesting,iTE1,10.1063/5.0120728,10.1063/5.0120728
regulating thermogalvanic effect and mechanical robustness via redox ions for flexible quasi solid state thermocells,2022,2022,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,Regulating Thermogalvanic Effect and Mechanical Robustness via Redox Ions for Flexible Quasi-Solid-State Thermocells,iTE2,10.1007/s40820-022-00824-6,10.1007/s40820-022-00824-6
robust thermocells based on deep eutectic solvent tailored gel electrolytes for low grade heat harvesting,2026,2026,Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting,Robust thermocells based on deep eutectic solvent-tailored gel electrolytes for low-grade heat harvesting,iTE2,10.1016/j.jechem.2026.05.024,10.1016/j.jechem.2026.05.024
role of strong electrolytes on resistivity components in a liquid themoelectronic converter,2026,2026,Role of strong electrolytes on resistivity components in a liquid themoelectronic converter,Role of strong electrolytes on resistivity components in a liquid themoelectronic converter,iTE1,10.35848/1347-4065/ae2ec1,10.35848/1347-4065/ae2ec1
seebeck coefficients in ionic liquids prospects for thermo electrochemical cells,2011,2011,Seebeck coefficients in ionic liquids -prospects for thermo-electrochemical cells,Seebeck coefficients in ionic liquids -prospects for thermo-electrochemical cells,iTE1,10.1039/c1cc11501d,10.1039/c1cc11501d
seebeck peltier and soret effects on different formalisms for transport equations in thermogalvanic cells,2023,2023,"Seebeck, Peltier, and Soret effects: On different formalisms for transport equations in thermogalvanic cells","Seebeck, Peltier, and Soret effects: On different formalisms for transport equations in thermogalvanic cells",iTE2,10.1063/5.0131731,10.1063/5.0131731
significantly enhanced properties of micro ionic thermocells through the microstructure interfacial effect,2024,2024,Significantly enhanced properties of micro-ionic thermocells through the microstructure interfacial effect,Significantly enhanced properties of micro-ionic thermocells through the microstructure interfacial effect,iTE1,10.1039/d4ta03996c,10.1039/d4ta03996c
simultaneously modulating solvation and water structure for high performance antifreezing n type liquid thermocells,2025,2025,Simultaneously Modulating Solvation and Water Structure for High-Performance Antifreezing n-Type Liquid Thermocells,Simultaneously Modulating Solvation and Water Structure for High-Performance Antifreezing n-Type Liquid Thermocells,iTE2,10.1021/acsmaterialslett.4c02193,10.1021/acsmaterialslett.4c02193
solvent replacement driven ionic liquid thermoelectric gel for self powered morse code communication assisted by machine learning,2025,2025,Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning,Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning,iTE1,10.1002/advs.202509400,10.1002/advs.202509400
stretchable and freeze tolerant organohydrogel thermocells with enhanced thermoelectric performance continually working at subzero temperatures,2021,2021,Stretchable and Freeze-Tolerant Organohydrogel Thermocells with Enhanced Thermoelectric Performance Continually Working at Subzero Temperatures,Stretchable and Freeze-Tolerant Organohydrogel Thermocells with Enhanced Thermoelectric Performance Continually Working at Subzero Temperatures,iTE2,10.1002/adfm.202104071,10.1002/adfm.202104071
strong tough thermogalvanic hydrogel thermocell with extraordinarily high thermoelectric performance,2023,2023,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,Strong Tough Thermogalvanic Hydrogel Thermocell With Extraordinarily High Thermoelectric Performance,iTE1,10.1002/adma.202300696,10.1002/adma.202300696
synergy between gelatin hydrogels and electrodes for adjustable and thermally stable ionic thermoelectric supercapacitors,2024,2024,Synergy between gelatin hydrogels and electrodes for adjustable and thermally stable ionic thermoelectric supercapacitors,Synergy between gelatin hydrogels and electrodes for adjustable and thermally stable ionic thermoelectric supercapacitors,iTE1,10.1016/j.cej.2024.152734,10.1016/j.cej.2024.152734
synergy of thermodiffusion and thermogalvanic effect in n type ionic hydrogel self signaled fire warning and enhanced heat harvesting,2026,2026,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting,Synergy of thermodiffusion and thermogalvanic effect in n-type ionic hydrogel: self-signaled fire warning and enhanced heat harvesting,iTE1,10.1016/j.cej.2026.175294,10.1016/j.cej.2026.175294
thermal potential induced redox reaction enabled ionic thermoelectric generator,2026,2026,Thermal potential induced redox reaction enabled ionic thermoelectric generator,Thermal potential induced redox reaction enabled ionic thermoelectric generator,iTE1,10.1016/j.nanoen.2025.111648,10.1016/j.nanoen.2025.111648
thermoelectric energy recovery at ionic liquid electrode interface,2015,2015,Thermoelectric energy recovery at ionic-liquid/electrode interface,Thermoelectric energy recovery at ionic-liquid/electrode interface,iTE1,10.1063/1.4923199,10.1063/1.4923199
thermoelectricity and thermodiffusion in magnetic nanofluids entropic analysis,2018,2018,Thermoelectricity and Thermodiffusion in Magnetic Nanofluids: Entropic Analysis,Thermoelectricity and Thermodiffusion in Magnetic Nanofluids: Entropic Analysis,iTE1,10.3390/e20060405,10.3390/e20060405
thermogalvanic energy harvesting from forced convection cooling of 100 200 c surfaces generating high power density,2021,2021,Thermogalvanic energy harvesting from forced convection cooling of 100-200 °C surfaces generating high power density,Thermogalvanic energy harvesting from forced convection cooling of 100-200 °C surfaces generating high power density,iTE2,10.1039/d1se01264a,10.1039/d1se01264a
thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of so4 3 2 ions,2023,2023,Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,Thermogalvanic hydrogel electrolyte for harvesting biothermal energy enabled by a novel redox couple of SO4/3 2-ions,iTE1,10.1016/j.nanoen.2022.108077,10.1016/j.nanoen.2022.108077
thermogalvanic sensor array for heat flux mapping and radiative sensing,2026,2026,Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing,Thermogalvanic Sensor Array for Heat Flux Mapping and Radiative Sensing,iTE1,10.1021/acsaem.6c01130,10.1021/acsaem.6c01130
ultra sensitive self powered thermogalvanic hydrogel wristband enabled by resistance gated strategy,2026,2026,Ultra-sensitive self-powered thermogalvanic hydrogel wristband enabled by resistance-gated strategy,Ultra-sensitive self-powered thermogalvanic hydrogel wristband enabled by resistance-gated strategy,iTE2,10.1016/j.cej.2026.178230,10.1016/j.cej.2026.178230
water thermal self cycling thermoelectric hydrogel for continuous energy harvesting from body heat,2025,2025,Water-Thermal Self-Cycling Thermoelectric Hydrogel for Continuous Energy Harvesting from Body Heat,Water-Thermal Self-Cycling Thermoelectric Hydrogel for Continuous Energy Harvesting from Body Heat,iTE1,10.1002/aenm.202500540,10.1002/aenm.202500540
zinc iodine thermal charging cell engineered by cost efficient electrolytes for low grade heat harvesting,2024,2024,Zinc-iodine thermal charging cell engineered by cost-efficient electrolytes for low-grade heat harvesting,Zinc-iodine thermal charging cell engineered by cost-efficient electrolytes for low-grade heat harvesting,iTE1,10.1016/j.jpowsour.2024.234325,10.1016/j.jpowsour.2024.234325
