relation_id,paper_id,domain,subject_mention_id,object_mention_id,raw_predicate,assertion_type,direction,claim_id,quote,limitations,joint_factor_group,condition_annotation_status,semantic_review_status,graph_status,reconstruction_run_id
iTE:P0338:r001,P0338,iTE,iTE:P0338:n1,iTE:P0338:n3,joint strategy supports,author_claim,subject_to_object_as_exported,iTE:P0338:claim_block,"In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 两策略联合报告，二元边不代表已经验证各自独立贡献。没有给出完整离子迁移机制。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0338:r002,P0338,iTE,iTE:P0338:n2,iTE:P0338:n3,joint strategy supports,author_claim,subject_to_object_as_exported,iTE:P0338:claim_block,"In this work, by enriching oxygen-containing functional groups in the gel network and constructing oriented ionic transport nanochannels, an innovative approach is presented to reach long-term service and reusability for i-TEs without sacrificing their TE properties.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 两策略联合报告，二元边不代表已经验证各自独立贡献。没有给出完整离子迁移机制。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0339:r001,P0339,iTE,iTE:P0339:n1,iTE:P0339:n2,can generate,author_claim,subject_to_object_as_exported,iTE:P0339:claim_block,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. ion entropy difference 不能自动归成 reaction entropy 或 Eastman entropy。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0339:r002,P0339,iTE,iTE:P0339:n2,iTE:P0339:n3,enhances,author_claim,subject_to_object_as_exported,iTE:P0339:claim_block,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. ion entropy difference 不能自动归成 reaction entropy 或 Eastman entropy。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0339:r003,P0339,iTE,iTE:P0339:n2,iTE:P0339:n4,enhances,author_claim,subject_to_object_as_exported,iTE:P0339:claim_block,"The volume phase transition (VPT) of PNA i-TE cell can generate a substantial ion entropy difference, thereby enhancing both the redox reaction efficiency and ionic thermodiffusion rate.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. ion entropy difference 不能自动归成 reaction entropy 或 Eastman entropy。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0340:r001,P0340,iTE,iTE:P0340:n1,iTE:P0340:n2,supports strong,author_claim,subject_to_object_as_exported,iTE:P0340:claim_block,"Owing to the hollow-heterostructure for the strong light absorption, MoS2/Carbon hollow nanoflower-based fabrics demonstrated a photothermal conversion efficiency of 39.6%.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 这是光热环节，不据此补离子／氧化还原微观机制。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0340:r002,P0340,iTE,iTE:P0340:n2,iTE:P0340:n3,contributes to,author_claim,subject_to_object_as_exported,iTE:P0340:claim_block,"Owing to the hollow-heterostructure for the strong light absorption, MoS2/Carbon hollow nanoflower-based fabrics demonstrated a photothermal conversion efficiency of 39.6%.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 这是光热环节，不据此补离子／氧化还原微观机制。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0341:r001,P0341,iTE,iTE:P0341:n1,iTE:P0341:n3,contributes jointly to,author_claim,subject_to_object_as_exported,iTE:P0341:claim_block,"Furthermore, the ionogels exhibit excellent elastic tensile and self-healing properties, even after multiple cut/heal and stretch/release cycles, due to abundant noncovalent interactions, including hydrogen bonding and ion-dipole interactions.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 氢键在这句支撑机械／自愈性能，不连到 Seebeck。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0341:r002,P0341,iTE,iTE:P0341:n2,iTE:P0341:n3,contributes jointly to,author_claim,subject_to_object_as_exported,iTE:P0341:claim_block,"Furthermore, the ionogels exhibit excellent elastic tensile and self-healing properties, even after multiple cut/heal and stretch/release cycles, due to abundant noncovalent interactions, including hydrogen bonding and ion-dipole interactions.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 氢键在这句支撑机械／自愈性能，不连到 Seebeck。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0342:r001,P0342,iTE,iTE:P0342:n1,iTE:P0342:n2,used for,author_claim,subject_to_object_as_exported,iTE:P0342:claim_block,"Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 摘要未在此指定冠醚络合对象；不按题名补成某个阳离子被固定。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0342:r002,P0342,iTE,iTE:P0342:n1,iTE:P0342:n3,enhances via complexation,author_claim,subject_to_object_as_exported,iTE:P0342:claim_block,"Specifically, a gel network featuring dual positive groups is synthesized by cross-linking quaternized chitosan and guanidine molecules via glutaraldehyde, with thermal diffusion further enhanced by incorporating crown ether for complexation.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 摘要未在此指定冠醚络合对象；不按题名补成某个阳离子被固定。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0343:r001,P0343,iTE,iTE:P0343:n1,iTE:P0343:n2,condition for reported,author_claim,subject_to_object_as_exported,iTE:P0343:claim_block,"When the pore solution contains high concentrations of OH- ions, these ions migrate toward the colder region under temperature gradients, imparting the cement-based material n-type thermoelectric behavior.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 OH-、冷端和温度梯度；有条件的报道不作为普遍规律。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0343:r002,P0343,iTE,iTE:P0343:n2,iTE:P0343:n3,imparts,author_claim,subject_to_object_as_exported,iTE:P0343:claim_block,"When the pore solution contains high concentrations of OH- ions, these ions migrate toward the colder region under temperature gradients, imparting the cement-based material n-type thermoelectric behavior.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留 OH-、冷端和温度梯度；有条件的报道不作为普遍规律。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0344:r001,P0344,iTE,iTE:P0344:n1,iTE:P0344:n3,synergistically improves,author_claim,subject_to_object_as_exported,iTE:P0344:claim_block,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 凝聚与选择性迁移是原因／后果，不能合并成同义词。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0344:r002,P0344,iTE,iTE:P0344:n2,iTE:P0344:n3,synergistically improves,author_claim,subject_to_object_as_exported,iTE:P0344:claim_block,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 凝聚与选择性迁移是原因／后果，不能合并成同义词。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0344:r003,P0344,iTE,iTE:P0344:n3,iTE:P0344:n4,contributes to reported high,author_claim,subject_to_object_as_exported,iTE:P0344:claim_block,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 凝聚与选择性迁移是原因／后果，不能合并成同义词。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0345:r001,P0345,iTE,iTE:P0345:n1,iTE:P0345:n2,increases,author_claim,subject_to_object_as_exported,iTE:P0345:claim_block,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 降低性能的结果也保留；未把 PVA 普遍标为增强策略。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0345:r002,P0345,iTE,iTE:P0345:n1,iTE:P0345:n3,reduces,author_claim,subject_to_object_as_exported,iTE:P0345:claim_block,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 降低性能的结果也保留；未把 PVA 普遍标为增强策略。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0345:r003,P0345,iTE,iTE:P0345:n1,iTE:P0345:n4,reduces,author_claim,subject_to_object_as_exported,iTE:P0345:claim_block,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 降低性能的结果也保留；未把 PVA 普遍标为增强策略。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0345:r004,P0345,iTE,iTE:P0345:n1,iTE:P0345:n5,reduces,author_claim,subject_to_object_as_exported,iTE:P0345:claim_block,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 降低性能的结果也保留；未把 PVA 普遍标为增强策略。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0346:r001,P0346,iTE,iTE:P0346:n1,iTE:P0346:n2,assembles through,author_claim,subject_to_object_as_exported,iTE:P0346:claim_block,"Spectroscopic analyses revealed that Fmoc-FF formed eutectogels through pi-pi interactions between Fmoc groups, resulting in a highly porous colloidal network.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 网络形成机制有证据，但不自动连到后一句 Seebeck 数值。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0346:r002,P0346,iTE,iTE:P0346:n2,iTE:P0346:n3,results in,author_claim,subject_to_object_as_exported,iTE:P0346:claim_block,"Spectroscopic analyses revealed that Fmoc-FF formed eutectogels through pi-pi interactions between Fmoc groups, resulting in a highly porous colloidal network.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 网络形成机制有证据，但不自动连到后一句 Seebeck 数值。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0347:r001,P0347,iTE,iTE:P0347:n1,iTE:P0347:n2,enriched with,author_claim,subject_to_object_as_exported,iTE:P0347:claim_block,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 不把选择性阳离子迁移与阴离子固定合并；固定阴离子是该通道的特征。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0347:r002,P0347,iTE,iTE:P0347:n1,iTE:P0347:n3,contains,author_claim,subject_to_object_as_exported,iTE:P0347:claim_block,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 不把选择性阳离子迁移与阴离子固定合并；固定阴离子是该通道的特征。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0347:r003,P0347,iTE,iTE:P0347:n1,iTE:P0347:n4,promotes,author_claim,subject_to_object_as_exported,iTE:P0347:claim_block,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 不把选择性阳离子迁移与阴离子固定合并；固定阴离子是该通道的特征。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0348:r001,P0348,iTE,iTE:P0348:n1,iTE:P0348:n2,enables,author_claim,subject_to_object_as_exported,iTE:P0348:claim_block,This research demonstrates the transformation of lignin-based hydrogels from p-type to n-type materials through a green synthesis approach involving cross-linking and amine functionalization.,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 摘要没有明确给出固定电荷／选择性传输微观解释，不补。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0349:r001,P0349,iTE,iTE:P0349:n1,iTE:P0349:n2,disrupts,author_claim,subject_to_object_as_exported,iTE:P0349:claim_block,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 氢键破坏与氢键增强不可在无方向信息时混为一种作用。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0349:r002,P0349,iTE,iTE:P0349:n1,iTE:P0349:n3,forms by disrupting water hydrogen bonding,author_claim,subject_to_object_as_exported,iTE:P0349:claim_block,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 氢键破坏与氢键增强不可在无方向信息时混为一种作用。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0349:r003,P0349,iTE,iTE:P0349:n3,iTE:P0349:n4,enables,author_claim,subject_to_object_as_exported,iTE:P0349:claim_block,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 氢键破坏与氢键增强不可在无方向信息时混为一种作用。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0350:r001,P0350,iTE,iTE:P0350:n1,iTE:P0350:n2,intended to improve,author_claim,subject_to_object_as_exported,iTE:P0350:claim_block,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留原文目的性表述；未单独证明迁移率变化与热扩散差异的贡献。diffusion 不直接改为 thermodiffusion。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0350:r002,P0350,iTE,iTE:P0350:n1,iTE:P0350:n3,intended to enhance,author_claim,subject_to_object_as_exported,iTE:P0350:claim_block,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留原文目的性表述；未单独证明迁移率变化与热扩散差异的贡献。diffusion 不直接改为 thermodiffusion。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0351:r001,P0351,iTE,iTE:P0351:n1,iTE:P0351:n2,results in,author_claim,subject_to_object_as_exported,iTE:P0351:claim_block,"Herein, we originally designed an ionic thermoelectric-electrochemical (i-TE-EC) cell by combining two asymmetric gels into a double sandwich structure, resulting in high thermoelectric performance.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 结构—性能直接陈述；不猜测其熵或界面机理。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0352:r001,P0352,iTE,iTE:P0352:n1,iTE:P0352:n2,exhibits,author_claim,subject_to_object_as_exported,iTE:P0352:claim_block,"The optimized lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte, demonstrates high ionic conductivity (226.5 mS/cm) and a superior Seebeck coefficient of 13 mV/K.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 该摘要没有明确微观机制；不能把有性能数值当成有机制链。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0352:r002,P0352,iTE,iTE:P0352:n1,iTE:P0352:n3,exhibits,author_claim,subject_to_object_as_exported,iTE:P0352:claim_block,"The optimized lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte, demonstrates high ionic conductivity (226.5 mS/cm) and a superior Seebeck coefficient of 13 mV/K.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 该摘要没有明确微观机制；不能把有性能数值当成有机制链。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0353:r001,P0353,iTE,iTE:P0353:n1,iTE:P0353:n2,enables,author_claim,subject_to_object_as_exported,iTE:P0353:claim_block,"In this conveyor mode, ion-electronic friction serves as the link between ions and electrons, enabling the thermally diffused ions to convey electrons to power the load, and persistent ionic transport, owing to the ionic circuit, ensures continuous power generation.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 离子—电子耦合机制单独保留，不强归入普通离子选择性传输。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0353:r002,P0353,iTE,iTE:P0353:n3,iTE:P0353:n4,sustains,author_claim,subject_to_object_as_exported,iTE:P0353:claim_block,"In this conveyor mode, ion-electronic friction serves as the link between ions and electrons, enabling the thermally diffused ions to convey electrons to power the load, and persistent ionic transport, owing to the ionic circuit, ensures continuous power generation.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 离子—电子耦合机制单独保留，不强归入普通离子选择性传输。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
iTE:P0353:r003,P0353,iTE,iTE:P0353:n4,iTE:P0353:n5,ensures,author_claim,subject_to_object_as_exported,iTE:P0353:claim_block,"In this conveyor mode, ion-electronic friction serves as the link between ions and electrons, enabling the thermally diffused ions to convey electrons to power the load, and persistent ionic transport, owing to the ionic circuit, ensures continuous power generation.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 离子—电子耦合机制单独保留，不强归入普通离子选择性传输。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
TG:P0003:r001,P0003,TG,TG:P0003:n1,TG:P0003:n2,leads to,author_claim,subject_to_object_as_exported,TG:P0003:claim_block,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 电子转移电阻降低不等于离子导电率增加，不能合并。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
TG:P0003:r002,P0003,TG,TG:P0003:n2,TG:P0003:n3,results in,author_claim,subject_to_object_as_exported,TG:P0003:claim_block,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 电子转移电阻降低不等于离子导电率增加，不能合并。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
TG:P0143:r001,P0143,TG,TG:P0143:n1,TG:P0143:n2,increases,author_claim,subject_to_object_as_exported,TG:P0143:claim_block,"In addition, by applying pressure, the thermoelectric effect of this ionic thermoelectric gelatin can be changed (the thermopower of the ionic thermoelectric gelatin increases from 1.21 mV/K to 1.67 mV/K, representing a 38 % increase), so as to enable the sensor to sense external forces.","Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 压力增效有报道，但压力怎样改变微观机制未在此摘要说明。",,not_reconstructed,not_reviewed,machine_candidate_only,txt_reconstruction_v1_19f1c2edac18
