claim_id,paper_id,domain,quote,quote_start_char,quote_end_char,quote_location_status,evidence_scope,limitations,txt_record_index,txt_header_line,raw_record_sha256,semantic_review_status,reconstruction_run_id
iTE:P0344:claim_block,P0344,iTE,"The synergistic effect between ordered ions and Manning counterion condensation effect induced by the electronegative CMC-Na chain improves the selective ion migration capability of i-TEHs, achieving a high Seebeck coefficient of 14.39 mV K-1 (reference temperature of 25-40 degrees C, temperature difference of 10-15 K), which is a 24.6 % increase compared to the traditional method.",833,1217,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 凝聚与选择性迁移是原因／后果，不能合并成同义词。",11,179,e1428f9be7ce39c4675411ae455948604f67b0e223f106e615763eb8869742ca,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0345:claim_block,P0345,iTE,"The results indicate that modifying the cement with PVA hydrogel increases capillary porosity while it reduces the Seebeck coefficient, overall strength, and capacitance.",504,674,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 降低性能的结果也保留；未把 PVA 普遍标为增强策略。",12,194,f750e22a69c0c690c26468b531444f28900a5a9aa9b8b00cffa767fceebad6ac,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0346:claim_block,P0346,iTE,"Spectroscopic analyses revealed that Fmoc-FF formed eutectogels through pi-pi interactions between Fmoc groups, resulting in a highly porous colloidal network.",749,908,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 网络形成机制有证据，但不自动连到后一句 Seebeck 数值。",13,211,30daa5b879897f6651670fbebb5de8f3a2165e5545b80286e2641dc278cd0d54,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0347:claim_block,P0347,iTE,"The resulting reconstructed lignocellulose ion channels, enriched with surface negative charges and spatially confined fixed anions, promote rapid and selective cation migration driven by a temperature gradient.",758,969,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 不把选择性阳离子迁移与阴离子固定合并；固定阴离子是该通道的特征。",14,224,0e4f2943bdb36d49e52fbb45dd8b579454ce39cce08a6dfea03f2fb985f7c425,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0348:claim_block,P0348,iTE,This research demonstrates the transformation of lignin-based hydrogels from p-type to n-type materials through a green synthesis approach involving cross-linking and amine functionalization.,444,635,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 摘要没有明确给出固定电荷／选择性传输微观解释，不补。",15,239,65c9f057d3f1ad678de2199c1b7c948e2c403676ac602ec4d01e6004253870d1,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0349:claim_block,P0349,iTE,"Formamide is used as a chaotic organic solvent that destroys the hydrogen bond network between water molecules, forming a deep eutectic solvent that enables the cell to operate near cryo temperatures (down to -35 degrees C).",349,573,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 氢键破坏与氢键增强不可在无方向信息时混为一种作用。",16,250,c84be079ae983ca028d15ab26f9b0f921cb340be54ebad1922ac951628ad89b5,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0350:claim_block,P0350,iTE,"To synergistically enhance the ionic conductivity and ionic Seebeck coefficient, ethanol and sodium bis(trifluoromethylsulfonyl)imide (NaTFSI) are added into the poly (vinylidene fluoride-co-hexafluoropropylene)/1ethyl-3-methylimidazolium dicyanamide (PVDF-HFP/EMIM:DCA, PH/ED) ionogel to improve the ionic mobility and enhance the diffusion difference between cations and anions.",327,707,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留原文目的性表述；未单独证明迁移率变化与热扩散差异的贡献。diffusion 不直接改为 thermodiffusion。",17,265,69998bb48f79f443f5e5b0ef50147813f4c50337174460daa92eafd7b7d335fa,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0351:claim_block,P0351,iTE,"Herein, we originally designed an ionic thermoelectric-electrochemical (i-TE-EC) cell by combining two asymmetric gels into a double sandwich structure, resulting in high thermoelectric performance.",470,668,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 结构—性能直接陈述；不猜测其熵或界面机理。",18,280,ee6caa35cf5d4358744116975d2dac1d622f03ac7f29c8bfc292a7470b266bbe,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0352:claim_block,P0352,iTE,"The optimized lignin-derived hydrogel, infiltrated with a 6 M KOH electrolyte, demonstrates high ionic conductivity (226.5 mS/cm) and a superior Seebeck coefficient of 13 mV/K.",695,871,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 该摘要没有明确微观机制；不能把有性能数值当成有机制链。",19,291,4c98f8affc9c81753f575af5f4cc0379852e8621542f428d2958b2c16ed3dc83,not_reviewed,txt_reconstruction_v1_19f1c2edac18
iTE:P0353:claim_block,P0353,iTE,"In this conveyor mode, ion-electronic friction serves as the link between ions and electrons, enabling the thermally diffused ions to convey electrons to power the load, and persistent ionic transport, owing to the ionic circuit, ensures continuous power generation.",448,714,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 离子—电子耦合机制单独保留，不强归入普通离子选择性传输。",20,304,d8546c8045a3b3ddb775d9843a0ab70a4cb872f5def49ffc03df7990b5ddce04,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0003:claim_block,P0003,TG,"On the other hand, the increase in Fe2+/3+ concentration also leads to the decrease in electron transfer resistance, thus resulting in the ISC value increase in the device.",674,846,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 电子转移电阻降低不等于离子导电率增加，不能合并。",21,320,53be3ccf7ce0e0b077afc1b1e647ece86e557a6ffd072387ffb132a1ab5544ef,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0143:claim_block,P0143,TG,"In addition, by applying pressure, the thermoelectric effect of this ionic thermoelectric gelatin can be changed (the thermopower of the ionic thermoelectric gelatin increases from 1.21 mV/K to 1.67 mV/K, representing a 38 % increase), so as to enable the sensor to sense external forces.",626,914,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 压力增效有报道，但压力怎样改变微观机制未在此摘要说明。",22,333,824d1e4674d868afd065ed16d1db15970c37f871cc70ef2f1a17526d4d4eafbd,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0146:claim_block,P0146,TG,"Herein, an adhesive and self-healing cationic high-entropy gel (CHEG) G-FeCN4-/3--K+-Na+-Li+-Gdm+-Cs+ in a multi-ion cooperative chemical environment has been designed by the interaction between multications and anions, improving the entropy change of redox reaction, exchange current density, and ionic conductivity, thereby achieving an overall high ionic thermoelectric performance.",409,794,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 多阳离子—阴离子相互作用不能直接等同 iTE 样本中的阴离子主导 multi-ion coupling。",23,344,7fee4cb61f193f31840116b1cf557e6c9d53ea88c92a9c85520d246553fd3001,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0141:claim_block,P0141,TG,"Within this context, the proposal of hybridizing electron-type and ion-type materials emerges as an innovative approach aimed at enhancing performance.",738,889,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 综述中的提议，非本篇实测机制；performance 未明确指标，不强填 Seebeck。",24,360,9bcd4925e5a4aa8547a4299f96371a6da34ce28e881df90c0f1ea8c0e7a879f7,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0268:claim_block,P0268,TG,"A universal negative offset in the thermopower is observed when substituting the conventional Cu foil by carbon-based paper (CBP) electrodes. This is attributed to the electrolyte infiltration and strong cation restriction on the CBP electrodes, which facilitates anion thermodiffusion.",529,815,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 渗入与阳离子限制的联合归因保留在原文；不强拆其独立贡献。阳离子限制不等于阴离子固定。",25,371,01e3f6fb05ccaaa95667a17a283d7e6bddc931336e630d0f1f99afc801028297,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0267:claim_block,P0267,TG,"Crucially, the i-TE system achieves continuous current output when equipped with copper electrodes, facilitated by the redox reaction involving Cu/Cu2+, and maintains stable long-term outputs across a range of resistances from 1 k Omega to 1 M Omega.",514,764,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 电极反应支持持续电流；不等同反应熵主导的 thermogalvanic 电压来源。",26,386,44fae445d2fdcd6c6f08ec4b339daa1e46dd719297ef57d50ad47c0378d5c6bc,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0175:claim_block,P0175,TG,"Unlike conventional thermogalvanic cells, the current in our system arises from a reversible redox reaction driven by ionic thermodiffusion-induced thermal potentials.",147,314,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留驱动方向：热扩散电势驱动氧化还原，不倒置成反应熵产生全部电势。",27,398,37ca783e317330fcf9e339d22288b769afb81af69648fea559547d637b4f8b76,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0274:claim_block,P0274,TG,,,,empty_in_export,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 综述摘要只介绍覆盖范围，没有具体材料—机制—效应陈述；本试抽标为 no_extractable_claims，不代表全文无机制。",28,411,b37c153ac9d2396f8c797a62a802f2b439e87dd9668af9331f7e5130e1633c48,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0201:claim_block,P0201,TG,"In this perspective article, we discuss similarities and differences of i-TE materials from electronic-based thermoelectric materials and also different i-TE thermoelectric effects including the thermodiffusion (Soret) effect and the thermogalvanic effect, in which the latter includes redox reaction entropy and the Soret effect.",520,850,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 综述概念性陈述，不和原始实验机制证据等权；Soret 同义依据在此句明确给出。",29,418,40ef03f60bc5af8894c64ffa3888f80738f1b934c3f165a67351bbaa6cfd19d5,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0142:claim_block,P0142,TG,"By tailoring the synergistic coordination between Fe2+/Fe3+ redox couples and carboxyl (& horbar;COOH) groups in the polymer network, the gel functions as a thermogalvanic electrolyte, and its voltage generation is driven by temperature-dependent redox reactions of Fe2+/Fe3+.",355,631,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. coordination 与反应熵变化之间没有明确证据，不补边。",30,432,86bea5fcc08d1a44603dbd84dd2138862ad3f25371a68902ecd9a98c852e02bc,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0159:claim_block,P0159,TG,"The ionic liquid undergoes a phase transition from solid to liquid in cold and hot regions, significantly improving performance without requiring additional components or complex processing.",568,758,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 固液相变可以有 phase transition 上位概念，但不等于水凝胶体积相变，不补熵差。",31,444,99d455a5c5f62d99a4c910e736253a39719e9c6dcbc76af5a615d7a0bfb3d4e6,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0176:claim_block,P0176,TG,"This study, grounded in the Gutmann donor theory for anion doping, demonstrates four universal configurations of structural reconfiguration in anion/cation clusters within ternary ionogels to progressively enhance anionic transport heat.",557,794,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. transport heat 不能未经温度与定义转换直接合并成 transport entropy。",32,457,8d527d07523811978959d577d09fe2ea23bad4198c4cc04941626580192667d8,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0247:claim_block,P0247,TG,Mechanistic studies reveal that optimized ionic interactions enhance thermal diffusion and elevate the Seebeck coefficient to 4.1 mV K-1.,792,929,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. ionic interactions 过于宽泛；不能细化为氢键、配位或离子对。",33,469,d9976b4573691c7935775d576c90976ef9cf932c2ffbae3b7441fabae43dfc52,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0163:claim_block,P0163,TG,"The ionic thermocell adhered directly to the photovoltaic panel consists the pi-type multi-channels, electrodes and p/n-type redox electrolytes flowing in multi-channels, which can simultaneously cool photovoltaic panel and output electric energy for waste heat harvesting.",710,983,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 器件结构／流动层面的机制，不从背景推断溶剂化细节；其定量性能涉及数值模型。",34,482,49076fb500be584ac384602b5d4afdacdc2d50b9aec27a5e601eda4b9a088df6,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0197:claim_block,P0197,TG,"The abundant functional groups on PACS confine free H2O molecules to the polymer network, forming polar corona, reducing the volume of thermally diffused ions, and enabling rapid conduction of lithium ions (Li+) in unsaturated coordination.",559,799,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. polar corona 等作者术语原样保留；并列分句不强造严格逐级因果。",35,495,c203d12cd2ae6e682c6206c50f10d2cd2bf577c9ccf9ed1c33ad126ba0086c96,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0188:claim_block,P0188,TG,"Pyrazine-based organic redox couples with different functional groups is comparatively analyzed through cyclic voltammetry under varying temperatures. The results reveal substantial differences in entropy changes with temperature and highlight 2,5-pyrazinedicarboxylic acid dihydrate (PDCA) as the optimal candidate.",303,619,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 摘要未明确选择性溶剂化机制；正文与附加摘要关于串联片数有 36/9 冲突，不在本轮修正。",36,512,fa21f9daa96894e96723772e9200073c16765d499689255bab7acaa4bc84f141,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0180:claim_block,P0180,TG,"By combining the thermodiffusion effect of lithium sulfate (Li2SO4) ions and the thermogalvanic effect of [Fe(CN)64-/Fe(CN)63-], which achieved a coupled ionic Seebeck effect of up to 11.58 mV/K, exhibiting a high ionic conductivity (18.4 mS cm-1) and low thermal conductivity (0.47 W m-1/K), resulting in a high ionic power factor (198.2 mW m-1K-2) at room tem-perature.",548,919,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 保留耦合而不是拆成两个已知定量贡献；原始功率因子单位待核，不在本轮静默改写。",37,523,8ff6dfab1c2522118a3997bfe268adc9deee1bd350b5ef9f453ba4256e886826,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0145:claim_block,P0145,TG,"We demonstrate a giant positive thermopower of 17.0 millivolts per degree Kelvin in a flexible, quasi-solid-state, ionic thermoelectric material using synergistic thermodiffusion and thermogalvanic effects.",214,420,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 两种机制协同，不推定各自占比。",38,536,a0ccb2a982acc48b1315469cd4c47ccd08e28164223d62ec679a14ca7fb0737b,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0227:claim_block,P0227,TG,The thermoelectric power depends strongly on concentrations of both the ionic liquid and the redox couple. It is enhanced by a factor of six at high ionic-liquid concentrations.,381,558,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. thermoelectric power 此处很可能指 thermopower，但不能当输出功率；保留待定，不作单位不明的数值换算。",39,549,7722d8c0199c9569fcdaf6ce50ad0073b30015ed950602e6cb0c341c0597381e,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0174:claim_block,P0174,TG,"In the low-concentration regime, where the electrical double layer (EDL) overlap becomes significant, the TDIEM effect dominates, leading to a large negative ionic Seebeck coefficient.",1029,1213,exact_unique,exported_paper_block_not_verified_atomic_claim,"Focal-claim pilot, not exhaustive extraction; independent semantic review pending. 上文定义 TDIEM 为温度依赖电泳迁移率驱动扩散；不与 Soret 热扩散合并。EDL 显著重叠是条件，未强加因果边。",40,562,d6c7ba3242608195948d48ba2fdf323374ff3b7ef5c7272aeb20a66514b42e9a,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0170:claim_block,P0170,TG,"In particular, hybrid ionic-electronic designs are highlighted as a promising strategy to enable continuous power output.",1196,1317,exact_unique,exported_paper_block_not_verified_atomic_claim,Review synthesis; no original experimental chain.,41,574,1d430c8b9dde751112e23d888761a01aea474fa7d77e72654bb10680321452ec,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0096:claim_block,P0096,TG,"Herein, a directional freeze-thawing method is developed to fabricate high-performance n-type quasi-solid thermocells with hierarchically anisotropic networks, enabling the decoupling of thermopower and ionic conductivity.",360,582,exact_unique,exported_paper_block_not_verified_atomic_claim,Do not invent molecular origin of transport anisotropy.,42,585,a731683aa5dcf54cf911f804b71452c42d803b9ea9a0bf1f65a5b2c77559e1cc,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0297:claim_block,P0297,TG,"It is very intriguing to see both ionic electrical conductivity and ionic thermopower are simultaneously improved as RH is raised, in contrast to their adverse correlation in conventional electronic thermoelectrics, offering potential breakthroughs for large performance enhancement.",689,972,exact_unique,exported_paper_block_not_verified_atomic_claim,"Empirical synthesis, not a universal causal law; humidity mechanism absent.",43,598,33f8d84365567bfa3f837430f1d15ac9d222ccdc8d2432bde47d3dafe3ec32fc,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0215:claim_block,P0215,TG,"The results show that under specific ionic conditions, the inclusion of magnetic nanoparticles can lead to an enhancement of the ferrofluid's initial Seebeck coefficient by 15% (at a nanoparticle volume fraction of similar to 1%).",790,1020,exact_unique,exported_paper_block_not_verified_atomic_claim,Initial rather than steady-state coefficient; nanoparticle transfer entropy is discussed but its signed independent contribution is not quantified here.,44,611,945ea3739ed49e822bf1cfca481ad34e36bda0c0d630cbebe057c0cbaf04c2c0,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0150:claim_block,P0150,TG,"The high ionic conductivity is provided by the fractal microstructure of the hydrogel, as revealed by small-angle X-ray scattering (SAXS).",684,822,exact_unique,exported_paper_block_not_verified_atomic_claim,Microstructure attribution; no inferred selective-ion transport.,45,622,a10279cfe3ecca7ab54d1d274d7d0490462ee44e6cf2cec0a7257c03d64dea89,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0305:claim_block,P0305,TG,Measurement of Seebeck coefficients in a range of ionic liquids (ILs) suggests that these electrolytes could enable the development of thermoelectric devices to generate electrical energy from low-grade heat in the 100-150 degrees C range.,0,239,exact_unique,exported_paper_block_not_verified_atomic_claim,Very short abstract; no specific microscopic mechanism or coefficient values.,46,633,dee3e67acdad67b087576678f0dfd4e07ed7c8828bd9744b826d5a2ad8516ca5,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0136:claim_block,P0136,TG,The device generates a temperature gradient through efficient photothermal conversion by placing thermoelectric hydrogels on top of a photothermal hydrogel.,272,428,exact_unique,exported_paper_block_not_verified_atomic_claim,Layered device heat-generation mechanism; source separately attributes voltage to hot/cold redox reactions.,47,644,e26c3e050e9bd636e93514feaa89a6741ce90aaf9bc37e85eb9d7fe10ae2a1bb,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0062:claim_block,P0062,TG,The tensile/compressive stress and deformation at break of the hydrogel electrolyte achieves a superior index due to the hybrid structure formed between PEDOT: PSS and SO42-/SO32-ion-promoted crosslinking PVA network.,580,797,exact_unique,exported_paper_block_not_verified_atomic_claim,Mechanical attribution; do not map it directly to reaction entropy.,48,657,61ca6fb95023358dfc2d61bb1c872675e3706b1b021bc72ab1ede92eab63f726,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0080:claim_block,P0080,TG,"The synergistic interplay of ion thermodiffusion (Bmim+/H2PO4- ) and thermogalvanic effect (Fe2+/Fe3+) yielded a high n-type Seebeck coefficient of -6.50 mV center dot K- 1, enabling efficient heatto-electric conversion (76.1 mV, 144.3 nW at Delta T = 12 K).",793,1051,exact_unique,exported_paper_block_not_verified_atomic_claim,Two mechanisms share a claim; not independently quantified.,49,668,bac770e66aca14425ffbb1853062a4da0bc93a24c320731b61b19aa1aa07efce,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0137:claim_block,P0137,TG,"Grafting guanidinium salt ions in the chitosan gel can facilitate the selective separation of positive and negative ions of the FeCl3/2 electrolyte and enhance the thermodiffusion effect. Meanwhile, introduction of melamine in the chitosan gel enables the selective complexation/desorption of Fe3+ at cold and hot ends, which enlarges the concentration and entropy difference of redox pairs in electrolyte ions.",498,909,exact_unique,exported_paper_block_not_verified_atomic_claim,Do not collapse transport selection and redox-state complexation into one mechanism.,50,681,60047f8b7c7795879dd7ba0d76e07bff036271fe1858274a29772d1cf2c3eeab,not_reviewed,txt_reconstruction_v1_19f1c2edac18
TG:P0304:claim_block,P0304,TG,"The acceleration of the charging by convective flows is also observed. This offers the possibility to convert waste-heat into electric energy without exchanging electrons between ions and electrodes, in contrast to what occurs in most thermogalvanic cells.",896,1152,exact_unique,exported_paper_block_not_verified_atomic_claim,Nonfaradaic device retained in TG source; corpus assignment is not mechanism truth.,51,699,e438f4ee6901268f7b2e4a9bc4a06c2c88fdd6deb2f3f3ecb98e735d316da4d9,not_reviewed,txt_reconstruction_v1_19f1c2edac18
