index,mention_id,domain,raw_phrase,accepted_role,reason,definition_status,role_review_status,human_review_required,normalization_policy,judge_model
15,TG:P0025:n7,TG,thermoelectric power,performance_function,overall thermoelectric power在此为输出性能；未给明是S或P，保持泛称。,underspecified_performance,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
16,TG:P0036:n2,TG,extracting self-existent intrinsic temperature features,mechanism_process,提取手指温度特征是测量/识别操作过程，非温度状态本身。,measurement_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
17,TG:P0037:n1,TG,thermogalvanic cells (TGCs),state_structure,被使用的完整热电化学器件。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
18,TG:P0064:n1,TG,gel patch,state_structure,具有应变响应的整体凝胶贴片器件。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
19,iTE:P0354:n4,iTE,diffusion difference,quantity,扩散差异是未定义具体比较方式的量类。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
20,iTE:P0359:n5,iTE,ionic thermoelectric effect,mechanism_process,离子热电效应作为过程性机制整体，不能等同某单一Seebeck量。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
21,iTE:P0361:n3,iTE,cationic moving self-enhancement,mechanism_process,阳离子运动自增强指输运过程，含义宽泛但过程角色可定。,underspecified_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
22,iTE:P0364:n3,iTE,thermal mobility of ions,quantity,thermal mobility为热驱动迁移能力量；不直接等同电迁移率。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
23,iTE:P0365:n1,iTE,hydration properties of LiCl,interaction,LiCl与水的水合作用被用来解释抗冻吸湿；不细化配位结构。,underspecified_interaction,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
24,iTE:P0369:n1,iTE,porosity and pore connectivity,quantity,孔隙率与连通程度是结构参数复合量，保留复合边界。,compound_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
25,TG:P0081:n4,TG,concentration gradient effects,mechanism_process,浓度梯度附加效应是驱动机制，不等同单纯浓度梯度物理量。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
26,TG:P0089:n3,TG,electrode kinetics,quantity,电极动力学作为与系数平衡的速率能力，未定义具体常数。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
27,TG:P0094:n2,TG,altered solvation,mechanism_process,改变溶剂化的过程，非具体水合壳状态。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
28,TG:P0097:n2,TG,thermodynamic and kinetic properties,quantity,热力学与动力学性质为多量综合，未定义具体两个指标。,compound_underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
29,TG:P0100:n3,TG,measurements of the thermogalvanic profile,mechanism_process,测量热电化学曲线为测量过程，不是曲线本身。,measurement_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
30,TG:P0103:n1,TG,ISV and 3-electrode assemblies,design_strategy,扫描测量方法和三电极装配的复合测试设计；原ISV拼写保留。,compound_measurement_design,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
31,TG:P0108:n1,TG,impedance analysis,mechanism_process,阻抗分析是提取参数的分析过程。,measurement_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
32,TG:P0132:n2,TG,thermogalvanic cell,state_structure,讨论可行性的M-H完整电池器件结构。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
33,TG:P0152:n2,TG,thermogalvanic (TG) corrosion intensity,quantity,腐蚀强度可由电流/质量损失反映，但不强行指定唯一指标。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
34,TG:P0181:n1,TG,integrative multilayer film cell,state_structure,多层薄膜集成电池，整体器件结构。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
35,TG:P0195:n3,TG,degrees of freedom and ordering of the solvent,state_structure,溶剂自由度与有序程度复合构型状态；不合并为单一熵量。,compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
36,TG:P0226:n1,TG,asymmetric cells,state_structure,含两种电极的非对称电池结构。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
37,TG:P0228:n1,TG,asymmetry of the spin-mixing,state_structure,spin mixing的非对称性是输运状态特征，不是spin mixing过程本身。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
38,iTE:P0393:n2,iTE,ionic thermoelectric effect,mechanism_process,孔溶液离子产生的热电效应机制。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
39,iTE:P0405:n1,iTE,"secondary doping, dedoping engineering, and ionic energy filtering",design_strategy,二次掺杂/去掺杂/离子能量筛选作为组合调控策略，保持复合操作。,compound_design,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
40,iTE:P0408:n2,iTE,electrode-dependent effect,mechanism_process,电极依赖效应作为输运贡献机制，未明确具体相互作用。,underspecified_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
41,iTE:P0415:n2,iTE,low-voltage organic transistor,state_structure,低压有机晶体管为受栅控的完整器件。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
42,iTE:P0431:n1,iTE,ionic-thermoelectric module with a narrow-bandpass optical filter,state_structure,模块加窄带滤光器的组合传感单元。,compound_device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
43,iTE:P0448:n1,iTE,interfacial capacitive effect between ionogel and CPNF,mechanism_process,离子凝胶/CPNF界面电容效应是储荷/极化响应机制，不是给定电容数值。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
44,iTE:P0448:n2,iTE,electrical property of the CPNF,quantity,CPNF电学性质未指定量，不能替换成电导或电阻。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
45,iTE:P0449:n1,iTE,doping levels and morphology,state_structure,掺杂水平与形貌的复合材料状态，保留混合属性。,compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
46,iTE:P0452:n1,iTE,energetic disorder for PDPP-EDOT,state_structure,能量无序为电子态分布的无序状态，并非热力学熵。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
47,iTE:P0470:n2,iTE,electric double layer (EDL) strength,quantity,双电层强度为量性描述，定义不明确，不改为电势或电场强度。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
48,iTE:P0470:n3,iTE,carrier transport characteristics,quantity,载流子输运特征是未具体化的一组量性性质。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
49,iTE:P0476:n1,iTE,unidirectional orientation of ionic conductivity,state_structure,离子传导单向取向是各向结构/输运状态，非普通电导数值。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
50,iTE:P0485:n2,iTE,thermoelectric paper chips,state_structure,基于金电极表面组装的纸芯片整体器件。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
51,iTE:P0499:n1,iTE,small polaron hopping (SPH) model,descriptor,SPH理论模型用于解释数据；作为模型表征保留，注明本体缺少独立model类别。,ontology_fit_limited_model_representation,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
52,iTE:P0499:n2,iTE,Thermoelectric power of high-temperature region,performance_function,高温区热电势为研究目标性能；不将热电power误当瓦特功率。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
53,iTE:P0505:n1,iTE,K-means clustering algorithm,mechanism_process,K-means作为滤噪信号处理过程，非材料实体或物理机制。,computational_analysis_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
54,iTE:P0517:n2,iTE,charge puddles effect,mechanism_process,电荷水洼效应影响输运的物理机制。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
55,iTE:P0517:n3,iTE,transport properties at low T,quantity,低温输运性质泛称，不能细化为电导率。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
56,iTE:P0522:n2,iTE,thermoelectric power of the SWCNTs,performance_function,SWCNT thermoelectric power为增强目标，定义不充分时不强制并为Seebeck。,underspecified_performance,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
57,iTE:P0527:n3,iTE,leaf desiccation and electrode selection,design_strategy,叶脱水处理与电极选择是两项共同设计操作。,compound_design,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
58,iTE:P0530:n2,iTE,hydrodynamic friction,interaction,流体动力摩擦是近表面黏滞阻力相互作用，不是特定摩擦系数。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
59,iTE:P0534:n1,iTE,"structural complexity, variations in bond strengths, and high lattice anharmonicity",state_structure,结构复杂、键强差异与非谐性组成联合材料状态，不拆成独立因果。,compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
60,iTE:P0541:n3,iTE,Seebeck effect,mechanism_process,Seebeck效应是热电响应机制；效应增强不等于明确系数变化。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
61,iTE:P0578:n1,iTE,ability to influence the hydrogen bond by the ion,descriptor,离子影响氢键能力充当解释热电性能的特征描述符，未定义具体力学量。,underspecified_descriptor,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
62,iTE:P0584:n1,iTE,hydrophobic polymer network and hydrophobic ionic liquid (IL),material_entity,疏水聚合网络与离子液体作为复合材料组分。,compound_material,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
63,iTE:P0613:n1,iTE,ITEG,state_structure,ITEG整体发电器件，而非材料配方。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
64,iTE:P0637:n3,iTE,ratio of discharging and charging,performance_function,充放电比为目标性能，但原句不说明容量/时间/电荷哪个比值。,underspecified_performance,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
65,iTE:P0640:n2,iTE,thermoelectric conversion system,state_structure,热电转换系统为整体器件结构。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
66,iTE:P0691:n2,iTE,electronic thermoelectric power,performance_function,电子热电势是实验及模型比较的目标量。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
67,iTE:P0702:n2,iTE,kinetics of ionic liquid,quantity,离子液体动力学作为成束机理参数泛称，不强指定速率。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
68,iTE:P0729:n1,iTE,mixed alkali effect,mechanism_process,混合碱效应是输运机制现象，不等同混合碱添加操作。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
69,iTE:P0741:n2,iTE,ionic origin,mechanism_process,ionic origin给出机制类别，未指定Soret或redox。,underspecified_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
70,iTE:P0759:n2,iTE,simultaneously enhanced S and a,performance_function,S与a同时增强是联合热电性能状态，保留符号及同时性。,compound_performance,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
71,iTE:P0762:n2,iTE,electricity generator,performance_function,can function as generator表述发电功能，不是额外独立器件实体。,device_function,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
72,iTE:P0770:n2,iTE,efficient thermoelectric generator,state_structure,分段组合形成的高效发电器件对象，保留性能修饰。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
73,iTE:P0776:n2,iTE,relationship between the heat of transport and the activation energy of ion conduction,descriptor,输运热与活化能的关系属于模型解释量间关系表征，不是新基本物理量。,model_relation_descriptor,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
74,iTE:P0797:n2,iTE,reliable estimation of kappa(el),performance_function,可靠估计电子热导是方法功能目标，而非电子热导本身。,measurement_function,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
75,iTE:P0829:n1,iTE,small average grain size and the nano-sized phases,state_structure,小晶粒与纳米相联合微结构。,compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
76,iTE:P0849:n1,iTE,iTEG,state_structure,与PV集成的iTEG器件层。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
77,iTE:P0855:n2,iTE,TEP measurements,mechanism_process,TEP测量是测量过程，非热电势值。,measurement_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
78,iTE:P0857:n1,iTE,"filling fraction, ionic state, and atomic radius of the filler",descriptor,填充分数、价态、半径共同为Oftedal图预测描述符。,compound_descriptor,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
79,iTE:P0857:n2,iTE,Oftedal plots,descriptor,Oftedal图用于呈现结构关系，保留模型/结构表征角色。,model_representation,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
80,iTE:P0860:n2,iTE,effect of disorder on charge transport,mechanism_process,无序对输运的影响作为被抑制的效应机制。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
81,iTE:P0875:n2,iTE,nearly isotropic structural and thermal properties,state_structure,结构与热性质近各向同性是联合状态特征，不是性能数值。,compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
82,iTE:P0887:n3,iTE,ionic scattering and carrier relaxation time,quantity,散射强度与弛豫时间为联合输运量性表述，过程/量混合须保留。,compound_mixed_process_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
83,iTE:P0890:n2,iTE,modules,quantity,与应变/弯曲稳定并列的reduced modules疑似modulus，但原拼写未确认，仅定量性对象。,source_typo_unresolved,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
84,iTE:P0906:n1,iTE,organic LTE,state_structure,organic liquid thermoelectric转换器件，与水系器件作对照。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
85,iTE:P0946:n1,iTE,weakened interlayer interaction and phonon confinement effect,mechanism_process,层间作用减弱和声子限域联合机制，保留复合性。,compound_interaction_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
86,iTE:P0971:n2,iTE,Seebeck coefficient and electrical conductivity,quantity,计算输运系数双量在温度变化下近恒定，此处不是提升性能目标。,compound_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
87,iTE:P0990:n1,iTE,coordination effect of polymer to cations and the Hofmeister effect of anions to polymer,interaction,阳离子配位和阴离子Hofmeister对聚合物的复合作用。,compound_interaction,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
88,iTE:P1028:n1,iTE,PCMs (synthesized ILs) container cell and a commercial thermoelectric generator (TEG),state_structure,PCM容器与商用TEG组合器件结构。,compound_device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
89,iTE:P1043:n2,iTE,variation of Seebeck coefficient and resistivity,quantity,Seebeck与电阻率变化是被解释的双输运量，保留两者同时性。,compound_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
90,iTE:P1056:n1,iTE,ionic wind generator,state_structure,针网型离子风冷却器件，不是离子风过程本身。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
91,iTE:P1061:n1,iTE,strong acoustic mismatch between Cu2Se and carbon phonon states,state_structure,两材料声子态间声学失配是界面状态特征。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
92,iTE:P1094:n1,iTE,low acoustic mode group velocity and strong three-phonon scattering,mechanism_process,低群速度与强三声子散射的联合降热导机制，量与过程混合。,compound_quantity_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
93,iTE:P1118:n1,iTE,extreme phonon anharmonicity and weak bonding,state_structure,极端非谐与弱键作为势能面联合特征。,compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
94,iTE:P1137:n1,iTE,strong lattice anharmonicity and dynamic disorder,state_structure,非谐性与动态无序为共同结构特征。,compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
95,iTE:P1189:n1,iTE,polymer chain breathing model,descriptor,链呼吸模型作为解释超常电导的假设表征；不可直接当已证实链运动。,ontology_fit_limited_hypothesis_model,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
96,iTE:P1208:n2,iTE,these anomalies,state_structure,回指电导最小、抗磁增强和热电势反号的复合异常状态，非未知材料。,resolved_anaphor_compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
97,iTE:P1211:n1,iTE,PBE-D3 dispersion correction,design_strategy,施加PBE-D3修正属于计算方案操作；非材料改性。,computational_method_design,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
98,iTE:P1218:n1,iTE,momentum transfer arguments,descriptor,动量转移论证是模型解释表征；不同于实际测得动量转移过程。,model_argument,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
99,iTE:P1249:n1,iTE,high atomic density and strong structural disorder,state_structure,高原子密度与强结构无序的联合材料状态。,compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
100,iTE:P1294:n2,iTE,Seebeck coefficient and electrical conductivity,performance_function,迁移率增强带来的S/电导双目标表现，复合节点保持。,compound_performance_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
101,iTE:P1298:n1,iTE,ordered conductive domains and carrier mobility,state_structure,有序导电域与迁移率的复合输运状态，不拆出独立原因。,compound_state_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
102,iTE:P1303:n2,iTE,thermal diffusion measurements,mechanism_process,热扩散测量是实验过程，不是热扩散系数。,measurement_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
103,iTE:P1313:n2,iTE,high electrical conductivity and low Seebeck coefficient,performance_function,高电导低S的联合热电性能结果，不能丢失方向。,compound_performance_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
104,iTE:P1317:n1,iTE,"local structural distortion, weak bonding environment, and strong lattice anharmonicity",state_structure,局部畸变、弱键、强非谐的复合微结构状态。,compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
105,iTE:P1318:n1,iTE,gate,state_structure,FeCl3或水gate指装置结构/门控组分，不当作电压工况。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
106,iTE:P1335:n2,iTE,properties of the hydrogel electrolyte,quantity,水凝胶电学/热力学/热电/力学多性质概括，仍未具体化。,compound_underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
107,iTE:P1341:n1,iTE,anharmonicity and disorder,state_structure,非谐与无序是共同原子动态状态。,compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
108,iTE:P1342:n1,iTE,extensive hydrogen bonding and charge stabilization,interaction,广泛氢键与电荷稳定的联合相互作用，非单一氢键。,compound_interaction,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
109,iTE:P1431:n1,iTE,large short-range perturbation created by selected dopants,interaction,掺杂引起的短程扰动抵消长程库仑场，作为电子-掺杂作用。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
110,iTE:P1445:n2,iTE,conduction band activity,quantity,conduction band activity为未定义的量性活性描述，不改成电导率。,underspecified_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
111,iTE:P1482:n2,iTE,oxidation level and nanostructure,state_structure,氧化程度与纳米结构组成联合材料状态。,compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
112,iTE:P1486:n2,iTE,"Electrical conductivity, thermoelectric power, and chemical diffusivity",quantity,三种电荷/质量输运性质并列，为复合量节点。,compound_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
113,iTE:P1489:n1,iTE,soft covalent bonds and ionic layers,state_structure,软共价键与离子层共存的复合结构。,compound_state,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
114,iTE:P1520:n1,iTE,chaotropic effect of BF4-,mechanism_process,BF4致混乱效应属于作用过程，不能等同BF4本体。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
115,iTE:P1522:n1,iTE,"lone-pair electrons, weak interactions, and ionic bonding",state_structure,孤对电子、弱相互作用及离子键共同构成电子/键合状态。,compound_state_interaction,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
116,iTE:P1562:n2,iTE,electrochemical Seebeck effect,mechanism_process,电化学Seebeck效应是响应机制，不等同其温度系数。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
117,iTE:P1583:n1,iTE,symmetrically heated micro-contact set-up,state_structure,对称加热微接触装置是测试器件结构。,measurement_device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
118,iTE:P1593:n1,iTE,copper mobility and disordering,mechanism_process,铜运动与无序化联合驱动相变，动态过程为主并含迁移能力。,compound_quantity_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
119,iTE:P1626:n1,iTE,AC experiments,mechanism_process,AC实验为测量验证过程，不是交流频率条件。,measurement_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
120,iTE:P1629:n1,iTE,hybrid film device,state_structure,混合薄膜传感器件整体结构。,device_structure,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
121,iTE:P1638:n1,iTE,high-density defects and stronger scattering,mechanism_process,高缺陷密度与强散射联合降热导机制，结构/过程复合保留。,compound_state_process,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
122,iTE:P1650:n2,iTE,photothermoelectric effect,mechanism_process,光热电效应为被增强的能量转换过程。,context_scoped,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
123,iTE:P1659:n2,iTE,high ionic conductivity and chemical stability,performance_function,高离子电导与化学稳定为联合设计性能目标。,compound_performance_quantity,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
124,iTE:P1672:n1,iTE,simple ionic model,descriptor,被否定适用性的简化离子模型，模型表征类，非离子实体。,ontology_fit_limited_model_representation,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
125,iTE:P1672:n2,iTE,consistent description of the properties of the system,performance_function,一致描述体系性质是模型功能目标。,model_function,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
126,iTE:P1673:n1,iTE,hard spheres,descriptor,hard spheres在此指硬球模型表征，非实际材料颗粒。,model_representation,astra_accepted,False,retain_singleton_unless_explicit_equivalence_approved,gpt-6-astra
