relation_id,revision_kind,before_subject,before_predicate,before_object,after_subject,after_predicate,after_object,modality,joint_factor_group,instruction,status
iTE:P1004:astra_core_03,missing_or_partial_reference_supplement,,,,Co/Cr charge-state and ionic-radius differences,discussed as explanation for,changed thermoelectric properties,discussed_explanation,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1276:astra_core_01,missing_or_partial_reference_supplement,,,,spin-orbit coupling,has negligible effect on,PdSe monolayer electronic properties,computational_null,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1276:astra_core_02,missing_or_partial_reference_supplement,,,,anisotropic phonon group velocity and intrinsic structural anisotropy,jointly cause,anisotropic lattice thermal conductivity,computational_joint,joint:iTE:P1276:a0a275106b266a5f8b4e,谓词保留结构各向异性共同因素，但未绑定联合因素组。,applied
iTE:P1276:astra_core_03,missing_or_partial_reference_supplement,,,,compromised mobility despite low thermal conduction,limits,ZT to moderate values,computational_prediction,,未抽出该关系；引用中出现不等于已形成关系。,applied
iTE:P1842:astra_core_01,missing_or_partial_reference_supplement,,,,3D multijunction BMWCNT solar-cell design,allows,electron-hole pair creation along x/y and z directions,retracted_source_claim,,设计可能性保留，但原关系无撤稿来源限制。,applied_quarantined
iTE:P1842:astra_core_02,missing_or_partial_reference_supplement,,,,broad-spectrum harvesting including nanotube thermoelectric and thermo-ionic features,claimed to optimize,conversion efficiency,retracted_source_claim,,未形成该核心关系。,applied_quarantined
iTE:P1774:astra_core_01,missing_or_partial_reference_supplement,,,,tortuous electrode ionic pathways and concentration gradient,reduce reaction rate and limit,TEC output current,author_claim,,未形成该核心关系。,applied
iTE:P1774:astra_core_03,missing_or_partial_reference_supplement,,,,increasing parallel DWCNT stacks from one to three,increases at DeltaT22C,output power density,observed,,未形成该核心关系。,applied
iTE:P1774:astra_core_04,missing_or_partial_reference_supplement,,,,orthogonal lamination of three DWCNT layers,further improves,output power density,observed,,未形成该核心关系。,applied
iTE:P1128:astra_core_01,missing_or_partial_reference_supplement,,,,increasing S content with smaller S2- than Se2-,decreases,lattice parameters a and c,author_attribution,,未形成该核心关系。,applied
iTE:P1128:astra_core_02,missing_or_partial_reference_supplement,,,,intermediate S composition 0.8 to 1.2,produces,eskebornite/chalcopyrite composite rather than complete solid solution,observed,,未形成该核心关系。,applied
iTE:P1128:astra_core_03,missing_or_partial_reference_supplement,,,,increasing S content/end-member semiconductor combination,increases conductivity and changes,Seebeck polarity from p to n,observed_joint_outcome,joint:iTE:P1128:728e5d9a0c1199ca5c24,未形成该核心关系。,applied
iTE:P1128:astra_core_04,missing_or_partial_reference_supplement,,,,inverse electrical conductivity-Seebeck relationship,prevents significant improvement in,power factor,null_effect_attribution,,未形成该核心关系。,applied
iTE:P1128:astra_core_06,missing_or_partial_reference_supplement,,,,thermal-conductivity reduction with modest power factor,does not substantially enhance,ZT,negated,,未形成该核心关系。,applied
iTE:P0588:astra_core_02,missing_or_partial_reference_supplement,,,,reduced migration barriers including K about 0.4eV,indicate feasibility of,ionic conduction in weathered biotite,computational_inference,,未形成该核心关系。,applied
iTE:P1761:astra_core_01,missing_or_partial_reference_supplement,,,,increasing hydrostatic pressure on RbSnCl3/RbSnBr3,decreases,band gap,computational_prediction,,方向正确，未保留计算模态及具体材料范围。,applied
iTE:P1761:astra_core_02,missing_or_partial_reference_supplement,,,,pressure,improves,optical absorbance and conductivity,computational_prediction,,未形成该核心关系。,applied
iTE:P1761:astra_core_03,missing_or_partial_reference_supplement,,,,higher pressure,shortens bonds and strengthens,Rb-Cl/Br and Sn-Cl/Br bonding,computational_prediction,,未形成该核心关系。,applied
iTE:P1761:astra_core_04,missing_or_partial_reference_supplement,,,,pressure,enhances,anisotropic behavior,computational_prediction,,未形成该核心关系。,applied
iTE:P1688:astra_core_01,missing_or_partial_reference_supplement,,,,larger Nb5+ radius and oxygen-sublattice relaxation,increase volume and compressibility,Nb-substituted CaSiO3,computational_joint,joint:iTE:P1688:95e13b459da4c4704593,未形成该核心关系。,applied
iTE:P1688:astra_core_02,missing_or_partial_reference_supplement,,,,Nb4d/O2p donor states introduced by Nb,narrow at12.5% and close at25%,CaSiO3 electronic band gap,computational_prediction,,Nb引入态及25%闭隙可见，未提取12.5%窄隙。,applied
iTE:P1688:astra_core_03,missing_or_partial_reference_supplement,,,,25% Nb carrier reorganization,yields negative Seebeck and low-temperature PF peak,higher thermoelectric ZT,computational_joint_outcome,joint:iTE:P1688:974c70c022ee89e2b38b,未形成该核心关系。,applied
iTE:P0383:astra_core_03,missing_or_partial_reference_supplement,,,,decoupled Na+/DBS- thermodiffusion,accounts for,high positive thermopower,author_attribution,,未形成该核心关系。,applied
iTE:P0647:astra_core_01,missing_or_partial_reference_supplement,,,,combining p-CuI and n-ZnO:In thin-film thermolegs,proposed to enable,near-infrared solar thermoelectric generation near room temperature,demonstrated_possibility,,未形成该核心关系。,applied
iTE:P0445:astra_core_01,missing_or_partial_reference_supplement,,,,PAA/PEO with sodium dihydrogen phosphate one-pot photopolymerization,forms,hydrogen-bonded ionic hydrogel network,joint_design,joint:iTE:P0445:84e261a483c40a6a1a34,未形成该核心关系。,applied
iTE:P0445:astra_core_03,missing_or_partial_reference_supplement,,,,fire exposure of hydrogel warning device,rapidly generates,about50mV voltage within1.5s,reported_function,,未形成该核心关系。,applied
iTE:P0976:astra_core_01,missing_or_partial_reference_supplement,,,,1M LiBF4/3-MPN permeation in Sb-SnO2 porous film,decreases resistivity without significant change in,Seebeck coefficient,observed_joint_outcome,joint:iTE:P0976:d3039c8ae51c4ab5ea7b,未形成该核心关系。,applied
iTE:P0976:astra_core_02,missing_or_partial_reference_supplement,,,,BMII electrolyte permeation,reduces resistivity and Seebeck magnitude with net enhancement of,power factor,observed_joint_outcome,joint:iTE:P0976:4a4a21e28759ec7ec2b2,未形成该核心关系。,applied
iTE:P1260:astra_core_01,missing_or_partial_reference_supplement,,,,1-ethyl-3-methylimidazolium chloride,promotes,hexagonal BN exfoliation into nanosheets,author_claim,,未形成该核心关系。,applied
iTE:P1260:astra_core_02,missing_or_partial_reference_supplement,,,,2D filler structure and enhanced filler-matrix interaction,jointly support,"mechanical properties, thermal conductivity and storage modulus",joint_attribution,joint:iTE:P1260:7b505a71d7802a4b9e25,保留jointly，但只覆盖力学表现，遗漏热导与储能模量。,applied
iTE:P0778:astra_core_01,missing_or_partial_reference_supplement,,,,"phonon-mode participation in atomic jumps, especially short wavelengths",determines in model,relationship between heat of transport Q and activation energy Ea,model_result,,未形成该核心关系。,applied
iTE:P0778:astra_core_03,missing_or_partial_reference_supplement,,,,good ionic conductors,predicted to have,large Q/Ea,model_prediction,,未形成该核心关系。,applied
TG:P0243:astra_core_01,missing_or_partial_reference_supplement,,,,initial and stationary temperature-voltage coefficients of symmetric thermogalvanic elements,used to determine,HCl Soret coefficients and thermal-transfer entropies at298.15K,measurement_method,,未形成该核心关系。,applied
TG:P0098:astra_core_01,missing_or_partial_reference_supplement,,,,Na+ and K+ counterion synergy,enables,stable1.6m aqueous ferri/ferrocyanide thermocell,author_claim,,未形成该核心关系。,applied
TG:P0098:astra_core_02,missing_or_partial_reference_supplement,,,,400% concentration increase over0.4m electrolyte,produces only166% increase in,electrical power,observed_nonproportional,,未形成该核心关系。,applied
TG:P0260:astra_core_02,missing_or_partial_reference_supplement,,,,hydrogel reconstruction and self-healing,preserve,sensor performance,observed_retention,,未形成该核心关系。,applied
TG:P0110:astra_core_03,missing_or_partial_reference_supplement,,,,absence of bulky-sensor thermal contact resistance,enables,response below300μs,observed_response_further_improvement_possible,,未形成该核心关系。,applied
TG:P0148:astra_core_01,missing_or_partial_reference_supplement,,,,lower laser power density,favors,thermogalvanic copper deposition,author_interpretation,,把条件到优势过程改写为过程到沉积率，未保留解释性模态。,applied
TG:P0148:astra_core_02,missing_or_partial_reference_supplement,,,,high laser power density,favors,copper corrosion dissolution,author_interpretation,,高功率下竞争性腐蚀解释被直接因果化。,applied
TG:P0148:astra_core_03,missing_or_partial_reference_supplement,,,,violent microstirring at high laser power,causes cuprous loss and,incomplete consecutive discharge reduction,author_interpretation,,还原减少保留但缺高功率及竞争过程绑定。,applied
TG:P0148:astra_core_04,missing_or_partial_reference_supplement,,,,laser power density above1.1×10^7W/cm2,produces etching instead of,copper deposit,observed_conditional,,未形成该核心关系。,applied
TG:P0225:astra_core_01,missing_or_partial_reference_supplement,,,,synergistic thermodiffusive and thermogalvanic effects in NiV14 ionic-liquid solution,jointly yield,0.45V and6.38mV/K atΔT70K,joint_attribution,joint:TG:P0225:cd87ac007a75ae566b09,联合主语保留，但只抽出电压，未覆盖Seebeck结果。,applied
TG:P0085:astra_core_01,missing_or_partial_reference_supplement,,,,freely solvated PAA− and K+ in liquid electrolyte,enable,tunable polyanion-redox interactions,author_claim,,未形成该核心关系。,applied
TG:P0085:astra_core_02,missing_or_partial_reference_supplement,,,,polyanion-redox interactions,modify,redox hydration shell,author_claim,,未形成该核心关系。,applied
TG:P0137:astra_core_04,missing_or_partial_reference_supplement,,,,double-selective-gel enhancement of thermodiffusion and thermogalvanic effects,jointly produces,high thermopower and long-cycle energy output,joint_attribution,joint:TG:P0137:2018d6b82e2a0ce321fd,未形成该核心关系。,applied
TG:P0064:astra_core_01,missing_or_partial_reference_supplement,,,,temperature-responsive thermogalvanic gel,enables,self-powered body-temperature patch,reported_function,,未形成该核心关系。,applied
TG:P0029:astra_core_02,missing_or_partial_reference_supplement,,,,polarity-related features,identified by SHAP as dominant factors in,ML solvent screening,model_association_not_causal,,未形成该核心关系。,applied
TG:P0008:astra_core_01,missing_or_partial_reference_supplement,,,,thermoelectric conversion and gel piezoresistance,jointly enable,self-powered temperature and strain sensing,joint_mechanism,joint:TG:P0008:09305db5f2ecd126d5cd,未形成该核心关系。,applied
